lad22cd,lad22nm,lsoa21cd,category,count_21,count_11,change
E09000001,City of London,E01000001,Female,688,698,-10
E09000001,City of London,E01000001,Male,789,767,22
E09000001,City of London,E01000002,Female,607,669,-62
E09000001,City of London,E01000002,Male,777,767,10
E09000001,City of London,E01000003,Female,755,632,123
E09000001,City of London,E01000003,Male,854,714,140
E09000001,City of London,E01000005,Female,545,457,88
E09000001,City of London,E01000005,Male,555,528,27
E09000002,Barking and Dagenham,E01000006,Female,902,837,65
E09000002,Barking and Dagenham,E01000006,Male,943,866,77
E09000002,Barking and Dagenham,E01000007,Female,1461,684,777
E09000002,Barking and Dagenham,E01000007,Male,1447,707,740
E09000002,Barking and Dagenham,E01000008,Female,947,727,220
E09000002,Barking and Dagenham,E01000008,Male,850,817,33
E09000002,Barking and Dagenham,E01000009,Female,854,774,80
E09000002,Barking and Dagenham,E01000009,Male,949,999,-50
E09000002,Barking and Dagenham,E01000011,Female,788,709,79
E09000002,Barking and Dagenham,E01000011,Male,912,925,-13
E09000002,Barking and Dagenham,E01000012,Female,1194,918,276
E09000002,Barking and Dagenham,E01000012,Male,1153,983,170
E09000002,Barking and Dagenham,E01000013,Female,971,1040,-69
E09000002,Barking and Dagenham,E01000013,Male,900,936,-36
E09000002,Barking and Dagenham,E01000014,Female,893,702,191
E09000002,Barking and Dagenham,E01000014,Male,856,638,218
E09000002,Barking and Dagenham,E01000015,Female,1289,1192,97
E09000002,Barking and Dagenham,E01000015,Male,1131,1049,82
E09000002,Barking and Dagenham,E01000016,Female,981,833,148
E09000002,Barking and Dagenham,E01000016,Male,870,804,66
E09000002,Barking and Dagenham,E01000017,Female,897,821,76
E09000002,Barking and Dagenham,E01000017,Male,826,773,53
E09000002,Barking and Dagenham,E01000018,Female,907,846,61
E09000002,Barking and Dagenham,E01000018,Male,869,751,118
E09000002,Barking and Dagenham,E01000019,Female,820,753,67
E09000002,Barking and Dagenham,E01000019,Male,838,654,184
E09000002,Barking and Dagenham,E01000020,Female,1138,920,218
E09000002,Barking and Dagenham,E01000020,Male,1054,914,140
E09000002,Barking and Dagenham,E01000021,Female,856,776,80
E09000002,Barking and Dagenham,E01000021,Male,837,803,34
E09000002,Barking and Dagenham,E01000022,Female,762,696,66
E09000002,Barking and Dagenham,E01000022,Male,715,618,97
E09000002,Barking and Dagenham,E01000024,Female,746,720,26
E09000002,Barking and Dagenham,E01000024,Male,739,616,123
E09000002,Barking and Dagenham,E01000025,Female,928,836,92
E09000002,Barking and Dagenham,E01000025,Male,992,773,219
E09000002,Barking and Dagenham,E01000027,Female,1118,935,183
E09000002,Barking and Dagenham,E01000027,Male,967,774,193
E09000002,Barking and Dagenham,E01000028,Female,976,834,142
E09000002,Barking and Dagenham,E01000028,Male,842,715,127
E09000002,Barking and Dagenham,E01000029,Female,905,837,68
E09000002,Barking and Dagenham,E01000029,Male,913,765,148
E09000002,Barking and Dagenham,E01000030,Female,1369,1013,356
E09000002,Barking and Dagenham,E01000030,Male,1199,902,297
E09000002,Barking and Dagenham,E01000031,Female,901,833,68
E09000002,Barking and Dagenham,E01000031,Male,866,784,82
E09000002,Barking and Dagenham,E01000032,Female,1051,813,238
E09000002,Barking and Dagenham,E01000032,Male,1029,816,213
E09000002,Barking and Dagenham,E01000033,Female,806,709,97
E09000002,Barking and Dagenham,E01000033,Male,740,652,88
E09000002,Barking and Dagenham,E01000034,Female,826,791,35
E09000002,Barking and Dagenham,E01000034,Male,750,653,97
E09000002,Barking and Dagenham,E01000035,Female,938,828,110
E09000002,Barking and Dagenham,E01000035,Male,922,782,140
E09000002,Barking and Dagenham,E01000036,Female,748,670,78
E09000002,Barking and Dagenham,E01000036,Male,724,683,41
E09000002,Barking and Dagenham,E01000037,Female,836,836,0
E09000002,Barking and Dagenham,E01000037,Male,860,852,8
E09000002,Barking and Dagenham,E01000038,Female,844,760,84
E09000002,Barking and Dagenham,E01000038,Male,768,687,81
E09000002,Barking and Dagenham,E01000039,Female,888,845,43
E09000002,Barking and Dagenham,E01000039,Male,864,758,106
E09000002,Barking and Dagenham,E01000040,Female,947,808,139
E09000002,Barking and Dagenham,E01000040,Male,932,761,171
E09000002,Barking and Dagenham,E01000041,Female,937,864,73
E09000002,Barking and Dagenham,E01000041,Male,907,818,89
E09000002,Barking and Dagenham,E01000042,Female,952,926,26
E09000002,Barking and Dagenham,E01000042,Male,930,862,68
E09000002,Barking and Dagenham,E01000043,Female,762,678,84
E09000002,Barking and Dagenham,E01000043,Male,775,680,95
E09000002,Barking and Dagenham,E01000044,Female,1029,883,146
E09000002,Barking and Dagenham,E01000044,Male,959,915,44
E09000002,Barking and Dagenham,E01000045,Female,889,848,41
E09000002,Barking and Dagenham,E01000045,Male,834,802,32
E09000002,Barking and Dagenham,E01000046,Female,1015,918,97
