lad22cd,lad22nm,lsoa21cd,category,count_21,count_11,change
E09000001,City of London,E01000001,Main language is English (English or Welsh in Wales),1244,1264,-20
E09000001,City of London,E01000001,Main language is not English (English or Welsh in Wales): Can speak English very well,166,131,35
E09000001,City of London,E01000001,Main language is not English (English or Welsh in Wales): Can speak English well,32,38,-6
E09000001,City of London,E01000001,Main language is not English (English or Welsh in Wales): Cannot speak English,1,0,1
E09000001,City of London,E01000001,Main language is not English (English or Welsh in Wales): Cannot speak English well,4,3,1
E09000001,City of London,E01000002,Main language is English (English or Welsh in Wales),1126,1257,-131
E09000001,City of London,E01000002,Main language is not English (English or Welsh in Wales): Can speak English very well,198,94,104
E09000001,City of London,E01000002,Main language is not English (English or Welsh in Wales): Can speak English well,35,32,3
E09000001,City of London,E01000002,Main language is not English (English or Welsh in Wales): Cannot speak English,0,1,-1
E09000001,City of London,E01000002,Main language is not English (English or Welsh in Wales): Cannot speak English well,5,6,-1
E09000001,City of London,E01000003,Main language is English (English or Welsh in Wales),1333,1109,224
E09000001,City of London,E01000003,Main language is not English (English or Welsh in Wales): Can speak English very well,183,121,62
E09000001,City of London,E01000003,Main language is not English (English or Welsh in Wales): Can speak English well,54,61,-7
E09000001,City of London,E01000003,Main language is not English (English or Welsh in Wales): Cannot speak English,0,2,-2
E09000001,City of London,E01000003,Main language is not English (English or Welsh in Wales): Cannot speak English well,13,15,-2
E09000001,City of London,E01000005,Main language is English (English or Welsh in Wales),756,682,74
E09000001,City of London,E01000005,Main language is not English (English or Welsh in Wales): Can speak English very well,130,131,-1
E09000001,City of London,E01000005,Main language is not English (English or Welsh in Wales): Can speak English well,111,89,22
E09000001,City of London,E01000005,Main language is not English (English or Welsh in Wales): Cannot speak English,10,8,2
E09000001,City of London,E01000005,Main language is not English (English or Welsh in Wales): Cannot speak English well,61,52,9
E09000002,Barking and Dagenham,E01000006,Main language is English (English or Welsh in Wales),1125,1006,119
E09000002,Barking and Dagenham,E01000006,Main language is not English (English or Welsh in Wales): Can speak English very well,202,227,-25
E09000002,Barking and Dagenham,E01000006,Main language is not English (English or Welsh in Wales): Can speak English well,294,228,66
E09000002,Barking and Dagenham,E01000006,Main language is not English (English or Welsh in Wales): Cannot speak English,23,21,2
E09000002,Barking and Dagenham,E01000006,Main language is not English (English or Welsh in Wales): Cannot speak English well,110,113,-3
E09000002,Barking and Dagenham,E01000007,Main language is English (English or Welsh in Wales),1843,789,1054
E09000002,Barking and Dagenham,E01000007,Main language is not English (English or Welsh in Wales): Can speak English very well,358,216,142
E09000002,Barking and Dagenham,E01000007,Main language is not English (English or Welsh in Wales): Can speak English well,375,190,185
E09000002,Barking and Dagenham,E01000007,Main language is not English (English or Welsh in Wales): Cannot speak English,24,10,14
E09000002,Barking and Dagenham,E01000007,Main language is not English (English or Welsh in Wales): Cannot speak English well,148,69,79
E09000002,Barking and Dagenham,E01000008,Main language is English (English or Welsh in Wales),1299,988,311
E09000002,Barking and Dagenham,E01000008,Main language is not English (English or Welsh in Wales): Can speak English very well,130,182,-52
E09000002,Barking and Dagenham,E01000008,Main language is not English (English or Welsh in Wales): Can speak English well,189,187,2
E09000002,Barking and Dagenham,E01000008,Main language is not English (English or Welsh in Wales): Cannot speak English,10,14,-4
E09000002,Barking and Dagenham,E01000008,Main language is not English (English or Welsh in Wales): Cannot speak English well,93,81,12
E09000002,Barking and Dagenham,E01000009,Main language is English (English or Welsh in Wales),973,946,27
E09000002,Barking and Dagenham,E01000009,Main language is not English (English or Welsh in Wales): Can speak English very well,263,303,-40
E09000002,Barking and Dagenham,E01000009,Main language is not English (English or Welsh in Wales): Can speak English well,286,264,22
E09000002,Barking and Dagenham,E01000009,Main language is not English (English or Welsh in Wales): Cannot speak English,27,21,6
E09000002,Barking and Dagenham,E01000009,Main language is not English (English or Welsh in Wales): Cannot speak English well,175,134,41
E09000002,Barking and Dagenham,E01000011,Main language is English (English or Welsh in Wales),920,842,78
E09000002,Barking and Dagenham,E01000011,Main language is not English (English or Welsh in Wales): Can speak English very well,232,264,-32
E09000002,Barking and Dagenham,E01000011,Main language is not English (English or Welsh in Wales): Can speak English well,271,286,-15
E09000002,Barking and Dagenham,E01000011,Main language is not English (English or Welsh in Wales): Cannot speak English,22,23,-1
E09000002,Barking and Dagenham,E01000011,Main language is not English (English or Welsh in Wales): Cannot speak English well,196,122,74
E09000002,Barking and Dagenham,E01000012,Main language is English (English or Welsh in Wales),1405,1027,378
E09000002,Barking and Dagenham,E01000012,Main language is not English (English or Welsh in Wales): Can speak English very well,246,251,-5
E09000002,Barking and Dagenham,E01000012,Main language is not English (English or Welsh in Wales): Can speak English well,337,320,17
E09000002,Barking and Dagenham,E01000012,Main language is not English (English or Welsh in Wales): Cannot speak English,29,17,12
E09000002,Barking and Dagenham,E01000012,Main language is not English (English or Welsh in Wales): Cannot speak English well,157,105,52
E09000002,Barking and Dagenham,E01000013,Main language is English (English or Welsh in Wales),1375,1609,-234
E09000002,Barking and Dagenham,E01000013,Main language is not English (English or Welsh in Wales): Can speak English very well,143,112,31
E09000002,Barking and Dagenham,E01000013,Main language is not English (English or Welsh in Wales): Can speak English well,213,106,107
E09000002,Barking and Dagenham,E01000013,Main language is not English (English or Welsh in Wales): Cannot speak English,5,3,2
E09000002,Barking and Dagenham,E01000013,Main language is not English (English or Welsh in Wales): Cannot speak English well,75,42,33
E09000002,Barking and Dagenham,E01000014,Main language is English (English or Welsh in Wales),1288,1093,195
E09000002,Barking and Dagenham,E01000014,Main language is not English (English or Welsh in Wales): Can speak English very well,135,73,62
E09000002,Barking and Dagenham,E01000014,Main language is not English (English or Welsh in Wales): Can speak English well,153,72,81
E09000002,Barking and Dagenham,E01000014,Main language is not English (English or Welsh in Wales): Cannot speak English,13,7,6
E09000002,Barking and Dagenham,E01000014,Main language is not English (English or Welsh in Wales): Cannot speak English well,83,27,56
E09000002,Barking and Dagenham,E01000015,Main language is English (English or Welsh in Wales),1776,1693,83
E09000002,Barking and Dagenham,E01000015,Main language is not English (English or Welsh in Wales): Can speak English very well,190,134,56
E09000002,Barking and Dagenham,E01000015,Main language is not English (English or Welsh in Wales): Can speak English well,214,166,48
E09000002,Barking and Dagenham,E01000015,Main language is not English (English or Welsh in Wales): Cannot speak English,10,6,4
E09000002,Barking and Dagenham,E01000015,Main language is not English (English or Welsh in Wales): Cannot speak English well,105,65,40
E09000002,Barking and Dagenham,E01000016,Main language is English (English or Welsh in Wales),1402,1427,-25
E09000002,Barking and Dagenham,E01000016,Main language is not English (English or Welsh in Wales): Can speak English very well,164,59,105
E09000002,Barking and Dagenham,E01000016,Main language is not English (English or Welsh in Wales): Can speak English well,158,50,108
E09000002,Barking and Dagenham,E01000016,Main language is not English (English or Welsh in Wales): Cannot speak English,5,1,4
E09000002,Barking and Dagenham,E01000016,Main language is not English (English or Welsh in Wales): Cannot speak English well,51,19,32
E09000002,Barking and Dagenham,E01000017,Main language is English (English or Welsh in Wales),1334,1304,30
E09000002,Barking and Dagenham,E01000017,Main language is not English (English or Welsh in Wales): Can speak English very well,123,73,50
E09000002,Barking and Dagenham,E01000017,Main language is not English (English or Welsh in Wales): Can speak English well,140,81,59
E09000002,Barking and Dagenham,E01000017,Main language is not English (English or Welsh in Wales): Cannot speak English,11,6,5
E09000002,Barking and Dagenham,E01000017,Main language is not English (English or Welsh in Wales): Cannot speak English well,65,33,32
E09000002,Barking and Dagenham,E01000018,Main language is English (English or Welsh in Wales),1314,1318,-4
E09000002,Barking and Dagenham,E01000018,Main language is not English (English or Welsh in Wales): Can speak English very well,152,91,61
E09000002,Barking and Dagenham,E01000018,Main language is not English (English or Welsh in Wales): Can speak English well,178,73,105
E09000002,Barking and Dagenham,E01000018,Main language is not English (English or Welsh in Wales): Cannot speak English,7,3,4
E09000002,Barking and Dagenham,E01000018,Main language is not English (English or Welsh in Wales): Cannot speak English well,53,26,27
E09000002,Barking and Dagenham,E01000019,Main language is English (English or Welsh in Wales),1169,1099,70
E09000002,Barking and Dagenham,E01000019,Main language is not English (English or Welsh in Wales): Can speak English very well,144,88,56
E09000002,Barking and Dagenham,E01000019,Main language is not English (English or Welsh in Wales): Can speak English well,187,105,82
E09000002,Barking and Dagenham,E01000019,Main language is not English (English or Welsh in Wales): Cannot speak English,7,7,0
E09000002,Barking and Dagenham,E01000019,Main language is not English (English or Welsh in Wales): Cannot speak English well,83,44,39
E09000002,Barking and Dagenham,E01000020,Main language is English (English or Welsh in Wales),1641,1490,151
E09000002,Barking and Dagenham,E01000020,Main language is not English (English or Welsh in Wales): Can speak English very well,163,124,39
E09000002,Barking and Dagenham,E01000020,Main language is not English (English or Welsh in Wales): Can speak English well,201,71,130
E09000002,Barking and Dagenham,E01000020,Main language is not English (English or Welsh in Wales): Cannot speak English,9,5,4
E09000002,Barking and Dagenham,E01000020,Main language is not English (English or Welsh in Wales): Cannot speak English well,79,50,29
E09000002,Barking and Dagenham,E01000021,Main language is English (English or Welsh in Wales),1197,1155,42
E09000002,Barking and Dagenham,E01000021,Main language is not English (English or Welsh in Wales): Can speak English very well,164,148,16
E09000002,Barking and Dagenham,E01000021,Main language is not English (English or Welsh in Wales): Can speak English well,179,113,66
E09000002,Barking and Dagenham,E01000021,Main language is not English (English or Welsh in Wales): Cannot speak English,12,14,-2
E09000002,Barking and Dagenham,E01000021,Main language is not English (English or Welsh in Wales): Cannot speak English well,77,51,26
E09000002,Barking and Dagenham,E01000022,Main language is English (English or Welsh in Wales),1098,1038,60
E09000002,Barking and Dagenham,E01000022,Main language is not English (English or Welsh in Wales): Can speak English very well,112,73,39
E09000002,Barking and Dagenham,E01000022,Main language is not English (English or Welsh in Wales): Can speak English well,140,77,63
E09000002,Barking and Dagenham,E01000022,Main language is not English (English or Welsh in Wales): Cannot speak English,9,6,3
E09000002,Barking and Dagenham,E01000022,Main language is not English (English or Welsh in Wales): Cannot speak English well,64,32,32
E09000002,Barking and Dagenham,E01000024,Main language is English (English or Welsh in Wales),1080,1011,69
E09000002,Barking and Dagenham,E01000024,Main language is not English (English or Welsh in Wales): Can speak English very well,137,104,33
E09000002,Barking and Dagenham,E01000024,Main language is not English (English or Welsh in Wales): Can speak English well,141,90,51
E09000002,Barking and Dagenham,E01000024,Main language is not English (English or Welsh in Wales): Cannot speak English,10,3,7
E09000002,Barking and Dagenham,E01000024,Main language is not English (English or Welsh in Wales): Cannot speak English well,69,37,32
E09000002,Barking and Dagenham,E01000025,Main language is English (English or Welsh in Wales),1429,1282,147
E09000002,Barking and Dagenham,E01000025,Main language is not English (English or Welsh in Wales): Can speak English very well,174,82,92
E09000002,Barking and Dagenham,E01000025,Main language is not English (English or Welsh in Wales): Can speak English well,162,115,47
E09000002,Barking and Dagenham,E01000025,Main language is not English (English or Welsh in Wales): Cannot speak English,13,8,5
E09000002,Barking and Dagenham,E01000025,Main language is not English (English or Welsh in Wales): Cannot speak English well,54,35,19
E09000002,Barking and Dagenham,E01000027,Main language is English (English or Welsh in Wales),1645,1489,156
E09000002,Barking and Dagenham,E01000027,Main language is not English (English or Welsh in Wales): Can speak English very well,141,78,63
E09000002,Barking and Dagenham,E01000027,Main language is not English (English or Welsh in Wales): Can speak English well,135,27,108
E09000002,Barking and Dagenham,E01000027,Main language is not English (English or Welsh in Wales): Cannot speak English,5,4,1
E09000002,Barking and Dagenham,E01000027,Main language is not English (English or Welsh in Wales): Cannot speak English well,66,23,43
E09000002,Barking and Dagenham,E01000028,Main language is English (English or Welsh in Wales),1352,1242,110
E09000002,Barking and Dagenham,E01000028,Main language is not English (English or Welsh in Wales): Can speak English very well,147,93,54
E09000002,Barking and Dagenham,E01000028,Main language is not English (English or Welsh in Wales): Can speak English well,158,88,70
E09000002,Barking and Dagenham,E01000028,Main language is not English (English or Welsh in Wales): Cannot speak English,8,7,1
E09000002,Barking and Dagenham,E01000028,Main language is not English (English or Welsh in Wales): Cannot speak English well,79,33,46
E09000002,Barking and Dagenham,E01000029,Main language is English (English or Welsh in Wales),1384,1325,59
E09000002,Barking and Dagenham,E01000029,Main language is not English (English or Welsh in Wales): Can speak English very well,160,101,59
E09000002,Barking and Dagenham,E01000029,Main language is not English (English or Welsh in Wales): Can speak English well,152,88,64
E09000002,Barking and Dagenham,E01000029,Main language is not English (English or Welsh in Wales): Cannot speak English,8,5,3
E09000002,Barking and Dagenham,E01000029,Main language is not English (English or Welsh in Wales): Cannot speak English well,53,28,25
E09000002,Barking and Dagenham,E01000030,Main language is English (English or Welsh in Wales),2079,1518,561
E09000002,Barking and Dagenham,E01000030,Main language is not English (English or Welsh in Wales): Can speak English very well,143,87,56
E09000002,Barking and Dagenham,E01000030,Main language is not English (English or Welsh in Wales): Can speak English well,152,100,52
E09000002,Barking and Dagenham,E01000030,Main language is not English (English or Welsh in Wales): Cannot speak English,12,8,4
E09000002,Barking and Dagenham,E01000030,Main language is not English (English or Welsh in Wales): Cannot speak English well,57,44,13
E09000002,Barking and Dagenham,E01000031,Main language is English (English or Welsh in Wales),1333,1302,31
E09000002,Barking and Dagenham,E01000031,Main language is not English (English or Welsh in Wales): Can speak English very well,170,125,45
E09000002,Barking and Dagenham,E01000031,Main language is not English (English or Welsh in Wales): Can speak English well,128,94,34
E09000002,Barking and Dagenham,E01000031,Main language is not English (English or Welsh in Wales): Cannot speak English,6,7,-1
E09000002,Barking and Dagenham,E01000031,Main language is not English (English or Welsh in Wales): Cannot speak English well,62,30,32
E09000002,Barking and Dagenham,E01000032,Main language is English (English or Welsh in Wales),1428,1299,129
E09000002,Barking and Dagenham,E01000032,Main language is not English (English or Welsh in Wales): Can speak English very well,229,106,123
E09000002,Barking and Dagenham,E01000032,Main language is not English (English or Welsh in Wales): Can speak English well,204,94,110
E09000002,Barking and Dagenham,E01000032,Main language is not English (English or Welsh in Wales): Cannot speak English,14,5,9
E09000002,Barking and Dagenham,E01000032,Main language is not English (English or Welsh in Wales): Cannot speak English well,103,46,57
E09000002,Barking and Dagenham,E01000033,Main language is English (English or Welsh in Wales),1285,1146,139
E09000002,Barking and Dagenham,E01000033,Main language is not English (English or Welsh in Wales): Can speak English very well,62,67,-5
E09000002,Barking and Dagenham,E01000033,Main language is not English (English or Welsh in Wales): Can speak English well,89,50,39
E09000002,Barking and Dagenham,E01000033,Main language is not English (English or Welsh in Wales): Cannot speak English,5,2,3
E09000002,Barking and Dagenham,E01000033,Main language is not English (English or Welsh in Wales): Cannot speak English well,45,9,36
E09000002,Barking and Dagenham,E01000034,Main language is English (English or Welsh in Wales),1293,1280,13
E09000002,Barking and Dagenham,E01000034,Main language is not English (English or Welsh in Wales): Can speak English very well,112,55,57
E09000002,Barking and Dagenham,E01000034,Main language is not English (English or Welsh in Wales): Can speak English well,92,45,47
E09000002,Barking and Dagenham,E01000034,Main language is not English (English or Welsh in Wales): Cannot speak English,9,3,6
E09000002,Barking and Dagenham,E01000034,Main language is not English (English or Welsh in Wales): Cannot speak English well,29,14,15
E09000002,Barking and Dagenham,E01000035,Main language is English (English or Welsh in Wales),1346,1318,28
E09000002,Barking and Dagenham,E01000035,Main language is not English (English or Welsh in Wales): Can speak English very well,167,77,90
E09000002,Barking and Dagenham,E01000035,Main language is not English (English or Welsh in Wales): Can speak English well,168,93,75
E09000002,Barking and Dagenham,E01000035,Main language is not English (English or Welsh in Wales): Cannot speak English,15,7,8
E09000002,Barking and Dagenham,E01000035,Main language is not English (English or Welsh in Wales): Cannot speak English well,99,36,63
E09000002,Barking and Dagenham,E01000036,Main language is English (English or Welsh in Wales),1041,1063,-22
E09000002,Barking and Dagenham,E01000036,Main language is not English (English or Welsh in Wales): Can speak English very well,125,92,33
E09000002,Barking and Dagenham,E01000036,Main language is not English (English or Welsh in Wales): Can speak English well,160,79,81
E09000002,Barking and Dagenham,E01000036,Main language is not English (English or Welsh in Wales): Cannot speak English,8,7,1
E09000002,Barking and Dagenham,E01000036,Main language is not English (English or Welsh in Wales): Cannot speak English well,80,34,46
E09000002,Barking and Dagenham,E01000037,Main language is English (English or Welsh in Wales),1412,1543,-131
E09000002,Barking and Dagenham,E01000037,Main language is not English (English or Welsh in Wales): Can speak English very well,86,53,33
E09000002,Barking and Dagenham,E01000037,Main language is not English (English or Welsh in Wales): Can speak English well,107,34,73
E09000002,Barking and Dagenham,E01000037,Main language is not English (English or Welsh in Wales): Cannot speak English,4,1,3
E09000002,Barking and Dagenham,E01000037,Main language is not English (English or Welsh in Wales): Cannot speak English well,36,12,24
E09000002,Barking and Dagenham,E01000038,Main language is English (English or Welsh in Wales),1297,1287,10
E09000002,Barking and Dagenham,E01000038,Main language is not English (English or Welsh in Wales): Can speak English very well,120,62,58
E09000002,Barking and Dagenham,E01000038,Main language is not English (English or Welsh in Wales): Can speak English well,111,38,73
