lad22cd,lad22nm,lsoa21cd,Main language is English (English or Welsh in Wales),Main language is not English (English or Welsh in Wales): Can speak English very well,Main language is not English (English or Welsh in Wales): Can speak English well,Main language is not English (English or Welsh in Wales): Cannot speak English,Main language is not English (English or Welsh in Wales): Cannot speak English well
E09000001,City of London,E01000001,-20,35,-6,1,1
E09000001,City of London,E01000002,-131,104,3,-1,-1
E09000001,City of London,E01000003,224,62,-7,-2,-2
E09000001,City of London,E01000005,74,-1,22,2,9
E09000002,Barking and Dagenham,E01000006,119,-25,66,2,-3
E09000002,Barking and Dagenham,E01000007,1054,142,185,14,79
E09000002,Barking and Dagenham,E01000008,311,-52,2,-4,12
E09000002,Barking and Dagenham,E01000009,27,-40,22,6,41
E09000002,Barking and Dagenham,E01000011,78,-32,-15,-1,74
E09000002,Barking and Dagenham,E01000012,378,-5,17,12,52
E09000002,Barking and Dagenham,E01000013,-234,31,107,2,33
E09000002,Barking and Dagenham,E01000014,195,62,81,6,56
E09000002,Barking and Dagenham,E01000015,83,56,48,4,40
E09000002,Barking and Dagenham,E01000016,-25,105,108,4,32
E09000002,Barking and Dagenham,E01000017,30,50,59,5,32
E09000002,Barking and Dagenham,E01000018,-4,61,105,4,27
E09000002,Barking and Dagenham,E01000019,70,56,82,0,39
E09000002,Barking and Dagenham,E01000020,151,39,130,4,29
E09000002,Barking and Dagenham,E01000021,42,16,66,-2,26
E09000002,Barking and Dagenham,E01000022,60,39,63,3,32
E09000002,Barking and Dagenham,E01000024,69,33,51,7,32
E09000002,Barking and Dagenham,E01000025,147,92,47,5,19
E09000002,Barking and Dagenham,E01000027,156,63,108,1,43
E09000002,Barking and Dagenham,E01000028,110,54,70,1,46
E09000002,Barking and Dagenham,E01000029,59,59,64,3,25
E09000002,Barking and Dagenham,E01000030,561,56,52,4,13
E09000002,Barking and Dagenham,E01000031,31,45,34,-1,32
E09000002,Barking and Dagenham,E01000032,129,123,110,9,57
E09000002,Barking and Dagenham,E01000033,139,-5,39,3,36
E09000002,Barking and Dagenham,E01000034,13,57,47,6,15
E09000002,Barking and Dagenham,E01000035,28,90,75,8,63
E09000002,Barking and Dagenham,E01000036,-22,33,81,1,46
E09000002,Barking and Dagenham,E01000037,-131,33,73,3,24
E09000002,Barking and Dagenham,E01000038,10,58,73,5,32
E09000002,Barking and Dagenham,E01000039,-13,63,56,4,35
E09000002,Barking and Dagenham,E01000040,61,24,157,-5,60
E09000002,Barking and Dagenham,E01000041,41,-2,93,0,42
E09000002,Barking and Dagenham,E01000042,108,-4,-6,0,24
E09000002,Barking and Dagenham,E01000043,149,-11,18,2,31
E09000002,Barking and Dagenham,E01000044,60,25,56,1,61
