lad22cd,lad22nm,lsoa21cd,"Asian, Asian British or Asian Welsh: Bangladeshi","Asian, Asian British or Asian Welsh: Chinese","Asian, Asian British or Asian Welsh: Indian","Asian, Asian British or Asian Welsh: Other Asian","Asian, Asian British or Asian Welsh: Pakistani","Black, Black British, Black Welsh, Caribbean or African: African","Black, Black British, Black Welsh, Caribbean or African: Caribbean","Black, Black British, Black Welsh, Caribbean or African: Other Black",Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Mixed or Multiple ethnic groups: White and Asian,Mixed or Multiple ethnic groups: White and Black African,Mixed or Multiple ethnic groups: White and Black Caribbean,Other ethnic group: Any other ethnic group,Other ethnic group: Arab,"White: English, Welsh, Scottish, Northern Irish or British",White: Gypsy or Irish Traveller,White: Irish,White: Other White
E09000001,City of London,E01000001,3,44,49,29,3,6,1,4,19,26,3,6,28,6,968,1,32,237
E09000001,City of London,E01000002,0,37,30,28,0,0,3,1,21,22,9,2,6,3,1024,0,28,222
E09000001,City of London,E01000003,9,44,48,61,6,23,13,9,26,18,4,7,10,13,813,0,37,205
E09000001,City of London,E01000005,216,19,16,23,0,52,23,25,15,14,14,16,21,25,358,1,16,131
E09000002,Barking and Dagenham,E01000006,113,11,264,80,393,106,50,21,18,12,13,15,41,9,325,4,13,215
E09000002,Barking and Dagenham,E01000007,74,15,140,75,143,282,59,48,41,10,26,11,16,12,274,0,10,155
E09000002,Barking and Dagenham,E01000008,120,4,46,67,112,453,45,76,25,7,34,17,23,30,338,0,10,137
E09000002,Barking and Dagenham,E01000009,116,17,290,137,452,157,51,20,7,23,19,13,38,11,246,0,6,170
E09000002,Barking and Dagenham,E01000011,164,21,220,119,546,100,31,12,14,6,2,6,37,10,187,7,13,139
E09000002,Barking and Dagenham,E01000012,134,7,158,91,285,409,72,49,26,22,49,20,32,12,293,16,2,224
E09000002,Barking and Dagenham,E01000013,64,10,38,27,43,275,36,15,18,12,33,15,5,8,1206,0,22,149
E09000002,Barking and Dagenham,E01000014,15,10,2,23,14,174,18,16,9,8,11,27,9,0,883,0,10,111
E09000002,Barking and Dagenham,E01000015,45,20,16,50,23,385,66,29,12,7,22,33,31,12,1216,1,16,257
E09000002,Barking and Dagenham,E01000016,46,11,11,37,12,255,34,8,11,10,14,18,5,11,1071,2,17,64
E09000002,Barking and Dagenham,E01000017,55,4,17,28,6,252,31,26,7,12,15,17,14,4,967,0,23,116
E09000002,Barking and Dagenham,E01000018,21,7,35,37,16,238,21,21,6,9,19,17,6,0,1019,0,13,112
E09000002,Barking and Dagenham,E01000019,72,0,81,56,88,141,63,9,10,12,25,23,34,10,694,0,11,78
E09000002,Barking and Dagenham,E01000020,49,10,55,18,76,273,53,17,20,13,10,27,11,10,1050,0,27,115
E09000002,Barking and Dagenham,E01000021,46,9,60,78,120,217,64,28,22,17,22,24,10,7,712,0,14,129
E09000002,Barking and Dagenham,E01000022,30,8,38,29,41,190,44,21,7,3,24,36,9,0,720,0,12,102
E09000002,Barking and Dagenham,E01000024,48,8,28,66,67,219,50,18,15,2,16,25,23,4,643,4,7,93
E09000002,Barking and Dagenham,E01000025,50,6,35,47,33,192,30,23,14,15,11,33,2,4,993,1,6,114
E09000002,Barking and Dagenham,E01000027,17,3,58,45,34,135,63,30,14,13,30,35,4,3,1163,0,9,53
E09000002,Barking and Dagenham,E01000028,48,10,54,47,57,242,74,20,25,11,19,25,15,5,778,0,19,100
E09000002,Barking and Dagenham,E01000029,70,10,116,61,43,103,82,26,12,8,13,8,22,5,875,1,48,99
E09000002,Barking and Dagenham,E01000030,12,21,42,28,44,229,83,46,21,8,42,46,13,22,1098,1,13,146
E09000002,Barking and Dagenham,E01000031,108,15,139,67,99,97,119,39,14,16,23,28,42,5,701,0,14,91
E09000002,Barking and Dagenham,E01000032,52,5,120,42,93,133,56,16,15,9,22,16,26,9,906,0,17,92
E09000002,Barking and Dagenham,E01000033,4,8,7,14,18,190,14,12,15,12,6,19,5,3,909,15,26,84
E09000002,Barking and Dagenham,E01000034,24,10,6,18,7,168,38,28,15,3,4,11,6,2,1029,4,8,63
E09000002,Barking and Dagenham,E01000035,42,15,46,41,16,238,46,12,13,19,20,8,9,5,942,0,14,124
E09000002,Barking and Dagenham,E01000036,86,18,69,50,19,250,21,19,15,3,6,9,3,1,674,0,17,93
E09000002,Barking and Dagenham,E01000037,11,9,13,25,16,100,47,5,18,9,9,10,6,2,1354,1,23,30
E09000002,Barking and Dagenham,E01000038,18,7,12,44,10,77,23,7,10,12,5,9,4,1,1134,0,20,54
E09000002,Barking and Dagenham,E01000039,7,12,16,40,8,119,33,4,16,13,11,31,6,1,1204,9,20,53
E09000002,Barking and Dagenham,E01000040,87,2,64,53,74,220,27,40,24,3,18,18,18,20,776,0,8,117
E09000002,Barking and Dagenham,E01000041,44,10,20,19,19,289,41,29,15,18,14,18,9,12,956,0,6,163
E09000002,Barking and Dagenham,E01000042,139,13,36,48,86,286,42,30,17,18,16,44,31,12,788,0,5,177
E09000002,Barking and Dagenham,E01000043,165,4,51,64,92,158,33,9,6,4,14,17,16,11,567,4,12,131
E09000002,Barking and Dagenham,E01000044,77,14,107,98,184,274,80,41,26,28,37,27,21,2,497,4,23,258
E09000002,Barking and Dagenham,E01000045,33,8,20,49,37,306,49,47,16,13,31,40,20,6,838,0,4,133
E09000002,Barking and Dagenham,E01000046,19,13,30,13,34,211,38,20,16,11,9,27,8,21,1113,0,11,185
E09000002,Barking and Dagenham,E01000049,56,37,45,32,98,594,18,67,10,14,65,34,18,50,493,6,5,178
E09000002,Barking and Dagenham,E01000050,89,26,205,90,171,231,44,25,19,19,31,18,40,13,470,0,10,160
E09000002,Barking and Dagenham,E01000051,92,28,62,38,106,600,52,74,33,9,32,23,62,30,423,0,2,261
E09000002,Barking and Dagenham,E01000052,83,32,132,97,170,349,54,30,20,19,43,16,28,5,660,0,24,252
E09000002,Barking and Dagenham,E01000053,30,3,27,31,26,297,49,55,3,7,20,30,8,0,744,0,28,127
E09000002,Barking and Dagenham,E01000054,29,8,34,18,20,267,27,29,7,12,9,22,10,2,1084,4,8,128
E09000002,Barking and Dagenham,E01000055,30,4,40,32,33,221,26,13,14,3,26,21,4,4,942,1,12,127
E09000002,Barking and Dagenham,E01000056,48,5,13,31,25,254,40,19,9,12,13,27,10,8,935,0,13,122
E09000002,Barking and Dagenham,E01000057,16,6,16,32,16,281,36,23,6,12,21,36,17,7,818,0,6,147
E09000002,Barking and Dagenham,E01000058,56,23,31,51,30,351,44,35,25,10,19,38,7,21,893,0,25,190
E09000002,Barking and Dagenham,E01000059,18,4,5,20,18,234,30,13,20,11,9,25,8,4,1045,0,21,97
E09000002,Barking and Dagenham,E01000060,17,9,21,46,36,352,34,34,15,2,13,20,6,11,1081,2,22,88
E09000002,Barking and Dagenham,E01000061,25,7,11,29,16,373,34,37,10,5,24,39,6,15,992,0,14,139
E09000002,Barking and Dagenham,E01000062,57,11,26,59,11,392,42,32,8,9,19,26,1,1,1117,0,29,112
E09000002,Barking and Dagenham,E01000063,33,15,11,37,31,158,46,27,21,13,6,14,12,2,1077,0,17,100
E09000002,Barking and Dagenham,E01000064,35,8,6,28,17,375,45,31,13,8,12,32,1,6,1147,6,16,107
E09000002,Barking and Dagenham,E01000065,27,6,27,29,20,236,27,49,21,4,9,21,19,3,1087,3,10,138
E09000002,Barking and Dagenham,E01000066,272,21,176,70,170,116,45,18,23,24,5,25,29,15,770,4,10,135
E09000002,Barking and Dagenham,E01000067,390,13,91,71,152,161,67,24,16,6,11,15,23,15,821,0,7,86
E09000002,Barking and Dagenham,E01000068,250,1,201,82,322,66,48,9,8,12,7,6,13,15,420,0,5,125
E09000002,Barking and Dagenham,E01000069,442,17,202,43,196,81,36,17,40,33,6,27,31,8,845,0,30,116
E09000002,Barking and Dagenham,E01000070,216,21,184,68,194,84,33,6,54,9,18,12,20,1,490,0,33,125
E09000002,Barking and Dagenham,E01000071,441,21,182,80,208,173,88,20,20,16,34,33,36,33,670,0,19,179
E09000002,Barking and Dagenham,E01000072,58,12,34,29,40,301,44,36,21,6,17,48,11,11,1143,1,28,151
E09000002,Barking and Dagenham,E01000073,42,10,32,30,34,195,28,18,15,9,21,22,11,6,978,0,14,154
E09000002,Barking and Dagenham,E01000074,17,7,12,25,16,198,26,35,13,14,25,33,7,10,1001,0,10,118
E09000002,Barking and Dagenham,E01000075,37,11,39,39,11,210,16,12,20,18,14,32,8,0,1113,0,20,132
E09000002,Barking and Dagenham,E01000076,49,11,42,61,46,348,34,32,12,3,8,40,20,3,1143,0,9,127
E09000002,Barking and Dagenham,E01000077,22,4,43,28,40,230,45,20,7,10,1,13,5,7,824,1,7,138
E09000002,Barking and Dagenham,E01000078,15,31,25,45,46,202,47,7,11,22,20,24,18,2,1042,2,13,94
E09000002,Barking and Dagenham,E01000079,46,14,14,44,23,227,31,17,8,8,9,26,8,3,970,0,18,80
E09000002,Barking and Dagenham,E01000080,28,7,13,24,18,236,29,24,14,18,21,27,10,10,933,1,8,135
E09000002,Barking and Dagenham,E01000081,29,3,19,35,30,262,42,34,6,6,19,25,16,9,1045,4,9,95
E09000002,Barking and Dagenham,E01000082,44,5,25,41,12,213,52,22,8,5,20,26,10,5,1051,4,19,121
E09000002,Barking and Dagenham,E01000083,31,0,29,37,61,205,48,36,21,6,9,39,19,6,999,4,17,133
E09000002,Barking and Dagenham,E01000084,51,7,13,29,0,213,15,10,2,11,16,24,9,1,848,0,9,97
E09000002,Barking and Dagenham,E01000085,24,21,23,22,7,238,37,28,14,6,13,26,77,0,976,2,17,187
E09000002,Barking and Dagenham,E01000086,47,23,16,30,6,275,12,11,10,7,15,20,7,5,841,3,10,93
E09000002,Barking and Dagenham,E01000087,31,4,18,6,9,258,34,37,11,5,17,21,6,4,769,0,21,90
E09000002,Barking and Dagenham,E01000088,68,13,79,31,38,409,94,55,8,7,21,22,12,2,727,0,28,214
E09000002,Barking and Dagenham,E01000089,23,8,21,22,22,372,61,35,21,11,29,31,13,6,823,0,43,125
E09000002,Barking and Dagenham,E01000090,37,3,101,43,23,362,57,44,15,4,19,20,37,10,615,0,34,160
E09000002,Barking and Dagenham,E01000091,140,1,16,42,42,424,37,60,17,4,16,28,22,11,734,7,6,107
E09000002,Barking and Dagenham,E01000093,70,4,16,19,49,402,40,44,27,9,30,24,13,10,661,6,5,118
E09000002,Barking and Dagenham,E01000094,38,2,61,63,39,452,73,40,29,14,25,21,13,2,332,8,6,108
E09000002,Barking and Dagenham,E01000095,61,20,35,28,43,404,61,35,9,8,16,24,18,7,664,0,9,130
E09000002,Barking and Dagenham,E01000096,87,15,32,29,18,626,45,94,23,4,29,28,15,20,691,0,8,131
