lad22cd,lad22nm,lsoa21cd,"Asian, Asian British or Asian Welsh: Bangladeshi","Asian, Asian British or Asian Welsh: Chinese","Asian, Asian British or Asian Welsh: Indian","Asian, Asian British or Asian Welsh: Other Asian","Asian, Asian British or Asian Welsh: Pakistani","Black, Black British, Black Welsh, Caribbean or African: African","Black, Black British, Black Welsh, Caribbean or African: Caribbean","Black, Black British, Black Welsh, Caribbean or African: Other Black",Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Mixed or Multiple ethnic groups: White and Asian,Mixed or Multiple ethnic groups: White and Black African,Mixed or Multiple ethnic groups: White and Black Caribbean,Other ethnic group: Any other ethnic group,Other ethnic group: Arab,"White: English, Welsh, Scottish, Northern Irish or British",White: Gypsy or Irish Traveller,White: Irish,White: Other White
E09000001,City of London,E01000001,1,22,0,8,-1,2,2,-4,-1,1,4,-4,18,16,-146,-1,-1,92
E09000001,City of London,E01000002,6,66,7,5,2,7,-1,-1,8,3,-5,0,30,10,-289,0,14,86
E09000001,City of London,E01000003,2,7,-11,-11,-4,9,2,-1,17,17,11,0,81,6,0,0,-5,142
E09000001,City of London,E01000005,42,16,7,8,1,23,4,-10,16,2,-2,4,80,1,-99,-1,4,23
E09000002,Barking and Dagenham,E01000006,102,0,-103,9,16,23,-8,9,8,4,2,0,41,-4,-86,-4,2,136
E09000002,Barking and Dagenham,E01000007,252,24,89,8,106,366,35,41,-6,18,18,62,92,11,49,4,3,344
E09000002,Barking and Dagenham,E01000008,78,4,-6,-28,61,184,-13,-29,-2,-4,-10,19,48,-17,-54,0,-6,25
E09000002,Barking and Dagenham,E01000009,98,3,-97,-79,-58,-15,-13,0,1,-6,-1,-3,74,-5,-6,3,-1,128
E09000002,Barking and Dagenham,E01000011,86,-13,-82,-39,-89,23,-1,6,1,9,1,2,25,0,-11,-4,-8,162
E09000002,Barking and Dagenham,E01000012,151,0,-12,-10,-16,129,16,9,27,2,-21,0,45,17,-26,-16,1,155
E09000002,Barking and Dagenham,E01000013,64,15,13,26,15,0,-2,14,-3,4,-18,1,25,-4,-451,1,-5,194
E09000002,Barking and Dagenham,E01000014,146,7,39,8,40,52,12,25,8,-3,1,-15,20,9,-113,0,4,174
E09000002,Barking and Dagenham,E01000015,108,-10,35,29,57,-33,-1,41,25,2,-3,12,38,6,-261,9,-4,129
E09000002,Barking and Dagenham,E01000016,72,-8,25,22,37,38,6,39,5,-4,-9,1,64,8,-311,-2,-11,239
E09000002,Barking and Dagenham,E01000017,105,-3,31,37,85,32,-5,15,11,6,1,10,17,11,-280,0,-8,67
E09000002,Barking and Dagenham,E01000018,83,-2,6,-2,32,41,-6,14,5,4,2,12,20,4,-217,2,3,183
E09000002,Barking and Dagenham,E01000019,102,10,47,-13,120,45,-22,9,11,-2,-11,-10,32,-7,-204,0,-3,148
E09000002,Barking and Dagenham,E01000020,104,-1,46,44,88,44,28,17,2,6,6,-13,49,189,-356,0,-17,119
E09000002,Barking and Dagenham,E01000021,114,-2,49,-13,72,-18,-18,-5,5,-7,-8,-11,52,-5,-196,0,-7,106
E09000002,Barking and Dagenham,E01000022,122,3,26,2,76,26,-8,15,7,9,-12,-15,34,3,-241,1,6,105
E09000002,Barking and Dagenham,E01000024,73,4,65,-12,34,20,-16,11,6,5,5,-10,34,-4,-188,-4,-5,129
E09000002,Barking and Dagenham,E01000025,99,4,47,6,129,64,8,16,5,-13,10,-17,28,12,-251,-1,1,166
E09000002,Barking and Dagenham,E01000027,80,-2,25,20,75,90,7,9,25,2,-4,20,21,5,-196,0,2,195
E09000002,Barking and Dagenham,E01000028,139,-8,34,-13,36,89,-18,29,-3,1,8,-3,42,20,-231,6,9,130
E09000002,Barking and Dagenham,E01000029,115,0,92,10,142,27,-2,3,-1,2,-5,2,37,-4,-303,-1,-7,115
E09000002,Barking and Dagenham,E01000030,141,-5,24,7,110,282,33,56,8,2,9,12,43,-3,-169,-1,-8,100
E09000002,Barking and Dagenham,E01000031,119,-9,63,-1,159,14,-19,2,6,10,-4,8,27,4,-295,1,-3,73
