lad22cd,lad22nm,lsoa21cd,category,count_21,count_11,change
E09000001,City of London,E01000001,"All adults in household have English in England, or English or Welsh in Wales as a main language",697,739,-42
E09000001,City of London,E01000001,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",47,52,-5
E09000001,City of London,E01000001,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",5,2,3
E09000001,City of London,E01000001,"No people in household have English in England, or English or Welsh in Wales as a main language",85,83,2
E09000001,City of London,E01000002,"All adults in household have English in England, or English or Welsh in Wales as a main language",653,732,-79
E09000001,City of London,E01000002,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",45,42,3
E09000001,City of London,E01000002,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",3,5,-2
E09000001,City of London,E01000002,"No people in household have English in England, or English or Welsh in Wales as a main language",122,51,71
E09000001,City of London,E01000003,"All adults in household have English in England, or English or Welsh in Wales as a main language",827,697,130
E09000001,City of London,E01000003,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",62,44,18
E09000001,City of London,E01000003,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",12,8,4
E09000001,City of London,E01000003,"No people in household have English in England, or English or Welsh in Wales as a main language",119,68,51
E09000001,City of London,E01000005,"All adults in household have English in England, or English or Welsh in Wales as a main language",302,313,-11
E09000001,City of London,E01000005,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",86,51,35
E09000001,City of London,E01000005,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",13,19,-6
E09000001,City of London,E01000005,"No people in household have English in England, or English or Welsh in Wales as a main language",80,84,-4
E09000002,Barking and Dagenham,E01000006,"All adults in household have English in England, or English or Welsh in Wales as a main language",297,298,-1
E09000002,Barking and Dagenham,E01000006,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",104,102,2
E09000002,Barking and Dagenham,E01000006,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",39,23,16
E09000002,Barking and Dagenham,E01000006,"No people in household have English in England, or English or Welsh in Wales as a main language",111,120,-9
E09000002,Barking and Dagenham,E01000007,"All adults in household have English in England, or English or Welsh in Wales as a main language",735,375,360
E09000002,Barking and Dagenham,E01000007,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",109,62,47
E09000002,Barking and Dagenham,E01000007,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",76,29,47
E09000002,Barking and Dagenham,E01000007,"No people in household have English in England, or English or Welsh in Wales as a main language",267,146,121
E09000002,Barking and Dagenham,E01000008,"All adults in household have English in England, or English or Welsh in Wales as a main language",327,307,20
E09000002,Barking and Dagenham,E01000008,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",128,74,54
E09000002,Barking and Dagenham,E01000008,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",25,47,-22
E09000002,Barking and Dagenham,E01000008,"No people in household have English in England, or English or Welsh in Wales as a main language",67,93,-26
E09000002,Barking and Dagenham,E01000009,"All adults in household have English in England, or English or Welsh in Wales as a main language",281,312,-31
E09000002,Barking and Dagenham,E01000009,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",112,134,-22
E09000002,Barking and Dagenham,E01000009,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",53,16,37
E09000002,Barking and Dagenham,E01000009,"No people in household have English in England, or English or Welsh in Wales as a main language",156,176,-20
E09000002,Barking and Dagenham,E01000011,"All adults in household have English in England, or English or Welsh in Wales as a main language",201,172,29
E09000002,Barking and Dagenham,E01000011,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",112,143,-31
E09000002,Barking and Dagenham,E01000011,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",31,23,8
E09000002,Barking and Dagenham,E01000011,"No people in household have English in England, or English or Welsh in Wales as a main language",129,119,10
