lad22cd,lad22nm,lsoa21cd,"All adults in household have English in England, or English or Welsh in Wales as a main language","At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language","No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language","No people in household have English in England, or English or Welsh in Wales as a main language"
E09000001,City of London,E01000001,739,52,2,83
E09000001,City of London,E01000002,732,42,5,51
E09000001,City of London,E01000003,697,44,8,68
E09000001,City of London,E01000005,313,51,19,84
E09000002,Barking and Dagenham,E01000006,298,102,23,120
E09000002,Barking and Dagenham,E01000007,375,62,29,146
E09000002,Barking and Dagenham,E01000008,307,74,47,93
E09000002,Barking and Dagenham,E01000009,312,134,16,176
E09000002,Barking and Dagenham,E01000011,172,143,23,119
E09000002,Barking and Dagenham,E01000012,374,98,41,185
E09000002,Barking and Dagenham,E01000013,653,32,20,68
E09000002,Barking and Dagenham,E01000014,433,29,11,42
E09000002,Barking and Dagenham,E01000015,663,47,34,92
E09000002,Barking and Dagenham,E01000016,561,22,13,30
E09000002,Barking and Dagenham,E01000017,515,39,13,42
E09000002,Barking and Dagenham,E01000018,531,27,13,41
E09000002,Barking and Dagenham,E01000019,393,45,21,45
E09000002,Barking and Dagenham,E01000020,528,40,28,54
E09000002,Barking and Dagenham,E01000021,452,57,20,64
E09000002,Barking and Dagenham,E01000022,388,30,13,43
E09000002,Barking and Dagenham,E01000024,355,37,16,48
E09000002,Barking and Dagenham,E01000025,506,52,16,55
E09000002,Barking and Dagenham,E01000027,573,28,16,24
E09000002,Barking and Dagenham,E01000028,497,45,29,41
E09000002,Barking and Dagenham,E01000029,589,37,13,51
E09000002,Barking and Dagenham,E01000030,650,40,39,41
E09000002,Barking and Dagenham,E01000031,484,54,16,44
E09000002,Barking and Dagenham,E01000032,509,56,10,56
E09000002,Barking and Dagenham,E01000033,474,22,11,26
E09000002,Barking and Dagenham,E01000034,455,29,9,24
E09000002,Barking and Dagenham,E01000035,474,36,14,43
E09000002,Barking and Dagenham,E01000036,379,41,13,36
E09000002,Barking and Dagenham,E01000037,546,17,4,12
E09000002,Barking and Dagenham,E01000038,509,20,11,23
E09000002,Barking and Dagenham,E01000039,611,27,9,12
E09000002,Barking and Dagenham,E01000040,490,49,26,75
E09000002,Barking and Dagenham,E01000041,496,29,20,62
E09000002,Barking and Dagenham,E01000042,517,57,27,78
E09000002,Barking and Dagenham,E01000043,327,53,23,58
E09000002,Barking and Dagenham,E01000044,408,76,29,116
E09000002,Barking and Dagenham,E01000045,482,41,20,59
E09000002,Barking and Dagenham,E01000046,543,26,25,60
E09000002,Barking and Dagenham,E01000049,400,82,63,98
E09000002,Barking and Dagenham,E01000050,385,73,42,115
E09000002,Barking and Dagenham,E01000051,410,99,73,143
E09000002,Barking and Dagenham,E01000052,526,69,35,139
E09000002,Barking and Dagenham,E01000053,529,37,19,60
E09000002,Barking and Dagenham,E01000054,552,28,17,41
E09000002,Barking and Dagenham,E01000055,469,30,22,39
E09000002,Barking and Dagenham,E01000056,474,41,17,41
E09000002,Barking and Dagenham,E01000057,441,35,18,43
E09000002,Barking and Dagenham,E01000058,557,41,27,65
E09000002,Barking and Dagenham,E01000059,508,24,10,36
E09000002,Barking and Dagenham,E01000060,680,15,25,50
E09000002,Barking and Dagenham,E01000061,564,42,31,31
E09000002,Barking and Dagenham,E01000062,644,44,26,47
E09000002,Barking and Dagenham,E01000063,558,29,22,26
E09000002,Barking and Dagenham,E01000064,606,26,24,53
E09000002,Barking and Dagenham,E01000065,657,27,29,61
E09000002,Barking and Dagenham,E01000066,492,90,18,83
E09000002,Barking and Dagenham,E01000067,503,79,23,74
E09000002,Barking and Dagenham,E01000068,260,104,13,85
E09000002,Barking and Dagenham,E01000069,471,99,9,52
E09000002,Barking and Dagenham,E01000070,330,86,11,53
E09000002,Barking and Dagenham,E01000071,540,119,31,95
E09000002,Barking and Dagenham,E01000072,646,33,36,69
E09000002,Barking and Dagenham,E01000073,522,32,16,57
E09000002,Barking and Dagenham,E01000074,551,27,10,41
E09000002,Barking and Dagenham,E01000075,524,28,15,55
E09000002,Barking and Dagenham,E01000076,593,36,28,53
E09000002,Barking and Dagenham,E01000077,455,40,16,49
E09000002,Barking and Dagenham,E01000078,548,32,14,55
E09000002,Barking and Dagenham,E01000079,530,28,17,34
E09000002,Barking and Dagenham,E01000080,500,34,13,47
E09000002,Barking and Dagenham,E01000081,554,42,16,36
E09000002,Barking and Dagenham,E01000082,577,38,14,43
E09000002,Barking and Dagenham,E01000083,530,39,25,35
E09000002,Barking and Dagenham,E01000084,442,30,11,34
E09000002,Barking and Dagenham,E01000085,519,41,19,61
E09000002,Barking and Dagenham,E01000086,430,19,19,40
E09000002,Barking and Dagenham,E01000087,425,23,15,40
E09000002,Barking and Dagenham,E01000088,496,41,14,89
E09000002,Barking and Dagenham,E01000089,506,29,19,58
E09000002,Barking and Dagenham,E01000090,426,47,16,60
E09000002,Barking and Dagenham,E01000091,489,46,28,70
E09000002,Barking and Dagenham,E01000093,501,53,29,59
E09000002,Barking and Dagenham,E01000094,365,65,22,65
E09000002,Barking and Dagenham,E01000095,424,43,20,62
E09000002,Barking and Dagenham,E01000096,473,59,49,58
E09000002,Barking and Dagenham,E01000097,613,33,14,48
E09000002,Barking and Dagenham,E01000098,486,54,22,63
E09000002,Barking and Dagenham,E01000099,569,23,18,56
E09000002,Barking and Dagenham,E01000100,535,28,17,35
E09000002,Barking and Dagenham,E01000101,476,41,16,34
E09000002,Barking and Dagenham,E01000102,547,31,13,34
E09000002,Barking and Dagenham,E01000103,503,39,12,46
E09000002,Barking and Dagenham,E01000104,607,38,22,72
E09000002,Barking and Dagenham,E01000105,801,38,25,51
E09000002,Barking and Dagenham,E01000106,801,33,16,66
E09000002,Barking and Dagenham,E01000107,519,27,14,41
E09000002,Barking and Dagenham,E01000108,547,37,14,54
E09000002,Barking and Dagenham,E01000110,416,45,15,25
E09000002,Barking and Dagenham,E01000111,621,44,14,53
E09000002,Barking and Dagenham,E01000112,573,73,19,74
E09000002,Barking and Dagenham,E01000113,492,64,18,59
E09000002,Barking and Dagenham,E01000114,608,62,28,60
E09000003,Barnet,E01000115,369,74,8,34
E09000003,Barnet,E01000116,517,61,14,31
E09000003,Barnet,E01000117,635,63,6,58
E09000003,Barnet,E01000118,560,75,13,61
E09000003,Barnet,E01000119,402,96,17,92
E09000003,Barnet,E01000120,363,83,16,43
E09000003,Barnet,E01000121,387,48,12,54
E09000003,Barnet,E01000122,382,66,7,67
E09000003,Barnet,E01000123,532,69,17,67
E09000003,Barnet,E01000124,456,77,15,112
E09000003,Barnet,E01000126,409,117,53,147
E09000003,Barnet,E01000127,322,75,28,89
E09000003,Barnet,E01000128,405,89,35,95
E09000003,Barnet,E01000129,361,74,35,154
E09000003,Barnet,E01000130,370,91,29,80
E09000003,Barnet,E01000131,366,98,27,143
E09000003,Barnet,E01000132,306,64,33,92
E09000003,Barnet,E01000133,392,66,29,78
E09000003,Barnet,E01000134,396,73,33,123
E09000003,Barnet,E01000135,352,96,6,87
E09000003,Barnet,E01000136,408,74,4,77
E09000003,Barnet,E01000137,393,86,44,146
E09000003,Barnet,E01000138,294,95,29,105
E09000003,Barnet,E01000139,367,88,13,92
E09000003,Barnet,E01000140,381,105,10,187
E09000003,Barnet,E01000141,470,108,38,248
E09000003,Barnet,E01000142,518,115,42,275
E09000003,Barnet,E01000143,348,65,22,103
E09000003,Barnet,E01000144,301,105,14,187
E09000003,Barnet,E01000145,276,87,16,65
E09000003,Barnet,E01000146,416,109,21,198
E09000003,Barnet,E01000147,282,132,18,112
E09000003,Barnet,E01000150,416,120,26,182
E09000003,Barnet,E01000151,319,84,68,146
E09000003,Barnet,E01000152,317,94,56,97
E09000003,Barnet,E01000153,430,62,28,100
E09000003,Barnet,E01000154,290,67,37,107
E09000003,Barnet,E01000156,554,102,10,85
E09000003,Barnet,E01000157,534,59,12,84
E09000003,Barnet,E01000158,515,84,16,103
E09000003,Barnet,E01000159,498,78,16,53
E09000003,Barnet,E01000160,681,95,19,128
E09000003,Barnet,E01000161,377,83,9,87
E09000003,Barnet,E01000162,376,81,18,77
E09000003,Barnet,E01000163,526,76,34,123
E09000003,Barnet,E01000164,435,90,28,95
