lad22cd,lad22nm,lsoa21cd,"All adults in household have English in England, or English or Welsh in Wales as a main language","At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language","No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language","No people in household have English in England, or English or Welsh in Wales as a main language"
E09000001,City of London,E01000001,-42,-5,3,2
E09000001,City of London,E01000002,-79,3,-2,71
E09000001,City of London,E01000003,130,18,4,51
E09000001,City of London,E01000005,-11,35,-6,-4
E09000002,Barking and Dagenham,E01000006,-1,2,16,-9
E09000002,Barking and Dagenham,E01000007,360,47,47,121
E09000002,Barking and Dagenham,E01000008,20,54,-22,-26
E09000002,Barking and Dagenham,E01000009,-31,-22,37,-20
E09000002,Barking and Dagenham,E01000011,29,-31,8,10
E09000002,Barking and Dagenham,E01000012,78,0,29,-24
E09000002,Barking and Dagenham,E01000013,-214,30,20,10
E09000002,Barking and Dagenham,E01000014,33,22,34,30
E09000002,Barking and Dagenham,E01000015,-72,30,33,5
E09000002,Barking and Dagenham,E01000016,-95,28,29,42
E09000002,Barking and Dagenham,E01000017,-69,25,18,15
E09000002,Barking and Dagenham,E01000018,-56,25,27,36
E09000002,Barking and Dagenham,E01000019,-59,23,19,15
E09000002,Barking and Dagenham,E01000020,-59,45,11,16
E09000002,Barking and Dagenham,E01000021,-59,23,21,22
E09000002,Barking and Dagenham,E01000022,-50,29,14,11
E09000002,Barking and Dagenham,E01000024,-48,28,14,6
E09000002,Barking and Dagenham,E01000025,5,16,25,17
E09000002,Barking and Dagenham,E01000027,-56,30,13,35
E09000002,Barking and Dagenham,E01000028,-62,46,3,22
E09000002,Barking and Dagenham,E01000029,-75,34,13,19
E09000002,Barking and Dagenham,E01000030,68,34,17,16
E09000002,Barking and Dagenham,E01000031,-58,43,5,9
E09000002,Barking and Dagenham,E01000032,-31,37,45,43
E09000002,Barking and Dagenham,E01000033,-9,7,13,8
E09000002,Barking and Dagenham,E01000034,-41,22,7,9
E09000002,Barking and Dagenham,E01000035,-53,30,20,30
E09000002,Barking and Dagenham,E01000036,-59,20,6,34
E09000002,Barking and Dagenham,E01000037,-50,29,7,23
E09000002,Barking and Dagenham,E01000038,-56,20,12,24
E09000002,Barking and Dagenham,E01000039,-78,14,11,37
E09000002,Barking and Dagenham,E01000040,-76,42,14,36
E09000002,Barking and Dagenham,E01000041,-71,46,17,1
E09000002,Barking and Dagenham,E01000042,-49,23,6,-4
E09000002,Barking and Dagenham,E01000043,-17,36,-4,-5
E09000002,Barking and Dagenham,E01000044,-19,45,11,-4
E09000002,Barking and Dagenham,E01000045,-64,22,6,11
E09000002,Barking and Dagenham,E01000046,-57,39,17,8
E09000002,Barking and Dagenham,E01000049,-67,48,-19,-30
E09000002,Barking and Dagenham,E01000050,-27,11,15,18
E09000002,Barking and Dagenham,E01000051,-137,-63,-53,-40
E09000002,Barking and Dagenham,E01000052,-54,35,42,2
E09000002,Barking and Dagenham,E01000053,-28,3,17,14
E09000002,Barking and Dagenham,E01000054,-67,25,23,20
