lad22cd,lad22nm,lsoa21cd,category,count_21,count_11,change
E09000001,City of London,E01000001,All household members have the same ethnic group,293,276,17
E09000001,City of London,E01000001,Any other combination of multiple ethnic identities,29,26,3
E09000001,City of London,E01000001,Ethnic groups differ between generations but not within partnerships,7,12,-5
E09000001,City of London,E01000001,Ethnic groups differ within partnerships,139,109,30
E09000001,City of London,E01000001,One-person household,371,453,-82
E09000001,City of London,E01000002,All household members have the same ethnic group,275,264,11
E09000001,City of London,E01000002,Any other combination of multiple ethnic identities,20,20,0
E09000001,City of London,E01000002,Ethnic groups differ between generations but not within partnerships,11,16,-5
E09000001,City of London,E01000002,Ethnic groups differ within partnerships,106,112,-6
E09000001,City of London,E01000002,One-person household,411,418,-7
E09000001,City of London,E01000003,All household members have the same ethnic group,258,201,57
E09000001,City of London,E01000003,Any other combination of multiple ethnic identities,35,18,17
E09000001,City of London,E01000003,Ethnic groups differ between generations but not within partnerships,20,22,-2
E09000001,City of London,E01000003,Ethnic groups differ within partnerships,119,69,50
E09000001,City of London,E01000003,One-person household,582,507,75
E09000001,City of London,E01000005,All household members have the same ethnic group,162,146,16
E09000001,City of London,E01000005,Any other combination of multiple ethnic identities,38,25,13
E09000001,City of London,E01000005,Ethnic groups differ between generations but not within partnerships,21,37,-16
E09000001,City of London,E01000005,Ethnic groups differ within partnerships,42,31,11
E09000001,City of London,E01000005,One-person household,218,228,-10
E09000002,Barking and Dagenham,E01000006,All household members have the same ethnic group,308,296,12
E09000002,Barking and Dagenham,E01000006,Any other combination of multiple ethnic identities,63,44,19
E09000002,Barking and Dagenham,E01000006,Ethnic groups differ between generations but not within partnerships,31,48,-17
E09000002,Barking and Dagenham,E01000006,Ethnic groups differ within partnerships,56,58,-2
E09000002,Barking and Dagenham,E01000006,One-person household,93,97,-4
E09000002,Barking and Dagenham,E01000007,All household members have the same ethnic group,558,210,348
E09000002,Barking and Dagenham,E01000007,Any other combination of multiple ethnic identities,48,43,5
E09000002,Barking and Dagenham,E01000007,Ethnic groups differ between generations but not within partnerships,60,46,14
E09000002,Barking and Dagenham,E01000007,Ethnic groups differ within partnerships,87,60,27
E09000002,Barking and Dagenham,E01000007,One-person household,437,253,184
E09000002,Barking and Dagenham,E01000008,All household members have the same ethnic group,295,253,42
E09000002,Barking and Dagenham,E01000008,Any other combination of multiple ethnic identities,36,54,-18
E09000002,Barking and Dagenham,E01000008,Ethnic groups differ between generations but not within partnerships,49,59,-10
E09000002,Barking and Dagenham,E01000008,Ethnic groups differ within partnerships,37,26,11
E09000002,Barking and Dagenham,E01000008,One-person household,133,129,4
E09000002,Barking and Dagenham,E01000009,All household members have the same ethnic group,333,291,42
E09000002,Barking and Dagenham,E01000009,Any other combination of multiple ethnic identities,40,76,-36
E09000002,Barking and Dagenham,E01000009,Ethnic groups differ between generations but not within partnerships,17,39,-22
E09000002,Barking and Dagenham,E01000009,Ethnic groups differ within partnerships,38,41,-3
E09000002,Barking and Dagenham,E01000009,One-person household,173,191,-18
E09000002,Barking and Dagenham,E01000011,All household members have the same ethnic group,295,262,33
E09000002,Barking and Dagenham,E01000011,Any other combination of multiple ethnic identities,45,69,-24
E09000002,Barking and Dagenham,E01000011,Ethnic groups differ between generations but not within partnerships,15,36,-21
E09000002,Barking and Dagenham,E01000011,Ethnic groups differ within partnerships,21,20,1
E09000002,Barking and Dagenham,E01000011,One-person household,96,70,26
E09000002,Barking and Dagenham,E01000012,All household members have the same ethnic group,427,364,63
E09000002,Barking and Dagenham,E01000012,Any other combination of multiple ethnic identities,91,56,35
E09000002,Barking and Dagenham,E01000012,Ethnic groups differ between generations but not within partnerships,53,65,-12
E09000002,Barking and Dagenham,E01000012,Ethnic groups differ within partnerships,51,48,3
E09000002,Barking and Dagenham,E01000012,One-person household,163,165,-2
E09000002,Barking and Dagenham,E01000013,All household members have the same ethnic group,390,469,-79
E09000002,Barking and Dagenham,E01000013,Any other combination of multiple ethnic identities,46,18,28
E09000002,Barking and Dagenham,E01000013,Ethnic groups differ between generations but not within partnerships,33,44,-11
E09000002,Barking and Dagenham,E01000013,Ethnic groups differ within partnerships,30,41,-11
E09000002,Barking and Dagenham,E01000013,One-person household,117,201,-84
E09000002,Barking and Dagenham,E01000014,All household members have the same ethnic group,384,302,82
E09000002,Barking and Dagenham,E01000014,Any other combination of multiple ethnic identities,31,12,19
E09000002,Barking and Dagenham,E01000014,Ethnic groups differ between generations but not within partnerships,33,28,5
E09000002,Barking and Dagenham,E01000014,Ethnic groups differ within partnerships,24,30,-6
E09000002,Barking and Dagenham,E01000014,One-person household,166,143,23
E09000002,Barking and Dagenham,E01000015,All household members have the same ethnic group,506,509,-3
E09000002,Barking and Dagenham,E01000015,Any other combination of multiple ethnic identities,38,18,20
E09000002,Barking and Dagenham,E01000015,Ethnic groups differ between generations but not within partnerships,52,76,-24
E09000002,Barking and Dagenham,E01000015,Ethnic groups differ within partnerships,53,38,15
E09000002,Barking and Dagenham,E01000015,One-person household,183,195,-12
E09000002,Barking and Dagenham,E01000016,All household members have the same ethnic group,390,380,10
E09000002,Barking and Dagenham,E01000016,Any other combination of multiple ethnic identities,42,15,27
E09000002,Barking and Dagenham,E01000016,Ethnic groups differ between generations but not within partnerships,36,32,4
E09000002,Barking and Dagenham,E01000016,Ethnic groups differ within partnerships,39,23,16
E09000002,Barking and Dagenham,E01000016,One-person household,122,176,-54
E09000002,Barking and Dagenham,E01000017,All household members have the same ethnic group,352,348,4
E09000002,Barking and Dagenham,E01000017,Any other combination of multiple ethnic identities,40,26,14
E09000002,Barking and Dagenham,E01000017,Ethnic groups differ between generations but not within partnerships,30,33,-3
E09000002,Barking and Dagenham,E01000017,Ethnic groups differ within partnerships,32,24,8
E09000002,Barking and Dagenham,E01000017,One-person household,146,178,-32
E09000002,Barking and Dagenham,E01000018,All household members have the same ethnic group,394,369,25
E09000002,Barking and Dagenham,E01000018,Any other combination of multiple ethnic identities,28,20,8
E09000002,Barking and Dagenham,E01000018,Ethnic groups differ between generations but not within partnerships,33,39,-6
E09000002,Barking and Dagenham,E01000018,Ethnic groups differ within partnerships,35,26,9
E09000002,Barking and Dagenham,E01000018,One-person household,155,158,-3
E09000002,Barking and Dagenham,E01000019,All household members have the same ethnic group,339,315,24
E09000002,Barking and Dagenham,E01000019,Any other combination of multiple ethnic identities,31,16,15
E09000002,Barking and Dagenham,E01000019,Ethnic groups differ between generations but not within partnerships,21,33,-12
E09000002,Barking and Dagenham,E01000019,Ethnic groups differ within partnerships,38,27,11
E09000002,Barking and Dagenham,E01000019,One-person household,73,113,-40
E09000002,Barking and Dagenham,E01000020,All household members have the same ethnic group,404,361,43
E09000002,Barking and Dagenham,E01000020,Any other combination of multiple ethnic identities,41,26,15
E09000002,Barking and Dagenham,E01000020,Ethnic groups differ between generations but not within partnerships,22,31,-9
E09000002,Barking and Dagenham,E01000020,Ethnic groups differ within partnerships,54,41,13
E09000002,Barking and Dagenham,E01000020,One-person household,146,191,-45
E09000002,Barking and Dagenham,E01000021,All household members have the same ethnic group,325,292,33
E09000002,Barking and Dagenham,E01000021,Any other combination of multiple ethnic identities,28,30,-2
E09000002,Barking and Dagenham,E01000021,Ethnic groups differ between generations but not within partnerships,26,49,-23
E09000002,Barking and Dagenham,E01000021,Ethnic groups differ within partnerships,51,33,18
E09000002,Barking and Dagenham,E01000021,One-person household,160,189,-29
E09000002,Barking and Dagenham,E01000022,All household members have the same ethnic group,306,281,25
E09000002,Barking and Dagenham,E01000022,Any other combination of multiple ethnic identities,27,19,8
E09000002,Barking and Dagenham,E01000022,Ethnic groups differ between generations but not within partnerships,27,38,-11
E09000002,Barking and Dagenham,E01000022,Ethnic groups differ within partnerships,28,33,-5
E09000002,Barking and Dagenham,E01000022,One-person household,92,103,-11
E09000002,Barking and Dagenham,E01000024,All household members have the same ethnic group,304,270,34
E09000002,Barking and Dagenham,E01000024,Any other combination of multiple ethnic identities,33,17,16
E09000002,Barking and Dagenham,E01000024,Ethnic groups differ between generations but not within partnerships,23,33,-10
E09000002,Barking and Dagenham,E01000024,Ethnic groups differ within partnerships,25,38,-13
E09000002,Barking and Dagenham,E01000024,One-person household,74,98,-24
E09000002,Barking and Dagenham,E01000025,All household members have the same ethnic group,354,381,-27
E09000002,Barking and Dagenham,E01000025,Any other combination of multiple ethnic identities,31,15,16
E09000002,Barking and Dagenham,E01000025,Ethnic groups differ between generations but not within partnerships,30,25,5
E09000002,Barking and Dagenham,E01000025,Ethnic groups differ within partnerships,49,49,0
E09000002,Barking and Dagenham,E01000025,One-person household,231,159,72
E09000002,Barking and Dagenham,E01000027,All household members have the same ethnic group,413,385,28
E09000002,Barking and Dagenham,E01000027,Any other combination of multiple ethnic identities,42,12,30
E09000002,Barking and Dagenham,E01000027,Ethnic groups differ between generations but not within partnerships,40,41,-1
E09000002,Barking and Dagenham,E01000027,Ethnic groups differ within partnerships,36,28,8
E09000002,Barking and Dagenham,E01000027,One-person household,133,175,-42
E09000002,Barking and Dagenham,E01000028,All household members have the same ethnic group,326,309,17
E09000002,Barking and Dagenham,E01000028,Any other combination of multiple ethnic identities,39,21,18
E09000002,Barking and Dagenham,E01000028,Ethnic groups differ between generations but not within partnerships,37,56,-19
E09000002,Barking and Dagenham,E01000028,Ethnic groups differ within partnerships,32,29,3
E09000002,Barking and Dagenham,E01000028,One-person household,190,197,-7
E09000002,Barking and Dagenham,E01000029,All household members have the same ethnic group,394,367,27
E09000002,Barking and Dagenham,E01000029,Any other combination of multiple ethnic identities,25,11,14
E09000002,Barking and Dagenham,E01000029,Ethnic groups differ between generations but not within partnerships,27,30,-3
E09000002,Barking and Dagenham,E01000029,Ethnic groups differ within partnerships,49,58,-9
E09000002,Barking and Dagenham,E01000029,One-person household,189,224,-35
E09000002,Barking and Dagenham,E01000030,All household members have the same ethnic group,508,414,94
E09000002,Barking and Dagenham,E01000030,Any other combination of multiple ethnic identities,54,20,34
E09000002,Barking and Dagenham,E01000030,Ethnic groups differ between generations but not within partnerships,69,74,-5
E09000002,Barking and Dagenham,E01000030,Ethnic groups differ within partnerships,58,44,14
E09000002,Barking and Dagenham,E01000030,One-person household,220,218,2
E09000002,Barking and Dagenham,E01000031,All household members have the same ethnic group,324,338,-14
E09000002,Barking and Dagenham,E01000031,Any other combination of multiple ethnic identities,40,19,21
E09000002,Barking and Dagenham,E01000031,Ethnic groups differ between generations but not within partnerships,27,42,-15
E09000002,Barking and Dagenham,E01000031,Ethnic groups differ within partnerships,46,40,6
E09000002,Barking and Dagenham,E01000031,One-person household,154,159,-5
E09000002,Barking and Dagenham,E01000032,All household members have the same ethnic group,416,360,56
E09000002,Barking and Dagenham,E01000032,Any other combination of multiple ethnic identities,51,21,30
E09000002,Barking and Dagenham,E01000032,Ethnic groups differ between generations but not within partnerships,30,35,-5
E09000002,Barking and Dagenham,E01000032,Ethnic groups differ within partnerships,51,34,17
