lad22cd,lad22nm,lsoa21cd,All household members have the same ethnic group,Any other combination of multiple ethnic identities,Ethnic groups differ between generations but not within partnerships,Ethnic groups differ within partnerships,One-person household
E09000001,City of London,E01000001,276,26,12,109,453
E09000001,City of London,E01000002,264,20,16,112,418
E09000001,City of London,E01000003,201,18,22,69,507
E09000001,City of London,E01000005,146,25,37,31,228
E09000002,Barking and Dagenham,E01000006,296,44,48,58,97
E09000002,Barking and Dagenham,E01000007,210,43,46,60,253
E09000002,Barking and Dagenham,E01000008,253,54,59,26,129
E09000002,Barking and Dagenham,E01000009,291,76,39,41,191
E09000002,Barking and Dagenham,E01000011,262,69,36,20,70
E09000002,Barking and Dagenham,E01000012,364,56,65,48,165
E09000002,Barking and Dagenham,E01000013,469,18,44,41,201
E09000002,Barking and Dagenham,E01000014,302,12,28,30,143
E09000002,Barking and Dagenham,E01000015,509,18,76,38,195
E09000002,Barking and Dagenham,E01000016,380,15,32,23,176
E09000002,Barking and Dagenham,E01000017,348,26,33,24,178
E09000002,Barking and Dagenham,E01000018,369,20,39,26,158
E09000002,Barking and Dagenham,E01000019,315,16,33,27,113
E09000002,Barking and Dagenham,E01000020,361,26,31,41,191
E09000002,Barking and Dagenham,E01000021,292,30,49,33,189
E09000002,Barking and Dagenham,E01000022,281,19,38,33,103
E09000002,Barking and Dagenham,E01000024,270,17,33,38,98
E09000002,Barking and Dagenham,E01000025,381,15,25,49,159
E09000002,Barking and Dagenham,E01000027,385,12,41,28,175
E09000002,Barking and Dagenham,E01000028,309,21,56,29,197
E09000002,Barking and Dagenham,E01000029,367,11,30,58,224
E09000002,Barking and Dagenham,E01000030,414,20,74,44,218
E09000002,Barking and Dagenham,E01000031,338,19,42,40,159
E09000002,Barking and Dagenham,E01000032,360,21,35,34,181
E09000002,Barking and Dagenham,E01000033,311,11,26,27,158
E09000002,Barking and Dagenham,E01000034,326,8,22,19,142
E09000002,Barking and Dagenham,E01000035,338,11,30,37,151
E09000002,Barking and Dagenham,E01000036,299,19,23,30,98
E09000002,Barking and Dagenham,E01000037,392,8,18,32,129
E09000002,Barking and Dagenham,E01000038,343,10,21,36,153
E09000002,Barking and Dagenham,E01000039,390,7,22,55,185
E09000002,Barking and Dagenham,E01000040,348,26,47,31,188
E09000002,Barking and Dagenham,E01000041,356,17,53,32,149
E09000002,Barking and Dagenham,E01000042,330,38,59,38,214
E09000002,Barking and Dagenham,E01000043,269,27,27,21,117
E09000002,Barking and Dagenham,E01000044,316,43,60,58,152
E09000002,Barking and Dagenham,E01000045,355,43,46,23,135
E09000002,Barking and Dagenham,E01000046,417,14,43,35,145
E09000002,Barking and Dagenham,E01000049,315,29,93,39,167
E09000002,Barking and Dagenham,E01000050,274,35,84,30,192
E09000002,Barking and Dagenham,E01000051,330,26,102,32,235
E09000002,Barking and Dagenham,E01000052,392,46,64,39,228
E09000002,Barking and Dagenham,E01000053,293,23,36,52,241
E09000002,Barking and Dagenham,E01000054,419,18,25,27,149
E09000002,Barking and Dagenham,E01000055,351,7,36,37,129
E09000002,Barking and Dagenham,E01000056,349,16,40,35,133
E09000002,Barking and Dagenham,E01000057,320,16,49,31,121
E09000002,Barking and Dagenham,E01000058,367,38,54,43,188
E09000002,Barking and Dagenham,E01000059,342,9,47,27,153
E09000002,Barking and Dagenham,E01000060,409,14,40,21,286
E09000002,Barking and Dagenham,E01000061,344,17,78,37,192
E09000002,Barking and Dagenham,E01000062,430,17,49,35,230
E09000002,Barking and Dagenham,E01000063,371,19,29,31,185
E09000002,Barking and Dagenham,E01000064,424,15,49,23,198
E09000002,Barking and Dagenham,E01000065,365,17,42,29,321
E09000002,Barking and Dagenham,E01000066,362,30,44,39,208
E09000002,Barking and Dagenham,E01000067,397,36,31,43,172
E09000002,Barking and Dagenham,E01000068,296,39,23,20,84
E09000002,Barking and Dagenham,E01000069,422,17,39,49,104
E09000002,Barking and Dagenham,E01000070,304,24,25,42,85
E09000002,Barking and Dagenham,E01000071,421,29,52,61,222
E09000002,Barking and Dagenham,E01000072,415,23,71,33,242
E09000002,Barking and Dagenham,E01000073,364,16,45,27,175
E09000002,Barking and Dagenham,E01000074,348,10,47,24,200
E09000002,Barking and Dagenham,E01000075,368,25,29,41,159
E09000002,Barking and Dagenham,E01000076,413,17,54,23,203
E09000002,Barking and Dagenham,E01000077,336,13,37,25,149
E09000002,Barking and Dagenham,E01000078,364,13,54,32,186
E09000002,Barking and Dagenham,E01000079,343,15,33,24,194
E09000002,Barking and Dagenham,E01000080,331,21,48,23,171
E09000002,Barking and Dagenham,E01000081,393,7,49,29,170
E09000002,Barking and Dagenham,E01000082,368,11,38,32,223
E09000002,Barking and Dagenham,E01000083,383,13,55,35,143
E09000002,Barking and Dagenham,E01000084,319,11,27,22,138
E09000002,Barking and Dagenham,E01000085,374,30,33,32,171
E09000002,Barking and Dagenham,E01000086,320,12,26,29,121
E09000002,Barking and Dagenham,E01000087,305,7,32,27,132
E09000002,Barking and Dagenham,E01000088,355,24,56,37,168
E09000002,Barking and Dagenham,E01000089,366,18,57,39,132
E09000002,Barking and Dagenham,E01000090,323,17,61,38,110
E09000002,Barking and Dagenham,E01000091,340,16,54,28,195
E09000002,Barking and Dagenham,E01000093,281,21,63,31,246
E09000002,Barking and Dagenham,E01000094,239,44,44,46,144
E09000002,Barking and Dagenham,E01000095,325,19,40,42,123
E09000002,Barking and Dagenham,E01000096,357,31,77,28,146
E09000002,Barking and Dagenham,E01000097,358,15,36,44,255
E09000002,Barking and Dagenham,E01000098,370,20,52,36,147
E09000002,Barking and Dagenham,E01000099,408,16,46,32,164
E09000002,Barking and Dagenham,E01000100,375,20,33,32,155
E09000002,Barking and Dagenham,E01000101,339,20,28,36,144
E09000002,Barking and Dagenham,E01000102,353,25,28,35,184
E09000002,Barking and Dagenham,E01000103,374,27,32,30,137
E09000002,Barking and Dagenham,E01000104,356,25,45,32,281
E09000002,Barking and Dagenham,E01000105,463,16,49,58,329
E09000002,Barking and Dagenham,E01000106,402,16,46,59,393
E09000002,Barking and Dagenham,E01000107,412,12,25,21,131
E09000002,Barking and Dagenham,E01000108,357,13,47,40,195
E09000002,Barking and Dagenham,E01000110,320,15,27,47,92
E09000002,Barking and Dagenham,E01000111,408,16,39,44,225
E09000002,Barking and Dagenham,E01000112,371,36,57,62,213
E09000002,Barking and Dagenham,E01000113,336,37,42,49,169
E09000002,Barking and Dagenham,E01000114,455,21,51,56,175
E09000003,Barnet,E01000115,318,14,28,55,70
E09000003,Barnet,E01000116,353,22,26,92,130
E09000003,Barnet,E01000117,411,14,41,81,215
E09000003,Barnet,E01000118,377,23,48,96,165
E09000003,Barnet,E01000119,343,24,36,81,123
E09000003,Barnet,E01000120,291,22,35,70,87
E09000003,Barnet,E01000121,274,10,64,30,123
E09000003,Barnet,E01000122,272,22,26,79,123
E09000003,Barnet,E01000123,317,22,35,96,215
E09000003,Barnet,E01000124,297,33,55,59,216
E09000003,Barnet,E01000126,386,30,71,66,173
E09000003,Barnet,E01000127,281,30,53,48,102
E09000003,Barnet,E01000128,363,21,62,58,120
E09000003,Barnet,E01000129,308,37,62,39,178
E09000003,Barnet,E01000130,321,25,53,47,124
E09000003,Barnet,E01000131,326,42,49,63,154
E09000003,Barnet,E01000132,303,17,43,38,94
E09000003,Barnet,E01000133,306,24,62,40,133
E09000003,Barnet,E01000134,306,26,54,55,184
E09000003,Barnet,E01000135,248,51,26,88,128
E09000003,Barnet,E01000136,266,51,36,68,142
E09000003,Barnet,E01000137,271,43,71,68,216
E09000003,Barnet,E01000138,239,41,37,57,149
