lad22cd,lad22nm,lsoa21cd,All household members have the same ethnic group,Any other combination of multiple ethnic identities,Ethnic groups differ between generations but not within partnerships,Ethnic groups differ within partnerships,One-person household
E09000001,City of London,E01000001,17,3,-5,30,-82
E09000001,City of London,E01000002,11,0,-5,-6,-7
E09000001,City of London,E01000003,57,17,-2,50,75
E09000001,City of London,E01000005,16,13,-16,11,-10
E09000002,Barking and Dagenham,E01000006,12,19,-17,-2,-4
E09000002,Barking and Dagenham,E01000007,348,5,14,27,184
E09000002,Barking and Dagenham,E01000008,42,-18,-10,11,4
E09000002,Barking and Dagenham,E01000009,42,-36,-22,-3,-18
E09000002,Barking and Dagenham,E01000011,33,-24,-21,1,26
E09000002,Barking and Dagenham,E01000012,63,35,-12,3,-2
E09000002,Barking and Dagenham,E01000013,-79,28,-11,-11,-84
E09000002,Barking and Dagenham,E01000014,82,19,5,-6,23
E09000002,Barking and Dagenham,E01000015,-3,20,-24,15,-12
E09000002,Barking and Dagenham,E01000016,10,27,4,16,-54
E09000002,Barking and Dagenham,E01000017,4,14,-3,8,-32
E09000002,Barking and Dagenham,E01000018,25,8,-6,9,-3
E09000002,Barking and Dagenham,E01000019,24,15,-12,11,-40
E09000002,Barking and Dagenham,E01000020,43,15,-9,13,-45
E09000002,Barking and Dagenham,E01000021,33,-2,-23,18,-29
E09000002,Barking and Dagenham,E01000022,25,8,-11,-5,-11
E09000002,Barking and Dagenham,E01000024,34,16,-10,-13,-24
E09000002,Barking and Dagenham,E01000025,-27,16,5,0,72
E09000002,Barking and Dagenham,E01000027,28,30,-1,8,-42
E09000002,Barking and Dagenham,E01000028,17,18,-19,3,-7
E09000002,Barking and Dagenham,E01000029,27,14,-3,-9,-35
E09000002,Barking and Dagenham,E01000030,94,34,-5,14,2
E09000002,Barking and Dagenham,E01000031,-14,21,-15,6,-5
E09000002,Barking and Dagenham,E01000032,56,30,-5,17,-4
E09000002,Barking and Dagenham,E01000033,24,11,-2,-6,-2
E09000002,Barking and Dagenham,E01000034,-24,25,4,8,-17
E09000002,Barking and Dagenham,E01000035,20,17,-3,-1,-6
E09000002,Barking and Dagenham,E01000036,-3,14,-4,-1,-4
E09000002,Barking and Dagenham,E01000037,-19,21,0,12,-1
E09000002,Barking and Dagenham,E01000038,16,21,-4,-2,-32
E09000002,Barking and Dagenham,E01000039,-8,15,1,-3,-21
E09000002,Barking and Dagenham,E01000040,50,12,-13,6,-34
E09000002,Barking and Dagenham,E01000041,30,29,-16,-3,-41
E09000002,Barking and Dagenham,E01000042,39,-11,-19,-7,-25
E09000002,Barking and Dagenham,E01000043,27,11,-11,-3,-15
E09000002,Barking and Dagenham,E01000044,9,12,-17,-14,42
E09000002,Barking and Dagenham,E01000045,6,-4,-21,19,-17
E09000002,Barking and Dagenham,E01000046,-4,35,-13,-8,-2
E09000002,Barking and Dagenham,E01000049,32,14,-49,-13,-51
E09000002,Barking and Dagenham,E01000050,69,10,-39,8,-36
E09000002,Barking and Dagenham,E01000051,-103,-7,-82,4,-107
E09000002,Barking and Dagenham,E01000052,77,19,-21,10,-61
E09000002,Barking and Dagenham,E01000053,34,-3,6,-24,-10
E09000002,Barking and Dagenham,E01000054,-6,16,18,-4,-25
E09000002,Barking and Dagenham,E01000055,31,26,-8,-5,-39
E09000002,Barking and Dagenham,E01000056,15,11,-12,-5,-20
E09000002,Barking and Dagenham,E01000057,11,16,-9,3,-26
E09000002,Barking and Dagenham,E01000058,84,14,-22,-3,-66
E09000002,Barking and Dagenham,E01000059,8,22,-17,6,-27
E09000002,Barking and Dagenham,E01000060,38,25,-10,26,-39
E09000002,Barking and Dagenham,E01000061,44,13,-43,-7,77
E09000002,Barking and Dagenham,E01000062,3,33,2,6,-43
E09000002,Barking and Dagenham,E01000063,22,17,-8,4,-43
