lad22cd,lad22nm,lsoa21cd,category,count_21,count_11,change
E09000001,City of London,E01000001,Buddhist,10,21,-11
E09000001,City of London,E01000001,Christian,512,637,-125
E09000001,City of London,E01000001,Hindu,39,40,-1
E09000001,City of London,E01000001,Jewish,29,46,-17
E09000001,City of London,E01000001,Muslim,32,18,14
E09000001,City of London,E01000001,No religion,711,567,144
E09000001,City of London,E01000001,Not stated,136,133,3
E09000001,City of London,E01000001,Other religion,5,3,2
E09000001,City of London,E01000001,Sikh,0,0,0
E09000001,City of London,E01000002,Buddhist,10,13,-3
E09000001,City of London,E01000002,Christian,469,649,-180
E09000001,City of London,E01000002,Hindu,21,21,0
E09000001,City of London,E01000002,Jewish,35,22,13
E09000001,City of London,E01000002,Muslim,27,5,22
E09000001,City of London,E01000002,No religion,680,580,100
E09000001,City of London,E01000002,Not stated,139,139,0
E09000001,City of London,E01000002,Other religion,5,6,-1
E09000001,City of London,E01000002,Sikh,0,1,-1
E09000001,City of London,E01000003,Buddhist,14,20,-6
E09000001,City of London,E01000003,Christian,549,595,-46
E09000001,City of London,E01000003,Hindu,18,29,-11
E09000001,City of London,E01000003,Jewish,44,32,12
E09000001,City of London,E01000003,Muslim,50,55,-5
E09000001,City of London,E01000003,No religion,776,466,310
E09000001,City of London,E01000003,Not stated,156,136,20
E09000001,City of London,E01000003,Other religion,6,6,0
E09000001,City of London,E01000003,Sikh,3,7,-4
E09000001,City of London,E01000005,Buddhist,7,11,-4
E09000001,City of London,E01000005,Christian,405,408,-3
E09000001,City of London,E01000005,Hindu,16,10,6
E09000001,City of London,E01000005,Jewish,12,40,-28
E09000001,City of London,E01000005,Muslim,341,273,68
E09000001,City of London,E01000005,No religion,244,175,69
E09000001,City of London,E01000005,Not stated,69,59,10
E09000001,City of London,E01000005,Other religion,6,5,1
E09000001,City of London,E01000005,Sikh,0,4,-4
E09000002,Barking and Dagenham,E01000006,Buddhist,12,1,11
E09000002,Barking and Dagenham,E01000006,Christian,686,618,68
E09000002,Barking and Dagenham,E01000006,Hindu,105,147,-42
E09000002,Barking and Dagenham,E01000006,Jewish,1,3,-2
E09000002,Barking and Dagenham,E01000006,Muslim,724,612,112
E09000002,Barking and Dagenham,E01000006,No religion,131,136,-5
E09000002,Barking and Dagenham,E01000006,Not stated,120,87,33
E09000002,Barking and Dagenham,E01000006,Other religion,2,7,-5
E09000002,Barking and Dagenham,E01000006,Sikh,66,92,-26
E09000002,Barking and Dagenham,E01000007,Buddhist,11,14,-3
E09000002,Barking and Dagenham,E01000007,Christian,1109,591,518
E09000002,Barking and Dagenham,E01000007,Hindu,120,111,9
E09000002,Barking and Dagenham,E01000007,Jewish,1,4,-3
E09000002,Barking and Dagenham,E01000007,Muslim,1099,391,708
E09000002,Barking and Dagenham,E01000007,No religion,365,162,203
E09000002,Barking and Dagenham,E01000007,Not stated,159,95,64
E09000002,Barking and Dagenham,E01000007,Other religion,17,8,9
E09000002,Barking and Dagenham,E01000007,Sikh,30,15,15
E09000002,Barking and Dagenham,E01000008,Buddhist,2,1,1
E09000002,Barking and Dagenham,E01000008,Christian,847,687,160
E09000002,Barking and Dagenham,E01000008,Hindu,36,36,0
