lad22cd,lad22nm,lsoa21cd,Buddhist,Christian,Hindu,Jewish,Muslim,No religion,Not stated,Other religion,Sikh
E09000001,City of London,E01000001,-11,-125,-1,-17,14,144,3,2,0
E09000001,City of London,E01000002,-3,-180,0,13,22,100,0,-1,-1
E09000001,City of London,E01000003,-6,-46,-11,12,-5,310,20,0,-4
E09000001,City of London,E01000005,-4,-3,6,-28,68,69,10,1,-4
E09000002,Barking and Dagenham,E01000006,11,68,-42,-2,112,-5,33,-5,-26
E09000002,Barking and Dagenham,E01000007,-3,518,9,-3,708,203,64,9,15
E09000002,Barking and Dagenham,E01000008,1,160,0,-1,96,-23,6,1,10
E09000002,Barking and Dagenham,E01000009,6,37,-93,1,44,58,13,5,-36
E09000002,Barking and Dagenham,E01000011,-7,140,-41,-4,27,-7,9,-4,-47
E09000002,Barking and Dagenham,E01000012,-6,90,7,-3,180,166,14,6,-10
E09000002,Barking and Dagenham,E01000013,-7,-273,3,2,119,68,-21,0,5
E09000002,Barking and Dagenham,E01000014,-14,73,19,0,222,86,10,8,2
E09000002,Barking and Dagenham,E01000015,3,-182,23,0,228,110,-1,-3,0
E09000002,Barking and Dagenham,E01000016,-2,60,15,-6,156,-10,-5,3,2
E09000002,Barking and Dagenham,E01000017,-4,-132,29,-1,200,17,9,5,13
E09000002,Barking and Dagenham,E01000018,0,-133,8,-4,195,110,12,-1,-5
E09000002,Barking and Dagenham,E01000019,5,-26,2,-3,223,-12,28,2,29
E09000002,Barking and Dagenham,E01000020,0,-110,20,-7,414,32,-27,2,33
E09000002,Barking and Dagenham,E01000021,-23,-147,20,0,272,-30,-2,-1,29
E09000002,Barking and Dagenham,E01000022,-6,-96,23,-5,239,-7,-4,4,17
E09000002,Barking and Dagenham,E01000024,-7,-91,13,2,155,49,-9,13,23
E09000002,Barking and Dagenham,E01000025,1,-43,19,-2,254,52,3,5,24
E09000002,Barking and Dagenham,E01000027,-5,-34,19,-5,190,180,13,8,10
E09000002,Barking and Dagenham,E01000028,0,-2,5,2,228,29,-13,8,9
E09000002,Barking and Dagenham,E01000029,9,-157,67,6,290,4,-26,0,24
E09000002,Barking and Dagenham,E01000030,4,115,5,1,308,187,18,0,7
E09000002,Barking and Dagenham,E01000031,-4,-185,16,-6,307,10,-12,2,28
E09000002,Barking and Dagenham,E01000032,1,-98,25,-4,380,63,24,11,51
E09000002,Barking and Dagenham,E01000033,2,-20,14,-2,113,94,-16,-2,-1
E09000002,Barking and Dagenham,E01000034,0,-122,15,-6,121,114,6,1,1
E09000002,Barking and Dagenham,E01000035,-14,-52,18,1,203,27,68,0,-5
E09000002,Barking and Dagenham,E01000036,0,-80,4,1,179,10,8,4,-9
E09000002,Barking and Dagenham,E01000037,9,-206,41,1,166,-23,-12,0,29
E09000002,Barking and Dagenham,E01000038,7,-149,44,-3,146,107,-14,2,31
E09000002,Barking and Dagenham,E01000039,-2,-134,25,-2,162,99,-28,-3,33
E09000002,Barking and Dagenham,E01000040,3,-92,28,2,312,52,-16,5,15
E09000002,Barking and Dagenham,E01000041,4,-81,14,-2,130,69,12,0,14
E09000002,Barking and Dagenham,E01000042,6,-62,10,-3,155,-14,-1,3,1
E09000002,Barking and Dagenham,E01000043,5,-140,-6,-2,238,67,-6,0,24
E09000002,Barking and Dagenham,E01000044,-4,-73,-17,-1,234,8,16,-2,24
E09000002,Barking and Dagenham,E01000045,5,-174,-21,-3,264,-20,14,8,2
E09000002,Barking and Dagenham,E01000046,3,-72,8,10,196,34,-11,0,9
E09000002,Barking and Dagenham,E01000049,0,-203,25,-1,304,21,-15,-1,20
E09000002,Barking and Dagenham,E01000050,7,33,-23,-2,140,3,-7,1,26
E09000002,Barking and Dagenham,E01000051,-4,-379,-17,2,-152,-152,-94,0,-24
E09000002,Barking and Dagenham,E01000052,16,-70,-4,2,339,93,-53,-3,35
E09000002,Barking and Dagenham,E01000053,2,-14,-1,-2,168,4,-24,-4,4
