lsoa21cd,category,count_21,count_11,change
E01000001,10km to less than 20km,11,23,-12
E01000001,20km to less than 30km,1,3,-2
E01000001,2km to less than 5km,53,152,-99
E01000001,30km to less than 40km,2,7,-5
E01000001,40km to less than 60km,3,3,0
E01000001,5km to less than 10km,34,83,-49
E01000001,60km and over,3,10,-7
E01000001,Less than 2km,84,452,-368
E01000001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",33,48,-15
E01000001,Works mainly from home,639,145,494
E01000002,10km to less than 20km,6,21,-15
E01000002,20km to less than 30km,2,6,-4
E01000002,2km to less than 5km,40,187,-147
E01000002,30km to less than 40km,4,3,1
E01000002,40km to less than 60km,3,2,1
E01000002,5km to less than 10km,21,78,-57
E01000002,60km and over,2,15,-13
E01000002,Less than 2km,78,392,-314
E01000002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",48,57,-9
E01000002,Works mainly from home,678,149,529
E01000003,10km to less than 20km,22,25,-3
E01000003,20km to less than 30km,3,5,-2
E01000003,2km to less than 5km,80,175,-95
E01000003,30km to less than 40km,0,1,-1
E01000003,40km to less than 60km,0,0,0
E01000003,5km to less than 10km,60,57,3
E01000003,60km and over,7,17,-10
E01000003,Less than 2km,145,349,-204
E01000003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",67,56,11
E01000003,Works mainly from home,622,79,543
E01000005,10km to less than 20km,27,33,-6
E01000005,20km to less than 30km,4,3,1
E01000005,2km to less than 5km,78,135,-57
E01000005,30km to less than 40km,0,6,-6
E01000005,40km to less than 60km,2,4,-2
E01000005,5km to less than 10km,45,57,-12
E01000005,60km and over,2,8,-6
E01000005,Less than 2km,95,152,-57
E01000005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",47,43,4
E01000005,Works mainly from home,204,35,169
E01000006,10km to less than 20km,160,229,-69
E01000006,20km to less than 30km,42,29,13
E01000006,2km to less than 5km,89,86,3
E01000006,30km to less than 40km,10,10,0
E01000006,40km to less than 60km,5,8,-3
E01000006,5km to less than 10km,108,121,-13
E01000006,60km and over,12,18,-6
E01000006,Less than 2km,61,90,-29
E01000006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",205,129,76
E01000006,Works mainly from home,191,61,130
E01000007,10km to less than 20km,330,157,173
E01000007,20km to less than 30km,55,32,23
E01000007,2km to less than 5km,114,77,37
E01000007,30km to less than 40km,14,9,5
E01000007,40km to less than 60km,24,12,12
E01000007,5km to less than 10km,201,112,89
E01000007,60km and over,9,18,-9
E01000007,Less than 2km,78,71,7
E01000007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",184,91,93
E01000007,Works mainly from home,367,28,339
E01000008,10km to less than 20km,142,144,-2
E01000008,20km to less than 30km,22,28,-6
E01000008,2km to less than 5km,62,56,6
E01000008,30km to less than 40km,3,5,-2
E01000008,40km to less than 60km,3,8,-5
E01000008,5km to less than 10km,114,125,-11
E01000008,60km and over,9,9,0
E01000008,Less than 2km,48,61,-13
E01000008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",165,81,84
E01000008,Works mainly from home,80,28,52
E01000009,10km to less than 20km,153,243,-90
E01000009,20km to less than 30km,39,41,-2
E01000009,2km to less than 5km,71,94,-23
E01000009,30km to less than 40km,15,15,0
E01000009,40km to less than 60km,8,11,-3
E01000009,5km to less than 10km,88,131,-43
E01000009,60km and over,11,9,2
E01000009,Less than 2km,57,69,-12
E01000009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",184,110,74
E01000009,Works mainly from home,159,46,113
E01000011,10km to less than 20km,127,184,-57
E01000011,20km to less than 30km,23,30,-7
E01000011,2km to less than 5km,76,84,-8
E01000011,30km to less than 40km,9,6,3
E01000011,40km to less than 60km,4,11,-7
E01000011,5km to less than 10km,106,135,-29
E01000011,60km and over,7,9,-2
E01000011,Less than 2km,46,76,-30
E01000011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",203,106,97
E01000011,Works mainly from home,137,50,87
E01000012,10km to less than 20km,154,240,-86
E01000012,20km to less than 30km,31,30,1
E01000012,2km to less than 5km,79,88,-9
E01000012,30km to less than 40km,5,10,-5
E01000012,40km to less than 60km,3,2,1
E01000012,5km to less than 10km,142,118,24
E01000012,60km and over,12,21,-9
E01000012,Less than 2km,68,78,-10
E01000012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",230,133,97
E01000012,Works mainly from home,186,49,137
E01000013,10km to less than 20km,141,165,-24
E01000013,20km to less than 30km,57,72,-15
E01000013,2km to less than 5km,97,162,-65
E01000013,30km to less than 40km,11,12,-1
E01000013,40km to less than 60km,6,6,0
E01000013,5km to less than 10km,76,100,-24
E01000013,60km and over,8,17,-9
E01000013,Less than 2km,76,99,-23
E01000013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",199,118,81
E01000013,Works mainly from home,126,49,77
E01000014,10km to less than 20km,135,136,-1
E01000014,20km to less than 30km,38,39,-1
E01000014,2km to less than 5km,105,97,8
E01000014,30km to less than 40km,8,9,-1
E01000014,40km to less than 60km,4,4,0
E01000014,5km to less than 10km,84,76,8
E01000014,60km and over,11,8,3
E01000014,Less than 2km,69,68,1
E01000014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",195,97,98
E01000014,Works mainly from home,146,31,115
E01000015,10km to less than 20km,172,229,-57
E01000015,20km to less than 30km,73,85,-12
E01000015,2km to less than 5km,140,134,6
E01000015,30km to less than 40km,16,13,3
E01000015,40km to less than 60km,3,10,-7
E01000015,5km to less than 10km,106,130,-24
E01000015,60km and over,11,9,2
E01000015,Less than 2km,78,106,-28
E01000015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",263,122,141
E01000015,Works mainly from home,202,47,155
E01000016,10km to less than 20km,157,156,1
E01000016,20km to less than 30km,52,51,1
E01000016,2km to less than 5km,137,130,7
E01000016,30km to less than 40km,8,11,-3
E01000016,40km to less than 60km,8,5,3
E01000016,5km to less than 10km,80,107,-27
E01000016,60km and over,7,7,0
E01000016,Less than 2km,68,87,-19
E01000016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",190,84,106
E01000016,Works mainly from home,149,40,109
E01000017,10km to less than 20km,136,157,-21
E01000017,20km to less than 30km,44,56,-12
E01000017,2km to less than 5km,121,133,-12
E01000017,30km to less than 40km,9,10,-1
E01000017,40km to less than 60km,4,9,-5
E01000017,5km to less than 10km,60,70,-10
E01000017,60km and over,13,4,9
E01000017,Less than 2km,55,65,-10
E01000017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",168,103,65
E01000017,Works mainly from home,136,35,101
E01000018,10km to less than 20km,167,146,21
E01000018,20km to less than 30km,66,58,8
E01000018,2km to less than 5km,115,120,-5
E01000018,30km to less than 40km,4,18,-14
E01000018,40km to less than 60km,3,8,-5
E01000018,5km to less than 10km,61,84,-23
E01000018,60km and over,7,16,-9
E01000018,Less than 2km,63,91,-28
E01000018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",204,73,131
E01000018,Works mainly from home,142,30,112
E01000019,10km to less than 20km,75,145,-70
E01000019,20km to less than 30km,35,29,6
E01000019,2km to less than 5km,120,116,4
E01000019,30km to less than 40km,6,12,-6
E01000019,40km to less than 60km,4,4,0
E01000019,5km to less than 10km,87,65,22
E01000019,60km and over,8,2,6
E01000019,Less than 2km,54,65,-11
E01000019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",171,68,103
E01000019,Works mainly from home,130,52,78
E01000020,10km to less than 20km,143,194,-51
E01000020,20km to less than 30km,43,29,14
E01000020,2km to less than 5km,167,152,15
E01000020,30km to less than 40km,8,12,-4
E01000020,40km to less than 60km,4,3,1
E01000020,5km to less than 10km,77,108,-31
E01000020,60km and over,10,12,-2
E01000020,Less than 2km,48,76,-28
E01000020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",212,94,118
E01000020,Works mainly from home,182,32,150
E01000021,10km to less than 20km,100,141,-41
E01000021,20km to less than 30km,24,31,-7
E01000021,2km to less than 5km,110,141,-31
E01000021,30km to less than 40km,7,6,1
E01000021,40km to less than 60km,3,8,-5
E01000021,5km to less than 10km,83,86,-3
E01000021,60km and over,9,12,-3
E01000021,Less than 2km,53,50,3
E01000021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",179,98,81
E01000021,Works mainly from home,116,41,75
E01000022,10km to less than 20km,86,132,-46
E01000022,20km to less than 30km,30,26,4
E01000022,2km to less than 5km,106,131,-25
E01000022,30km to less than 40km,7,4,3
E01000022,40km to less than 60km,3,3,0
E01000022,5km to less than 10km,63,66,-3
E01000022,60km and over,6,7,-1
E01000022,Less than 2km,52,53,-1
E01000022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",148,84,64
E01000022,Works mainly from home,137,26,111
E01000024,10km to less than 20km,109,140,-31
E01000024,20km to less than 30km,22,26,-4
E01000024,2km to less than 5km,118,111,7
E01000024,30km to less than 40km,6,7,-1
E01000024,40km to less than 60km,4,8,-4
E01000024,5km to less than 10km,83,90,-7
E01000024,60km and over,5,10,-5
E01000024,Less than 2km,31,42,-11
E01000024,"Works mainly at an offshore installation, in no fixed place, or outside the UK",145,69,76
E01000024,Works mainly from home,106,31,75
E01000025,10km to less than 20km,156,171,-15
E01000025,20km to less than 30km,42,27,15
E01000025,2km to less than 5km,125,140,-15
E01000025,30km to less than 40km,5,8,-3
E01000025,40km to less than 60km,3,11,-8
E01000025,5km to less than 10km,105,118,-13
E01000025,60km and over,9,31,-22
E01000025,Less than 2km,42,50,-8
E01000025,"Works mainly at an offshore installation, in no fixed place, or outside the UK",175,77,98
E01000025,Works mainly from home,176,45,131
