lsoa21cd,category,count_21,count_11,change
E01000001,Full-time: 31 to 48 hours worked,435,424,11
E01000001,Full-time: 49 or more hours worked,264,360,-96
E01000001,Part-time: 15 hours or less worked,85,55,30
E01000001,Part-time: 16 to 30 hours worked,80,87,-7
E01000002,Full-time: 31 to 48 hours worked,431,443,-12
E01000002,Full-time: 49 or more hours worked,318,325,-7
E01000002,Part-time: 15 hours or less worked,52,62,-10
E01000002,Part-time: 16 to 30 hours worked,79,80,-1
E01000003,Full-time: 31 to 48 hours worked,544,414,130
E01000003,Full-time: 49 or more hours worked,246,207,39
E01000003,Part-time: 15 hours or less worked,80,39,41
E01000003,Part-time: 16 to 30 hours worked,130,104,26
E01000005,Full-time: 31 to 48 hours worked,304,271,33
E01000005,Full-time: 49 or more hours worked,65,91,-26
E01000005,Part-time: 15 hours or less worked,57,38,19
E01000005,Part-time: 16 to 30 hours worked,76,76,0
E01000006,Full-time: 31 to 48 hours worked,483,448,35
E01000006,Full-time: 49 or more hours worked,80,90,-10
E01000006,Part-time: 15 hours or less worked,117,73,44
E01000006,Part-time: 16 to 30 hours worked,205,170,35
E01000007,Full-time: 31 to 48 hours worked,868,384,484
E01000007,Full-time: 49 or more hours worked,120,49,71
E01000007,Part-time: 15 hours or less worked,137,49,88
E01000007,Part-time: 16 to 30 hours worked,259,125,134
E01000008,Full-time: 31 to 48 hours worked,339,292,47
E01000008,Full-time: 49 or more hours worked,41,43,-2
E01000008,Part-time: 15 hours or less worked,110,60,50
E01000008,Part-time: 16 to 30 hours worked,155,150,5
E01000009,Full-time: 31 to 48 hours worked,460,478,-18
E01000009,Full-time: 49 or more hours worked,73,64,9
E01000009,Part-time: 15 hours or less worked,98,78,20
E01000009,Part-time: 16 to 30 hours worked,152,149,3
E01000011,Full-time: 31 to 48 hours worked,357,377,-20
E01000011,Full-time: 49 or more hours worked,88,47,41
E01000011,Part-time: 15 hours or less worked,104,89,15
E01000011,Part-time: 16 to 30 hours worked,187,178,9
E01000012,Full-time: 31 to 48 hours worked,491,438,53
E01000012,Full-time: 49 or more hours worked,72,85,-13
E01000012,Part-time: 15 hours or less worked,108,66,42
E01000012,Part-time: 16 to 30 hours worked,231,180,51
E01000013,Full-time: 31 to 48 hours worked,482,481,1
E01000013,Full-time: 49 or more hours worked,67,78,-11
E01000013,Part-time: 15 hours or less worked,80,77,3
E01000013,Part-time: 16 to 30 hours worked,175,164,11
E01000014,Full-time: 31 to 48 hours worked,466,352,114
E01000014,Full-time: 49 or more hours worked,71,57,14
E01000014,Part-time: 15 hours or less worked,85,52,33
E01000014,Part-time: 16 to 30 hours worked,171,104,67
E01000015,Full-time: 31 to 48 hours worked,624,544,80
E01000015,Full-time: 49 or more hours worked,88,80,8
E01000015,Part-time: 15 hours or less worked,105,76,29
E01000015,Part-time: 16 to 30 hours worked,246,185,61
E01000016,Full-time: 31 to 48 hours worked,538,412,126
E01000016,Full-time: 49 or more hours worked,76,55,21
E01000016,Part-time: 15 hours or less worked,88,62,26
E01000016,Part-time: 16 to 30 hours worked,164,149,15
E01000017,Full-time: 31 to 48 hours worked,457,414,43
E01000017,Full-time: 49 or more hours worked,72,57,15
E01000017,Part-time: 15 hours or less worked,80,44,36
E01000017,Part-time: 16 to 30 hours worked,144,127,17
E01000018,Full-time: 31 to 48 hours worked,486,399,87
E01000018,Full-time: 49 or more hours worked,83,50,33
E01000018,Part-time: 15 hours or less worked,77,55,22
E01000018,Part-time: 16 to 30 hours worked,188,140,48
E01000019,Full-time: 31 to 48 hours worked,361,337,24
E01000019,Full-time: 49 or more hours worked,64,51,13
E01000019,Part-time: 15 hours or less worked,80,57,23
E01000019,Part-time: 16 to 30 hours worked,183,113,70
E01000020,Full-time: 31 to 48 hours worked,514,471,43
E01000020,Full-time: 49 or more hours worked,70,55,15
E01000020,Part-time: 15 hours or less worked,122,68,54
E01000020,Part-time: 16 to 30 hours worked,187,118,69
E01000021,Full-time: 31 to 48 hours worked,382,398,-16
E01000021,Full-time: 49 or more hours worked,51,42,9
E01000021,Part-time: 15 hours or less worked,92,53,39
E01000021,Part-time: 16 to 30 hours worked,159,121,38
E01000022,Full-time: 31 to 48 hours worked,341,315,26
