lsoa21cd,category,count_21,count_11,change
E01000001,Bicycle,24,47,-23
E01000001,"Bus, minibus or coach",12,33,-21
E01000001,Driving a car or van,18,28,-10
E01000001,"Motorcycle, scooter or moped",3,5,-2
E01000001,Not in employment or aged 15 years and under,610,295,315
E01000001,On foot,109,445,-336
E01000001,Other method of travel to work,3,14,-11
E01000001,Passenger in a car or van,0,4,-4
E01000001,Taxi,3,10,-7
E01000001,Train,17,37,-20
E01000001,"Underground, metro, light rail, tram",35,190,-155
E01000001,Work mainly at or from home,639,113,526
E01000002,Bicycle,25,57,-32
E01000002,"Bus, minibus or coach",15,22,-7
E01000002,Driving a car or van,19,26,-7
E01000002,"Motorcycle, scooter or moped",1,7,-6
E01000002,Not in employment or aged 15 years and under,506,286,220
E01000002,On foot,93,428,-335
E01000002,Other method of travel to work,5,14,-9
E01000002,Passenger in a car or van,3,1,2
E01000002,Taxi,2,14,-12
E01000002,Train,12,42,-30
E01000002,"Underground, metro, light rail, tram",30,201,-171
E01000002,Work mainly at or from home,678,98,580
E01000003,Bicycle,62,70,-8
E01000003,"Bus, minibus or coach",26,70,-44
E01000003,Driving a car or van,27,30,-3
E01000003,"Motorcycle, scooter or moped",4,4,0
E01000003,Not in employment or aged 15 years and under,613,338,275
E01000003,On foot,146,325,-179
E01000003,Other method of travel to work,16,9,7
E01000003,Passenger in a car or van,7,1,6
E01000003,Taxi,4,2,2
E01000003,Train,21,40,-19
E01000003,"Underground, metro, light rail, tram",72,156,-84
E01000003,Work mainly at or from home,622,57,565
E01000005,Bicycle,20,34,-14
E01000005,"Bus, minibus or coach",45,76,-31
E01000005,Driving a car or van,32,28,4
E01000005,"Motorcycle, scooter or moped",2,1,1
E01000005,Not in employment or aged 15 years and under,602,297,305
E01000005,On foot,90,159,-69
E01000005,Other method of travel to work,8,3,5
E01000005,Passenger in a car or van,1,2,-1
E01000005,Taxi,2,1,1
E01000005,Train,25,44,-19
E01000005,"Underground, metro, light rail, tram",69,109,-40
E01000005,Work mainly at or from home,204,19,185
E01000006,Bicycle,6,7,-1
E01000006,"Bus, minibus or coach",60,61,-1
E01000006,Driving a car or van,226,230,-4
E01000006,"Motorcycle, scooter or moped",6,1,5
E01000006,Not in employment or aged 15 years and under,956,470,486
E01000006,On foot,61,60,1
E01000006,Other method of travel to work,17,3,14
E01000006,Passenger in a car or van,10,12,-2
E01000006,Taxi,1,3,-2
E01000006,Train,104,110,-6
