lsoa21cd,category,count_21,count_11,change
E01000001,"L1, L2 and L3: Higher managerial, administrative and professional occupations",620,530,90
E01000001,L10 and L11: Lower supervisory and technical occupations,11,12,-1
E01000001,L12: Semi-routine occupations,31,25,6
E01000001,L13: Routine occupations,16,8,8
E01000001,L14.1 and L14.2: Never worked and long-term unemployed,37,21,16
E01000001,L15: Full-time students,84,55,29
E01000001,"L4, L5 and L6: Lower managerial, administrative and professional occupations",367,429,-62
E01000001,L7: Intermediate occupations,72,73,-1
E01000001,L8 and L9: Small employers and own account workers,118,68,50
E01000002,"L1, L2 and L3: Higher managerial, administrative and professional occupations",631,518,113
E01000002,L10 and L11: Lower supervisory and technical occupations,6,15,-9
E01000002,L12: Semi-routine occupations,17,23,-6
E01000002,L13: Routine occupations,10,9,1
E01000002,L14.1 and L14.2: Never worked and long-term unemployed,42,11,31
E01000002,L15: Full-time students,88,60,28
E01000002,"L4, L5 and L6: Lower managerial, administrative and professional occupations",358,392,-34
E01000002,L7: Intermediate occupations,55,83,-28
E01000002,L8 and L9: Small employers and own account workers,95,85,10
E01000003,"L1, L2 and L3: Higher managerial, administrative and professional occupations",503,278,225
E01000003,L10 and L11: Lower supervisory and technical occupations,33,38,-5
E01000003,L12: Semi-routine occupations,70,68,2
E01000003,L13: Routine occupations,70,49,21
E01000003,L14.1 and L14.2: Never worked and long-term unemployed,72,51,21
E01000003,L15: Full-time students,67,129,-62
E01000003,"L4, L5 and L6: Lower managerial, administrative and professional occupations",426,322,104
E01000003,L7: Intermediate occupations,131,101,30
E01000003,L8 and L9: Small employers and own account workers,128,66,62
E01000005,"L1, L2 and L3: Higher managerial, administrative and professional occupations",143,89,54
E01000005,L10 and L11: Lower supervisory and technical occupations,42,54,-12
E01000005,L12: Semi-routine occupations,102,100,2
E01000005,L13: Routine occupations,103,66,37
E01000005,L14.1 and L14.2: Never worked and long-term unemployed,152,96,56
E01000005,L15: Full-time students,163,82,81
E01000005,"L4, L5 and L6: Lower managerial, administrative and professional occupations",141,172,-31
E01000005,L7: Intermediate occupations,61,71,-10
E01000005,L8 and L9: Small employers and own account workers,56,43,13
E01000006,"L1, L2 and L3: Higher managerial, administrative and professional occupations",118,109,9
E01000006,L10 and L11: Lower supervisory and technical occupations,68,63,5
E01000006,L12: Semi-routine occupations,164,153,11
E01000006,L13: Routine occupations,164,97,67
E01000006,L14.1 and L14.2: Never worked and long-term unemployed,183,163,20
E01000006,L15: Full-time students,156,167,-11
E01000006,"L4, L5 and L6: Lower managerial, administrative and professional occupations",210,218,-8
E01000006,L7: Intermediate occupations,125,117,8
E01000006,L8 and L9: Small employers and own account workers,237,164,73
E01000007,"L1, L2 and L3: Higher managerial, administrative and professional occupations",246,71,175
E01000007,L10 and L11: Lower supervisory and technical occupations,74,57,17
E01000007,L12: Semi-routine occupations,247,148,99
E01000007,L13: Routine occupations,221,83,138
E01000007,L14.1 and L14.2: Never worked and long-term unemployed,310,141,169
E01000007,L15: Full-time students,292,196,96
E01000007,"L4, L5 and L6: Lower managerial, administrative and professional occupations",372,159,213
E01000007,L7: Intermediate occupations,192,94,98
E01000007,L8 and L9: Small employers and own account workers,216,85,131
E01000008,"L1, L2 and L3: Higher managerial, administrative and professional occupations",63,41,22
E01000008,L10 and L11: Lower supervisory and technical occupations,59,56,3
E01000008,L12: Semi-routine occupations,157,159,-2
E01000008,L13: Routine occupations,180,116,64
E01000008,L14.1 and L14.2: Never worked and long-term unemployed,203,193,10
E01000008,L15: Full-time students,218,196,22
