lsoa21cd,category,count_21,count_11,change
E01000001,"1. Managers, directors and senior officials",194,167,27
E01000001,2. Professional occupations,406,404,2
E01000001,3. Associate professional and technical occupations,184,38,146
E01000001,4. Administrative and secretarial occupations,39,53,-14
E01000001,5. Skilled trades occupations,5,14,-9
E01000001,"6. Caring, leisure and other service occupations",19,17,2
E01000001,7. Sales and customer service occupations,11,6,5
E01000001,"8. Process, plant and machine operatives",6,2,4
E01000001,9. Elementary occupations,4,12,-8
E01000002,"1. Managers, directors and senior officials",218,171,47
E01000002,2. Professional occupations,414,374,40
E01000002,3. Associate professional and technical occupations,187,52,135
E01000002,4. Administrative and secretarial occupations,35,61,-26
E01000002,5. Skilled trades occupations,3,12,-9
E01000002,"6. Caring, leisure and other service occupations",5,8,-3
E01000002,7. Sales and customer service occupations,3,18,-15
E01000002,"8. Process, plant and machine operatives",3,3,0
E01000002,9. Elementary occupations,7,13,-6
E01000003,"1. Managers, directors and senior officials",191,89,102
E01000003,2. Professional occupations,388,246,142
E01000003,3. Associate professional and technical occupations,217,57,160
E01000003,4. Administrative and secretarial occupations,72,67,5
E01000003,5. Skilled trades occupations,28,16,12
E01000003,"6. Caring, leisure and other service occupations",27,36,-9
E01000003,7. Sales and customer service occupations,26,29,-3
E01000003,"8. Process, plant and machine operatives",11,11,0
E01000003,9. Elementary occupations,42,45,-3
E01000005,"1. Managers, directors and senior officials",52,49,3
E01000005,2. Professional occupations,129,77,52
E01000005,3. Associate professional and technical occupations,61,25,36
E01000005,4. Administrative and secretarial occupations,43,64,-21
E01000005,5. Skilled trades occupations,21,31,-10
E01000005,"6. Caring, leisure and other service occupations",52,33,19
E01000005,7. Sales and customer service occupations,34,33,1
E01000005,"8. Process, plant and machine operatives",16,26,-10
E01000005,9. Elementary occupations,86,69,17
E01000006,"1. Managers, directors and senior officials",76,60,16
E01000006,2. Professional occupations,126,139,-13
E01000006,3. Associate professional and technical occupations,97,45,52
E01000006,4. Administrative and secretarial occupations,68,81,-13
E01000006,5. Skilled trades occupations,107,99,8
E01000006,"6. Caring, leisure and other service occupations",82,73,9
E01000006,7. Sales and customer service occupations,68,70,-2
E01000006,"8. Process, plant and machine operatives",101,73,28
E01000006,9. Elementary occupations,161,104,57
E01000007,"1. Managers, directors and senior officials",129,53,76
E01000007,2. Professional occupations,290,98,192
E01000007,3. Associate professional and technical occupations,160,37,123
E01000007,4. Administrative and secretarial occupations,141,67,74
E01000007,5. Skilled trades occupations,81,57,24
E01000007,"6. Caring, leisure and other service occupations",167,54,113
E01000007,7. Sales and customer service occupations,121,71,50
E01000007,"8. Process, plant and machine operatives",84,42,42
E01000007,9. Elementary occupations,205,92,113
E01000008,"1. Managers, directors and senior officials",36,30,6
E01000008,2. Professional occupations,71,62,9
E01000008,3. Associate professional and technical occupations,62,14,48
E01000008,4. Administrative and secretarial occupations,48,41,7
E01000008,5. Skilled trades occupations,64,52,12
E01000008,"6. Caring, leisure and other service occupations",100,61,39
E01000008,7. Sales and customer service occupations,59,70,-11
E01000008,"8. Process, plant and machine operatives",66,48,18
