lad22cd,lad22nm,lsoa21cd,category,count_21,count_11,change
E09000001,City of London,E01000001,Electric (including storage heaters) central heating,342,572,-230
E09000001,City of London,E01000001,Gas central heating,113,82,31
E09000001,City of London,E01000001,No central heating,22,10,12
E09000001,City of London,E01000001,Oil central heating,2,10,-8
E09000001,City of London,E01000001,Other central heating,283,189,94
E09000001,City of London,E01000001,"Solid fuel (for example wood, coal) central heating",0,0,0
E09000001,City of London,E01000001,Two or more types of central heating,73,13,60
E09000001,City of London,E01000002,Electric (including storage heaters) central heating,358,538,-180
E09000001,City of London,E01000002,Gas central heating,78,40,38
E09000001,City of London,E01000002,No central heating,18,15,3
E09000001,City of London,E01000002,Oil central heating,1,6,-5
E09000001,City of London,E01000002,Other central heating,288,220,68
E09000001,City of London,E01000002,"Solid fuel (for example wood, coal) central heating",1,0,1
E09000001,City of London,E01000002,Two or more types of central heating,83,11,72
E09000001,City of London,E01000003,Electric (including storage heaters) central heating,232,209,23
E09000001,City of London,E01000003,Gas central heating,449,498,-49
E09000001,City of London,E01000003,No central heating,37,23,14
E09000001,City of London,E01000003,Oil central heating,2,1,1
E09000001,City of London,E01000003,Other central heating,223,69,154
E09000001,City of London,E01000003,"Solid fuel (for example wood, coal) central heating",0,0,0
E09000001,City of London,E01000003,Two or more types of central heating,75,17,58
E09000001,City of London,E01000005,Electric (including storage heaters) central heating,85,98,-13
E09000001,City of London,E01000005,Gas central heating,214,225,-11
E09000001,City of London,E01000005,No central heating,7,9,-2
E09000001,City of London,E01000005,Oil central heating,3,25,-22
E09000001,City of London,E01000005,Other central heating,134,88,46
E09000001,City of London,E01000005,"Solid fuel (for example wood, coal) central heating",0,0,0
E09000001,City of London,E01000005,Two or more types of central heating,36,22,14
E09000002,Barking and Dagenham,E01000006,Electric (including storage heaters) central heating,95,99,-4
E09000002,Barking and Dagenham,E01000006,Gas central heating,391,383,8
E09000002,Barking and Dagenham,E01000006,No central heating,14,21,-7
E09000002,Barking and Dagenham,E01000006,Oil central heating,0,1,-1
E09000002,Barking and Dagenham,E01000006,Other central heating,11,12,-1
E09000002,Barking and Dagenham,E01000006,"Solid fuel (for example wood, coal) central heating",0,1,-1
E09000002,Barking and Dagenham,E01000006,Two or more types of central heating,38,26,12
E09000002,Barking and Dagenham,E01000007,Electric (including storage heaters) central heating,467,165,302
E09000002,Barking and Dagenham,E01000007,Gas central heating,431,331,100
E09000002,Barking and Dagenham,E01000007,No central heating,37,18,19
E09000002,Barking and Dagenham,E01000007,Oil central heating,9,10,-1
E09000002,Barking and Dagenham,E01000007,Other central heating,170,53,117
E09000002,Barking and Dagenham,E01000007,"Solid fuel (for example wood, coal) central heating",0,1,-1
E09000002,Barking and Dagenham,E01000007,Two or more types of central heating,77,34,43
E09000002,Barking and Dagenham,E01000008,Electric (including storage heaters) central heating,143,156,-13
E09000002,Barking and Dagenham,E01000008,Gas central heating,272,271,1
E09000002,Barking and Dagenham,E01000008,No central heating,17,14,3
E09000002,Barking and Dagenham,E01000008,Oil central heating,1,1,0
E09000002,Barking and Dagenham,E01000008,Other central heating,52,36,16
E09000002,Barking and Dagenham,E01000008,"Solid fuel (for example wood, coal) central heating",0,0,0
E09000002,Barking and Dagenham,E01000008,Two or more types of central heating,64,43,21
E09000002,Barking and Dagenham,E01000009,Electric (including storage heaters) central heating,102,91,11
E09000002,Barking and Dagenham,E01000009,Gas central heating,407,482,-75
E09000002,Barking and Dagenham,E01000009,No central heating,16,21,-5
E09000002,Barking and Dagenham,E01000009,Oil central heating,2,0,2
E09000002,Barking and Dagenham,E01000009,Other central heating,15,21,-6
E09000002,Barking and Dagenham,E01000009,"Solid fuel (for example wood, coal) central heating",0,0,0
E09000002,Barking and Dagenham,E01000009,Two or more types of central heating,54,23,31
E09000002,Barking and Dagenham,E01000011,Electric (including storage heaters) central heating,36,15,21
E09000002,Barking and Dagenham,E01000011,Gas central heating,368,392,-24
E09000002,Barking and Dagenham,E01000011,No central heating,20,15,5
E09000002,Barking and Dagenham,E01000011,Oil central heating,0,0,0
