lad22cd,lad22nm,lsoa21cd,category,count_21,count_11,change
E09000001,City of London,E01000001,1 room,88,92,-4
E09000001,City of London,E01000001,2 rooms,168,87,81
E09000001,City of London,E01000001,3 rooms,323,278,45
E09000001,City of London,E01000001,4 rooms,51,181,-130
E09000001,City of London,E01000001,5 rooms,150,120,30
E09000001,City of London,E01000001,6 rooms,50,71,-21
E09000001,City of London,E01000001,7 rooms,3,34,-31
E09000001,City of London,E01000001,8 rooms,4,10,-6
E09000001,City of London,E01000001,9 or more rooms,1,3,-2
E09000001,City of London,E01000002,1 room,97,10,87
E09000001,City of London,E01000002,2 rooms,237,136,101
E09000001,City of London,E01000002,3 rooms,288,266,22
E09000001,City of London,E01000002,4 rooms,67,233,-166
E09000001,City of London,E01000002,5 rooms,60,64,-4
E09000001,City of London,E01000002,6 rooms,67,60,7
E09000001,City of London,E01000002,7 rooms,3,34,-31
E09000001,City of London,E01000002,8 rooms,0,18,-18
E09000001,City of London,E01000002,9 or more rooms,6,9,-3
E09000001,City of London,E01000003,1 room,173,128,45
E09000001,City of London,E01000003,2 rooms,475,196,279
E09000001,City of London,E01000003,3 rooms,293,231,62
E09000001,City of London,E01000003,4 rooms,56,212,-156
E09000001,City of London,E01000003,5 rooms,13,44,-31
E09000001,City of London,E01000003,6 rooms,3,3,0
E09000001,City of London,E01000003,7 rooms,4,2,2
E09000001,City of London,E01000003,8 rooms,0,0,0
E09000001,City of London,E01000003,9 or more rooms,0,1,-1
E09000001,City of London,E01000005,1 room,59,43,16
E09000001,City of London,E01000005,2 rooms,130,89,41
E09000001,City of London,E01000005,3 rooms,158,142,16
E09000001,City of London,E01000005,4 rooms,118,109,9
E09000001,City of London,E01000005,5 rooms,12,68,-56
E09000001,City of London,E01000005,6 rooms,2,12,-10
E09000001,City of London,E01000005,7 rooms,0,3,-3
E09000001,City of London,E01000005,8 rooms,0,0,0
E09000001,City of London,E01000005,9 or more rooms,1,1,0
E09000002,Barking and Dagenham,E01000006,1 room,6,8,-2
E09000002,Barking and Dagenham,E01000006,2 rooms,91,17,74
E09000002,Barking and Dagenham,E01000006,3 rooms,62,82,-20
E09000002,Barking and Dagenham,E01000006,4 rooms,63,59,4
E09000002,Barking and Dagenham,E01000006,5 rooms,304,145,159
E09000002,Barking and Dagenham,E01000006,6 rooms,19,140,-121
E09000002,Barking and Dagenham,E01000006,7 rooms,5,63,-58
E09000002,Barking and Dagenham,E01000006,8 rooms,3,23,-20
E09000002,Barking and Dagenham,E01000006,9 or more rooms,1,6,-5
E09000002,Barking and Dagenham,E01000007,1 room,75,51,24
E09000002,Barking and Dagenham,E01000007,2 rooms,404,137,267
E09000002,Barking and Dagenham,E01000007,3 rooms,452,202,250
E09000002,Barking and Dagenham,E01000007,4 rooms,189,106,83
E09000002,Barking and Dagenham,E01000007,5 rooms,41,66,-25
E09000002,Barking and Dagenham,E01000007,6 rooms,19,30,-11
E09000002,Barking and Dagenham,E01000007,7 rooms,2,7,-5
E09000002,Barking and Dagenham,E01000007,8 rooms,2,13,-11
E09000002,Barking and Dagenham,E01000007,9 or more rooms,2,0,2
E09000002,Barking and Dagenham,E01000008,1 room,0,15,-15
E09000002,Barking and Dagenham,E01000008,2 rooms,156,26,130
E09000002,Barking and Dagenham,E01000008,3 rooms,78,130,-52
E09000002,Barking and Dagenham,E01000008,4 rooms,284,103,181
E09000002,Barking and Dagenham,E01000008,5 rooms,23,186,-163
E09000002,Barking and Dagenham,E01000008,6 rooms,12,39,-27
E09000002,Barking and Dagenham,E01000008,7 rooms,0,12,-12
E09000002,Barking and Dagenham,E01000008,8 rooms,0,7,-7
E09000002,Barking and Dagenham,E01000008,9 or more rooms,0,3,-3
E09000002,Barking and Dagenham,E01000009,1 room,1,14,-13
E09000002,Barking and Dagenham,E01000009,2 rooms,245,68,177
E09000002,Barking and Dagenham,E01000009,3 rooms,50,196,-146
E09000002,Barking and Dagenham,E01000009,4 rooms,69,64,5
E09000002,Barking and Dagenham,E01000009,5 rooms,210,106,104
E09000002,Barking and Dagenham,E01000009,6 rooms,21,117,-96
E09000002,Barking and Dagenham,E01000009,7 rooms,3,43,-40
E09000002,Barking and Dagenham,E01000009,8 rooms,5,22,-17
E09000002,Barking and Dagenham,E01000009,9 or more rooms,0,8,-8
E09000002,Barking and Dagenham,E01000011,1 room,3,8,-5
E09000002,Barking and Dagenham,E01000011,2 rooms,73,18,55
E09000002,Barking and Dagenham,E01000011,3 rooms,47,84,-37
E09000002,Barking and Dagenham,E01000011,4 rooms,84,60,24
E09000002,Barking and Dagenham,E01000011,5 rooms,210,116,94
