lad22cd,lad22nm,lsoa21cd,category,count_21,count_11,change
E09000001,City of London,E01000001,Lives rent free,1,35,-34
E09000001,City of London,E01000001,Owned: Owns outright,338,355,-17
E09000001,City of London,E01000001,Owned: Owns with a mortgage or loan,144,178,-34
E09000001,City of London,E01000001,Private rented: Other private rented,53,17,36
E09000001,City of London,E01000001,Private rented: Private landlord or letting agency,283,247,36
E09000001,City of London,E01000001,Shared ownership: Shared ownership,3,3,0
E09000001,City of London,E01000001,Social rented: Other social rented,4,8,-4
E09000001,City of London,E01000001,Social rented: Rents from council or Local Authority,17,33,-16
E09000001,City of London,E01000002,Lives rent free,0,28,-28
E09000001,City of London,E01000002,Owned: Owns outright,283,314,-31
E09000001,City of London,E01000002,Owned: Owns with a mortgage or loan,149,213,-64
E09000001,City of London,E01000002,Private rented: Other private rented,38,13,25
E09000001,City of London,E01000002,Private rented: Private landlord or letting agency,324,206,118
E09000001,City of London,E01000002,Shared ownership: Shared ownership,2,8,-6
E09000001,City of London,E01000002,Social rented: Other social rented,6,4,2
E09000001,City of London,E01000002,Social rented: Rents from council or Local Authority,23,44,-21
E09000001,City of London,E01000003,Lives rent free,2,17,-15
E09000001,City of London,E01000003,Owned: Owns outright,232,184,48
E09000001,City of London,E01000003,Owned: Owns with a mortgage or loan,145,143,2
E09000001,City of London,E01000003,Private rented: Other private rented,42,11,31
E09000001,City of London,E01000003,Private rented: Private landlord or letting agency,293,166,127
E09000001,City of London,E01000003,Shared ownership: Shared ownership,0,1,-1
E09000001,City of London,E01000003,Social rented: Other social rented,52,56,-4
E09000001,City of London,E01000003,Social rented: Rents from council or Local Authority,249,239,10
E09000001,City of London,E01000005,Lives rent free,0,8,-8
E09000001,City of London,E01000005,Owned: Owns outright,19,24,-5
E09000001,City of London,E01000005,Owned: Owns with a mortgage or loan,22,22,0
E09000001,City of London,E01000005,Private rented: Other private rented,15,9,6
E09000001,City of London,E01000005,Private rented: Private landlord or letting agency,91,92,-1
E09000001,City of London,E01000005,Shared ownership: Shared ownership,1,0,1
E09000001,City of London,E01000005,Social rented: Other social rented,186,179,7
E09000001,City of London,E01000005,Social rented: Rents from council or Local Authority,148,133,15
E09000002,Barking and Dagenham,E01000006,Lives rent free,0,2,-2
E09000002,Barking and Dagenham,E01000006,Owned: Owns outright,109,136,-27
E09000002,Barking and Dagenham,E01000006,Owned: Owns with a mortgage or loan,159,209,-50
E09000002,Barking and Dagenham,E01000006,Private rented: Other private rented,30,15,15
E09000002,Barking and Dagenham,E01000006,Private rented: Private landlord or letting agency,229,163,66
E09000002,Barking and Dagenham,E01000006,Shared ownership: Shared ownership,3,0,3
E09000002,Barking and Dagenham,E01000006,Social rented: Other social rented,13,7,6
E09000002,Barking and Dagenham,E01000006,Social rented: Rents from council or Local Authority,12,11,1
E09000002,Barking and Dagenham,E01000007,Lives rent free,6,6,0
E09000002,Barking and Dagenham,E01000007,Owned: Owns outright,34,25,9
E09000002,Barking and Dagenham,E01000007,Owned: Owns with a mortgage or loan,167,94,73
E09000002,Barking and Dagenham,E01000007,Private rented: Other private rented,17,26,-9
E09000002,Barking and Dagenham,E01000007,Private rented: Private landlord or letting agency,398,196,202
E09000002,Barking and Dagenham,E01000007,Shared ownership: Shared ownership,119,16,103
E09000002,Barking and Dagenham,E01000007,Social rented: Other social rented,191,118,73
E09000002,Barking and Dagenham,E01000007,Social rented: Rents from council or Local Authority,261,131,130
E09000002,Barking and Dagenham,E01000008,Lives rent free,1,6,-5
E09000002,Barking and Dagenham,E01000008,Owned: Owns outright,32,24,8
E09000002,Barking and Dagenham,E01000008,Owned: Owns with a mortgage or loan,50,64,-14
E09000002,Barking and Dagenham,E01000008,Private rented: Other private rented,14,4,10
E09000002,Barking and Dagenham,E01000008,Private rented: Private landlord or letting agency,135,75,60
E09000002,Barking and Dagenham,E01000008,Shared ownership: Shared ownership,8,1,7
E09000002,Barking and Dagenham,E01000008,Social rented: Other social rented,14,14,0
