lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,Europe: United Kingdom,12397
E09000030,Tower Hamlets,E05009317,Bethnal Green,Europe: EU countries: European Union EU14,1913
E09000030,Tower Hamlets,E05009317,Bethnal Green,Europe: EU countries: European Union EU8,328
E09000030,Tower Hamlets,E05009317,Bethnal Green,Europe: EU countries: European Union EU2,187
E09000030,Tower Hamlets,E05009317,Bethnal Green,Europe: EU countries: All other EU countries,73
E09000030,Tower Hamlets,E05009317,Bethnal Green,Europe: Non-EU countries: All other non-EU countries,308
E09000030,Tower Hamlets,E05009317,Bethnal Green,Africa,863
E09000030,Tower Hamlets,E05009317,Bethnal Green,Middle East and Asia,4265
E09000030,Tower Hamlets,E05009317,Bethnal Green,The Americas and the Caribbean,626
E09000030,Tower Hamlets,E05009317,Bethnal Green,Antarctica and Oceania (including Australasia) and Other,243
E09000030,Tower Hamlets,E05009317,Bethnal Green,British Overseas,9
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Europe: United Kingdom,9489
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Europe: EU countries: European Union EU14,2352
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Europe: EU countries: European Union EU8,805
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Europe: EU countries: European Union EU2,597
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Europe: EU countries: All other EU countries,94
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Europe: Non-EU countries: All other non-EU countries,947
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Africa,1221
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Middle East and Asia,5387
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,The Americas and the Caribbean,776
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Antarctica and Oceania (including Australasia) and Other,165
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,British Overseas,7
E09000030,Tower Hamlets,E05009319,Bow East,Europe: United Kingdom,12478
E09000030,Tower Hamlets,E05009319,Bow East,Europe: EU countries: European Union EU14,1761
E09000030,Tower Hamlets,E05009319,Bow East,Europe: EU countries: European Union EU8,437
