gss_code_ward,ward_name,category,count_21
E09000001,City of London,Main language is English (English or Welsh in Wales),6621
E09000001,City of London,Main language is not English (English or Welsh in Wales): Can speak English very well,1301
E09000001,City of London,Main language is not English (English or Welsh in Wales): Can speak English well,384
E09000001,City of London,Main language is not English (English or Welsh in Wales): Cannot speak English well,118
E09000001,City of London,Main language is not English (English or Welsh in Wales): Cannot speak English,20
E05014066,Northbury,Main language is English (English or Welsh in Wales),8049
E05014066,Northbury,Main language is not English (English or Welsh in Wales): Can speak English very well,1531
E05014066,Northbury,Main language is not English (English or Welsh in Wales): Can speak English well,1847
E05014066,Northbury,Main language is not English (English or Welsh in Wales): Cannot speak English well,934
E05014066,Northbury,Main language is not English (English or Welsh in Wales): Cannot speak English,143
E05014053,Abbey,Main language is English (English or Welsh in Wales),2118
E05014053,Abbey,Main language is not English (English or Welsh in Wales): Can speak English very well,704
E05014053,Abbey,Main language is not English (English or Welsh in Wales): Can speak English well,609
E05014053,Abbey,Main language is not English (English or Welsh in Wales): Cannot speak English well,251
E05014053,Abbey,Main language is not English (English or Welsh in Wales): Cannot speak English,42
E05014054,Alibon,Main language is English (English or Welsh in Wales),7244
E05014054,Alibon,Main language is not English (English or Welsh in Wales): Can speak English very well,812
E05014054,Alibon,Main language is not English (English or Welsh in Wales): Can speak English well,951
E05014054,Alibon,Main language is not English (English or Welsh in Wales): Cannot speak English well,422
E05014054,Alibon,Main language is not English (English or Welsh in Wales): Cannot speak English,48
E05014067,Parsloes,Main language is English (English or Welsh in Wales),11422
E05014067,Parsloes,Main language is not English (English or Welsh in Wales): Can speak English very well,1170
E05014067,Parsloes,Main language is not English (English or Welsh in Wales): Can speak English well,1313
E05014067,Parsloes,Main language is not English (English or Welsh in Wales): Cannot speak English well,589
E05014067,Parsloes,Main language is not English (English or Welsh in Wales): Cannot speak English,78
E05014057,Becontree,Main language is English (English or Welsh in Wales),7089
E05014057,Becontree,Main language is not English (English or Welsh in Wales): Can speak English very well,865
E05014057,Becontree,Main language is not English (English or Welsh in Wales): Can speak English well,975
E05014057,Becontree,Main language is not English (English or Welsh in Wales): Cannot speak English well,419
E05014057,Becontree,Main language is not English (English or Welsh in Wales): Cannot speak English,49
E05014065,Mayesbrook,Main language is English (English or Welsh in Wales),11132
E05014065,Mayesbrook,Main language is not English (English or Welsh in Wales): Can speak English very well,1492
E05014065,Mayesbrook,Main language is not English (English or Welsh in Wales): Can speak English well,1494
E05014065,Mayesbrook,Main language is not English (English or Welsh in Wales): Cannot speak English well,662
E05014065,Mayesbrook,Main language is not English (English or Welsh in Wales): Cannot speak English,100
E05014058,Chadwell Heath,Main language is English (English or Welsh in Wales),10469
E05014058,Chadwell Heath,Main language is not English (English or Welsh in Wales): Can speak English very well,1135
E05014058,Chadwell Heath,Main language is not English (English or Welsh in Wales): Can speak English well,1069
E05014058,Chadwell Heath,Main language is not English (English or Welsh in Wales): Cannot speak English well,496
E05014058,Chadwell Heath,Main language is not English (English or Welsh in Wales): Cannot speak English,59
E05014059,Eastbrook & Rush Green,Main language is English (English or Welsh in Wales),7132
E05014059,Eastbrook & Rush Green,Main language is not English (English or Welsh in Wales): Can speak English very well,550
E05014059,Eastbrook & Rush Green,Main language is not English (English or Welsh in Wales): Can speak English well,542
E05014059,Eastbrook & Rush Green,Main language is not English (English or Welsh in Wales): Cannot speak English well,206
E05014059,Eastbrook & Rush Green,Main language is not English (English or Welsh in Wales): Cannot speak English,31
E05014060,Eastbury,Main language is English (English or Welsh in Wales),11286
E05014060,Eastbury,Main language is not English (English or Welsh in Wales): Can speak English very well,1324
E05014060,Eastbury,Main language is not English (English or Welsh in Wales): Can speak English well,1605
E05014060,Eastbury,Main language is not English (English or Welsh in Wales): Cannot speak English well,765
E05014060,Eastbury,Main language is not English (English or Welsh in Wales): Cannot speak English,84
E05014061,Gascoigne,Main language is English (English or Welsh in Wales),7016
E05014061,Gascoigne,Main language is not English (English or Welsh in Wales): Can speak English very well,1264
E05014061,Gascoigne,Main language is not English (English or Welsh in Wales): Can speak English well,1153
E05014061,Gascoigne,Main language is not English (English or Welsh in Wales): Cannot speak English well,512
E05014061,Gascoigne,Main language is not English (English or Welsh in Wales): Cannot speak English,71
E05014062,Goresbrook,Main language is English (English or Welsh in Wales),10344
E05014062,Goresbrook,Main language is not English (English or Welsh in Wales): Can speak English very well,1037
E05014062,Goresbrook,Main language is not English (English or Welsh in Wales): Can speak English well,1144
E05014062,Goresbrook,Main language is not English (English or Welsh in Wales): Cannot speak English well,529
E05014062,Goresbrook,Main language is not English (English or Welsh in Wales): Cannot speak English,74
E05014063,Heath,Main language is English (English or Welsh in Wales),7072
E05014063,Heath,Main language is not English (English or Welsh in Wales): Can speak English very well,667
E05014063,Heath,Main language is not English (English or Welsh in Wales): Can speak English well,653
E05014063,Heath,Main language is not English (English or Welsh in Wales): Cannot speak English well,276
E05014063,Heath,Main language is not English (English or Welsh in Wales): Cannot speak English,50
E05014069,Valence,Main language is English (English or Welsh in Wales),11455
E05014069,Valence,Main language is not English (English or Welsh in Wales): Can speak English very well,1226
E05014069,Valence,Main language is not English (English or Welsh in Wales): Can speak English well,1284
E05014069,Valence,Main language is not English (English or Welsh in Wales): Cannot speak English well,542
E05014069,Valence,Main language is not English (English or Welsh in Wales): Cannot speak English,99
E05014064,Longbridge,Main language is English (English or Welsh in Wales),9694
E05014064,Longbridge,Main language is not English (English or Welsh in Wales): Can speak English very well,1156
E05014064,Longbridge,Main language is not English (English or Welsh in Wales): Can speak English well,1158
E05014064,Longbridge,Main language is not English (English or Welsh in Wales): Cannot speak English well,679
E05014064,Longbridge,Main language is not English (English or Welsh in Wales): Cannot speak English,111
E05014056,Beam,Main language is English (English or Welsh in Wales),6109
E05014056,Beam,Main language is not English (English or Welsh in Wales): Can speak English very well,711
E05014056,Beam,Main language is not English (English or Welsh in Wales): Can speak English well,793
E05014056,Beam,Main language is not English (English or Welsh in Wales): Cannot speak English well,346
E05014056,Beam,Main language is not English (English or Welsh in Wales): Cannot speak English,64
E05014070,Village,Main language is English (English or Welsh in Wales),9620
E05014070,Village,Main language is not English (English or Welsh in Wales): Can speak English very well,911
E05014070,Village,Main language is not English (English or Welsh in Wales): Can speak English well,1009
E05014070,Village,Main language is not English (English or Welsh in Wales): Cannot speak English well,480
E05014070,Village,Main language is not English (English or Welsh in Wales): Cannot speak English,57
E05014055,Barking Riverside,Main language is English (English or Welsh in Wales),7293
E05014055,Barking Riverside,Main language is not English (English or Welsh in Wales): Can speak English very well,930
E05014055,Barking Riverside,Main language is not English (English or Welsh in Wales): Can speak English well,807
E05014055,Barking Riverside,Main language is not English (English or Welsh in Wales): Cannot speak English well,284
E05014055,Barking Riverside,Main language is not English (English or Welsh in Wales): Cannot speak English,57
E05014068,Thames View,Main language is English (English or Welsh in Wales),4193
E05014068,Thames View,Main language is not English (English or Welsh in Wales): Can speak English very well,393
E05014068,Thames View,Main language is not English (English or Welsh in Wales): Can speak English well,529
E05014068,Thames View,Main language is not English (English or Welsh in Wales): Cannot speak English well,271
E05014068,Thames View,Main language is not English (English or Welsh in Wales): Cannot speak English,29
E05014071,Whalebone,Main language is English (English or Welsh in Wales),9926
E05014071,Whalebone,Main language is not English (English or Welsh in Wales): Can speak English very well,1447
E05014071,Whalebone,Main language is not English (English or Welsh in Wales): Can speak English well,1367
E05014071,Whalebone,Main language is not English (English or Welsh in Wales): Cannot speak English well,623
E05014071,Whalebone,Main language is not English (English or Welsh in Wales): Cannot speak English,67
E05013629,Brunswick Park,Main language is English (English or Welsh in Wales),13022
E05013629,Brunswick Park,Main language is not English (English or Welsh in Wales): Can speak English very well,1283
E05013629,Brunswick Park,Main language is not English (English or Welsh in Wales): Can speak English well,975
E05013629,Brunswick Park,Main language is not English (English or Welsh in Wales): Cannot speak English well,410
E05013629,Brunswick Park,Main language is not English (English or Welsh in Wales): Cannot speak English,71
E05013635,East Barnet,Main language is English (English or Welsh in Wales),14648
E05013635,East Barnet,Main language is not English (English or Welsh in Wales): Can speak English very well,1179
E05013635,East Barnet,Main language is not English (English or Welsh in Wales): Can speak English well,1006
E05013635,East Barnet,Main language is not English (English or Welsh in Wales): Cannot speak English well,437
E05013635,East Barnet,Main language is not English (English or Welsh in Wales): Cannot speak English,67
E05013650,Whetstone,Main language is English (English or Welsh in Wales),8686
E05013650,Whetstone,Main language is not English (English or Welsh in Wales): Can speak English very well,873
E05013650,Whetstone,Main language is not English (English or Welsh in Wales): Can speak English well,636
E05013650,Whetstone,Main language is not English (English or Welsh in Wales): Cannot speak English well,283
E05013650,Whetstone,Main language is not English (English or Welsh in Wales): Cannot speak English,47
E05013632,Colindale North,Main language is English (English or Welsh in Wales),8213
E05013632,Colindale North,Main language is not English (English or Welsh in Wales): Can speak English very well,1544
E05013632,Colindale North,Main language is not English (English or Welsh in Wales): Can speak English well,1502
E05013632,Colindale North,Main language is not English (English or Welsh in Wales): Cannot speak English well,720
E05013632,Colindale North,Main language is not English (English or Welsh in Wales): Cannot speak English,148
E05013630,Burnt Oak,Main language is English (English or Welsh in Wales),14072
E05013630,Burnt Oak,Main language is not English (English or Welsh in Wales): Can speak English very well,2528
E05013630,Burnt Oak,Main language is not English (English or Welsh in Wales): Can speak English well,2844
E05013630,Burnt Oak,Main language is not English (English or Welsh in Wales): Cannot speak English well,1133
E05013630,Burnt Oak,Main language is not English (English or Welsh in Wales): Cannot speak English,162
E05013634,Cricklewood,Main language is English (English or Welsh in Wales),6911
E05013634,Cricklewood,Main language is not English (English or Welsh in Wales): Can speak English very well,1207
E05013634,Cricklewood,Main language is not English (English or Welsh in Wales): Can speak English well,1217
E05013634,Cricklewood,Main language is not English (English or Welsh in Wales): Cannot speak English well,582
E05013634,Cricklewood,Main language is not English (English or Welsh in Wales): Cannot speak English,79
E05013631,Childs Hill,Main language is English (English or Welsh in Wales),13914
E05013631,Childs Hill,Main language is not English (English or Welsh in Wales): Can speak English very well,2288
E05013631,Childs Hill,Main language is not English (English or Welsh in Wales): Can speak English well,1656
E05013631,Childs Hill,Main language is not English (English or Welsh in Wales): Cannot speak English well,767
E05013631,Childs Hill,Main language is not English (English or Welsh in Wales): Cannot speak English,109
E05013633,Colindale South,Main language is English (English or Welsh in Wales),11514
E05013633,Colindale South,Main language is not English (English or Welsh in Wales): Can speak English very well,3046
E05013633,Colindale South,Main language is not English (English or Welsh in Wales): Can speak English well,2464
E05013633,Colindale South,Main language is not English (English or Welsh in Wales): Cannot speak English well,1041
E05013633,Colindale South,Main language is not English (English or Welsh in Wales): Cannot speak English,135
E05013640,Friern Barnet,Main language is English (English or Welsh in Wales),14226
E05013640,Friern Barnet,Main language is not English (English or Welsh in Wales): Can speak English very well,1935
E05013640,Friern Barnet,Main language is not English (English or Welsh in Wales): Can speak English well,1454
E05013640,Friern Barnet,Main language is not English (English or Welsh in Wales): Cannot speak English well,691
E05013640,Friern Barnet,Main language is not English (English or Welsh in Wales): Cannot speak English,103
E05013651,Woodhouse,Main language is English (English or Welsh in Wales),10352
E05013651,Woodhouse,Main language is not English (English or Welsh in Wales): Can speak English very well,1488
E05013651,Woodhouse,Main language is not English (English or Welsh in Wales): Can speak English well,1307
E05013651,Woodhouse,Main language is not English (English or Welsh in Wales): Cannot speak English well,590
E05013651,Woodhouse,Main language is not English (English or Welsh in Wales): Cannot speak English,91
E05013636,East Finchley,Main language is English (English or Welsh in Wales),12777
E05013636,East Finchley,Main language is not English (English or Welsh in Wales): Can speak English very well,1613
E05013636,East Finchley,Main language is not English (English or Welsh in Wales): Can speak English well,992
E05013636,East Finchley,Main language is not English (English or Welsh in Wales): Cannot speak English well,388
E05013636,East Finchley,Main language is not English (English or Welsh in Wales): Cannot speak English,54
E05013641,Garden Suburb,Main language is English (English or Welsh in Wales),10575
E05013641,Garden Suburb,Main language is not English (English or Welsh in Wales): Can speak English very well,974
E05013641,Garden Suburb,Main language is not English (English or Welsh in Wales): Can speak English well,462
E05013641,Garden Suburb,Main language is not English (English or Welsh in Wales): Cannot speak English well,192
E05013641,Garden Suburb,Main language is not English (English or Welsh in Wales): Cannot speak English,30
E05013638,Edgwarebury,Main language is English (English or Welsh in Wales),9799
E05013638,Edgwarebury,Main language is not English (English or Welsh in Wales): Can speak English very well,923
E05013638,Edgwarebury,Main language is not English (English or Welsh in Wales): Can speak English well,830
E05013638,Edgwarebury,Main language is not English (English or Welsh in Wales): Cannot speak English well,330
E05013638,Edgwarebury,Main language is not English (English or Welsh in Wales): Cannot speak English,44
E05013637,Edgware,Main language is English (English or Welsh in Wales),14971
E05013637,Edgware,Main language is not English (English or Welsh in Wales): Can speak English very well,1836
E05013637,Edgware,Main language is not English (English or Welsh in Wales): Can speak English well,1540
E05013637,Edgware,Main language is not English (English or Welsh in Wales): Cannot speak English well,596
E05013637,Edgware,Main language is not English (English or Welsh in Wales): Cannot speak English,103
E05013639,Finchley Church End,Main language is English (English or Welsh in Wales),14348
E05013639,Finchley Church End,Main language is not English (English or Welsh in Wales): Can speak English very well,1849
E05013639,Finchley Church End,Main language is not English (English or Welsh in Wales): Can speak English well,1321
E05013639,Finchley Church End,Main language is not English (English or Welsh in Wales): Cannot speak English well,609
E05013639,Finchley Church End,Main language is not English (English or Welsh in Wales): Cannot speak English,76
E05013642,Golders Green,Main language is English (English or Welsh in Wales),11577
E05013642,Golders Green,Main language is not English (English or Welsh in Wales): Can speak English very well,1262
E05013642,Golders Green,Main language is not English (English or Welsh in Wales): Can speak English well,981
E05013642,Golders Green,Main language is not English (English or Welsh in Wales): Cannot speak English well,433
E05013642,Golders Green,Main language is not English (English or Welsh in Wales): Cannot speak English,54
E05013645,Mill Hill,Main language is English (English or Welsh in Wales),14026
E05013645,Mill Hill,Main language is not English (English or Welsh in Wales): Can speak English very well,1500
E05013645,Mill Hill,Main language is not English (English or Welsh in Wales): Can speak English well,1130
E05013645,Mill Hill,Main language is not English (English or Welsh in Wales): Cannot speak English well,446
E05013645,Mill Hill,Main language is not English (English or Welsh in Wales): Cannot speak English,59
