gss_code_ward,ward_name,category,count_21
E09000001,City of London,"Asian, Asian British or Asian Welsh: Bangladeshi",283
E09000001,City of London,"Asian, Asian British or Asian Welsh: Chinese",544
E09000001,City of London,"Asian, Asian British or Asian Welsh: Indian",322
E09000001,City of London,"Asian, Asian British or Asian Welsh: Pakistani",32
E09000001,City of London,"Asian, Asian British or Asian Welsh: Other Asian",259
E09000001,City of London,"Black, Black British, Black Welsh, Caribbean or African: African",150
E09000001,City of London,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",54
E09000001,City of London,"Black, Black British, Black Welsh, Caribbean or African: Other Black",26
E09000001,City of London,Mixed or Multiple ethnic groups: White and Asian,173
E09000001,City of London,Mixed or Multiple ethnic groups: White and Black African,50
E09000001,City of London,Mixed or Multiple ethnic groups: White and Black Caribbean,56
E09000001,City of London,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,188
E09000001,City of London,"White: English, Welsh, Scottish, Northern Irish or British",3652
E09000001,City of London,White: Irish,186
E09000001,City of London,White: Gypsy or Irish Traveller,0
E09000001,City of London,White: Roma,62
E09000001,City of London,White: Other White,2065
E09000001,City of London,Other ethnic group: Arab,113
E09000001,City of London,Other ethnic group: Any other ethnic group,369
E05014066,Northbury,"Asian, Asian British or Asian Welsh: Bangladeshi",1592
E05014066,Northbury,"Asian, Asian British or Asian Welsh: Chinese",96
E05014066,Northbury,"Asian, Asian British or Asian Welsh: Indian",957
E05014066,Northbury,"Asian, Asian British or Asian Welsh: Pakistani",2038
E05014066,Northbury,"Asian, Asian British or Asian Welsh: Other Asian",439
E05014066,Northbury,"Black, Black British, Black Welsh, Caribbean or African: African",2384
E05014066,Northbury,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",348
E05014066,Northbury,"Black, Black British, Black Welsh, Caribbean or African: Other Black",293
E05014066,Northbury,Mixed or Multiple ethnic groups: White and Asian,108
E05014066,Northbury,Mixed or Multiple ethnic groups: White and Black African,156
E05014066,Northbury,Mixed or Multiple ethnic groups: White and Black Caribbean,179
E05014066,Northbury,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,176
E05014066,Northbury,"White: English, Welsh, Scottish, Northern Irish or British",1648
E05014066,Northbury,White: Irish,47
E05014066,Northbury,White: Gypsy or Irish Traveller,10
E05014066,Northbury,White: Roma,110
E05014066,Northbury,White: Other White,1984
E05014066,Northbury,Other ethnic group: Arab,87
E05014066,Northbury,Other ethnic group: Any other ethnic group,537
E05014053,Abbey,"Asian, Asian British or Asian Welsh: Bangladeshi",346
E05014053,Abbey,"Asian, Asian British or Asian Welsh: Chinese",87
E05014053,Abbey,"Asian, Asian British or Asian Welsh: Indian",968
E05014053,Abbey,"Asian, Asian British or Asian Welsh: Pakistani",358
E05014053,Abbey,"Asian, Asian British or Asian Welsh: Other Asian",131
E05014053,Abbey,"Black, Black British, Black Welsh, Caribbean or African: African",453
E05014053,Abbey,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",68
E05014053,Abbey,"Black, Black British, Black Welsh, Caribbean or African: Other Black",70
E05014053,Abbey,Mixed or Multiple ethnic groups: White and Asian,28
E05014053,Abbey,Mixed or Multiple ethnic groups: White and Black African,29
E05014053,Abbey,Mixed or Multiple ethnic groups: White and Black Caribbean,30
E05014053,Abbey,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,36
E05014053,Abbey,"White: English, Welsh, Scottish, Northern Irish or British",447
E05014053,Abbey,White: Irish,17
E05014053,Abbey,White: Gypsy or Irish Traveller,3
E05014053,Abbey,White: Roma,34
E05014053,Abbey,White: Other White,691
E05014053,Abbey,Other ethnic group: Arab,42
E05014053,Abbey,Other ethnic group: Any other ethnic group,125
E05014054,Alibon,"Asian, Asian British or Asian Welsh: Bangladeshi",859
E05014054,Alibon,"Asian, Asian British or Asian Welsh: Chinese",67
E05014054,Alibon,"Asian, Asian British or Asian Welsh: Indian",247
E05014054,Alibon,"Asian, Asian British or Asian Welsh: Pakistani",282
E05014054,Alibon,"Asian, Asian British or Asian Welsh: Other Asian",296
E05014054,Alibon,"Black, Black British, Black Welsh, Caribbean or African: African",1529
E05014054,Alibon,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",214
E05014054,Alibon,"Black, Black British, Black Welsh, Caribbean or African: Other Black",237
E05014054,Alibon,Mixed or Multiple ethnic groups: White and Asian,55
E05014054,Alibon,Mixed or Multiple ethnic groups: White and Black African,60
E05014054,Alibon,Mixed or Multiple ethnic groups: White and Black Caribbean,117
E05014054,Alibon,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,96
E05014054,Alibon,"White: English, Welsh, Scottish, Northern Irish or British",3845
E05014054,Alibon,White: Irish,71
E05014054,Alibon,White: Gypsy or Irish Traveller,15
E05014054,Alibon,White: Roma,47
E05014054,Alibon,White: Other White,1555
E05014054,Alibon,Other ethnic group: Arab,57
E05014054,Alibon,Other ethnic group: Any other ethnic group,240
E05014067,Parsloes,"Asian, Asian British or Asian Welsh: Bangladeshi",1171
E05014067,Parsloes,"Asian, Asian British or Asian Welsh: Chinese",73
E05014067,Parsloes,"Asian, Asian British or Asian Welsh: Indian",473
E05014067,Parsloes,"Asian, Asian British or Asian Welsh: Pakistani",721
E05014067,Parsloes,"Asian, Asian British or Asian Welsh: Other Asian",321
E05014067,Parsloes,"Black, Black British, Black Welsh, Caribbean or African: African",2272
E05014067,Parsloes,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",377
E05014067,Parsloes,"Black, Black British, Black Welsh, Caribbean or African: Other Black",322
E05014067,Parsloes,Mixed or Multiple ethnic groups: White and Asian,110
E05014067,Parsloes,Mixed or Multiple ethnic groups: White and Black African,144
E05014067,Parsloes,Mixed or Multiple ethnic groups: White and Black Caribbean,214
E05014067,Parsloes,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,143
E05014067,Parsloes,"White: English, Welsh, Scottish, Northern Irish or British",6178
E05014067,Parsloes,White: Irish,78
E05014067,Parsloes,White: Gypsy or Irish Traveller,7
E05014067,Parsloes,White: Roma,41
E05014067,Parsloes,White: Other White,2091
E05014067,Parsloes,Other ethnic group: Arab,45
E05014067,Parsloes,Other ethnic group: Any other ethnic group,384
E05014057,Becontree,"Asian, Asian British or Asian Welsh: Bangladeshi",937
E05014057,Becontree,"Asian, Asian British or Asian Welsh: Chinese",59
E05014057,Becontree,"Asian, Asian British or Asian Welsh: Indian",659
E05014057,Becontree,"Asian, Asian British or Asian Welsh: Pakistani",1000
E05014057,Becontree,"Asian, Asian British or Asian Welsh: Other Asian",292
E05014057,Becontree,"Black, Black British, Black Welsh, Caribbean or African: African",1260
E05014057,Becontree,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",304
E05014057,Becontree,"Black, Black British, Black Welsh, Caribbean or African: Other Black",172
E05014057,Becontree,Mixed or Multiple ethnic groups: White and Asian,78
E05014057,Becontree,Mixed or Multiple ethnic groups: White and Black African,76
E05014057,Becontree,Mixed or Multiple ethnic groups: White and Black Caribbean,104
E05014057,Becontree,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,120
E05014057,Becontree,"White: English, Welsh, Scottish, Northern Irish or British",2929
E05014057,Becontree,White: Irish,63
E05014057,Becontree,White: Gypsy or Irish Traveller,6
E05014057,Becontree,White: Roma,41
E05014057,Becontree,White: Other White,1112
E05014057,Becontree,Other ethnic group: Arab,228
E05014057,Becontree,Other ethnic group: Any other ethnic group,335
E05014065,Mayesbrook,"Asian, Asian British or Asian Welsh: Bangladeshi",1150
E05014065,Mayesbrook,"Asian, Asian British or Asian Welsh: Chinese",93
E05014065,Mayesbrook,"Asian, Asian British or Asian Welsh: Indian",639
E05014065,Mayesbrook,"Asian, Asian British or Asian Welsh: Pakistani",907
E05014065,Mayesbrook,"Asian, Asian British or Asian Welsh: Other Asian",377
E05014065,Mayesbrook,"Black, Black British, Black Welsh, Caribbean or African: African",2676
E05014065,Mayesbrook,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",292
E05014065,Mayesbrook,"Black, Black British, Black Welsh, Caribbean or African: Other Black",511
E05014065,Mayesbrook,Mixed or Multiple ethnic groups: White and Asian,111
E05014065,Mayesbrook,Mixed or Multiple ethnic groups: White and Black African,188
E05014065,Mayesbrook,Mixed or Multiple ethnic groups: White and Black Caribbean,238
E05014065,Mayesbrook,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,197
E05014065,Mayesbrook,"White: English, Welsh, Scottish, Northern Irish or British",5086
E05014065,Mayesbrook,White: Irish,64
E05014065,Mayesbrook,White: Gypsy or Irish Traveller,3
E05014065,Mayesbrook,White: Roma,54
E05014065,Mayesbrook,White: Other White,2523
E05014065,Mayesbrook,Other ethnic group: Arab,102
E05014065,Mayesbrook,Other ethnic group: Any other ethnic group,425
E05014058,Chadwell Heath,"Asian, Asian British or Asian Welsh: Bangladeshi",1322
E05014058,Chadwell Heath,"Asian, Asian British or Asian Welsh: Chinese",57
E05014058,Chadwell Heath,"Asian, Asian British or Asian Welsh: Indian",1019
E05014058,Chadwell Heath,"Asian, Asian British or Asian Welsh: Pakistani",1231
E05014058,Chadwell Heath,"Asian, Asian British or Asian Welsh: Other Asian",401
E05014058,Chadwell Heath,"Black, Black British, Black Welsh, Caribbean or African: African",1570
E05014058,Chadwell Heath,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",567
E05014058,Chadwell Heath,"Black, Black British, Black Welsh, Caribbean or African: Other Black",323
E05014058,Chadwell Heath,Mixed or Multiple ethnic groups: White and Asian,90
E05014058,Chadwell Heath,Mixed or Multiple ethnic groups: White and Black African,164
E05014058,Chadwell Heath,Mixed or Multiple ethnic groups: White and Black Caribbean,218
E05014058,Chadwell Heath,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,172
E05014058,Chadwell Heath,"White: English, Welsh, Scottish, Northern Irish or British",4476
E05014058,Chadwell Heath,White: Irish,154
E05014058,Chadwell Heath,White: Gypsy or Irish Traveller,14
E05014058,Chadwell Heath,White: Roma,74
E05014058,Chadwell Heath,White: Other White,1451
E05014058,Chadwell Heath,Other ethnic group: Arab,74
E05014058,Chadwell Heath,Other ethnic group: Any other ethnic group,446
E05014059,Eastbrook & Rush Green,"Asian, Asian British or Asian Welsh: Bangladeshi",417
E05014059,Eastbrook & Rush Green,"Asian, Asian British or Asian Welsh: Chinese",40
E05014059,Eastbrook & Rush Green,"Asian, Asian British or Asian Welsh: Indian",262
E05014059,Eastbrook & Rush Green,"Asian, Asian British or Asian Welsh: Pakistani",322
E05014059,Eastbrook & Rush Green,"Asian, Asian British or Asian Welsh: Other Asian",254
E05014059,Eastbrook & Rush Green,"Black, Black British, Black Welsh, Caribbean or African: African",975
E05014059,Eastbrook & Rush Green,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",265
E05014059,Eastbrook & Rush Green,"Black, Black British, Black Welsh, Caribbean or African: Other Black",192
E05014059,Eastbrook & Rush Green,Mixed or Multiple ethnic groups: White and Asian,63
E05014059,Eastbrook & Rush Green,Mixed or Multiple ethnic groups: White and Black African,74
E05014059,Eastbrook & Rush Green,Mixed or Multiple ethnic groups: White and Black Caribbean,141
E05014059,Eastbrook & Rush Green,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,59
E05014059,Eastbrook & Rush Green,"White: English, Welsh, Scottish, Northern Irish or British",4400
E05014059,Eastbrook & Rush Green,White: Irish,75
E05014059,Eastbrook & Rush Green,White: Gypsy or Irish Traveller,23
E05014059,Eastbrook & Rush Green,White: Roma,40
E05014059,Eastbrook & Rush Green,White: Other White,864
E05014059,Eastbrook & Rush Green,Other ethnic group: Arab,45
E05014059,Eastbrook & Rush Green,Other ethnic group: Any other ethnic group,230
E05014060,Eastbury,"Asian, Asian British or Asian Welsh: Bangladeshi",1729
E05014060,Eastbury,"Asian, Asian British or Asian Welsh: Chinese",85
E05014060,Eastbury,"Asian, Asian British or Asian Welsh: Indian",569
E05014060,Eastbury,"Asian, Asian British or Asian Welsh: Pakistani",1021
E05014060,Eastbury,"Asian, Asian British or Asian Welsh: Other Asian",371
E05014060,Eastbury,"Black, Black British, Black Welsh, Caribbean or African: African",2446
E05014060,Eastbury,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",342
E05014060,Eastbury,"Black, Black British, Black Welsh, Caribbean or African: Other Black",421
E05014060,Eastbury,Mixed or Multiple ethnic groups: White and Asian,92
E05014060,Eastbury,Mixed or Multiple ethnic groups: White and Black African,176
E05014060,Eastbury,Mixed or Multiple ethnic groups: White and Black Caribbean,180
E05014060,Eastbury,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,189
E05014060,Eastbury,"White: English, Welsh, Scottish, Northern Irish or British",5076
E05014060,Eastbury,White: Irish,47
E05014060,Eastbury,White: Gypsy or Irish Traveller,17
E05014060,Eastbury,White: Roma,42
E05014060,Eastbury,White: Other White,2390
E05014060,Eastbury,Other ethnic group: Arab,103
E05014060,Eastbury,Other ethnic group: Any other ethnic group,419
E05014061,Gascoigne,"Asian, Asian British or Asian Welsh: Bangladeshi",1084
E05014061,Gascoigne,"Asian, Asian British or Asian Welsh: Chinese",77
E05014061,Gascoigne,"Asian, Asian British or Asian Welsh: Indian",543
E05014061,Gascoigne,"Asian, Asian British or Asian Welsh: Pakistani",1022
E05014061,Gascoigne,"Asian, Asian British or Asian Welsh: Other Asian",333
E05014061,Gascoigne,"Black, Black British, Black Welsh, Caribbean or African: African",2402
E05014061,Gascoigne,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",247
E05014061,Gascoigne,"Black, Black British, Black Welsh, Caribbean or African: Other Black",403
E05014061,Gascoigne,Mixed or Multiple ethnic groups: White and Asian,98
E05014061,Gascoigne,Mixed or Multiple ethnic groups: White and Black African,178
E05014061,Gascoigne,Mixed or Multiple ethnic groups: White and Black Caribbean,141
E05014061,Gascoigne,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,123
E05014061,Gascoigne,"White: English, Welsh, Scottish, Northern Irish or British",1807
E05014061,Gascoigne,White: Irish,54
