lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,One person household: Aged 66 years and over,425
E09000030,Tower Hamlets,E05009317,Bethnal Green,One person household: Other,1627
E09000030,Tower Hamlets,E05009317,Bethnal Green,Single family household: All aged 66 years and over,102
E09000030,Tower Hamlets,E05009317,Bethnal Green,Single family household: Married or civil partnership couple: No children,386
E09000030,Tower Hamlets,E05009317,Bethnal Green,Single family household: Married or civil partnership couple: Dependent children,1196
E09000030,Tower Hamlets,E05009317,Bethnal Green,Single family household: Married or civil partnership couple: All children non-dependent,237
E09000030,Tower Hamlets,E05009317,Bethnal Green,Single family household: Cohabiting couple family: No children,644
E09000030,Tower Hamlets,E05009317,Bethnal Green,Single family household: Cohabiting couple family: With dependent children,201
E09000030,Tower Hamlets,E05009317,Bethnal Green,Single family household: Cohabiting couple family: All children non-dependent,29
E09000030,Tower Hamlets,E05009317,Bethnal Green,Single family household: Lone parent family: With dependent children,570
E09000030,Tower Hamlets,E05009317,Bethnal Green,Single family household: Lone parent family: All children non-dependent,413
E09000030,Tower Hamlets,E05009317,Bethnal Green,Single family household: Other single family household: Other family composition,193
E09000030,Tower Hamlets,E05009317,Bethnal Green,Multiple-family household: With dependent children,308
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Multiple-family household: Other, including all full-time students and all aged 66 years and over",1035
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,One person household: Aged 66 years and over,229
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,One person household: Other,3300
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Single family household: All aged 66 years and over,78
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Single family household: Married or civil partnership couple: No children,1062
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Single family household: Married or civil partnership couple: Dependent children,1073
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Single family household: Married or civil partnership couple: All children non-dependent,127
