gss_code_ward,ward_name,category,count_21
E09000001,City of London,One-person household,2507
E09000001,City of London,Multi-person household: No people stated their religion,108
E09000001,City of London,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),809
E09000001,City of London,Multi-person household: No religion (household may include people who did not state their religion),899
E09000001,City of London,Multi-person household: Same religion and no religion (household may include people who did not state their religion),512
E09000001,City of London,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),81
E05014066,Northbury,One-person household,1151
E05014066,Northbury,Multi-person household: No people stated their religion,80
E05014066,Northbury,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),2514
E05014066,Northbury,Multi-person household: No religion (household may include people who did not state their religion),275
E05014066,Northbury,Multi-person household: Same religion and no religion (household may include people who did not state their religion),260
E05014066,Northbury,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),135
E05014053,Abbey,One-person household,378
E05014053,Abbey,Multi-person household: No people stated their religion,22
E05014053,Abbey,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),854
E05014053,Abbey,Multi-person household: No religion (household may include people who did not state their religion),82
E05014053,Abbey,Multi-person household: Same religion and no religion (household may include people who did not state their religion),74
E05014053,Abbey,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),49
E05014054,Alibon,One-person household,734
E05014054,Alibon,Multi-person household: No people stated their religion,75
E05014054,Alibon,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),1644
E05014054,Alibon,Multi-person household: No religion (household may include people who did not state their religion),474
E05014054,Alibon,Multi-person household: Same religion and no religion (household may include people who did not state their religion),328
E05014054,Alibon,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),67
E05014067,Parsloes,One-person household,1299
E05014067,Parsloes,Multi-person household: No people stated their religion,102
E05014067,Parsloes,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),2476
E05014067,Parsloes,Multi-person household: No religion (household may include people who did not state their religion),798
E05014067,Parsloes,Multi-person household: Same religion and no religion (household may include people who did not state their religion),520
E05014067,Parsloes,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),111
E05014057,Becontree,One-person household,617
E05014057,Becontree,Multi-person household: No people stated their religion,73
E05014057,Becontree,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),1659
E05014057,Becontree,Multi-person household: No religion (household may include people who did not state their religion),354
E05014057,Becontree,Multi-person household: Same religion and no religion (household may include people who did not state their religion),289
E05014057,Becontree,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),85
E05014065,Mayesbrook,One-person household,1323
E05014065,Mayesbrook,Multi-person household: No people stated their religion,96
E05014065,Mayesbrook,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),2601
E05014065,Mayesbrook,Multi-person household: No religion (household may include people who did not state their religion),710
E05014065,Mayesbrook,Multi-person household: Same religion and no religion (household may include people who did not state their religion),483
E05014065,Mayesbrook,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),119
E05014058,Chadwell Heath,One-person household,1236
E05014058,Chadwell Heath,Multi-person household: No people stated their religion,100
E05014058,Chadwell Heath,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),2407
E05014058,Chadwell Heath,Multi-person household: No religion (household may include people who did not state their religion),528
E05014058,Chadwell Heath,Multi-person household: Same religion and no religion (household may include people who did not state their religion),400
