lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,1 person in household,2045
E09000030,Tower Hamlets,E05009317,Bethnal Green,2 people in household,2146
E09000030,Tower Hamlets,E05009317,Bethnal Green,3 people in household,1113
E09000030,Tower Hamlets,E05009317,Bethnal Green,4 people in household,955
E09000030,Tower Hamlets,E05009317,Bethnal Green,5 people in household,557
E09000030,Tower Hamlets,E05009317,Bethnal Green,6 people in household,314
E09000030,Tower Hamlets,E05009317,Bethnal Green,7 people in household,121
E09000030,Tower Hamlets,E05009317,Bethnal Green,8 or more people in household,95
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,1 person in household,3525
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,2 people in household,3517
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,3 people in household,1285
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,4 people in household,708
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,5 people in household,289
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,6 people in household,175
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,7 people in household,76
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,8 or more people in household,125
E09000030,Tower Hamlets,E05009319,Bow East,1 person in household,2722
E09000030,Tower Hamlets,E05009319,Bow East,2 people in household,2973
E09000030,Tower Hamlets,E05009319,Bow East,3 people in household,1265
E09000030,Tower Hamlets,E05009319,Bow East,4 people in household,714
E09000030,Tower Hamlets,E05009319,Bow East,5 people in household,427
E09000030,Tower Hamlets,E05009319,Bow East,6 people in household,166
E09000030,Tower Hamlets,E05009319,Bow East,7 people in household,86
E09000030,Tower Hamlets,E05009319,Bow East,8 or more people in household,53
E09000030,Tower Hamlets,E05009320,Bow West,1 person in household,1525
E09000030,Tower Hamlets,E05009320,Bow West,2 people in household,1604
E09000030,Tower Hamlets,E05009320,Bow West,3 people in household,874
E09000030,Tower Hamlets,E05009320,Bow West,4 people in household,676
E09000030,Tower Hamlets,E05009320,Bow West,5 people in household,311
E09000030,Tower Hamlets,E05009320,Bow West,6 people in household,168
E09000030,Tower Hamlets,E05009320,Bow West,7 people in household,38
E09000030,Tower Hamlets,E05009320,Bow West,8 or more people in household,79
E09000030,Tower Hamlets,E05009321,Bromley North,1 person in household,1435
E09000030,Tower Hamlets,E05009321,Bromley North,2 people in household,1245
E09000030,Tower Hamlets,E05009321,Bromley North,3 people in household,639
E09000030,Tower Hamlets,E05009321,Bromley North,4 people in household,500
E09000030,Tower Hamlets,E05009321,Bromley North,5 people in household,311
E09000030,Tower Hamlets,E05009321,Bromley North,6 people in household,158
E09000030,Tower Hamlets,E05009321,Bromley North,7 people in household,55
E09000030,Tower Hamlets,E05009321,Bromley North,8 or more people in household,72
E09000030,Tower Hamlets,E05009322,Bromley South,1 person in household,1396
E09000030,Tower Hamlets,E05009322,Bromley South,2 people in household,1521
E09000030,Tower Hamlets,E05009322,Bromley South,3 people in household,755
E09000030,Tower Hamlets,E05009322,Bromley South,4 people in household,603
E09000030,Tower Hamlets,E05009322,Bromley South,5 people in household,444
E09000030,Tower Hamlets,E05009322,Bromley South,6 people in household,248
E09000030,Tower Hamlets,E05009322,Bromley South,7 people in household,100
E09000030,Tower Hamlets,E05009322,Bromley South,8 or more people in household,80
E09000030,Tower Hamlets,E05009323,Canary Wharf,1 person in household,3425
E09000030,Tower Hamlets,E05009323,Canary Wharf,2 people in household,2992
E09000030,Tower Hamlets,E05009323,Canary Wharf,3 people in household,977
E09000030,Tower Hamlets,E05009323,Canary Wharf,4 people in household,526
E09000030,Tower Hamlets,E05009323,Canary Wharf,5 people in household,301
E09000030,Tower Hamlets,E05009323,Canary Wharf,6 people in household,195
E09000030,Tower Hamlets,E05009323,Canary Wharf,7 people in household,70
E09000030,Tower Hamlets,E05009323,Canary Wharf,8 or more people in household,34
E09000030,Tower Hamlets,E05009324,Island Gardens,1 person in household,1698
E09000030,Tower Hamlets,E05009324,Island Gardens,2 people in household,1979
E09000030,Tower Hamlets,E05009324,Island Gardens,3 people in household,1026
E09000030,Tower Hamlets,E05009324,Island Gardens,4 people in household,708
E09000030,Tower Hamlets,E05009324,Island Gardens,5 people in household,284
E09000030,Tower Hamlets,E05009324,Island Gardens,6 people in household,140
E09000030,Tower Hamlets,E05009324,Island Gardens,7 people in household,61
E09000030,Tower Hamlets,E05009324,Island Gardens,8 or more people in household,64
E09000030,Tower Hamlets,E05009325,Lansbury,1 person in household,1981
E09000030,Tower Hamlets,E05009325,Lansbury,2 people in household,2035
E09000030,Tower Hamlets,E05009325,Lansbury,3 people in household,1245
E09000030,Tower Hamlets,E05009325,Lansbury,4 people in household,963
E09000030,Tower Hamlets,E05009325,Lansbury,5 people in household,615
E09000030,Tower Hamlets,E05009325,Lansbury,6 people in household,377
E09000030,Tower Hamlets,E05009325,Lansbury,7 people in household,162
E09000030,Tower Hamlets,E05009325,Lansbury,8 or more people in household,164
E09000030,Tower Hamlets,E05009326,Limehouse,1 person in household,1042
E09000030,Tower Hamlets,E05009326,Limehouse,2 people in household,1134
E09000030,Tower Hamlets,E05009326,Limehouse,3 people in household,362
E09000030,Tower Hamlets,E05009326,Limehouse,4 people in household,225
E09000030,Tower Hamlets,E05009326,Limehouse,5 people in household,101
E09000030,Tower Hamlets,E05009326,Limehouse,6 people in household,49
E09000030,Tower Hamlets,E05009326,Limehouse,7 people in household,72
E09000030,Tower Hamlets,E05009326,Limehouse,8 or more people in household,12
E09000030,Tower Hamlets,E05009327,Mile End,1 person in household,2141
E09000030,Tower Hamlets,E05009327,Mile End,2 people in household,2215
E09000030,Tower Hamlets,E05009327,Mile End,3 people in household,1214
E09000030,Tower Hamlets,E05009327,Mile End,4 people in household,1067
E09000030,Tower Hamlets,E05009327,Mile End,5 people in household,630
E09000030,Tower Hamlets,E05009327,Mile End,6 people in household,334
E09000030,Tower Hamlets,E05009327,Mile End,7 people in household,132
E09000030,Tower Hamlets,E05009327,Mile End,8 or more people in household,133
E09000030,Tower Hamlets,E05009328,Poplar,1 person in household,830
E09000030,Tower Hamlets,E05009328,Poplar,2 people in household,693
E09000030,Tower Hamlets,E05009328,Poplar,3 people in household,427
E09000030,Tower Hamlets,E05009328,Poplar,4 people in household,373
E09000030,Tower Hamlets,E05009328,Poplar,5 people in household,285
E09000030,Tower Hamlets,E05009328,Poplar,6 people in household,135
E09000030,Tower Hamlets,E05009328,Poplar,7 people in household,66
E09000030,Tower Hamlets,E05009328,Poplar,8 or more people in household,34
E09000030,Tower Hamlets,E05009329,St Dunstan's,1 person in household,1275
E09000030,Tower Hamlets,E05009329,St Dunstan's,2 people in household,1171
E09000030,Tower Hamlets,E05009329,St Dunstan's,3 people in household,658
E09000030,Tower Hamlets,E05009329,St Dunstan's,4 people in household,595
E09000030,Tower Hamlets,E05009329,St Dunstan's,5 people in household,385
