lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,Household is not deprived in any dimension,2898
E09000030,Tower Hamlets,E05009317,Bethnal Green,Household is deprived in one dimension,2519
E09000030,Tower Hamlets,E05009317,Bethnal Green,Household is deprived in two dimensions,1379
E09000030,Tower Hamlets,E05009317,Bethnal Green,Household is deprived in three dimensions,531
E09000030,Tower Hamlets,E05009317,Bethnal Green,Household is deprived in four dimensions,43
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Household is not deprived in any dimension,5391
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Household is deprived in one dimension,2974
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Household is deprived in two dimensions,929
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Household is deprived in three dimensions,366
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Household is deprived in four dimensions,34
E09000030,Tower Hamlets,E05009319,Bow East,Household is not deprived in any dimension,4234
E09000030,Tower Hamlets,E05009319,Bow East,Household is deprived in one dimension,2426
E09000030,Tower Hamlets,E05009319,Bow East,Household is deprived in two dimensions,1280
E09000030,Tower Hamlets,E05009319,Bow East,Household is deprived in three dimensions,450
E09000030,Tower Hamlets,E05009319,Bow East,Household is deprived in four dimensions,39
E09000030,Tower Hamlets,E05009320,Bow West,Household is not deprived in any dimension,2387
E09000030,Tower Hamlets,E05009320,Bow West,Household is deprived in one dimension,1707
E09000030,Tower Hamlets,E05009320,Bow West,Household is deprived in two dimensions,876
E09000030,Tower Hamlets,E05009320,Bow West,Household is deprived in three dimensions,284
E09000030,Tower Hamlets,E05009320,Bow West,Household is deprived in four dimensions,26
E09000030,Tower Hamlets,E05009321,Bromley North,Household is not deprived in any dimension,1784
E09000030,Tower Hamlets,E05009321,Bromley North,Household is deprived in one dimension,1458
E09000030,Tower Hamlets,E05009321,Bromley North,Household is deprived in two dimensions,813
E09000030,Tower Hamlets,E05009321,Bromley North,Household is deprived in three dimensions,332
E09000030,Tower Hamlets,E05009321,Bromley North,Household is deprived in four dimensions,34
E09000030,Tower Hamlets,E05009322,Bromley South,Household is not deprived in any dimension,2185
E09000030,Tower Hamlets,E05009322,Bromley South,Household is deprived in one dimension,1673
E09000030,Tower Hamlets,E05009322,Bromley South,Household is deprived in two dimensions,895
E09000030,Tower Hamlets,E05009322,Bromley South,Household is deprived in three dimensions,365
E09000030,Tower Hamlets,E05009322,Bromley South,Household is deprived in four dimensions,21
E09000030,Tower Hamlets,E05009323,Canary Wharf,Household is not deprived in any dimension,4957
E09000030,Tower Hamlets,E05009323,Canary Wharf,Household is deprived in one dimension,2462
E09000030,Tower Hamlets,E05009323,Canary Wharf,Household is deprived in two dimensions,781
E09000030,Tower Hamlets,E05009323,Canary Wharf,Household is deprived in three dimensions,294
E09000030,Tower Hamlets,E05009323,Canary Wharf,Household is deprived in four dimensions,21
E09000030,Tower Hamlets,E05009324,Island Gardens,Household is not deprived in any dimension,3023
E09000030,Tower Hamlets,E05009324,Island Gardens,Household is deprived in one dimension,1897
E09000030,Tower Hamlets,E05009324,Island Gardens,Household is deprived in two dimensions,813
E09000030,Tower Hamlets,E05009324,Island Gardens,Household is deprived in three dimensions,229
E09000030,Tower Hamlets,E05009324,Island Gardens,Household is deprived in four dimensions,10
E09000030,Tower Hamlets,E05009325,Lansbury,Household is not deprived in any dimension,3009
E09000030,Tower Hamlets,E05009325,Lansbury,Household is deprived in one dimension,2470
E09000030,Tower Hamlets,E05009325,Lansbury,Household is deprived in two dimensions,1440
E09000030,Tower Hamlets,E05009325,Lansbury,Household is deprived in three dimensions,588
E09000030,Tower Hamlets,E05009325,Lansbury,Household is deprived in four dimensions,26
E09000030,Tower Hamlets,E05009326,Limehouse,Household is not deprived in any dimension,1725
E09000030,Tower Hamlets,E05009326,Limehouse,Household is deprived in one dimension,849
E09000030,Tower Hamlets,E05009326,Limehouse,Household is deprived in two dimensions,304
E09000030,Tower Hamlets,E05009326,Limehouse,Household is deprived in three dimensions,110
E09000030,Tower Hamlets,E05009326,Limehouse,Household is deprived in four dimensions,7
E09000030,Tower Hamlets,E05009327,Mile End,Household is not deprived in any dimension,3374
E09000030,Tower Hamlets,E05009327,Mile End,Household is deprived in one dimension,2545
E09000030,Tower Hamlets,E05009327,Mile End,Household is deprived in two dimensions,1410
E09000030,Tower Hamlets,E05009327,Mile End,Household is deprived in three dimensions,502
E09000030,Tower Hamlets,E05009327,Mile End,Household is deprived in four dimensions,30
E09000030,Tower Hamlets,E05009328,Poplar,Household is not deprived in any dimension,1085
E09000030,Tower Hamlets,E05009328,Poplar,Household is deprived in one dimension,987
E09000030,Tower Hamlets,E05009328,Poplar,Household is deprived in two dimensions,528
E09000030,Tower Hamlets,E05009328,Poplar,Household is deprived in three dimensions,208
E09000030,Tower Hamlets,E05009328,Poplar,Household is deprived in four dimensions,17
E09000030,Tower Hamlets,E05009329,St Dunstan's,Household is not deprived in any dimension,1762
E09000030,Tower Hamlets,E05009329,St Dunstan's,Household is deprived in one dimension,1524
E09000030,Tower Hamlets,E05009329,St Dunstan's,Household is deprived in two dimensions,912
E09000030,Tower Hamlets,E05009329,St Dunstan's,Household is deprived in three dimensions,400
E09000030,Tower Hamlets,E05009329,St Dunstan's,Household is deprived in four dimensions,20
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Household is not deprived in any dimension,3527
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Household is deprived in one dimension,1622
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Household is deprived in two dimensions,504
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Household is deprived in three dimensions,141
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Household is deprived in four dimensions,7
E09000030,Tower Hamlets,E05009331,St Peter's,Household is not deprived in any dimension,3210
E09000030,Tower Hamlets,E05009331,St Peter's,Household is deprived in one dimension,2397
E09000030,Tower Hamlets,E05009331,St Peter's,Household is deprived in two dimensions,1276
E09000030,Tower Hamlets,E05009331,St Peter's,Household is deprived in three dimensions,567
E09000030,Tower Hamlets,E05009331,St Peter's,Household is deprived in four dimensions,48
E09000030,Tower Hamlets,E05009332,Shadwell,Household is not deprived in any dimension,1502
E09000030,Tower Hamlets,E05009332,Shadwell,Household is deprived in one dimension,1556
E09000030,Tower Hamlets,E05009332,Shadwell,Household is deprived in two dimensions,921
E09000030,Tower Hamlets,E05009332,Shadwell,Household is deprived in three dimensions,379
E09000030,Tower Hamlets,E05009332,Shadwell,Household is deprived in four dimensions,26
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Household is not deprived in any dimension,2312
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Household is deprived in one dimension,1571
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Household is deprived in two dimensions,789
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Household is deprived in three dimensions,319
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Household is deprived in four dimensions,23
E09000030,Tower Hamlets,E05009334,Stepney Green,Household is not deprived in any dimension,1416
E09000030,Tower Hamlets,E05009334,Stepney Green,Household is deprived in one dimension,1574
