lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,Never married and never registered a civil partnership,10326
E09000030,Tower Hamlets,E05009317,Bethnal Green,Married: Opposite sex,4964
E09000030,Tower Hamlets,E05009317,Bethnal Green,Married: Same sex,99
E09000030,Tower Hamlets,E05009317,Bethnal Green,In a registered civil partnership: Opposite sex,21
E09000030,Tower Hamlets,E05009317,Bethnal Green,In a registered civil partnership: Same sex,41
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Separated, but still married",324
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Separated, but still in a registered civil partnership",4
E09000030,Tower Hamlets,E05009317,Bethnal Green,Divorced,879
E09000030,Tower Hamlets,E05009317,Bethnal Green,Formerly in a civil partnership now legally dissolved,4
E09000030,Tower Hamlets,E05009317,Bethnal Green,Widowed,471
E09000030,Tower Hamlets,E05009317,Bethnal Green,Surviving partner from civil partnership,1
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Never married and never registered a civil partnership,11228
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Married: Opposite sex,5621
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Married: Same sex,136
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,In a registered civil partnership: Opposite sex,20
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,In a registered civil partnership: Same sex,58
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"Separated, but still married",316
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"Separated, but still in a registered civil partnership",5
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Divorced,833
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Formerly in a civil partnership now legally dissolved,18
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Widowed,250
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Surviving partner from civil partnership,2
E09000030,Tower Hamlets,E05009319,Bow East,Never married and never registered a civil partnership,10491
E09000030,Tower Hamlets,E05009319,Bow East,Married: Opposite sex,3987
E09000030,Tower Hamlets,E05009319,Bow East,Married: Same sex,113
E09000030,Tower Hamlets,E05009319,Bow East,In a registered civil partnership: Opposite sex,23
E09000030,Tower Hamlets,E05009319,Bow East,In a registered civil partnership: Same sex,54
E09000030,Tower Hamlets,E05009319,Bow East,"Separated, but still married",311
E09000030,Tower Hamlets,E05009319,Bow East,"Separated, but still in a registered civil partnership",6
E09000030,Tower Hamlets,E05009319,Bow East,Divorced,855
E09000030,Tower Hamlets,E05009319,Bow East,Formerly in a civil partnership now legally dissolved,11
E09000030,Tower Hamlets,E05009319,Bow East,Widowed,449
E09000030,Tower Hamlets,E05009319,Bow East,Surviving partner from civil partnership,0
E09000030,Tower Hamlets,E05009320,Bow West,Never married and never registered a civil partnership,6549
E09000030,Tower Hamlets,E05009320,Bow West,Married: Opposite sex,3323
E09000030,Tower Hamlets,E05009320,Bow West,Married: Same sex,73
E09000030,Tower Hamlets,E05009320,Bow West,In a registered civil partnership: Opposite sex,15
E09000030,Tower Hamlets,E05009320,Bow West,In a registered civil partnership: Same sex,51
E09000030,Tower Hamlets,E05009320,Bow West,"Separated, but still married",230
E09000030,Tower Hamlets,E05009320,Bow West,"Separated, but still in a registered civil partnership",7
E09000030,Tower Hamlets,E05009320,Bow West,Divorced,699
E09000030,Tower Hamlets,E05009320,Bow West,Formerly in a civil partnership now legally dissolved,7
E09000030,Tower Hamlets,E05009320,Bow West,Widowed,361
E09000030,Tower Hamlets,E05009320,Bow West,Surviving partner from civil partnership,1
E09000030,Tower Hamlets,E05009321,Bromley North,Never married and never registered a civil partnership,5000
E09000030,Tower Hamlets,E05009321,Bromley North,Married: Opposite sex,3033
E09000030,Tower Hamlets,E05009321,Bromley North,Married: Same sex,39
E09000030,Tower Hamlets,E05009321,Bromley North,In a registered civil partnership: Opposite sex,8
E09000030,Tower Hamlets,E05009321,Bromley North,In a registered civil partnership: Same sex,21
E09000030,Tower Hamlets,E05009321,Bromley North,"Separated, but still married",180
E09000030,Tower Hamlets,E05009321,Bromley North,"Separated, but still in a registered civil partnership",1
E09000030,Tower Hamlets,E05009321,Bromley North,Divorced,499
E09000030,Tower Hamlets,E05009321,Bromley North,Formerly in a civil partnership now legally dissolved,9
E09000030,Tower Hamlets,E05009321,Bromley North,Widowed,233
E09000030,Tower Hamlets,E05009321,Bromley North,Surviving partner from civil partnership,0
E09000030,Tower Hamlets,E05009322,Bromley South,Never married and never registered a civil partnership,6426
E09000030,Tower Hamlets,E05009322,Bromley South,Married: Opposite sex,3667
E09000030,Tower Hamlets,E05009322,Bromley South,Married: Same sex,36
E09000030,Tower Hamlets,E05009322,Bromley South,In a registered civil partnership: Opposite sex,12
E09000030,Tower Hamlets,E05009322,Bromley South,In a registered civil partnership: Same sex,12
E09000030,Tower Hamlets,E05009322,Bromley South,"Separated, but still married",258
E09000030,Tower Hamlets,E05009322,Bromley South,"Separated, but still in a registered civil partnership",3
E09000030,Tower Hamlets,E05009322,Bromley South,Divorced,457
E09000030,Tower Hamlets,E05009322,Bromley South,Formerly in a civil partnership now legally dissolved,10
E09000030,Tower Hamlets,E05009322,Bromley South,Widowed,253
E09000030,Tower Hamlets,E05009322,Bromley South,Surviving partner from civil partnership,0
E09000030,Tower Hamlets,E05009323,Canary Wharf,Never married and never registered a civil partnership,8849
E09000030,Tower Hamlets,E05009323,Canary Wharf,Married: Opposite sex,5008
E09000030,Tower Hamlets,E05009323,Canary Wharf,Married: Same sex,95
E09000030,Tower Hamlets,E05009323,Canary Wharf,In a registered civil partnership: Opposite sex,24
E09000030,Tower Hamlets,E05009323,Canary Wharf,In a registered civil partnership: Same sex,56
E09000030,Tower Hamlets,E05009323,Canary Wharf,"Separated, but still married",270
E09000030,Tower Hamlets,E05009323,Canary Wharf,"Separated, but still in a registered civil partnership",4
E09000030,Tower Hamlets,E05009323,Canary Wharf,Divorced,684
E09000030,Tower Hamlets,E05009323,Canary Wharf,Formerly in a civil partnership now legally dissolved,10
E09000030,Tower Hamlets,E05009323,Canary Wharf,Widowed,191
E09000030,Tower Hamlets,E05009323,Canary Wharf,Surviving partner from civil partnership,4
E09000030,Tower Hamlets,E05009324,Island Gardens,Never married and never registered a civil partnership,6278
E09000030,Tower Hamlets,E05009324,Island Gardens,Married: Opposite sex,4534
E09000030,Tower Hamlets,E05009324,Island Gardens,Married: Same sex,64
E09000030,Tower Hamlets,E05009324,Island Gardens,In a registered civil partnership: Opposite sex,7
E09000030,Tower Hamlets,E05009324,Island Gardens,In a registered civil partnership: Same sex,85
E09000030,Tower Hamlets,E05009324,Island Gardens,"Separated, but still married",201
E09000030,Tower Hamlets,E05009324,Island Gardens,"Separated, but still in a registered civil partnership",6
E09000030,Tower Hamlets,E05009324,Island Gardens,Divorced,696
E09000030,Tower Hamlets,E05009324,Island Gardens,Formerly in a civil partnership now legally dissolved,3
E09000030,Tower Hamlets,E05009324,Island Gardens,Widowed,297
E09000030,Tower Hamlets,E05009324,Island Gardens,Surviving partner from civil partnership,2
E09000030,Tower Hamlets,E05009325,Lansbury,Never married and never registered a civil partnership,9157
E09000030,Tower Hamlets,E05009325,Lansbury,Married: Opposite sex,5618
E09000030,Tower Hamlets,E05009325,Lansbury,Married: Same sex,97
E09000030,Tower Hamlets,E05009325,Lansbury,In a registered civil partnership: Opposite sex,17
E09000030,Tower Hamlets,E05009325,Lansbury,In a registered civil partnership: Same sex,36
E09000030,Tower Hamlets,E05009325,Lansbury,"Separated, but still married",444
E09000030,Tower Hamlets,E05009325,Lansbury,"Separated, but still in a registered civil partnership",7
E09000030,Tower Hamlets,E05009325,Lansbury,Divorced,878
E09000030,Tower Hamlets,E05009325,Lansbury,Formerly in a civil partnership now legally dissolved,11
E09000030,Tower Hamlets,E05009325,Lansbury,Widowed,463
E09000030,Tower Hamlets,E05009325,Lansbury,Surviving partner from civil partnership,3
E09000030,Tower Hamlets,E05009326,Limehouse,Never married and never registered a civil partnership,3586
E09000030,Tower Hamlets,E05009326,Limehouse,Married: Opposite sex,1646
E09000030,Tower Hamlets,E05009326,Limehouse,Married: Same sex,74
E09000030,Tower Hamlets,E05009326,Limehouse,In a registered civil partnership: Opposite sex,4
E09000030,Tower Hamlets,E05009326,Limehouse,In a registered civil partnership: Same sex,31
E09000030,Tower Hamlets,E05009326,Limehouse,"Separated, but still married",108
E09000030,Tower Hamlets,E05009326,Limehouse,"Separated, but still in a registered civil partnership",6
E09000030,Tower Hamlets,E05009326,Limehouse,Divorced,321
E09000030,Tower Hamlets,E05009326,Limehouse,Formerly in a civil partnership now legally dissolved,7
E09000030,Tower Hamlets,E05009326,Limehouse,Widowed,112
E09000030,Tower Hamlets,E05009326,Limehouse,Surviving partner from civil partnership,2
E09000030,Tower Hamlets,E05009327,Mile End,Never married and never registered a civil partnership,9854
E09000030,Tower Hamlets,E05009327,Mile End,Married: Opposite sex,5600
E09000030,Tower Hamlets,E05009327,Mile End,Married: Same sex,87
E09000030,Tower Hamlets,E05009327,Mile End,In a registered civil partnership: Opposite sex,18
E09000030,Tower Hamlets,E05009327,Mile End,In a registered civil partnership: Same sex,28
E09000030,Tower Hamlets,E05009327,Mile End,"Separated, but still married",335
E09000030,Tower Hamlets,E05009327,Mile End,"Separated, but still in a registered civil partnership",6
E09000030,Tower Hamlets,E05009327,Mile End,Divorced,804
E09000030,Tower Hamlets,E05009327,Mile End,Formerly in a civil partnership now legally dissolved,10
E09000030,Tower Hamlets,E05009327,Mile End,Widowed,417
E09000030,Tower Hamlets,E05009327,Mile End,Surviving partner from civil partnership,2
E09000030,Tower Hamlets,E05009328,Poplar,Never married and never registered a civil partnership,3123
E09000030,Tower Hamlets,E05009328,Poplar,Married: Opposite sex,2222
E09000030,Tower Hamlets,E05009328,Poplar,Married: Same sex,24
E09000030,Tower Hamlets,E05009328,Poplar,In a registered civil partnership: Opposite sex,8
E09000030,Tower Hamlets,E05009328,Poplar,In a registered civil partnership: Same sex,15
E09000030,Tower Hamlets,E05009328,Poplar,"Separated, but still married",151
E09000030,Tower Hamlets,E05009328,Poplar,"Separated, but still in a registered civil partnership",0
E09000030,Tower Hamlets,E05009328,Poplar,Divorced,299
E09000030,Tower Hamlets,E05009328,Poplar,Formerly in a civil partnership now legally dissolved,0
E09000030,Tower Hamlets,E05009328,Poplar,Widowed,169
E09000030,Tower Hamlets,E05009328,Poplar,Surviving partner from civil partnership,0
E09000030,Tower Hamlets,E05009329,St Dunstan's,Never married and never registered a civil partnership,6272
E09000030,Tower Hamlets,E05009329,St Dunstan's,Married: Opposite sex,3730
E09000030,Tower Hamlets,E05009329,St Dunstan's,Married: Same sex,40
E09000030,Tower Hamlets,E05009329,St Dunstan's,In a registered civil partnership: Opposite sex,16
E09000030,Tower Hamlets,E05009329,St Dunstan's,In a registered civil partnership: Same sex,28
E09000030,Tower Hamlets,E05009329,St Dunstan's,"Separated, but still married",223
E09000030,Tower Hamlets,E05009329,St Dunstan's,"Separated, but still in a registered civil partnership",4
E09000030,Tower Hamlets,E05009329,St Dunstan's,Divorced,504
E09000030,Tower Hamlets,E05009329,St Dunstan's,Formerly in a civil partnership now legally dissolved,7
E09000030,Tower Hamlets,E05009329,St Dunstan's,Widowed,444
E09000030,Tower Hamlets,E05009329,St Dunstan's,Surviving partner from civil partnership,0
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Never married and never registered a civil partnership,6005
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Married: Opposite sex,3334
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Married: Same sex,100
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,In a registered civil partnership: Opposite sex,17
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,In a registered civil partnership: Same sex,47
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,"Separated, but still married",181
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,"Separated, but still in a registered civil partnership",1
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Divorced,616
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Formerly in a civil partnership now legally dissolved,10
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Widowed,230
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Surviving partner from civil partnership,2
E09000030,Tower Hamlets,E05009331,St Peter's,Never married and never registered a civil partnership,10184
E09000030,Tower Hamlets,E05009331,St Peter's,Married: Opposite sex,4612
E09000030,Tower Hamlets,E05009331,St Peter's,Married: Same sex,79
E09000030,Tower Hamlets,E05009331,St Peter's,In a registered civil partnership: Opposite sex,30
E09000030,Tower Hamlets,E05009331,St Peter's,In a registered civil partnership: Same sex,44
E09000030,Tower Hamlets,E05009331,St Peter's,"Separated, but still married",300
E09000030,Tower Hamlets,E05009331,St Peter's,"Separated, but still in a registered civil partnership",6
E09000030,Tower Hamlets,E05009331,St Peter's,Divorced,800
E09000030,Tower Hamlets,E05009331,St Peter's,Formerly in a civil partnership now legally dissolved,15
E09000030,Tower Hamlets,E05009331,St Peter's,Widowed,470
E09000030,Tower Hamlets,E05009331,St Peter's,Surviving partner from civil partnership,4
E09000030,Tower Hamlets,E05009332,Shadwell,Never married and never registered a civil partnership,5095
E09000030,Tower Hamlets,E05009332,Shadwell,Married: Opposite sex,3679
E09000030,Tower Hamlets,E05009332,Shadwell,Married: Same sex,49
E09000030,Tower Hamlets,E05009332,Shadwell,In a registered civil partnership: Opposite sex,11
E09000030,Tower Hamlets,E05009332,Shadwell,In a registered civil partnership: Same sex,35
E09000030,Tower Hamlets,E05009332,Shadwell,"Separated, but still married",230
E09000030,Tower Hamlets,E05009332,Shadwell,"Separated, but still in a registered civil partnership",2
E09000030,Tower Hamlets,E05009332,Shadwell,Divorced,499
E09000030,Tower Hamlets,E05009332,Shadwell,Formerly in a civil partnership now legally dissolved,11
E09000030,Tower Hamlets,E05009332,Shadwell,Widowed,416
E09000030,Tower Hamlets,E05009332,Shadwell,Surviving partner from civil partnership,1
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Never married and never registered a civil partnership,7021
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Married: Opposite sex,3056
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Married: Same sex,60
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,In a registered civil partnership: Opposite sex,11
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,In a registered civil partnership: Same sex,30
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,"Separated, but still married",180
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,"Separated, but still in a registered civil partnership",3
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Divorced,509
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Formerly in a civil partnership now legally dissolved,6
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Widowed,377
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Surviving partner from civil partnership,6
E09000030,Tower Hamlets,E05009334,Stepney Green,Never married and never registered a civil partnership,5188
E09000030,Tower Hamlets,E05009334,Stepney Green,Married: Opposite sex,3355
E09000030,Tower Hamlets,E05009334,Stepney Green,Married: Same sex,36
E09000030,Tower Hamlets,E05009334,Stepney Green,In a registered civil partnership: Opposite sex,12
E09000030,Tower Hamlets,E05009334,Stepney Green,In a registered civil partnership: Same sex,18
E09000030,Tower Hamlets,E05009334,Stepney Green,"Separated, but still married",236
E09000030,Tower Hamlets,E05009334,Stepney Green,"Separated, but still in a registered civil partnership",0
E09000030,Tower Hamlets,E05009334,Stepney Green,Divorced,534
E09000030,Tower Hamlets,E05009334,Stepney Green,Formerly in a civil partnership now legally dissolved,3
E09000030,Tower Hamlets,E05009334,Stepney Green,Widowed,433
E09000030,Tower Hamlets,E05009334,Stepney Green,Surviving partner from civil partnership,1
E09000030,Tower Hamlets,E05009335,Weavers,Never married and never registered a civil partnership,6792
E09000030,Tower Hamlets,E05009335,Weavers,Married: Opposite sex,2963
E09000030,Tower Hamlets,E05009335,Weavers,Married: Same sex,84
E09000030,Tower Hamlets,E05009335,Weavers,In a registered civil partnership: Opposite sex,8
E09000030,Tower Hamlets,E05009335,Weavers,In a registered civil partnership: Same sex,43
E09000030,Tower Hamlets,E05009335,Weavers,"Separated, but still married",204
E09000030,Tower Hamlets,E05009335,Weavers,"Separated, but still in a registered civil partnership",2
E09000030,Tower Hamlets,E05009335,Weavers,Divorced,613
E09000030,Tower Hamlets,E05009335,Weavers,Formerly in a civil partnership now legally dissolved,12
E09000030,Tower Hamlets,E05009335,Weavers,Widowed,341
E09000030,Tower Hamlets,E05009335,Weavers,Surviving partner from civil partnership,2
E09000030,Tower Hamlets,E05009336,Whitechapel,Never married and never registered a civil partnership,9970
E09000030,Tower Hamlets,E05009336,Whitechapel,Married: Opposite sex,4471
E09000030,Tower Hamlets,E05009336,Whitechapel,Married: Same sex,70
E09000030,Tower Hamlets,E05009336,Whitechapel,In a registered civil partnership: Opposite sex,23
E09000030,Tower Hamlets,E05009336,Whitechapel,In a registered civil partnership: Same sex,43
E09000030,Tower Hamlets,E05009336,Whitechapel,"Separated, but still married",239
E09000030,Tower Hamlets,E05009336,Whitechapel,"Separated, but still in a registered civil partnership",5
E09000030,Tower Hamlets,E05009336,Whitechapel,Divorced,565
E09000030,Tower Hamlets,E05009336,Whitechapel,Formerly in a civil partnership now legally dissolved,9
E09000030,Tower Hamlets,E05009336,Whitechapel,Widowed,390
E09000030,Tower Hamlets,E05009336,Whitechapel,Surviving partner from civil partnership,1
E09000012,Hackney,E05009367,Brownswood,Never married and never registered a civil partnership,4875
E09000012,Hackney,E05009367,Brownswood,Married: Opposite sex,1865
E09000012,Hackney,E05009367,Brownswood,Married: Same sex,38
E09000012,Hackney,E05009367,Brownswood,In a registered civil partnership: Opposite sex,17
E09000012,Hackney,E05009367,Brownswood,In a registered civil partnership: Same sex,22
E09000012,Hackney,E05009367,Brownswood,"Separated, but still married",205
E09000012,Hackney,E05009367,Brownswood,"Separated, but still in a registered civil partnership",5
E09000012,Hackney,E05009367,Brownswood,Divorced,478
E09000012,Hackney,E05009367,Brownswood,Formerly in a civil partnership now legally dissolved,10
E09000012,Hackney,E05009367,Brownswood,Widowed,149
E09000012,Hackney,E05009367,Brownswood,Surviving partner from civil partnership,4
E09000012,Hackney,E05009368,Cazenove,Never married and never registered a civil partnership,5555
E09000012,Hackney,E05009368,Cazenove,Married: Opposite sex,4255
E09000012,Hackney,E05009368,Cazenove,Married: Same sex,50
E09000012,Hackney,E05009368,Cazenove,In a registered civil partnership: Opposite sex,17
E09000012,Hackney,E05009368,Cazenove,In a registered civil partnership: Same sex,26
