lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,Address one year ago is the same as the address of enumeration,16338
E09000030,Tower Hamlets,E05009317,Bethnal Green,Address one year ago is student term-time or boarding school address in the UK,221
E09000030,Tower Hamlets,E05009317,Bethnal Green,Migrant from within the UK: Address one year ago was in the UK,3425
E09000030,Tower Hamlets,E05009317,Bethnal Green,Migrant from outside the UK: Address one year ago was outside the UK,954
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Address one year ago is the same as the address of enumeration,15713
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Address one year ago is student term-time or boarding school address in the UK,265
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Migrant from within the UK: Address one year ago was in the UK,4611
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Migrant from outside the UK: Address one year ago was outside the UK,1022
E09000030,Tower Hamlets,E05009319,Bow East,Address one year ago is the same as the address of enumeration,15824
E09000030,Tower Hamlets,E05009319,Bow East,Address one year ago is student term-time or boarding school address in the UK,104
E09000030,Tower Hamlets,E05009319,Bow East,Migrant from within the UK: Address one year ago was in the UK,3034
E09000030,Tower Hamlets,E05009319,Bow East,Migrant from outside the UK: Address one year ago was outside the UK,315
E09000030,Tower Hamlets,E05009320,Bow West,Address one year ago is the same as the address of enumeration,11104
E09000030,Tower Hamlets,E05009320,Bow West,Address one year ago is student term-time or boarding school address in the UK,149
E09000030,Tower Hamlets,E05009320,Bow West,Migrant from within the UK: Address one year ago was in the UK,2029
E09000030,Tower Hamlets,E05009320,Bow West,Migrant from outside the UK: Address one year ago was outside the UK,248
E09000030,Tower Hamlets,E05009321,Bromley North,Address one year ago is the same as the address of enumeration,9585
E09000030,Tower Hamlets,E05009321,Bromley North,Address one year ago is student term-time or boarding school address in the UK,69
E09000030,Tower Hamlets,E05009321,Bromley North,Migrant from within the UK: Address one year ago was in the UK,1370
E09000030,Tower Hamlets,E05009321,Bromley North,Migrant from outside the UK: Address one year ago was outside the UK,240
E09000030,Tower Hamlets,E05009322,Bromley South,Address one year ago is the same as the address of enumeration,11811
E09000030,Tower Hamlets,E05009322,Bromley South,Address one year ago is student term-time or boarding school address in the UK,110
E09000030,Tower Hamlets,E05009322,Bromley South,Migrant from within the UK: Address one year ago was in the UK,1880
E09000030,Tower Hamlets,E05009322,Bromley South,Migrant from outside the UK: Address one year ago was outside the UK,260
E09000030,Tower Hamlets,E05009323,Canary Wharf,Address one year ago is the same as the address of enumeration,12558
E09000030,Tower Hamlets,E05009323,Canary Wharf,Address one year ago is student term-time or boarding school address in the UK,247
E09000030,Tower Hamlets,E05009323,Canary Wharf,Migrant from within the UK: Address one year ago was in the UK,3964
