gss_code_ward,ward_name,category,count_21
E09000001,City of London,No religion,3762
E09000001,City of London,Christian,2981
E09000001,City of London,Buddhist,94
E09000001,City of London,Hindu,203
E09000001,City of London,Jewish,180
E09000001,City of London,Muslim,538
E09000001,City of London,Sikh,8
E09000001,City of London,Other religion,54
E09000001,City of London,Not answered,766
E05014066,Northbury,No religion,1333
E05014066,Northbury,Christian,4936
E05014066,Northbury,Buddhist,41
E05014066,Northbury,Hindu,582
E05014066,Northbury,Jewish,7
E05014066,Northbury,Muslim,5160
E05014066,Northbury,Sikh,355
E05014066,Northbury,Other religion,45
E05014066,Northbury,Not answered,733
E05014053,Abbey,No religion,388
E05014053,Abbey,Christian,1355
E05014053,Abbey,Buddhist,28
E05014053,Abbey,Hindu,728
E05014053,Abbey,Jewish,2
E05014053,Abbey,Muslim,1060
E05014053,Abbey,Sikh,160
E05014053,Abbey,Other religion,23
E05014053,Abbey,Not answered,218
E05014054,Alibon,No religion,2247
E05014054,Alibon,Christian,5114
E05014054,Alibon,Buddhist,26
E05014054,Alibon,Hindu,154
E05014054,Alibon,Jewish,8
E05014054,Alibon,Muslim,1661
E05014054,Alibon,Sikh,58
E05014054,Alibon,Other religion,21
E05014054,Alibon,Not answered,594
E05014067,Parsloes,No religion,3667
E05014067,Parsloes,Christian,7638
E05014067,Parsloes,Buddhist,30
E05014067,Parsloes,Hindu,247
E05014067,Parsloes,Jewish,19
E05014067,Parsloes,Muslim,2511
E05014067,Parsloes,Sikh,94
E05014067,Parsloes,Other religion,99
E05014067,Parsloes,Not answered,851
E05014057,Becontree,No religion,1678
E05014057,Becontree,Christian,4021
E05014057,Becontree,Buddhist,39
E05014057,Becontree,Hindu,286
E05014057,Becontree,Jewish,11
E05014057,Becontree,Muslim,2796
E05014057,Becontree,Sikh,345
E05014057,Becontree,Other religion,52
E05014057,Becontree,Not answered,565
E05014065,Mayesbrook,No religion,3233
E05014065,Mayesbrook,Christian,7598
E05014065,Mayesbrook,Buddhist,61
E05014065,Mayesbrook,Hindu,342
E05014065,Mayesbrook,Jewish,16
E05014065,Mayesbrook,Muslim,3214
E05014065,Mayesbrook,Sikh,167
E05014065,Mayesbrook,Other religion,99
E05014065,Mayesbrook,Not answered,893
E05014058,Chadwell Heath,No religion,2599
E05014058,Chadwell Heath,Christian,5994
E05014058,Chadwell Heath,Buddhist,46
E05014058,Chadwell Heath,Hindu,550
E05014058,Chadwell Heath,Jewish,37
E05014058,Chadwell Heath,Muslim,3259
E05014058,Chadwell Heath,Sikh,541
E05014058,Chadwell Heath,Other religion,68
E05014058,Chadwell Heath,Not answered,735
E05014059,Eastbrook & Rush Green,No religion,2309
E05014059,Eastbrook & Rush Green,Christian,4497
E05014059,Eastbrook & Rush Green,Buddhist,39
E05014059,Eastbrook & Rush Green,Hindu,188
E05014059,Eastbrook & Rush Green,Jewish,17
E05014059,Eastbrook & Rush Green,Muslim,1089
E05014059,Eastbrook & Rush Green,Sikh,104
E05014059,Eastbrook & Rush Green,Other religion,23
E05014059,Eastbrook & Rush Green,Not answered,480
E05014060,Eastbury,No religion,3063
E05014060,Eastbury,Christian,7319
E05014060,Eastbury,Buddhist,63
E05014060,Eastbury,Hindu,302
E05014060,Eastbury,Jewish,22
E05014060,Eastbury,Muslim,3818
E05014060,Eastbury,Sikh,226
E05014060,Eastbury,Other religion,57
E05014060,Eastbury,Not answered,859
E05014061,Gascoigne,No religion,1434
E05014061,Gascoigne,Christian,4401
E05014061,Gascoigne,Buddhist,65
E05014061,Gascoigne,Hindu,321
E05014061,Gascoigne,Jewish,20
E05014061,Gascoigne,Muslim,3679
E05014061,Gascoigne,Sikh,198
E05014061,Gascoigne,Other religion,34
E05014061,Gascoigne,Not answered,559
E05014062,Goresbrook,No religion,3260
E05014062,Goresbrook,Christian,7206
E05014062,Goresbrook,Buddhist,68
E05014062,Goresbrook,Hindu,173
E05014062,Goresbrook,Jewish,15
E05014062,Goresbrook,Muslim,2170
E05014062,Goresbrook,Sikh,41
E05014062,Goresbrook,Other religion,32
E05014062,Goresbrook,Not answered,726
E05014063,Heath,No religion,2144
E05014063,Heath,Christian,4631
E05014063,Heath,Buddhist,35
E05014063,Heath,Hindu,186
E05014063,Heath,Jewish,1
E05014063,Heath,Muslim,1554
E05014063,Heath,Sikh,57
E05014063,Heath,Other religion,42
E05014063,Heath,Not answered,469
E05014069,Valence,No religion,3811
E05014069,Valence,Christian,6555
E05014069,Valence,Buddhist,59
E05014069,Valence,Hindu,348
E05014069,Valence,Jewish,23
E05014069,Valence,Muslim,3125
E05014069,Valence,Sikh,395
E05014069,Valence,Other religion,69
E05014069,Valence,Not answered,857
E05014064,Longbridge,No religion,1160
E05014064,Longbridge,Christian,3508
E05014064,Longbridge,Buddhist,43
E05014064,Longbridge,Hindu,463
E05014064,Longbridge,Jewish,10
E05014064,Longbridge,Muslim,6858
E05014064,Longbridge,Sikh,539
E05014064,Longbridge,Other religion,34
E05014064,Longbridge,Not answered,687
E05014056,Beam,No religion,1362
E05014056,Beam,Christian,4551
E05014056,Beam,Buddhist,30
E05014056,Beam,Hindu,141
E05014056,Beam,Jewish,10
E05014056,Beam,Muslim,1615
E05014056,Beam,Sikh,148
E05014056,Beam,Other religion,34
E05014056,Beam,Not answered,464
E05014070,Village,No religion,2715
E05014070,Village,Christian,6612
E05014070,Village,Buddhist,42
E05014070,Village,Hindu,186
E05014070,Village,Jewish,19
E05014070,Village,Muslim,2137
E05014070,Village,Sikh,98
E05014070,Village,Other religion,89
E05014070,Village,Not answered,741
E05014055,Barking Riverside,No religion,1698
E05014055,Barking Riverside,Christian,4882
E05014055,Barking Riverside,Buddhist,46
E05014055,Barking Riverside,Hindu,209
E05014055,Barking Riverside,Jewish,4
E05014055,Barking Riverside,Muslim,2560
E05014055,Barking Riverside,Sikh,79
E05014055,Barking Riverside,Other religion,50
E05014055,Barking Riverside,Not answered,538
E05014068,Thames View,No religion,932
E05014068,Thames View,Christian,2463
E05014068,Thames View,Buddhist,22
E05014068,Thames View,Hindu,77
E05014068,Thames View,Jewish,7
E05014068,Thames View,Muslim,1721
E05014068,Thames View,Sikh,85
E05014068,Thames View,Other religion,17
E05014068,Thames View,Not answered,318
E05014071,Whalebone,No religion,2154
E05014071,Whalebone,Christian,6077
E05014071,Whalebone,Buddhist,45
E05014071,Whalebone,Hindu,1084
E05014071,Whalebone,Jewish,27
E05014071,Whalebone,Muslim,3401
E05014071,Whalebone,Sikh,590
E05014071,Whalebone,Other religion,96
E05014071,Whalebone,Not answered,724
E05013629,Brunswick Park,No religion,3537
E05013629,Brunswick Park,Christian,7306
E05013629,Brunswick Park,Buddhist,139
E05013629,Brunswick Park,Hindu,1050
E05013629,Brunswick Park,Jewish,602
E05013629,Brunswick Park,Muslim,1847
E05013629,Brunswick Park,Sikh,86
E05013629,Brunswick Park,Other religion,364
E05013629,Brunswick Park,Not answered,1209
E05013635,East Barnet,No religion,4700
E05013635,East Barnet,Christian,8718
E05013635,East Barnet,Buddhist,127
E05013635,East Barnet,Hindu,633
E05013635,East Barnet,Jewish,848
E05013635,East Barnet,Muslim,1531
E05013635,East Barnet,Sikh,51
E05013635,East Barnet,Other religion,233
E05013635,East Barnet,Not answered,1243
E05013650,Whetstone,No religion,2460
E05013650,Whetstone,Christian,4760
E05013650,Whetstone,Buddhist,88
E05013650,Whetstone,Hindu,761
E05013650,Whetstone,Jewish,956
E05013650,Whetstone,Muslim,896
E05013650,Whetstone,Sikh,34
E05013650,Whetstone,Other religion,162
E05013650,Whetstone,Not answered,770
E05013632,Colindale North,No religion,2178
E05013632,Colindale North,Christian,5458
E05013632,Colindale North,Buddhist,224
E05013632,Colindale North,Hindu,499
E05013632,Colindale North,Jewish,175
E05013632,Colindale North,Muslim,3188
E05013632,Colindale North,Sikh,37
E05013632,Colindale North,Other religion,71
E05013632,Colindale North,Not answered,892
E05013630,Burnt Oak,No religion,3244
E05013630,Burnt Oak,Christian,10160
E05013630,Burnt Oak,Buddhist,436
E05013630,Burnt Oak,Hindu,1466
E05013630,Burnt Oak,Jewish,231
E05013630,Burnt Oak,Muslim,4251
E05013630,Burnt Oak,Sikh,52
E05013630,Burnt Oak,Other religion,195
E05013630,Burnt Oak,Not answered,1550
E05013634,Cricklewood,No religion,1839
E05013634,Cricklewood,Christian,4140
E05013634,Cricklewood,Buddhist,138
E05013634,Cricklewood,Hindu,251
E05013634,Cricklewood,Jewish,257
E05013634,Cricklewood,Muslim,2865
E05013634,Cricklewood,Sikh,14
E05013634,Cricklewood,Other religion,68
E05013634,Cricklewood,Not answered,838
E05013631,Childs Hill,No religion,3907
E05013631,Childs Hill,Christian,6002
E05013631,Childs Hill,Buddhist,262
E05013631,Childs Hill,Hindu,723
E05013631,Childs Hill,Jewish,3851
E05013631,Childs Hill,Muslim,2514
E05013631,Childs Hill,Sikh,44
E05013631,Childs Hill,Other religion,187
E05013631,Childs Hill,Not answered,1895
E05013633,Colindale South,No religion,3693
E05013633,Colindale South,Christian,7063
E05013633,Colindale South,Buddhist,299
E05013633,Colindale South,Hindu,1746
E05013633,Colindale South,Jewish,275
E05013633,Colindale South,Muslim,4256
E05013633,Colindale South,Sikh,84
E05013633,Colindale South,Other religion,178
E05013633,Colindale South,Not answered,1410
E05013640,Friern Barnet,No religion,5233
E05013640,Friern Barnet,Christian,7829
E05013640,Friern Barnet,Buddhist,170
E05013640,Friern Barnet,Hindu,944
E05013640,Friern Barnet,Jewish,794
E05013640,Friern Barnet,Muslim,2293
E05013640,Friern Barnet,Sikh,122
E05013640,Friern Barnet,Other religion,222
E05013640,Friern Barnet,Not answered,1469
E05013651,Woodhouse,No religion,3202
E05013651,Woodhouse,Christian,5904
E05013651,Woodhouse,Buddhist,165
E05013651,Woodhouse,Hindu,1022
E05013651,Woodhouse,Jewish,667
E05013651,Woodhouse,Muslim,1739
E05013651,Woodhouse,Sikh,70
E05013651,Woodhouse,Other religion,270
E05013651,Woodhouse,Not answered,1134
E05013636,East Finchley,No religion,5303
E05013636,East Finchley,Christian,5961
E05013636,East Finchley,Buddhist,131
E05013636,East Finchley,Hindu,616
E05013636,East Finchley,Jewish,1327
E05013636,East Finchley,Muslim,1568
E05013636,East Finchley,Sikh,34
E05013636,East Finchley,Other religion,191
E05013636,East Finchley,Not answered,1199
E05013641,Garden Suburb,No religion,2267
E05013641,Garden Suburb,Christian,2701
E05013641,Garden Suburb,Buddhist,107
E05013641,Garden Suburb,Hindu,360
E05013641,Garden Suburb,Jewish,5184
E05013641,Garden Suburb,Muslim,803
E05013641,Garden Suburb,Sikh,41
E05013641,Garden Suburb,Other religion,126
E05013641,Garden Suburb,Not answered,1084
E05013638,Edgwarebury,No religion,1435
E05013638,Edgwarebury,Christian,3612
E05013638,Edgwarebury,Buddhist,151
E05013638,Edgwarebury,Hindu,894
E05013638,Edgwarebury,Jewish,3510
