lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,Born in the UK,12397
E09000030,Tower Hamlets,E05009317,Bethnal Green,10 years or more,4454
E09000030,Tower Hamlets,E05009317,Bethnal Green,"5 years or more, but less than 10 years",1422
E09000030,Tower Hamlets,E05009317,Bethnal Green,"2 years or more, but less than 5 years",1254
E09000030,Tower Hamlets,E05009317,Bethnal Green,Less than 2 years,1683
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Born in the UK,9489
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,10 years or more,4630
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"5 years or more, but less than 10 years",2604
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"2 years or more, but less than 5 years",2486
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Less than 2 years,2618
E09000030,Tower Hamlets,E05009319,Bow East,Born in the UK,12478
E09000030,Tower Hamlets,E05009319,Bow East,10 years or more,3826
E09000030,Tower Hamlets,E05009319,Bow East,"5 years or more, but less than 10 years",1426
E09000030,Tower Hamlets,E05009319,Bow East,"2 years or more, but less than 5 years",1071
E09000030,Tower Hamlets,E05009319,Bow East,Less than 2 years,720
E09000030,Tower Hamlets,E05009320,Bow West,Born in the UK,8889
E09000030,Tower Hamlets,E05009320,Bow West,10 years or more,2707
E09000030,Tower Hamlets,E05009320,Bow West,"5 years or more, but less than 10 years",812
E09000030,Tower Hamlets,E05009320,Bow West,"2 years or more, but less than 5 years",730
E09000030,Tower Hamlets,E05009320,Bow West,Less than 2 years,578
E09000030,Tower Hamlets,E05009321,Bromley North,Born in the UK,6400
E09000030,Tower Hamlets,E05009321,Bromley North,10 years or more,2857
E09000030,Tower Hamlets,E05009321,Bromley North,"5 years or more, but less than 10 years",926
E09000030,Tower Hamlets,E05009321,Bromley North,"2 years or more, but less than 5 years",676
E09000030,Tower Hamlets,E05009321,Bromley North,Less than 2 years,571
E09000030,Tower Hamlets,E05009322,Bromley South,Born in the UK,7847
E09000030,Tower Hamlets,E05009322,Bromley South,10 years or more,3554
E09000030,Tower Hamlets,E05009322,Bromley South,"5 years or more, but less than 10 years",1179
E09000030,Tower Hamlets,E05009322,Bromley South,"2 years or more, but less than 5 years",934
E09000030,Tower Hamlets,E05009322,Bromley South,Less than 2 years,715
E09000030,Tower Hamlets,E05009323,Canary Wharf,Born in the UK,7031
E09000030,Tower Hamlets,E05009323,Canary Wharf,10 years or more,4026
E09000030,Tower Hamlets,E05009323,Canary Wharf,"5 years or more, but less than 10 years",2264
E09000030,Tower Hamlets,E05009323,Canary Wharf,"2 years or more, but less than 5 years",2306
E09000030,Tower Hamlets,E05009323,Canary Wharf,Less than 2 years,2299
E09000030,Tower Hamlets,E05009324,Island Gardens,Born in the UK,7581
E09000030,Tower Hamlets,E05009324,Island Gardens,10 years or more,3243
E09000030,Tower Hamlets,E05009324,Island Gardens,"5 years or more, but less than 10 years",1679
E09000030,Tower Hamlets,E05009324,Island Gardens,"2 years or more, but less than 5 years",1345
E09000030,Tower Hamlets,E05009324,Island Gardens,Less than 2 years,1048
E09000030,Tower Hamlets,E05009325,Lansbury,Born in the UK,11843
E09000030,Tower Hamlets,E05009325,Lansbury,10 years or more,5031
E09000030,Tower Hamlets,E05009325,Lansbury,"5 years or more, but less than 10 years",2031
E09000030,Tower Hamlets,E05009325,Lansbury,"2 years or more, but less than 5 years",1629
E09000030,Tower Hamlets,E05009325,Lansbury,Less than 2 years,1193
E09000030,Tower Hamlets,E05009326,Limehouse,Born in the UK,3338
E09000030,Tower Hamlets,E05009326,Limehouse,10 years or more,1485
E09000030,Tower Hamlets,E05009326,Limehouse,"5 years or more, but less than 10 years",752
E09000030,Tower Hamlets,E05009326,Limehouse,"2 years or more, but less than 5 years",656
E09000030,Tower Hamlets,E05009326,Limehouse,Less than 2 years,522
E09000030,Tower Hamlets,E05009327,Mile End,Born in the UK,11970
E09000030,Tower Hamlets,E05009327,Mile End,10 years or more,5049
E09000030,Tower Hamlets,E05009327,Mile End,"5 years or more, but less than 10 years",1936
E09000030,Tower Hamlets,E05009327,Mile End,"2 years or more, but less than 5 years",1643
E09000030,Tower Hamlets,E05009327,Mile End,Less than 2 years,1196
E09000030,Tower Hamlets,E05009328,Poplar,Born in the UK,4075
E09000030,Tower Hamlets,E05009328,Poplar,10 years or more,1996
E09000030,Tower Hamlets,E05009328,Poplar,"5 years or more, but less than 10 years",728
E09000030,Tower Hamlets,E05009328,Poplar,"2 years or more, but less than 5 years",607
E09000030,Tower Hamlets,E05009328,Poplar,Less than 2 years,545
E09000030,Tower Hamlets,E05009329,St Dunstan's,Born in the UK,8262
E09000030,Tower Hamlets,E05009329,St Dunstan's,10 years or more,3620
E09000030,Tower Hamlets,E05009329,St Dunstan's,"5 years or more, but less than 10 years",883
E09000030,Tower Hamlets,E05009329,St Dunstan's,"2 years or more, but less than 5 years",816
E09000030,Tower Hamlets,E05009329,St Dunstan's,Less than 2 years,794
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Born in the UK,6402
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,10 years or more,2460
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,"5 years or more, but less than 10 years",1270
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,"2 years or more, but less than 5 years",1051
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Less than 2 years,875
E09000030,Tower Hamlets,E05009331,St Peter's,Born in the UK,11213
E09000030,Tower Hamlets,E05009331,St Peter's,10 years or more,4342
E09000030,Tower Hamlets,E05009331,St Peter's,"5 years or more, but less than 10 years",1395
E09000030,Tower Hamlets,E05009331,St Peter's,"2 years or more, but less than 5 years",1425
E09000030,Tower Hamlets,E05009331,St Peter's,Less than 2 years,1620
E09000030,Tower Hamlets,E05009332,Shadwell,Born in the UK,6863
E09000030,Tower Hamlets,E05009332,Shadwell,10 years or more,3461
E09000030,Tower Hamlets,E05009332,Shadwell,"5 years or more, but less than 10 years",981
E09000030,Tower Hamlets,E05009332,Shadwell,"2 years or more, but less than 5 years",891
E09000030,Tower Hamlets,E05009332,Shadwell,Less than 2 years,782
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Born in the UK,6156
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,10 years or more,3088
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,"5 years or more, but less than 10 years",1063
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,"2 years or more, but less than 5 years",1082
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Less than 2 years,1839
E09000030,Tower Hamlets,E05009334,Stepney Green,Born in the UK,6811
E09000030,Tower Hamlets,E05009334,Stepney Green,10 years or more,3165
