lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,Female,10806
E09000030,Tower Hamlets,E05009317,Bethnal Green,Male,10423
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Female,10605
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Male,11229
E09000030,Tower Hamlets,E05009319,Bow East,Female,10004
E09000030,Tower Hamlets,E05009319,Bow East,Male,9526
E09000030,Tower Hamlets,E05009320,Bow West,Female,6914
E09000030,Tower Hamlets,E05009320,Bow West,Male,6794
E09000030,Tower Hamlets,E05009321,Bromley North,Female,5624
E09000030,Tower Hamlets,E05009321,Bromley North,Male,5805
E09000030,Tower Hamlets,E05009322,Bromley South,Female,7300
E09000030,Tower Hamlets,E05009322,Bromley South,Male,6932
E09000030,Tower Hamlets,E05009323,Canary Wharf,Female,8925
E09000030,Tower Hamlets,E05009323,Canary Wharf,Male,8995
E09000030,Tower Hamlets,E05009324,Island Gardens,Female,7544
E09000030,Tower Hamlets,E05009324,Island Gardens,Male,7358
E09000030,Tower Hamlets,E05009325,Lansbury,Female,10839
E09000030,Tower Hamlets,E05009325,Lansbury,Male,10895
E09000030,Tower Hamlets,E05009326,Limehouse,Female,3067
E09000030,Tower Hamlets,E05009326,Limehouse,Male,3684
E09000030,Tower Hamlets,E05009327,Mile End,Female,10726
E09000030,Tower Hamlets,E05009327,Mile End,Male,11069
E09000030,Tower Hamlets,E05009328,Poplar,Female,3930
E09000030,Tower Hamlets,E05009328,Poplar,Male,4026
E09000030,Tower Hamlets,E05009329,St Dunstan's,Female,7338
E09000030,Tower Hamlets,E05009329,St Dunstan's,Male,7026
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Female,5748
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Male,6319
E09000030,Tower Hamlets,E05009331,St Peter's,Female,10117
E09000030,Tower Hamlets,E05009331,St Peter's,Male,9853
E09000030,Tower Hamlets,E05009332,Shadwell,Female,6431
E09000030,Tower Hamlets,E05009332,Shadwell,Male,6548
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Female,6390
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Male,6829
E09000030,Tower Hamlets,E05009334,Stepney Green,Female,6184
E09000030,Tower Hamlets,E05009334,Stepney Green,Male,6267
E09000030,Tower Hamlets,E05009335,Weavers,Female,6657
E09000030,Tower Hamlets,E05009335,Weavers,Male,6611
E09000030,Tower Hamlets,E05009336,Whitechapel,Female,9278
E09000030,Tower Hamlets,E05009336,Whitechapel,Male,9703
E09000012,Hackney,E05009367,Brownswood,Female,4705
E09000012,Hackney,E05009367,Brownswood,Male,4283
E09000012,Hackney,E05009368,Cazenove,Female,7880
E09000012,Hackney,E05009368,Cazenove,Male,7331
E09000012,Hackney,E05009369,Clissold,Female,6676
E09000012,Hackney,E05009369,Clissold,Male,5821
E09000012,Hackney,E05009370,Dalston,Female,4545
E09000012,Hackney,E05009370,Dalston,Male,4467
E09000012,Hackney,E05009371,De Beauvoir,Female,4663
E09000012,Hackney,E05009371,De Beauvoir,Male,4362
E09000012,Hackney,E05009372,Hackney Central,Female,6797
E09000012,Hackney,E05009372,Hackney Central,Male,6095
E09000012,Hackney,E05009373,Hackney Downs,Female,6851
E09000012,Hackney,E05009373,Hackney Downs,Male,6146
E09000012,Hackney,E05009374,Hackney Wick,Female,6383
E09000012,Hackney,E05009374,Hackney Wick,Male,5974
E09000012,Hackney,E05009375,Haggerston,Female,7487
E09000012,Hackney,E05009375,Haggerston,Male,6949
E09000012,Hackney,E05009376,Homerton,Female,7064
E09000012,Hackney,E05009376,Homerton,Male,6137
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,Female,6187
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,Male,5902
E09000012,Hackney,E05009378,Hoxton West,Female,7125
E09000012,Hackney,E05009378,Hoxton West,Male,6678
E09000012,Hackney,E05009379,King's Park,Female,7031
E09000012,Hackney,E05009379,King's Park,Male,6252
E09000012,Hackney,E05009380,Lea Bridge,Female,7599
E09000012,Hackney,E05009380,Lea Bridge,Male,6854
E09000012,Hackney,E05009381,London Fields,Female,6367
E09000012,Hackney,E05009381,London Fields,Male,5942
E09000012,Hackney,E05009382,Shacklewell,Female,4567
E09000012,Hackney,E05009382,Shacklewell,Male,4203
E09000012,Hackney,E05009383,Springfield,Female,8032
E09000012,Hackney,E05009383,Springfield,Male,7311
E09000012,Hackney,E05009384,Stamford Hill West,Female,5293
E09000012,Hackney,E05009384,Stamford Hill West,Male,5021
E09000012,Hackney,E05009385,Stoke Newington,Female,7165
E09000012,Hackney,E05009385,Stoke Newington,Male,6408
E09000012,Hackney,E05009386,Victoria,Female,6492
E09000012,Hackney,E05009386,Victoria,Male,5740
E09000012,Hackney,E05009387,Woodberry Down,Female,6385
E09000012,Hackney,E05009387,Woodberry Down,Male,5942
E09000020,Kensington and Chelsea,E05009388,Abingdon,Female,4346
E09000020,Kensington and Chelsea,E05009388,Abingdon,Male,3819
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,Female,4347
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,Male,3778
E09000020,Kensington and Chelsea,E05009390,Campden,Female,4422
E09000020,Kensington and Chelsea,E05009390,Campden,Male,4037
E09000020,Kensington and Chelsea,E05009391,Chelsea Riverside,Female,4078
E09000020,Kensington and Chelsea,E05009391,Chelsea Riverside,Male,3395
E09000020,Kensington and Chelsea,E05009392,Colville,Female,4543
E09000020,Kensington and Chelsea,E05009392,Colville,Male,4025
E09000020,Kensington and Chelsea,E05009393,Courtfield,Female,4243
E09000020,Kensington and Chelsea,E05009393,Courtfield,Male,3992
E09000020,Kensington and Chelsea,E05009394,Dalgarno,Female,3720
E09000020,Kensington and Chelsea,E05009394,Dalgarno,Male,3285
E09000020,Kensington and Chelsea,E05009395,Earl's Court,Female,4594
E09000020,Kensington and Chelsea,E05009395,Earl's Court,Male,4349
E09000020,Kensington and Chelsea,E05009396,Golborne,Female,4614
E09000020,Kensington and Chelsea,E05009396,Golborne,Male,4268
E09000020,Kensington and Chelsea,E05009397,Holland,Female,5076
E09000020,Kensington and Chelsea,E05009397,Holland,Male,4183
E09000020,Kensington and Chelsea,E05009398,Norland,Female,2927
E09000020,Kensington and Chelsea,E05009398,Norland,Male,2534
E09000020,Kensington and Chelsea,E05009399,Notting Dale,Female,4835
E09000020,Kensington and Chelsea,E05009399,Notting Dale,Male,4571
E09000020,Kensington and Chelsea,E05009400,Pembridge,Female,2958
E09000020,Kensington and Chelsea,E05009400,Pembridge,Male,2397
E09000020,Kensington and Chelsea,E05009401,Queen's Gate,Female,4034
