lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,Born in the UK,12397
E09000030,Tower Hamlets,E05009317,Bethnal Green,Arrived before 1951,7
E09000030,Tower Hamlets,E05009317,Bethnal Green,Arrived 1951 to 1960,43
E09000030,Tower Hamlets,E05009317,Bethnal Green,Arrived 1961 to 1970,144
E09000030,Tower Hamlets,E05009317,Bethnal Green,Arrived 1971 to 1980,354
E09000030,Tower Hamlets,E05009317,Bethnal Green,Arrived 1981 to 1990,962
E09000030,Tower Hamlets,E05009317,Bethnal Green,Arrived 1991 to 2000,1073
E09000030,Tower Hamlets,E05009317,Bethnal Green,Arrived 2001 to 2010,1810
E09000030,Tower Hamlets,E05009317,Bethnal Green,Arrived 2011 to 2013,664
E09000030,Tower Hamlets,E05009317,Bethnal Green,Arrived 2014 to 2016,1025
E09000030,Tower Hamlets,E05009317,Bethnal Green,Arrived 2017 to 2019,1523
E09000030,Tower Hamlets,E05009317,Bethnal Green,Arrived 2020 to 2021,1190
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Born in the UK,9489
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Arrived before 1951,4
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Arrived 1951 to 1960,28
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Arrived 1961 to 1970,80
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Arrived 1971 to 1980,245
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Arrived 1981 to 1990,562
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Arrived 1991 to 2000,970
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Arrived 2001 to 2010,2673
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Arrived 2011 to 2013,1283
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Arrived 2014 to 2016,1994
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Arrived 2017 to 2019,2923
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Arrived 2020 to 2021,1585
E09000030,Tower Hamlets,E05009319,Bow East,Born in the UK,12478
E09000030,Tower Hamlets,E05009319,Bow East,Arrived before 1951,11
E09000030,Tower Hamlets,E05009319,Bow East,Arrived 1951 to 1960,78
E09000030,Tower Hamlets,E05009319,Bow East,Arrived 1961 to 1970,147
E09000030,Tower Hamlets,E05009319,Bow East,Arrived 1971 to 1980,237
E09000030,Tower Hamlets,E05009319,Bow East,Arrived 1981 to 1990,647
E09000030,Tower Hamlets,E05009319,Bow East,Arrived 1991 to 2000,1009
E09000030,Tower Hamlets,E05009319,Bow East,Arrived 2001 to 2010,1678
E09000030,Tower Hamlets,E05009319,Bow East,Arrived 2011 to 2013,737
E09000030,Tower Hamlets,E05009319,Bow East,Arrived 2014 to 2016,977
E09000030,Tower Hamlets,E05009319,Bow East,Arrived 2017 to 2019,1146
E09000030,Tower Hamlets,E05009319,Bow East,Arrived 2020 to 2021,386
E09000030,Tower Hamlets,E05009320,Bow West,Born in the UK,8889
E09000030,Tower Hamlets,E05009320,Bow West,Arrived before 1951,5
E09000030,Tower Hamlets,E05009320,Bow West,Arrived 1951 to 1960,81
E09000030,Tower Hamlets,E05009320,Bow West,Arrived 1961 to 1970,129
E09000030,Tower Hamlets,E05009320,Bow West,Arrived 1971 to 1980,242
E09000030,Tower Hamlets,E05009320,Bow West,Arrived 1981 to 1990,559
E09000030,Tower Hamlets,E05009320,Bow West,Arrived 1991 to 2000,616
E09000030,Tower Hamlets,E05009320,Bow West,Arrived 2001 to 2010,1038
E09000030,Tower Hamlets,E05009320,Bow West,Arrived 2011 to 2013,388
E09000030,Tower Hamlets,E05009320,Bow West,Arrived 2014 to 2016,608
E09000030,Tower Hamlets,E05009320,Bow West,Arrived 2017 to 2019,818
E09000030,Tower Hamlets,E05009320,Bow West,Arrived 2020 to 2021,336
E09000030,Tower Hamlets,E05009321,Bromley North,Born in the UK,6400
E09000030,Tower Hamlets,E05009321,Bromley North,Arrived before 1951,4
E09000030,Tower Hamlets,E05009321,Bromley North,Arrived 1951 to 1960,36
E09000030,Tower Hamlets,E05009321,Bromley North,Arrived 1961 to 1970,96
E09000030,Tower Hamlets,E05009321,Bromley North,Arrived 1971 to 1980,199
E09000030,Tower Hamlets,E05009321,Bromley North,Arrived 1981 to 1990,641
E09000030,Tower Hamlets,E05009321,Bromley North,Arrived 1991 to 2000,625
E09000030,Tower Hamlets,E05009321,Bromley North,Arrived 2001 to 2010,1237
E09000030,Tower Hamlets,E05009321,Bromley North,Arrived 2011 to 2013,470
E09000030,Tower Hamlets,E05009321,Bromley North,Arrived 2014 to 2016,628
E09000030,Tower Hamlets,E05009321,Bromley North,Arrived 2017 to 2019,731
E09000030,Tower Hamlets,E05009321,Bromley North,Arrived 2020 to 2021,361
E09000030,Tower Hamlets,E05009322,Bromley South,Born in the UK,7847
E09000030,Tower Hamlets,E05009322,Bromley South,Arrived before 1951,4
E09000030,Tower Hamlets,E05009322,Bromley South,Arrived 1951 to 1960,33
E09000030,Tower Hamlets,E05009322,Bromley South,Arrived 1961 to 1970,97
E09000030,Tower Hamlets,E05009322,Bromley South,Arrived 1971 to 1980,285
E09000030,Tower Hamlets,E05009322,Bromley South,Arrived 1981 to 1990,779
E09000030,Tower Hamlets,E05009322,Bromley South,Arrived 1991 to 2000,885
E09000030,Tower Hamlets,E05009322,Bromley South,Arrived 2001 to 2010,1426
E09000030,Tower Hamlets,E05009322,Bromley South,Arrived 2011 to 2013,577
E09000030,Tower Hamlets,E05009322,Bromley South,Arrived 2014 to 2016,870
E09000030,Tower Hamlets,E05009322,Bromley South,Arrived 2017 to 2019,1053
E09000030,Tower Hamlets,E05009322,Bromley South,Arrived 2020 to 2021,377
