lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,Main language is English (English or Welsh in Wales),15413
E09000030,Tower Hamlets,E05009317,Bethnal Green,Main language is not English (English or Welsh in Wales): Can speak English very well,2091
E09000030,Tower Hamlets,E05009317,Bethnal Green,Main language is not English (English or Welsh in Wales): Can speak English well,1625
E09000030,Tower Hamlets,E05009317,Bethnal Green,Main language is not English (English or Welsh in Wales): Cannot speak English well,1111
E09000030,Tower Hamlets,E05009317,Bethnal Green,Main language is not English (English or Welsh in Wales): Cannot speak English,197
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Main language is English (English or Welsh in Wales),15081
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Main language is not English (English or Welsh in Wales): Can speak English very well,3728
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Main language is not English (English or Welsh in Wales): Can speak English well,1571
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Main language is not English (English or Welsh in Wales): Cannot speak English well,620
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Main language is not English (English or Welsh in Wales): Cannot speak English,96
E09000030,Tower Hamlets,E05009319,Bow East,Main language is English (English or Welsh in Wales),15425
E09000030,Tower Hamlets,E05009319,Bow East,Main language is not English (English or Welsh in Wales): Can speak English very well,1741
E09000030,Tower Hamlets,E05009319,Bow East,Main language is not English (English or Welsh in Wales): Can speak English well,988
E09000030,Tower Hamlets,E05009319,Bow East,Main language is not English (English or Welsh in Wales): Cannot speak English well,586
E09000030,Tower Hamlets,E05009319,Bow East,Main language is not English (English or Welsh in Wales): Cannot speak English,74
E09000030,Tower Hamlets,E05009320,Bow West,Main language is English (English or Welsh in Wales),10728
E09000030,Tower Hamlets,E05009320,Bow West,Main language is not English (English or Welsh in Wales): Can speak English very well,1043
E09000030,Tower Hamlets,E05009320,Bow West,Main language is not English (English or Welsh in Wales): Can speak English well,767
E09000030,Tower Hamlets,E05009320,Bow West,Main language is not English (English or Welsh in Wales): Cannot speak English well,549
E09000030,Tower Hamlets,E05009320,Bow West,Main language is not English (English or Welsh in Wales): Cannot speak English,95
E09000030,Tower Hamlets,E05009321,Bromley North,Main language is English (English or Welsh in Wales),8164
E09000030,Tower Hamlets,E05009321,Bromley North,Main language is not English (English or Welsh in Wales): Can speak English very well,956
E09000030,Tower Hamlets,E05009321,Bromley North,Main language is not English (English or Welsh in Wales): Can speak English well,1011
E09000030,Tower Hamlets,E05009321,Bromley North,Main language is not English (English or Welsh in Wales): Cannot speak English well,660
E09000030,Tower Hamlets,E05009321,Bromley North,Main language is not English (English or Welsh in Wales): Cannot speak English,166
E09000030,Tower Hamlets,E05009322,Bromley South,Main language is English (English or Welsh in Wales),10075
E09000030,Tower Hamlets,E05009322,Bromley South,Main language is not English (English or Welsh in Wales): Can speak English very well,1438
E09000030,Tower Hamlets,E05009322,Bromley South,Main language is not English (English or Welsh in Wales): Can speak English well,1126
E09000030,Tower Hamlets,E05009322,Bromley South,Main language is not English (English or Welsh in Wales): Cannot speak English well,886
E09000030,Tower Hamlets,E05009322,Bromley South,Main language is not English (English or Welsh in Wales): Cannot speak English,159
E09000030,Tower Hamlets,E05009323,Canary Wharf,Main language is English (English or Welsh in Wales),11721
E09000030,Tower Hamlets,E05009323,Canary Wharf,Main language is not English (English or Welsh in Wales): Can speak English very well,3370
E09000030,Tower Hamlets,E05009323,Canary Wharf,Main language is not English (English or Welsh in Wales): Can speak English well,1435
E09000030,Tower Hamlets,E05009323,Canary Wharf,Main language is not English (English or Welsh in Wales): Cannot speak English well,607
E09000030,Tower Hamlets,E05009323,Canary Wharf,Main language is not English (English or Welsh in Wales): Cannot speak English,104
E09000030,Tower Hamlets,E05009324,Island Gardens,Main language is English (English or Welsh in Wales),10306
E09000030,Tower Hamlets,E05009324,Island Gardens,Main language is not English (English or Welsh in Wales): Can speak English very well,2269
E09000030,Tower Hamlets,E05009324,Island Gardens,Main language is not English (English or Welsh in Wales): Can speak English well,1114
E09000030,Tower Hamlets,E05009324,Island Gardens,Main language is not English (English or Welsh in Wales): Cannot speak English well,484
E09000030,Tower Hamlets,E05009324,Island Gardens,Main language is not English (English or Welsh in Wales): Cannot speak English,81
E09000030,Tower Hamlets,E05009325,Lansbury,Main language is English (English or Welsh in Wales),14934
E09000030,Tower Hamlets,E05009325,Lansbury,Main language is not English (English or Welsh in Wales): Can speak English very well,2527
E09000030,Tower Hamlets,E05009325,Lansbury,Main language is not English (English or Welsh in Wales): Can speak English well,1955
E09000030,Tower Hamlets,E05009325,Lansbury,Main language is not English (English or Welsh in Wales): Cannot speak English well,1170
E09000030,Tower Hamlets,E05009325,Lansbury,Main language is not English (English or Welsh in Wales): Cannot speak English,244
E09000030,Tower Hamlets,E05009326,Limehouse,Main language is English (English or Welsh in Wales),4807
E09000030,Tower Hamlets,E05009326,Limehouse,Main language is not English (English or Welsh in Wales): Can speak English very well,990
E09000030,Tower Hamlets,E05009326,Limehouse,Main language is not English (English or Welsh in Wales): Can speak English well,407
E09000030,Tower Hamlets,E05009326,Limehouse,Main language is not English (English or Welsh in Wales): Cannot speak English well,244
E09000030,Tower Hamlets,E05009326,Limehouse,Main language is not English (English or Welsh in Wales): Cannot speak English,63
E09000030,Tower Hamlets,E05009327,Mile End,Main language is English (English or Welsh in Wales),15189
E09000030,Tower Hamlets,E05009327,Mile End,Main language is not English (English or Welsh in Wales): Can speak English very well,2493
E09000030,Tower Hamlets,E05009327,Mile End,Main language is not English (English or Welsh in Wales): Can speak English well,1798
E09000030,Tower Hamlets,E05009327,Mile End,Main language is not English (English or Welsh in Wales): Cannot speak English well,1208
E09000030,Tower Hamlets,E05009327,Mile End,Main language is not English (English or Welsh in Wales): Cannot speak English,203
E09000030,Tower Hamlets,E05009328,Poplar,Main language is English (English or Welsh in Wales),5301
E09000030,Tower Hamlets,E05009328,Poplar,Main language is not English (English or Welsh in Wales): Can speak English very well,893
E09000030,Tower Hamlets,E05009328,Poplar,Main language is not English (English or Welsh in Wales): Can speak English well,826
E09000030,Tower Hamlets,E05009328,Poplar,Main language is not English (English or Welsh in Wales): Cannot speak English well,495
E09000030,Tower Hamlets,E05009328,Poplar,Main language is not English (English or Welsh in Wales): Cannot speak English,106
E09000030,Tower Hamlets,E05009329,St Dunstan's,Main language is English (English or Welsh in Wales),9924
E09000030,Tower Hamlets,E05009329,St Dunstan's,Main language is not English (English or Welsh in Wales): Can speak English very well,1355
E09000030,Tower Hamlets,E05009329,St Dunstan's,Main language is not English (English or Welsh in Wales): Can speak English well,1307
E09000030,Tower Hamlets,E05009329,St Dunstan's,Main language is not English (English or Welsh in Wales): Cannot speak English well,947
E09000030,Tower Hamlets,E05009329,St Dunstan's,Main language is not English (English or Welsh in Wales): Cannot speak English,245
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Main language is English (English or Welsh in Wales),9097
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Main language is not English (English or Welsh in Wales): Can speak English very well,1660
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Main language is not English (English or Welsh in Wales): Can speak English well,582
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Main language is not English (English or Welsh in Wales): Cannot speak English well,263
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Main language is not English (English or Welsh in Wales): Cannot speak English,41
E09000030,Tower Hamlets,E05009331,St Peter's,Main language is English (English or Welsh in Wales),14309
E09000030,Tower Hamlets,E05009331,St Peter's,Main language is not English (English or Welsh in Wales): Can speak English very well,2033
E09000030,Tower Hamlets,E05009331,St Peter's,Main language is not English (English or Welsh in Wales): Can speak English well,1624
E09000030,Tower Hamlets,E05009331,St Peter's,Main language is not English (English or Welsh in Wales): Cannot speak English well,1188
E09000030,Tower Hamlets,E05009331,St Peter's,Main language is not English (English or Welsh in Wales): Cannot speak English,211
E09000030,Tower Hamlets,E05009332,Shadwell,Main language is English (English or Welsh in Wales),8498
E09000030,Tower Hamlets,E05009332,Shadwell,Main language is not English (English or Welsh in Wales): Can speak English very well,1289
E09000030,Tower Hamlets,E05009332,Shadwell,Main language is not English (English or Welsh in Wales): Can speak English well,1432
E09000030,Tower Hamlets,E05009332,Shadwell,Main language is not English (English or Welsh in Wales): Cannot speak English well,1033
E09000030,Tower Hamlets,E05009332,Shadwell,Main language is not English (English or Welsh in Wales): Cannot speak English,217
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Main language is English (English or Welsh in Wales),8741
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Main language is not English (English or Welsh in Wales): Can speak English very well,1863
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Main language is not English (English or Welsh in Wales): Can speak English well,1166
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Main language is not English (English or Welsh in Wales): Cannot speak English well,828
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Main language is not English (English or Welsh in Wales): Cannot speak English,220
E09000030,Tower Hamlets,E05009334,Stepney Green,Main language is English (English or Welsh in Wales),8424
E09000030,Tower Hamlets,E05009334,Stepney Green,Main language is not English (English or Welsh in Wales): Can speak English very well,1128
E09000030,Tower Hamlets,E05009334,Stepney Green,Main language is not English (English or Welsh in Wales): Can speak English well,1281
E09000030,Tower Hamlets,E05009334,Stepney Green,Main language is not English (English or Welsh in Wales): Cannot speak English well,946
E09000030,Tower Hamlets,E05009334,Stepney Green,Main language is not English (English or Welsh in Wales): Cannot speak English,200
E09000030,Tower Hamlets,E05009335,Weavers,Main language is English (English or Welsh in Wales),9796
E09000030,Tower Hamlets,E05009335,Weavers,Main language is not English (English or Welsh in Wales): Can speak English very well,1487
E09000030,Tower Hamlets,E05009335,Weavers,Main language is not English (English or Welsh in Wales): Can speak English well,833
E09000030,Tower Hamlets,E05009335,Weavers,Main language is not English (English or Welsh in Wales): Cannot speak English well,631
E09000030,Tower Hamlets,E05009335,Weavers,Main language is not English (English or Welsh in Wales): Cannot speak English,125
E09000030,Tower Hamlets,E05009336,Whitechapel,Main language is English (English or Welsh in Wales),12202
E09000030,Tower Hamlets,E05009336,Whitechapel,Main language is not English (English or Welsh in Wales): Can speak English very well,2914
E09000030,Tower Hamlets,E05009336,Whitechapel,Main language is not English (English or Welsh in Wales): Can speak English well,1838
E09000030,Tower Hamlets,E05009336,Whitechapel,Main language is not English (English or Welsh in Wales): Cannot speak English well,1103
E09000030,Tower Hamlets,E05009336,Whitechapel,Main language is not English (English or Welsh in Wales): Cannot speak English,252
E09000012,Hackney,E05009367,Brownswood,Main language is English (English or Welsh in Wales),6923
E09000012,Hackney,E05009367,Brownswood,Main language is not English (English or Welsh in Wales): Can speak English very well,871
E09000012,Hackney,E05009367,Brownswood,Main language is not English (English or Welsh in Wales): Can speak English well,517
E09000012,Hackney,E05009367,Brownswood,Main language is not English (English or Welsh in Wales): Cannot speak English well,284
E09000012,Hackney,E05009367,Brownswood,Main language is not English (English or Welsh in Wales): Cannot speak English,54
E09000012,Hackney,E05009368,Cazenove,Main language is English (English or Welsh in Wales),10784
E09000012,Hackney,E05009368,Cazenove,Main language is not English (English or Welsh in Wales): Can speak English very well,1236
E09000012,Hackney,E05009368,Cazenove,Main language is not English (English or Welsh in Wales): Can speak English well,1148
E09000012,Hackney,E05009368,Cazenove,Main language is not English (English or Welsh in Wales): Cannot speak English well,917
E09000012,Hackney,E05009368,Cazenove,Main language is not English (English or Welsh in Wales): Cannot speak English,177
