lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Asian, Asian British or Asian Welsh: Bangladeshi",7562
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Asian, Asian British or Asian Welsh: Chinese",482
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Asian, Asian British or Asian Welsh: Indian",482
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Asian, Asian British or Asian Welsh: Pakistani",194
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Asian, Asian British or Asian Welsh: Other Asian",410
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Black, Black British, Black Welsh, Caribbean or African: African",1353
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",281
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Black, Black British, Black Welsh, Caribbean or African: Other Black",257
E09000030,Tower Hamlets,E05009317,Bethnal Green,Mixed or Multiple ethnic groups: White and Asian,282
E09000030,Tower Hamlets,E05009317,Bethnal Green,Mixed or Multiple ethnic groups: White and Black African,134
E09000030,Tower Hamlets,E05009317,Bethnal Green,Mixed or Multiple ethnic groups: White and Black Caribbean,218
E09000030,Tower Hamlets,E05009317,Bethnal Green,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,308
E09000030,Tower Hamlets,E05009317,Bethnal Green,"White: English, Welsh, Scottish, Northern Irish or British",5682
E09000030,Tower Hamlets,E05009317,Bethnal Green,White: Irish,231
E09000030,Tower Hamlets,E05009317,Bethnal Green,White: Gypsy or Irish Traveller,5
E09000030,Tower Hamlets,E05009317,Bethnal Green,White: Roma,147
E09000030,Tower Hamlets,E05009317,Bethnal Green,White: Other White,2470
E09000030,Tower Hamlets,E05009317,Bethnal Green,Other ethnic group: Arab,158
E09000030,Tower Hamlets,E05009317,Bethnal Green,Other ethnic group: Any other ethnic group,550
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"Asian, Asian British or Asian Welsh: Bangladeshi",4280
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"Asian, Asian British or Asian Welsh: Chinese",1759
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"Asian, Asian British or Asian Welsh: Indian",1678
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"Asian, Asian British or Asian Welsh: Pakistani",314
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"Asian, Asian British or Asian Welsh: Other Asian",719
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"Black, Black British, Black Welsh, Caribbean or African: African",1091
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",290
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"Black, Black British, Black Welsh, Caribbean or African: Other Black",128
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Mixed or Multiple ethnic groups: White and Asian,417
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Mixed or Multiple ethnic groups: White and Black African,167
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Mixed or Multiple ethnic groups: White and Black Caribbean,285
