lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,"All adults in household have English in England, or English or Welsh in Wales as a main language",4760
E09000030,Tower Hamlets,E05009317,Bethnal Green,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",1454
E09000030,Tower Hamlets,E05009317,Bethnal Green,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",276
E09000030,Tower Hamlets,E05009317,Bethnal Green,"No people in household have English in England, or English or Welsh in Wales as a main language",866
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"All adults in household have English in England, or English or Welsh in Wales as a main language",6076
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",1420
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",202
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"No people in household have English in England, or English or Welsh in Wales as a main language",1983
E09000030,Tower Hamlets,E05009319,Bow East,"All adults in household have English in England, or English or Welsh in Wales as a main language",6338
E09000030,Tower Hamlets,E05009319,Bow East,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",1105
E09000030,Tower Hamlets,E05009319,Bow East,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",183
E09000030,Tower Hamlets,E05009319,Bow East,"No people in household have English in England, or English or Welsh in Wales as a main language",792
E09000030,Tower Hamlets,E05009320,Bow West,"All adults in household have English in England, or English or Welsh in Wales as a main language",3889
E09000030,Tower Hamlets,E05009320,Bow West,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",811
E09000030,Tower Hamlets,E05009320,Bow West,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",108
E09000030,Tower Hamlets,E05009320,Bow West,"No people in household have English in England, or English or Welsh in Wales as a main language",477
