lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,One-person household,2045
E09000030,Tower Hamlets,E05009317,Bethnal Green,Multi-person household: No people stated their religion,146
E09000030,Tower Hamlets,E05009317,Bethnal Green,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),2791
E09000030,Tower Hamlets,E05009317,Bethnal Green,Multi-person household: No religion (household may include people who did not state their religion),1347
E09000030,Tower Hamlets,E05009317,Bethnal Green,Multi-person household: Same religion and no religion (household may include people who did not state their religion),870
E09000030,Tower Hamlets,E05009317,Bethnal Green,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),166
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,One-person household,3525
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Multi-person household: No people stated their religion,230
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),2901
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Multi-person household: No religion (household may include people who did not state their religion),1597
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Multi-person household: Same religion and no religion (household may include people who did not state their religion),1143
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),308
E09000030,Tower Hamlets,E05009319,Bow East,One-person household,2722
E09000030,Tower Hamlets,E05009319,Bow East,Multi-person household: No people stated their religion,130
E09000030,Tower Hamlets,E05009319,Bow East,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),2313
E09000030,Tower Hamlets,E05009319,Bow East,Multi-person household: No religion (household may include people who did not state their religion),2027
E09000030,Tower Hamlets,E05009319,Bow East,Multi-person household: Same religion and no religion (household may include people who did not state their religion),1077
E09000030,Tower Hamlets,E05009319,Bow East,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),139
E09000030,Tower Hamlets,E05009320,Bow West,One-person household,1525
E09000030,Tower Hamlets,E05009320,Bow West,Multi-person household: No people stated their religion,75
E09000030,Tower Hamlets,E05009320,Bow West,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),1600
E09000030,Tower Hamlets,E05009320,Bow West,Multi-person household: No religion (household may include people who did not state their religion),1225
E09000030,Tower Hamlets,E05009320,Bow West,Multi-person household: Same religion and no religion (household may include people who did not state their religion),741
E09000030,Tower Hamlets,E05009320,Bow West,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),102
E09000030,Tower Hamlets,E05009321,Bromley North,One-person household,1435
E09000030,Tower Hamlets,E05009321,Bromley North,Multi-person household: No people stated their religion,91
E09000030,Tower Hamlets,E05009321,Bromley North,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),1815
E09000030,Tower Hamlets,E05009321,Bromley North,Multi-person household: No religion (household may include people who did not state their religion),615
E09000030,Tower Hamlets,E05009321,Bromley North,Multi-person household: Same religion and no religion (household may include people who did not state their religion),387
E09000030,Tower Hamlets,E05009321,Bromley North,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),96
E09000030,Tower Hamlets,E05009322,Bromley South,One-person household,1396
E09000030,Tower Hamlets,E05009322,Bromley South,Multi-person household: No people stated their religion,140
E09000030,Tower Hamlets,E05009322,Bromley South,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),2260
E09000030,Tower Hamlets,E05009322,Bromley South,Multi-person household: No religion (household may include people who did not state their religion),719
E09000030,Tower Hamlets,E05009322,Bromley South,Multi-person household: Same religion and no religion (household may include people who did not state their religion),540
E09000030,Tower Hamlets,E05009322,Bromley South,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),90
E09000030,Tower Hamlets,E05009323,Canary Wharf,One-person household,3425
E09000030,Tower Hamlets,E05009323,Canary Wharf,Multi-person household: No people stated their religion,218
E09000030,Tower Hamlets,E05009323,Canary Wharf,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),2497
E09000030,Tower Hamlets,E05009323,Canary Wharf,Multi-person household: No religion (household may include people who did not state their religion),1310
E09000030,Tower Hamlets,E05009323,Canary Wharf,Multi-person household: Same religion and no religion (household may include people who did not state their religion),856
E09000030,Tower Hamlets,E05009323,Canary Wharf,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),215
E09000030,Tower Hamlets,E05009324,Island Gardens,One-person household,1698
E09000030,Tower Hamlets,E05009324,Island Gardens,Multi-person household: No people stated their religion,140
E09000030,Tower Hamlets,E05009324,Island Gardens,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),2147
E09000030,Tower Hamlets,E05009324,Island Gardens,Multi-person household: No religion (household may include people who did not state their religion),983
E09000030,Tower Hamlets,E05009324,Island Gardens,Multi-person household: Same religion and no religion (household may include people who did not state their religion),825
E09000030,Tower Hamlets,E05009324,Island Gardens,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),182
E09000030,Tower Hamlets,E05009325,Lansbury,One-person household,1981
E09000030,Tower Hamlets,E05009325,Lansbury,Multi-person household: No people stated their religion,162
E09000030,Tower Hamlets,E05009325,Lansbury,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),3376
E09000030,Tower Hamlets,E05009325,Lansbury,Multi-person household: No religion (household may include people who did not state their religion),1003
E09000030,Tower Hamlets,E05009325,Lansbury,Multi-person household: Same religion and no religion (household may include people who did not state their religion),783
E09000030,Tower Hamlets,E05009325,Lansbury,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),238
E09000030,Tower Hamlets,E05009326,Limehouse,One-person household,1042
E09000030,Tower Hamlets,E05009326,Limehouse,Multi-person household: No people stated their religion,74
E09000030,Tower Hamlets,E05009326,Limehouse,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),840
E09000030,Tower Hamlets,E05009326,Limehouse,Multi-person household: No religion (household may include people who did not state their religion),515
E09000030,Tower Hamlets,E05009326,Limehouse,Multi-person household: Same religion and no religion (household may include people who did not state their religion),450
E09000030,Tower Hamlets,E05009326,Limehouse,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),88
E09000030,Tower Hamlets,E05009327,Mile End,One-person household,2141
E09000030,Tower Hamlets,E05009327,Mile End,Multi-person household: No people stated their religion,173
E09000030,Tower Hamlets,E05009327,Mile End,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),3273
E09000030,Tower Hamlets,E05009327,Mile End,Multi-person household: No religion (household may include people who did not state their religion),1250
E09000030,Tower Hamlets,E05009327,Mile End,Multi-person household: Same religion and no religion (household may include people who did not state their religion),870
E09000030,Tower Hamlets,E05009327,Mile End,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),157
E09000030,Tower Hamlets,E05009328,Poplar,One-person household,830
E09000030,Tower Hamlets,E05009328,Poplar,Multi-person household: No people stated their religion,65
E09000030,Tower Hamlets,E05009328,Poplar,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),1324
