lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,One-person household,2045
E09000030,Tower Hamlets,E05009317,Bethnal Green,All household members have the same ethnic group,3635
E09000030,Tower Hamlets,E05009317,Bethnal Green,Ethnic groups differ between generations but not within partnerships,221
E09000030,Tower Hamlets,E05009317,Bethnal Green,Ethnic groups differ within partnerships,677
E09000030,Tower Hamlets,E05009317,Bethnal Green,Any other combination of multiple ethnic identities,769
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,One-person household,3525
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,All household members have the same ethnic group,3990
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Ethnic groups differ between generations but not within partnerships,201
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Ethnic groups differ within partnerships,1204
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Any other combination of multiple ethnic identities,781
E09000030,Tower Hamlets,E05009319,Bow East,One-person household,2722
E09000030,Tower Hamlets,E05009319,Bow East,All household members have the same ethnic group,3668
E09000030,Tower Hamlets,E05009319,Bow East,Ethnic groups differ between generations but not within partnerships,231
E09000030,Tower Hamlets,E05009319,Bow East,Ethnic groups differ within partnerships,1062
E09000030,Tower Hamlets,E05009319,Bow East,Any other combination of multiple ethnic identities,717
E09000030,Tower Hamlets,E05009320,Bow West,One-person household,1525
E09000030,Tower Hamlets,E05009320,Bow West,All household members have the same ethnic group,2426
E09000030,Tower Hamlets,E05009320,Bow West,Ethnic groups differ between generations but not within partnerships,123
E09000030,Tower Hamlets,E05009320,Bow West,Ethnic groups differ within partnerships,645
E09000030,Tower Hamlets,E05009320,Bow West,Any other combination of multiple ethnic identities,558
E09000030,Tower Hamlets,E05009321,Bromley North,One-person household,1435
E09000030,Tower Hamlets,E05009321,Bromley North,All household members have the same ethnic group,2155
E09000030,Tower Hamlets,E05009321,Bromley North,Ethnic groups differ between generations but not within partnerships,149
E09000030,Tower Hamlets,E05009321,Bromley North,Ethnic groups differ within partnerships,365
E09000030,Tower Hamlets,E05009321,Bromley North,Any other combination of multiple ethnic identities,328
E09000030,Tower Hamlets,E05009322,Bromley South,One-person household,1396
E09000030,Tower Hamlets,E05009322,Bromley South,All household members have the same ethnic group,2698
E09000030,Tower Hamlets,E05009322,Bromley South,Ethnic groups differ between generations but not within partnerships,156
E09000030,Tower Hamlets,E05009322,Bromley South,Ethnic groups differ within partnerships,454
E09000030,Tower Hamlets,E05009322,Bromley South,Any other combination of multiple ethnic identities,428
E09000030,Tower Hamlets,E05009323,Canary Wharf,One-person household,3425
E09000030,Tower Hamlets,E05009323,Canary Wharf,All household members have the same ethnic group,3465
E09000030,Tower Hamlets,E05009323,Canary Wharf,Ethnic groups differ between generations but not within partnerships,184
E09000030,Tower Hamlets,E05009323,Canary Wharf,Ethnic groups differ within partnerships,905
E09000030,Tower Hamlets,E05009323,Canary Wharf,Any other combination of multiple ethnic identities,541
E09000030,Tower Hamlets,E05009324,Island Gardens,One-person household,1698
E09000030,Tower Hamlets,E05009324,Island Gardens,All household members have the same ethnic group,2761
E09000030,Tower Hamlets,E05009324,Island Gardens,Ethnic groups differ between generations but not within partnerships,198
E09000030,Tower Hamlets,E05009324,Island Gardens,Ethnic groups differ within partnerships,753
E09000030,Tower Hamlets,E05009324,Island Gardens,Any other combination of multiple ethnic identities,563
E09000030,Tower Hamlets,E05009325,Lansbury,One-person household,1981
E09000030,Tower Hamlets,E05009325,Lansbury,All household members have the same ethnic group,4018
E09000030,Tower Hamlets,E05009325,Lansbury,Ethnic groups differ between generations but not within partnerships,244
E09000030,Tower Hamlets,E05009325,Lansbury,Ethnic groups differ within partnerships,594
E09000030,Tower Hamlets,E05009325,Lansbury,Any other combination of multiple ethnic identities,700
E09000030,Tower Hamlets,E05009326,Limehouse,One-person household,1042
E09000030,Tower Hamlets,E05009326,Limehouse,All household members have the same ethnic group,1243
E09000030,Tower Hamlets,E05009326,Limehouse,Ethnic groups differ between generations but not within partnerships,39
E09000030,Tower Hamlets,E05009326,Limehouse,Ethnic groups differ within partnerships,384
E09000030,Tower Hamlets,E05009326,Limehouse,Any other combination of multiple ethnic identities,289
E09000030,Tower Hamlets,E05009327,Mile End,One-person household,2141
E09000030,Tower Hamlets,E05009327,Mile End,All household members have the same ethnic group,3930
E09000030,Tower Hamlets,E05009327,Mile End,Ethnic groups differ between generations but not within partnerships,204
E09000030,Tower Hamlets,E05009327,Mile End,Ethnic groups differ within partnerships,720
E09000030,Tower Hamlets,E05009327,Mile End,Any other combination of multiple ethnic identities,851
E09000030,Tower Hamlets,E05009328,Poplar,One-person household,830
E09000030,Tower Hamlets,E05009328,Poplar,All household members have the same ethnic group,1513
E09000030,Tower Hamlets,E05009328,Poplar,Ethnic groups differ between generations but not within partnerships,84
E09000030,Tower Hamlets,E05009328,Poplar,Ethnic groups differ within partnerships,184
E09000030,Tower Hamlets,E05009328,Poplar,Any other combination of multiple ethnic identities,226
E09000030,Tower Hamlets,E05009329,St Dunstan's,One-person household,1275
E09000030,Tower Hamlets,E05009329,St Dunstan's,All household members have the same ethnic group,2465
E09000030,Tower Hamlets,E05009329,St Dunstan's,Ethnic groups differ between generations but not within partnerships,135
E09000030,Tower Hamlets,E05009329,St Dunstan's,Ethnic groups differ within partnerships,369
E09000030,Tower Hamlets,E05009329,St Dunstan's,Any other combination of multiple ethnic identities,393
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,One-person household,2194
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,All household members have the same ethnic group,2154
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Ethnic groups differ between generations but not within partnerships,98
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Ethnic groups differ within partnerships,937
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Any other combination of multiple ethnic identities,426
E09000030,Tower Hamlets,E05009331,St Peter's,One-person household,2522
E09000030,Tower Hamlets,E05009331,St Peter's,All household members have the same ethnic group,3327
E09000030,Tower Hamlets,E05009331,St Peter's,Ethnic groups differ between generations but not within partnerships,161
E09000030,Tower Hamlets,E05009331,St Peter's,Ethnic groups differ within partnerships,732
E09000030,Tower Hamlets,E05009331,St Peter's,Any other combination of multiple ethnic identities,779
E09000030,Tower Hamlets,E05009332,Shadwell,One-person household,1322
E09000030,Tower Hamlets,E05009332,Shadwell,All household members have the same ethnic group,2286
E09000030,Tower Hamlets,E05009332,Shadwell,Ethnic groups differ between generations but not within partnerships,98
E09000030,Tower Hamlets,E05009332,Shadwell,Ethnic groups differ within partnerships,304
E09000030,Tower Hamlets,E05009332,Shadwell,Any other combination of multiple ethnic identities,372
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,One-person household,1764
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,All household members have the same ethnic group,2135
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Ethnic groups differ between generations but not within partnerships,60
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Ethnic groups differ within partnerships,468
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Any other combination of multiple ethnic identities,572
E09000030,Tower Hamlets,E05009334,Stepney Green,One-person household,1326
E09000030,Tower Hamlets,E05009334,Stepney Green,All household members have the same ethnic group,2224
E09000030,Tower Hamlets,E05009334,Stepney Green,Ethnic groups differ between generations but not within partnerships,107
E09000030,Tower Hamlets,E05009334,Stepney Green,Ethnic groups differ within partnerships,297
E09000030,Tower Hamlets,E05009334,Stepney Green,Any other combination of multiple ethnic identities,402
E09000030,Tower Hamlets,E05009335,Weavers,One-person household,1856
