lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,One person household,2045
E09000030,Tower Hamlets,E05009317,Bethnal Green,All household members have the same main language,3439
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Main language differs between generations, but not within partnerships",664
E09000030,Tower Hamlets,E05009317,Bethnal Green,Main language differs within partnerships,500
E09000030,Tower Hamlets,E05009317,Bethnal Green,Any other combination of multiple main languages,693
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,One person household,3525
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,All household members have the same main language,4277
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"Main language differs between generations, but not within partnerships",424
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Main language differs within partnerships,718
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Any other combination of multiple main languages,737
E09000030,Tower Hamlets,E05009319,Bow East,One person household,2722
E09000030,Tower Hamlets,E05009319,Bow East,All household members have the same main language,4280
E09000030,Tower Hamlets,E05009319,Bow East,"Main language differs between generations, but not within partnerships",422
E09000030,Tower Hamlets,E05009319,Bow East,Main language differs within partnerships,523
E09000030,Tower Hamlets,E05009319,Bow East,Any other combination of multiple main languages,466
E09000030,Tower Hamlets,E05009320,Bow West,One person household,1525
E09000030,Tower Hamlets,E05009320,Bow West,All household members have the same main language,2765
E09000030,Tower Hamlets,E05009320,Bow West,"Main language differs between generations, but not within partnerships",270
E09000030,Tower Hamlets,E05009320,Bow West,Main language differs within partnerships,254
E09000030,Tower Hamlets,E05009320,Bow West,Any other combination of multiple main languages,471
E09000030,Tower Hamlets,E05009321,Bromley North,One person household,1435
E09000030,Tower Hamlets,E05009321,Bromley North,All household members have the same main language,1948
E09000030,Tower Hamlets,E05009321,Bromley North,"Main language differs between generations, but not within partnerships",439
E09000030,Tower Hamlets,E05009321,Bromley North,Main language differs within partnerships,295
E09000030,Tower Hamlets,E05009321,Bromley North,Any other combination of multiple main languages,305
E09000030,Tower Hamlets,E05009322,Bromley South,One person household,1396
E09000030,Tower Hamlets,E05009322,Bromley South,All household members have the same main language,2323
E09000030,Tower Hamlets,E05009322,Bromley South,"Main language differs between generations, but not within partnerships",547
E09000030,Tower Hamlets,E05009322,Bromley South,Main language differs within partnerships,396
E09000030,Tower Hamlets,E05009322,Bromley South,Any other combination of multiple main languages,473
E09000030,Tower Hamlets,E05009323,Canary Wharf,One person household,3425
E09000030,Tower Hamlets,E05009323,Canary Wharf,All household members have the same main language,3512
E09000030,Tower Hamlets,E05009323,Canary Wharf,"Main language differs between generations, but not within partnerships",427
E09000030,Tower Hamlets,E05009323,Canary Wharf,Main language differs within partnerships,618
E09000030,Tower Hamlets,E05009323,Canary Wharf,Any other combination of multiple main languages,528
E09000030,Tower Hamlets,E05009324,Island Gardens,One person household,1698
E09000030,Tower Hamlets,E05009324,Island Gardens,All household members have the same main language,2948
E09000030,Tower Hamlets,E05009324,Island Gardens,"Main language differs between generations, but not within partnerships",358
E09000030,Tower Hamlets,E05009324,Island Gardens,Main language differs within partnerships,454
E09000030,Tower Hamlets,E05009324,Island Gardens,Any other combination of multiple main languages,514
E09000030,Tower Hamlets,E05009325,Lansbury,One person household,1981
E09000030,Tower Hamlets,E05009325,Lansbury,All household members have the same main language,3451
E09000030,Tower Hamlets,E05009325,Lansbury,"Main language differs between generations, but not within partnerships",794
E09000030,Tower Hamlets,E05009325,Lansbury,Main language differs within partnerships,537
E09000030,Tower Hamlets,E05009325,Lansbury,Any other combination of multiple main languages,774
E09000030,Tower Hamlets,E05009326,Limehouse,One person household,1042
E09000030,Tower Hamlets,E05009326,Limehouse,All household members have the same main language,1321
E09000030,Tower Hamlets,E05009326,Limehouse,"Main language differs between generations, but not within partnerships",120
E09000030,Tower Hamlets,E05009326,Limehouse,Main language differs within partnerships,241
E09000030,Tower Hamlets,E05009326,Limehouse,Any other combination of multiple main languages,270
E09000030,Tower Hamlets,E05009327,Mile End,One person household,2141
E09000030,Tower Hamlets,E05009327,Mile End,All household members have the same main language,3511
E09000030,Tower Hamlets,E05009327,Mile End,"Main language differs between generations, but not within partnerships",774
E09000030,Tower Hamlets,E05009327,Mile End,Main language differs within partnerships,591
E09000030,Tower Hamlets,E05009327,Mile End,Any other combination of multiple main languages,842
E09000030,Tower Hamlets,E05009328,Poplar,One person household,830
E09000030,Tower Hamlets,E05009328,Poplar,All household members have the same main language,1187
E09000030,Tower Hamlets,E05009328,Poplar,"Main language differs between generations, but not within partnerships",355
E09000030,Tower Hamlets,E05009328,Poplar,Main language differs within partnerships,200
E09000030,Tower Hamlets,E05009328,Poplar,Any other combination of multiple main languages,259
E09000030,Tower Hamlets,E05009329,St Dunstan's,One person household,1275
E09000030,Tower Hamlets,E05009329,St Dunstan's,All household members have the same main language,1963
E09000030,Tower Hamlets,E05009329,St Dunstan's,"Main language differs between generations, but not within partnerships",548
E09000030,Tower Hamlets,E05009329,St Dunstan's,Main language differs within partnerships,357
E09000030,Tower Hamlets,E05009329,St Dunstan's,Any other combination of multiple main languages,489
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,One person household,2194
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,All household members have the same main language,2717
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,"Main language differs between generations, but not within partnerships",176
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Main language differs within partnerships,413
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Any other combination of multiple main languages,318
E09000030,Tower Hamlets,E05009331,St Peter's,One person household,2522
E09000030,Tower Hamlets,E05009331,St Peter's,All household members have the same main language,3214
E09000030,Tower Hamlets,E05009331,St Peter's,"Main language differs between generations, but not within partnerships",578
E09000030,Tower Hamlets,E05009331,St Peter's,Main language differs within partnerships,499
E09000030,Tower Hamlets,E05009331,St Peter's,Any other combination of multiple main languages,712
E09000030,Tower Hamlets,E05009332,Shadwell,One person household,1322
E09000030,Tower Hamlets,E05009332,Shadwell,All household members have the same main language,1703
E09000030,Tower Hamlets,E05009332,Shadwell,"Main language differs between generations, but not within partnerships",562
E09000030,Tower Hamlets,E05009332,Shadwell,Main language differs within partnerships,334
E09000030,Tower Hamlets,E05009332,Shadwell,Any other combination of multiple main languages,469
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,One person household,1764
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,All household members have the same main language,1949
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,"Main language differs between generations, but not within partnerships",400
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Main language differs within partnerships,307
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Any other combination of multiple main languages,587
E09000030,Tower Hamlets,E05009334,Stepney Green,One person household,1326
E09000030,Tower Hamlets,E05009334,Stepney Green,All household members have the same main language,1762
E09000030,Tower Hamlets,E05009334,Stepney Green,"Main language differs between generations, but not within partnerships",532
E09000030,Tower Hamlets,E05009334,Stepney Green,Main language differs within partnerships,270
E09000030,Tower Hamlets,E05009334,Stepney Green,Any other combination of multiple main languages,474
E09000030,Tower Hamlets,E05009335,Weavers,One person household,1856
E09000030,Tower Hamlets,E05009335,Weavers,All household members have the same main language,2348
E09000030,Tower Hamlets,E05009335,Weavers,"Main language differs between generations, but not within partnerships",369
E09000030,Tower Hamlets,E05009335,Weavers,Main language differs within partnerships,342
E09000030,Tower Hamlets,E05009335,Weavers,Any other combination of multiple main languages,516
E09000030,Tower Hamlets,E05009336,Whitechapel,One person household,2514
E09000030,Tower Hamlets,E05009336,Whitechapel,All household members have the same main language,3057
E09000030,Tower Hamlets,E05009336,Whitechapel,"Main language differs between generations, but not within partnerships",534
E09000030,Tower Hamlets,E05009336,Whitechapel,Main language differs within partnerships,498
E09000030,Tower Hamlets,E05009336,Whitechapel,Any other combination of multiple main languages,765
E09000012,Hackney,E05009367,Brownswood,One person household,1413
E09000012,Hackney,E05009367,Brownswood,All household members have the same main language,2063
E09000012,Hackney,E05009367,Brownswood,"Main language differs between generations, but not within partnerships",179
E09000012,Hackney,E05009367,Brownswood,Main language differs within partnerships,217
E09000012,Hackney,E05009367,Brownswood,Any other combination of multiple main languages,214
E09000012,Hackney,E05009368,Cazenove,One person household,1487
E09000012,Hackney,E05009368,Cazenove,All household members have the same main language,2557
E09000012,Hackney,E05009368,Cazenove,"Main language differs between generations, but not within partnerships",294
E09000012,Hackney,E05009368,Cazenove,Main language differs within partnerships,408
E09000012,Hackney,E05009368,Cazenove,Any other combination of multiple main languages,411
E09000012,Hackney,E05009369,Clissold,One person household,1752
E09000012,Hackney,E05009369,Clissold,All household members have the same main language,2919
E09000012,Hackney,E05009369,Clissold,"Main language differs between generations, but not within partnerships",245
E09000012,Hackney,E05009369,Clissold,Main language differs within partnerships,260
E09000012,Hackney,E05009369,Clissold,Any other combination of multiple main languages,254
E09000012,Hackney,E05009370,Dalston,One person household,1371
E09000012,Hackney,E05009370,Dalston,All household members have the same main language,2069
E09000012,Hackney,E05009370,Dalston,"Main language differs between generations, but not within partnerships",129
E09000012,Hackney,E05009370,Dalston,Main language differs within partnerships,231
E09000012,Hackney,E05009370,Dalston,Any other combination of multiple main languages,265
E09000012,Hackney,E05009371,De Beauvoir,One person household,1299
E09000012,Hackney,E05009371,De Beauvoir,All household members have the same main language,2056
E09000012,Hackney,E05009371,De Beauvoir,"Main language differs between generations, but not within partnerships",207
E09000012,Hackney,E05009371,De Beauvoir,Main language differs within partnerships,213
E09000012,Hackney,E05009371,De Beauvoir,Any other combination of multiple main languages,211
E09000012,Hackney,E05009372,Hackney Central,One person household,2140
E09000012,Hackney,E05009372,Hackney Central,All household members have the same main language,2749
E09000012,Hackney,E05009372,Hackney Central,"Main language differs between generations, but not within partnerships",309
E09000012,Hackney,E05009372,Hackney Central,Main language differs within partnerships,273
E09000012,Hackney,E05009372,Hackney Central,Any other combination of multiple main languages,307
E09000012,Hackney,E05009373,Hackney Downs,One person household,1855
E09000012,Hackney,E05009373,Hackney Downs,All household members have the same main language,2602
