lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,No religion,5979
E09000030,Tower Hamlets,E05009317,Bethnal Green,Christian,4360
E09000030,Tower Hamlets,E05009317,Bethnal Green,Buddhist,242
E09000030,Tower Hamlets,E05009317,Bethnal Green,Hindu,293
E09000030,Tower Hamlets,E05009317,Bethnal Green,Jewish,85
E09000030,Tower Hamlets,E05009317,Bethnal Green,Muslim,8659
E09000030,Tower Hamlets,E05009317,Bethnal Green,Sikh,77
E09000030,Tower Hamlets,E05009317,Bethnal Green,Other religion,106
E09000030,Tower Hamlets,E05009317,Bethnal Green,Not answered,1409
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,No religion,6643
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Christian,5695
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Buddhist,323
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Hindu,1223
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Jewish,96
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Muslim,5715
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Sikh,105
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Other religion,158
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Not answered,1856
E09000030,Tower Hamlets,E05009319,Bow East,No religion,7375
E09000030,Tower Hamlets,E05009319,Bow East,Christian,5060
E09000030,Tower Hamlets,E05009319,Bow East,Buddhist,124
E09000030,Tower Hamlets,E05009319,Bow East,Hindu,137
E09000030,Tower Hamlets,E05009319,Bow East,Jewish,111
E09000030,Tower Hamlets,E05009319,Bow East,Muslim,5345
E09000030,Tower Hamlets,E05009319,Bow East,Sikh,64
E09000030,Tower Hamlets,E05009319,Bow East,Other religion,130
E09000030,Tower Hamlets,E05009319,Bow East,Not answered,1173
E09000030,Tower Hamlets,E05009320,Bow West,No religion,4845
E09000030,Tower Hamlets,E05009320,Bow West,Christian,3441
E09000030,Tower Hamlets,E05009320,Bow West,Buddhist,104
E09000030,Tower Hamlets,E05009320,Bow West,Hindu,106
E09000030,Tower Hamlets,E05009320,Bow West,Jewish,78
E09000030,Tower Hamlets,E05009320,Bow West,Muslim,4173
E09000030,Tower Hamlets,E05009320,Bow West,Sikh,68
E09000030,Tower Hamlets,E05009320,Bow West,Other religion,82
E09000030,Tower Hamlets,E05009320,Bow West,Not answered,819
E09000030,Tower Hamlets,E05009321,Bromley North,No religion,2494
E09000030,Tower Hamlets,E05009321,Bromley North,Christian,2392
E09000030,Tower Hamlets,E05009321,Bromley North,Buddhist,109
E09000030,Tower Hamlets,E05009321,Bromley North,Hindu,154
E09000030,Tower Hamlets,E05009321,Bromley North,Jewish,26
E09000030,Tower Hamlets,E05009321,Bromley North,Muslim,5475
E09000030,Tower Hamlets,E05009321,Bromley North,Sikh,47
E09000030,Tower Hamlets,E05009321,Bromley North,Other religion,23
E09000030,Tower Hamlets,E05009321,Bromley North,Not answered,722
E09000030,Tower Hamlets,E05009322,Bromley South,No religion,2906
E09000030,Tower Hamlets,E05009322,Bromley South,Christian,2863
E09000030,Tower Hamlets,E05009322,Bromley South,Buddhist,133
E09000030,Tower Hamlets,E05009322,Bromley South,Hindu,164
E09000030,Tower Hamlets,E05009322,Bromley South,Jewish,39
E09000030,Tower Hamlets,E05009322,Bromley South,Muslim,7056
E09000030,Tower Hamlets,E05009322,Bromley South,Sikh,28
E09000030,Tower Hamlets,E05009322,Bromley South,Other religion,52
E09000030,Tower Hamlets,E05009322,Bromley South,Not answered,983
E09000030,Tower Hamlets,E05009323,Canary Wharf,No religion,5360
E09000030,Tower Hamlets,E05009323,Canary Wharf,Christian,4856
E09000030,Tower Hamlets,E05009323,Canary Wharf,Buddhist,268
E09000030,Tower Hamlets,E05009323,Canary Wharf,Hindu,1025
E09000030,Tower Hamlets,E05009323,Canary Wharf,Jewish,79
E09000030,Tower Hamlets,E05009323,Canary Wharf,Muslim,4744
E09000030,Tower Hamlets,E05009323,Canary Wharf,Sikh,85
E09000030,Tower Hamlets,E05009323,Canary Wharf,Other religion,120
E09000030,Tower Hamlets,E05009323,Canary Wharf,Not answered,1401
E09000030,Tower Hamlets,E05009324,Island Gardens,No religion,4179
E09000030,Tower Hamlets,E05009324,Island Gardens,Christian,4731
E09000030,Tower Hamlets,E05009324,Island Gardens,Buddhist,220
E09000030,Tower Hamlets,E05009324,Island Gardens,Hindu,668
E09000030,Tower Hamlets,E05009324,Island Gardens,Jewish,54
E09000030,Tower Hamlets,E05009324,Island Gardens,Muslim,3792
E09000030,Tower Hamlets,E05009324,Island Gardens,Sikh,40
E09000030,Tower Hamlets,E05009324,Island Gardens,Other religion,110
E09000030,Tower Hamlets,E05009324,Island Gardens,Not answered,1109
E09000030,Tower Hamlets,E05009325,Lansbury,No religion,4161
E09000030,Tower Hamlets,E05009325,Lansbury,Christian,5182
E09000030,Tower Hamlets,E05009325,Lansbury,Buddhist,205
E09000030,Tower Hamlets,E05009325,Lansbury,Hindu,366
E09000030,Tower Hamlets,E05009325,Lansbury,Jewish,46
E09000030,Tower Hamlets,E05009325,Lansbury,Muslim,10335
E09000030,Tower Hamlets,E05009325,Lansbury,Sikh,47
E09000030,Tower Hamlets,E05009325,Lansbury,Other religion,83
E09000030,Tower Hamlets,E05009325,Lansbury,Not answered,1313
