gss_code_ward,ward_name,category,count_21
E09000001,City of London,Economically active (excluding full-time students): In employment: Employee: Part-time,441
E09000001,City of London,Economically active (excluding full-time students): In employment: Employee: Full-time,3761
E09000001,City of London,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,28
E09000001,City of London,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,149
E09000001,City of London,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,365
E09000001,City of London,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,520
E09000001,City of London,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,283
E09000001,City of London,Economically active and a full-time student: In employment: Employee: Part-time,38
E09000001,City of London,Economically active and a full-time student: In employment: Employee: Full-time,19
E09000001,City of London,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E09000001,City of London,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E09000001,City of London,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,16
E09000001,City of London,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,10
E09000001,City of London,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,47
E09000001,City of London,Economically inactive: Retired,993
E09000001,City of London,Economically inactive: Student,723
E09000001,City of London,Economically Inactive: Looking after home or family,195
E09000001,City of London,Economically inactive: Long-term sick or disabled,123
E09000001,City of London,Economically inactive: Other,303
E05014066,Northbury,Economically active (excluding full-time students): In employment: Employee: Part-time,1287
E05014066,Northbury,Economically active (excluding full-time students): In employment: Employee: Full-time,2770
E05014066,Northbury,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,62
E05014066,Northbury,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,129
E05014066,Northbury,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,442
E05014066,Northbury,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,612
E05014066,Northbury,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,571
E05014066,Northbury,Economically active and a full-time student: In employment: Employee: Part-time,191
E05014066,Northbury,Economically active and a full-time student: In employment: Employee: Full-time,117
E05014066,Northbury,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,2
E05014066,Northbury,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,5
E05014066,Northbury,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,19
E05014066,Northbury,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,11
E05014066,Northbury,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,109
E05014066,Northbury,Economically inactive: Retired,599
E05014066,Northbury,Economically inactive: Student,849
E05014066,Northbury,Economically Inactive: Looking after home or family,1005
E05014066,Northbury,Economically inactive: Long-term sick or disabled,428
E05014066,Northbury,Economically inactive: Other,509
E05014053,Abbey,Economically active (excluding full-time students): In employment: Employee: Part-time,315
E05014053,Abbey,Economically active (excluding full-time students): In employment: Employee: Full-time,1099
E05014053,Abbey,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,21
E05014053,Abbey,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,51
E05014053,Abbey,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,86
E05014053,Abbey,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,195
E05014053,Abbey,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,143
E05014053,Abbey,Economically active and a full-time student: In employment: Employee: Part-time,63
E05014053,Abbey,Economically active and a full-time student: In employment: Employee: Full-time,29
E05014053,Abbey,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E05014053,Abbey,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E05014053,Abbey,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,6
E05014053,Abbey,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,7
E05014053,Abbey,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,29
E05014053,Abbey,Economically inactive: Retired,149
E05014053,Abbey,Economically inactive: Student,168
E05014053,Abbey,Economically Inactive: Looking after home or family,313
E05014053,Abbey,Economically inactive: Long-term sick or disabled,116
E05014053,Abbey,Economically inactive: Other,161
E05014054,Alibon,Economically active (excluding full-time students): In employment: Employee: Part-time,926
E05014054,Alibon,Economically active (excluding full-time students): In employment: Employee: Full-time,2331
E05014054,Alibon,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,31
E05014054,Alibon,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,106
E05014054,Alibon,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,285
E05014054,Alibon,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,567
E05014054,Alibon,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,339
E05014054,Alibon,Economically active and a full-time student: In employment: Employee: Part-time,127
E05014054,Alibon,Economically active and a full-time student: In employment: Employee: Full-time,55
E05014054,Alibon,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E05014054,Alibon,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,4
E05014054,Alibon,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,19
E05014054,Alibon,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,11
E05014054,Alibon,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,65
E05014054,Alibon,Economically inactive: Retired,863
E05014054,Alibon,Economically inactive: Student,534
E05014054,Alibon,Economically Inactive: Looking after home or family,545
E05014054,Alibon,Economically inactive: Long-term sick or disabled,294
E05014054,Alibon,Economically inactive: Other,355
E05014067,Parsloes,Economically active (excluding full-time students): In employment: Employee: Part-time,1453
E05014067,Parsloes,Economically active (excluding full-time students): In employment: Employee: Full-time,3435
E05014067,Parsloes,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,76
E05014067,Parsloes,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,156
E05014067,Parsloes,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,423
E05014067,Parsloes,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,765
E05014067,Parsloes,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,576
E05014067,Parsloes,Economically active and a full-time student: In employment: Employee: Part-time,170
E05014067,Parsloes,Economically active and a full-time student: In employment: Employee: Full-time,77
E05014067,Parsloes,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,5
E05014067,Parsloes,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,3
E05014067,Parsloes,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,17
E05014067,Parsloes,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,13
E05014067,Parsloes,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,90
E05014067,Parsloes,Economically inactive: Retired,1313
E05014067,Parsloes,Economically inactive: Student,779
E05014067,Parsloes,Economically Inactive: Looking after home or family,905
E05014067,Parsloes,Economically inactive: Long-term sick or disabled,614
E05014067,Parsloes,Economically inactive: Other,584
E05014057,Becontree,Economically active (excluding full-time students): In employment: Employee: Part-time,965
E05014057,Becontree,Economically active (excluding full-time students): In employment: Employee: Full-time,2035
E05014057,Becontree,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,33
E05014057,Becontree,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,98
E05014057,Becontree,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,320
E05014057,Becontree,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,430
E05014057,Becontree,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,367
E05014057,Becontree,Economically active and a full-time student: In employment: Employee: Part-time,120
E05014057,Becontree,Economically active and a full-time student: In employment: Employee: Full-time,31
E05014057,Becontree,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,4
E05014057,Becontree,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,2
E05014057,Becontree,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,19
E05014057,Becontree,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,6
E05014057,Becontree,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,45
E05014057,Becontree,Economically inactive: Retired,713
E05014057,Becontree,Economically inactive: Student,565
E05014057,Becontree,Economically Inactive: Looking after home or family,651
E05014057,Becontree,Economically inactive: Long-term sick or disabled,377
E05014057,Becontree,Economically inactive: Other,358
E05014065,Mayesbrook,Economically active (excluding full-time students): In employment: Employee: Part-time,1491
E05014065,Mayesbrook,Economically active (excluding full-time students): In employment: Employee: Full-time,3366
E05014065,Mayesbrook,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,56
E05014065,Mayesbrook,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,162
E05014065,Mayesbrook,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,470
E05014065,Mayesbrook,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,750
E05014065,Mayesbrook,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,504
E05014065,Mayesbrook,Economically active and a full-time student: In employment: Employee: Part-time,164
E05014065,Mayesbrook,Economically active and a full-time student: In employment: Employee: Full-time,97
E05014065,Mayesbrook,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,3
E05014065,Mayesbrook,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,7
E05014065,Mayesbrook,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,24
E05014065,Mayesbrook,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,19
E05014065,Mayesbrook,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,76
E05014065,Mayesbrook,Economically inactive: Retired,1101
E05014065,Mayesbrook,Economically inactive: Student,1001
E05014065,Mayesbrook,Economically Inactive: Looking after home or family,923
E05014065,Mayesbrook,Economically inactive: Long-term sick or disabled,583
E05014065,Mayesbrook,Economically inactive: Other,571
E05014058,Chadwell Heath,Economically active (excluding full-time students): In employment: Employee: Part-time,1283
E05014058,Chadwell Heath,Economically active (excluding full-time students): In employment: Employee: Full-time,2955
E05014058,Chadwell Heath,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,52
E05014058,Chadwell Heath,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,146
E05014058,Chadwell Heath,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,400
