gss_code_ward,ward_name,category,count_21
E09000001,City of London,Part-time: 15 hours or less worked,390
E09000001,City of London,Part-time: 16 to 30 hours worked,495
E09000001,City of London,Full-time: 31 to 48 hours worked,2761
E09000001,City of London,Full-time: 49 or more hours worked,1710
E05014066,Northbury,Part-time: 15 hours or less worked,723
E05014066,Northbury,Part-time: 16 to 30 hours worked,1276
E05014066,Northbury,Full-time: 31 to 48 hours worked,3152
E05014066,Northbury,Full-time: 49 or more hours worked,506
E05014053,Abbey,Part-time: 15 hours or less worked,196
E05014053,Abbey,Part-time: 16 to 30 hours worked,292
E05014053,Abbey,Full-time: 31 to 48 hours worked,1213
E05014053,Abbey,Full-time: 49 or more hours worked,168
E05014054,Alibon,Part-time: 15 hours or less worked,471
E05014054,Alibon,Part-time: 16 to 30 hours worked,927
E05014054,Alibon,Full-time: 31 to 48 hours worked,2694
E05014054,Alibon,Full-time: 49 or more hours worked,388
E05014067,Parsloes,Part-time: 15 hours or less worked,729
E05014067,Parsloes,Part-time: 16 to 30 hours worked,1402
E05014067,Parsloes,Full-time: 31 to 48 hours worked,3879
E05014067,Parsloes,Full-time: 49 or more hours worked,563
E05014057,Becontree,Part-time: 15 hours or less worked,517
E05014057,Becontree,Part-time: 16 to 30 hours worked,955
E05014057,Becontree,Full-time: 31 to 48 hours worked,2272
E05014057,Becontree,Full-time: 49 or more hours worked,322
E05014065,Mayesbrook,Part-time: 15 hours or less worked,744
E05014065,Mayesbrook,Part-time: 16 to 30 hours worked,1474
E05014065,Mayesbrook,Full-time: 31 to 48 hours worked,3807
E05014065,Mayesbrook,Full-time: 49 or more hours worked,608
E05014058,Chadwell Heath,Part-time: 15 hours or less worked,710
E05014058,Chadwell Heath,Part-time: 16 to 30 hours worked,1185
E05014058,Chadwell Heath,Full-time: 31 to 48 hours worked,3304
E05014058,Chadwell Heath,Full-time: 49 or more hours worked,458
E05014059,Eastbrook & Rush Green,Part-time: 15 hours or less worked,374
E05014059,Eastbrook & Rush Green,Part-time: 16 to 30 hours worked,748
E05014059,Eastbrook & Rush Green,Full-time: 31 to 48 hours worked,2451
E05014059,Eastbrook & Rush Green,Full-time: 49 or more hours worked,391
E05014060,Eastbury,Part-time: 15 hours or less worked,799
E05014060,Eastbury,Part-time: 16 to 30 hours worked,1428
E05014060,Eastbury,Full-time: 31 to 48 hours worked,3877
E05014060,Eastbury,Full-time: 49 or more hours worked,603
E05014061,Gascoigne,Part-time: 15 hours or less worked,514
E05014061,Gascoigne,Part-time: 16 to 30 hours worked,1006
E05014061,Gascoigne,Full-time: 31 to 48 hours worked,2629
E05014061,Gascoigne,Full-time: 49 or more hours worked,410
E05014062,Goresbrook,Part-time: 15 hours or less worked,611
E05014062,Goresbrook,Part-time: 16 to 30 hours worked,1282
E05014062,Goresbrook,Full-time: 31 to 48 hours worked,3473
E05014062,Goresbrook,Full-time: 49 or more hours worked,539
E05014063,Heath,Part-time: 15 hours or less worked,476
E05014063,Heath,Part-time: 16 to 30 hours worked,832
E05014063,Heath,Full-time: 31 to 48 hours worked,2267
E05014063,Heath,Full-time: 49 or more hours worked,342
E05014069,Valence,Part-time: 15 hours or less worked,773
E05014069,Valence,Part-time: 16 to 30 hours worked,1412
E05014069,Valence,Full-time: 31 to 48 hours worked,3704
E05014069,Valence,Full-time: 49 or more hours worked,555
E05014064,Longbridge,Part-time: 15 hours or less worked,767
E05014064,Longbridge,Part-time: 16 to 30 hours worked,1228
E05014064,Longbridge,Full-time: 31 to 48 hours worked,3425
E05014064,Longbridge,Full-time: 49 or more hours worked,447
E05014056,Beam,Part-time: 15 hours or less worked,425
E05014056,Beam,Part-time: 16 to 30 hours worked,813
E05014056,Beam,Full-time: 31 to 48 hours worked,2034
E05014056,Beam,Full-time: 49 or more hours worked,282
E05014070,Village,Part-time: 15 hours or less worked,556
E05014070,Village,Part-time: 16 to 30 hours worked,1111
E05014070,Village,Full-time: 31 to 48 hours worked,3239
E05014070,Village,Full-time: 49 or more hours worked,513
E05014055,Barking Riverside,Part-time: 15 hours or less worked,435
E05014055,Barking Riverside,Part-time: 16 to 30 hours worked,934
E05014055,Barking Riverside,Full-time: 31 to 48 hours worked,2800
E05014055,Barking Riverside,Full-time: 49 or more hours worked,365
E05014068,Thames View,Part-time: 15 hours or less worked,247
E05014068,Thames View,Part-time: 16 to 30 hours worked,501
E05014068,Thames View,Full-time: 31 to 48 hours worked,1343
E05014068,Thames View,Full-time: 49 or more hours worked,195
E05014071,Whalebone,Part-time: 15 hours or less worked,716
E05014071,Whalebone,Part-time: 16 to 30 hours worked,1294
E05014071,Whalebone,Full-time: 31 to 48 hours worked,3926
E05014071,Whalebone,Full-time: 49 or more hours worked,561
E05013629,Brunswick Park,Part-time: 15 hours or less worked,914
E05013629,Brunswick Park,Part-time: 16 to 30 hours worked,1587
E05013629,Brunswick Park,Full-time: 31 to 48 hours worked,4361
E05013629,Brunswick Park,Full-time: 49 or more hours worked,892
E05013635,East Barnet,Part-time: 15 hours or less worked,1047
E05013635,East Barnet,Part-time: 16 to 30 hours worked,1739
E05013635,East Barnet,Full-time: 31 to 48 hours worked,4769
E05013635,East Barnet,Full-time: 49 or more hours worked,1003
E05013650,Whetstone,Part-time: 15 hours or less worked,637
E05013650,Whetstone,Part-time: 16 to 30 hours worked,941
E05013650,Whetstone,Full-time: 31 to 48 hours worked,3047
E05013650,Whetstone,Full-time: 49 or more hours worked,782
E05013632,Colindale North,Part-time: 15 hours or less worked,739
E05013632,Colindale North,Part-time: 16 to 30 hours worked,1105
E05013632,Colindale North,Full-time: 31 to 48 hours worked,3268
E05013632,Colindale North,Full-time: 49 or more hours worked,524
E05013630,Burnt Oak,Part-time: 15 hours or less worked,1182
E05013630,Burnt Oak,Part-time: 16 to 30 hours worked,2116
E05013630,Burnt Oak,Full-time: 31 to 48 hours worked,5412
E05013630,Burnt Oak,Full-time: 49 or more hours worked,983
E05013634,Cricklewood,Part-time: 15 hours or less worked,654
E05013634,Cricklewood,Part-time: 16 to 30 hours worked,1002
E05013634,Cricklewood,Full-time: 31 to 48 hours worked,2465
E05013634,Cricklewood,Full-time: 49 or more hours worked,441
E05013631,Childs Hill,Part-time: 15 hours or less worked,1321
E05013631,Childs Hill,Part-time: 16 to 30 hours worked,1753
E05013631,Childs Hill,Full-time: 31 to 48 hours worked,4796
E05013631,Childs Hill,Full-time: 49 or more hours worked,1509
E05013633,Colindale South,Part-time: 15 hours or less worked,1032
E05013633,Colindale South,Part-time: 16 to 30 hours worked,1566
E05013633,Colindale South,Full-time: 31 to 48 hours worked,6080
E05013633,Colindale South,Full-time: 49 or more hours worked,1170
E05013640,Friern Barnet,Part-time: 15 hours or less worked,1162
E05013640,Friern Barnet,Part-time: 16 to 30 hours worked,1798
E05013640,Friern Barnet,Full-time: 31 to 48 hours worked,5083
E05013640,Friern Barnet,Full-time: 49 or more hours worked,1111
E05013651,Woodhouse,Part-time: 15 hours or less worked,851
E05013651,Woodhouse,Part-time: 16 to 30 hours worked,1376
E05013651,Woodhouse,Full-time: 31 to 48 hours worked,3905
E05013651,Woodhouse,Full-time: 49 or more hours worked,874
E05013636,East Finchley,Part-time: 15 hours or less worked,885
E05013636,East Finchley,Part-time: 16 to 30 hours worked,1432
E05013636,East Finchley,Full-time: 31 to 48 hours worked,4576
E05013636,East Finchley,Full-time: 49 or more hours worked,1136
E05013641,Garden Suburb,Part-time: 15 hours or less worked,890
E05013641,Garden Suburb,Part-time: 16 to 30 hours worked,1002
E05013641,Garden Suburb,Full-time: 31 to 48 hours worked,2795
E05013641,Garden Suburb,Full-time: 49 or more hours worked,1261
E05013638,Edgwarebury,Part-time: 15 hours or less worked,743
E05013638,Edgwarebury,Part-time: 16 to 30 hours worked,1251
E05013638,Edgwarebury,Full-time: 31 to 48 hours worked,2902
E05013638,Edgwarebury,Full-time: 49 or more hours worked,666
E05013637,Edgware,Part-time: 15 hours or less worked,1204
