gss_code_ward,ward_name,category,count_21
E09000001,City of London,Work mainly at or from home,3611
E09000001,City of London,"Underground, metro, light rail, tram",346
E09000001,City of London,Train,97
E09000001,City of London,"Bus, minibus or coach",134
E09000001,City of London,Taxi,20
E09000001,City of London,"Motorcycle, scooter or moped",12
E09000001,City of London,Driving a car or van,123
E09000001,City of London,Passenger in a car or van,12
E09000001,City of London,Bicycle,191
E09000001,City of London,On foot,760
E09000001,City of London,Other method of travel to work,52
E09000001,City of London,Not in employment or aged 15 years and under,3233
E05014066,Northbury,Work mainly at or from home,1176
E05014066,Northbury,"Underground, metro, light rail, tram",1320
E05014066,Northbury,Train,686
E05014066,Northbury,"Bus, minibus or coach",611
E05014066,Northbury,Taxi,27
E05014066,Northbury,"Motorcycle, scooter or moped",25
E05014066,Northbury,Driving a car or van,1228
E05014066,Northbury,Passenger in a car or van,107
E05014066,Northbury,Bicycle,67
E05014066,Northbury,On foot,314
E05014066,Northbury,Other method of travel to work,98
E05014066,Northbury,Not in employment or aged 15 years and under,7521
E05014053,Abbey,Work mainly at or from home,598
E05014053,Abbey,"Underground, metro, light rail, tram",486
E05014053,Abbey,Train,211
E05014053,Abbey,"Bus, minibus or coach",148
E05014053,Abbey,Taxi,3
E05014053,Abbey,"Motorcycle, scooter or moped",5
E05014053,Abbey,Driving a car or van,263
E05014053,Abbey,Passenger in a car or van,22
E05014053,Abbey,Bicycle,20
E05014053,Abbey,On foot,96
E05014053,Abbey,Other method of travel to work,21
E05014053,Abbey,Not in employment or aged 15 years and under,2095
E05014054,Alibon,Work mainly at or from home,818
E05014054,Alibon,"Underground, metro, light rail, tram",885
E05014054,Alibon,Train,384
E05014054,Alibon,"Bus, minibus or coach",402
E05014054,Alibon,Taxi,29
E05014054,Alibon,"Motorcycle, scooter or moped",27
E05014054,Alibon,Driving a car or van,1460
E05014054,Alibon,Passenger in a car or van,113
E05014054,Alibon,Bicycle,57
E05014054,Alibon,On foot,238
E05014054,Alibon,Other method of travel to work,65
E05014054,Alibon,Not in employment or aged 15 years and under,5411
E05014067,Parsloes,Work mainly at or from home,1195
E05014067,Parsloes,"Underground, metro, light rail, tram",1130
E05014067,Parsloes,Train,504
E05014067,Parsloes,"Bus, minibus or coach",735
E05014067,Parsloes,Taxi,39
E05014067,Parsloes,"Motorcycle, scooter or moped",40
E05014067,Parsloes,Driving a car or van,2280
E05014067,Parsloes,Passenger in a car or van,179
E05014067,Parsloes,Bicycle,90
E05014067,Parsloes,On foot,286
E05014067,Parsloes,Other method of travel to work,88
E05014067,Parsloes,Not in employment or aged 15 years and under,8584
E05014057,Becontree,Work mainly at or from home,807
E05014057,Becontree,"Underground, metro, light rail, tram",460
E05014057,Becontree,Train,345
E05014057,Becontree,"Bus, minibus or coach",479
E05014057,Becontree,Taxi,25
E05014057,Becontree,"Motorcycle, scooter or moped",26
E05014057,Becontree,Driving a car or van,1500
E05014057,Becontree,Passenger in a car or van,122
E05014057,Becontree,Bicycle,65
E05014057,Becontree,On foot,186
E05014057,Becontree,Other method of travel to work,52
E05014057,Becontree,Not in employment or aged 15 years and under,5711
E05014065,Mayesbrook,Work mainly at or from home,1281
E05014065,Mayesbrook,"Underground, metro, light rail, tram",1152
E05014065,Mayesbrook,Train,601
E05014065,Mayesbrook,"Bus, minibus or coach",683
E05014065,Mayesbrook,Taxi,37
E05014065,Mayesbrook,"Motorcycle, scooter or moped",48
E05014065,Mayesbrook,Driving a car or van,2191
E05014065,Mayesbrook,Passenger in a car or van,183
E05014065,Mayesbrook,Bicycle,110
E05014065,Mayesbrook,On foot,235
E05014065,Mayesbrook,Other method of travel to work,106
