gss_code_ward,ward_name,category,count_21
E09000001,City of London,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3173
E09000001,City of London,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1914
E09000001,City of London,L7: Intermediate occupations,431
E09000001,City of London,L8 and L9: Small employers and own account workers,571
E09000001,City of London,L10 and L11: Lower supervisory and technical occupations,133
E09000001,City of London,L12: Semi-routine occupations,289
E09000001,City of London,L13: Routine occupations,257
E09000001,City of London,L14.1 and L14.2: Never worked and long-term unemployed,441
E09000001,City of London,L15: Full-time students,794
E05014066,Northbury,"L1, L2 and L3: Higher managerial, administrative and professional occupations",746
E05014066,Northbury,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1282
E05014066,Northbury,L7: Intermediate occupations,820
E05014066,Northbury,L8 and L9: Small employers and own account workers,1337
E05014066,Northbury,L10 and L11: Lower supervisory and technical occupations,407
E05014066,Northbury,L12: Semi-routine occupations,1098
E05014066,Northbury,L13: Routine occupations,1255
E05014066,Northbury,L14.1 and L14.2: Never worked and long-term unemployed,1526
E05014066,Northbury,L15: Full-time students,1256
E05014053,Abbey,"L1, L2 and L3: Higher managerial, administrative and professional occupations",455
E05014053,Abbey,"L4, L5 and L6: Lower managerial, administrative and professional occupations",481
E05014053,Abbey,L7: Intermediate occupations,228
E05014053,Abbey,L8 and L9: Small employers and own account workers,358
E05014053,Abbey,L10 and L11: Lower supervisory and technical occupations,107
E05014053,Abbey,L12: Semi-routine occupations,299
E05014053,Abbey,L13: Routine occupations,308
E05014053,Abbey,L14.1 and L14.2: Never worked and long-term unemployed,415
E05014053,Abbey,L15: Full-time students,289
E05014054,Alibon,"L1, L2 and L3: Higher managerial, administrative and professional occupations",419
E05014054,Alibon,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1139
E05014054,Alibon,L7: Intermediate occupations,769
E05014054,Alibon,L8 and L9: Small employers and own account workers,1044
E05014054,Alibon,L10 and L11: Lower supervisory and technical occupations,414
E05014054,Alibon,L12: Semi-routine occupations,964
E05014054,Alibon,L13: Routine occupations,1039
E05014054,Alibon,L14.1 and L14.2: Never worked and long-term unemployed,893
E05014054,Alibon,L15: Full-time students,777
E05014067,Parsloes,"L1, L2 and L3: Higher managerial, administrative and professional occupations",615
E05014067,Parsloes,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1641
E05014067,Parsloes,L7: Intermediate occupations,1211
E05014067,Parsloes,L8 and L9: Small employers and own account workers,1555
E05014067,Parsloes,L10 and L11: Lower supervisory and technical occupations,599
E05014067,Parsloes,L12: Semi-routine occupations,1536
E05014067,Parsloes,L13: Routine occupations,1702
E05014067,Parsloes,L14.1 and L14.2: Never worked and long-term unemployed,1477
E05014067,Parsloes,L15: Full-time students,1091
E05014057,Becontree,"L1, L2 and L3: Higher managerial, administrative and professional occupations",408
E05014057,Becontree,"L4, L5 and L6: Lower managerial, administrative and professional occupations",995
E05014057,Becontree,L7: Intermediate occupations,719
E05014057,Becontree,L8 and L9: Small employers and own account workers,975
E05014057,Becontree,L10 and L11: Lower supervisory and technical occupations,374
E05014057,Becontree,L12: Semi-routine occupations,885
E05014057,Becontree,L13: Routine occupations,971
E05014057,Becontree,L14.1 and L14.2: Never worked and long-term unemployed,1052
E05014057,Becontree,L15: Full-time students,764
E05014065,Mayesbrook,"L1, L2 and L3: Higher managerial, administrative and professional occupations",712
E05014065,Mayesbrook,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1740
E05014065,Mayesbrook,L7: Intermediate occupations,1137
E05014065,Mayesbrook,L8 and L9: Small employers and own account workers,1542
E05014065,Mayesbrook,L10 and L11: Lower supervisory and technical occupations,521
E05014065,Mayesbrook,L12: Semi-routine occupations,1343
E05014065,Mayesbrook,L13: Routine occupations,1644
E05014065,Mayesbrook,L14.1 and L14.2: Never worked and long-term unemployed,1461
E05014065,Mayesbrook,L15: Full-time students,1298
E05014058,Chadwell Heath,"L1, L2 and L3: Higher managerial, administrative and professional occupations",801
E05014058,Chadwell Heath,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1654
E05014058,Chadwell Heath,L7: Intermediate occupations,1154
E05014058,Chadwell Heath,L8 and L9: Small employers and own account workers,1345
E05014058,Chadwell Heath,L10 and L11: Lower supervisory and technical occupations,502
E05014058,Chadwell Heath,L12: Semi-routine occupations,1256
E05014058,Chadwell Heath,L13: Routine occupations,1159
E05014058,Chadwell Heath,L14.1 and L14.2: Never worked and long-term unemployed,1354
E05014058,Chadwell Heath,L15: Full-time students,1051
E05014059,Eastbrook & Rush Green,"L1, L2 and L3: Higher managerial, administrative and professional occupations",548
E05014059,Eastbrook & Rush Green,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1230
E05014059,Eastbrook & Rush Green,L7: Intermediate occupations,842
E05014059,Eastbrook & Rush Green,L8 and L9: Small employers and own account workers,812
E05014059,Eastbrook & Rush Green,L10 and L11: Lower supervisory and technical occupations,410
E05014059,Eastbrook & Rush Green,L12: Semi-routine occupations,808
E05014059,Eastbrook & Rush Green,L13: Routine occupations,870
E05014059,Eastbrook & Rush Green,L14.1 and L14.2: Never worked and long-term unemployed,776
E05014059,Eastbrook & Rush Green,L15: Full-time students,574
E05014060,Eastbury,"L1, L2 and L3: Higher managerial, administrative and professional occupations",694
E05014060,Eastbury,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1626
E05014060,Eastbury,L7: Intermediate occupations,1186
E05014060,Eastbury,L8 and L9: Small employers and own account workers,1609
E05014060,Eastbury,L10 and L11: Lower supervisory and technical occupations,635
E05014060,Eastbury,L12: Semi-routine occupations,1450
E05014060,Eastbury,L13: Routine occupations,1560
E05014060,Eastbury,L14.1 and L14.2: Never worked and long-term unemployed,1567
E05014060,Eastbury,L15: Full-time students,1404
E05014061,Gascoigne,"L1, L2 and L3: Higher managerial, administrative and professional occupations",636
E05014061,Gascoigne,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1186
E05014061,Gascoigne,L7: Intermediate occupations,733
E05014061,Gascoigne,L8 and L9: Small employers and own account workers,936
E05014061,Gascoigne,L10 and L11: Lower supervisory and technical occupations,339
E05014061,Gascoigne,L12: Semi-routine occupations,894
E05014061,Gascoigne,L13: Routine occupations,845
E05014061,Gascoigne,L14.1 and L14.2: Never worked and long-term unemployed,965
E05014061,Gascoigne,L15: Full-time students,1023
E05014062,Goresbrook,"L1, L2 and L3: Higher managerial, administrative and professional occupations",528
E05014062,Goresbrook,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1478
E05014062,Goresbrook,L7: Intermediate occupations,1058
E05014062,Goresbrook,L8 and L9: Small employers and own account workers,1283
E05014062,Goresbrook,L10 and L11: Lower supervisory and technical occupations,560
E05014062,Goresbrook,L12: Semi-routine occupations,1315
E05014062,Goresbrook,L13: Routine occupations,1535
E05014062,Goresbrook,L14.1 and L14.2: Never worked and long-term unemployed,1361
E05014062,Goresbrook,L15: Full-time students,1065
E05014063,Heath,"L1, L2 and L3: Higher managerial, administrative and professional occupations",410
E05014063,Heath,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1025
E05014063,Heath,L7: Intermediate occupations,727
E05014063,Heath,L8 and L9: Small employers and own account workers,822
E05014063,Heath,L10 and L11: Lower supervisory and technical occupations,362
E05014063,Heath,L12: Semi-routine occupations,896
E05014063,Heath,L13: Routine occupations,943
E05014063,Heath,L14.1 and L14.2: Never worked and long-term unemployed,808
E05014063,Heath,L15: Full-time students,750
E05014069,Valence,"L1, L2 and L3: Higher managerial, administrative and professional occupations",655
E05014069,Valence,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1597
E05014069,Valence,L7: Intermediate occupations,1163
E05014069,Valence,L8 and L9: Small employers and own account workers,1399
E05014069,Valence,L10 and L11: Lower supervisory and technical occupations,635
E05014069,Valence,L12: Semi-routine occupations,1457
E05014069,Valence,L13: Routine occupations,1587
E05014069,Valence,L14.1 and L14.2: Never worked and long-term unemployed,1548
E05014069,Valence,L15: Full-time students,1131
E05014064,Longbridge,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1028
E05014064,Longbridge,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1758
E05014064,Longbridge,L7: Intermediate occupations,1219
E05014064,Longbridge,L8 and L9: Small employers and own account workers,1332
E05014064,Longbridge,L10 and L11: Lower supervisory and technical occupations,387
E05014064,Longbridge,L12: Semi-routine occupations,931
E05014064,Longbridge,L13: Routine occupations,870
E05014064,Longbridge,L14.1 and L14.2: Never worked and long-term unemployed,1494
E05014064,Longbridge,L15: Full-time students,1297
E05014056,Beam,"L1, L2 and L3: Higher managerial, administrative and professional occupations",305
E05014056,Beam,"L4, L5 and L6: Lower managerial, administrative and professional occupations",873
E05014056,Beam,L7: Intermediate occupations,654
E05014056,Beam,L8 and L9: Small employers and own account workers,783
E05014056,Beam,L10 and L11: Lower supervisory and technical occupations,320
E05014056,Beam,L12: Semi-routine occupations,791
E05014056,Beam,L13: Routine occupations,893
E05014056,Beam,L14.1 and L14.2: Never worked and long-term unemployed,764
E05014056,Beam,L15: Full-time students,709
E05014070,Village,"L1, L2 and L3: Higher managerial, administrative and professional occupations",555
E05014070,Village,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1404
E05014070,Village,L7: Intermediate occupations,985
E05014070,Village,L8 and L9: Small employers and own account workers,1238
E05014070,Village,L10 and L11: Lower supervisory and technical occupations,493
E05014070,Village,L12: Semi-routine occupations,1277
E05014070,Village,L13: Routine occupations,1317
E05014070,Village,L14.1 and L14.2: Never worked and long-term unemployed,1173
E05014070,Village,L15: Full-time students,920
E05014055,Barking Riverside,"L1, L2 and L3: Higher managerial, administrative and professional occupations",680
E05014055,Barking Riverside,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1271
E05014055,Barking Riverside,L7: Intermediate occupations,736
E05014055,Barking Riverside,L8 and L9: Small employers and own account workers,757
E05014055,Barking Riverside,L10 and L11: Lower supervisory and technical occupations,341
E05014055,Barking Riverside,L12: Semi-routine occupations,743
E05014055,Barking Riverside,L13: Routine occupations,785
E05014055,Barking Riverside,L14.1 and L14.2: Never worked and long-term unemployed,785
E05014055,Barking Riverside,L15: Full-time students,803
E05014068,Thames View,"L1, L2 and L3: Higher managerial, administrative and professional occupations",238
E05014068,Thames View,"L4, L5 and L6: Lower managerial, administrative and professional occupations",605
E05014068,Thames View,L7: Intermediate occupations,408
E05014068,Thames View,L8 and L9: Small employers and own account workers,505
E05014068,Thames View,L10 and L11: Lower supervisory and technical occupations,181
E05014068,Thames View,L12: Semi-routine occupations,464
E05014068,Thames View,L13: Routine occupations,551
E05014068,Thames View,L14.1 and L14.2: Never worked and long-term unemployed,671
E05014068,Thames View,L15: Full-time students,499
E05014071,Whalebone,"L1, L2 and L3: Higher managerial, administrative and professional occupations",917
E05014071,Whalebone,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1765
E05014071,Whalebone,L7: Intermediate occupations,1172
E05014071,Whalebone,L8 and L9: Small employers and own account workers,1379
E05014071,Whalebone,L10 and L11: Lower supervisory and technical occupations,459
E05014071,Whalebone,L12: Semi-routine occupations,1184
E05014071,Whalebone,L13: Routine occupations,1207
E05014071,Whalebone,L14.1 and L14.2: Never worked and long-term unemployed,1172
E05014071,Whalebone,L15: Full-time students,1082
E05013629,Brunswick Park,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2193
E05013629,Brunswick Park,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2778
E05013629,Brunswick Park,L7: Intermediate occupations,1530
E05013629,Brunswick Park,L8 and L9: Small employers and own account workers,1912
E05013629,Brunswick Park,L10 and L11: Lower supervisory and technical occupations,460
E05013629,Brunswick Park,L12: Semi-routine occupations,1028
E05013629,Brunswick Park,L13: Routine occupations,880
E05013629,Brunswick Park,L14.1 and L14.2: Never worked and long-term unemployed,1240
E05013629,Brunswick Park,L15: Full-time students,1005
E05013635,East Barnet,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2435
E05013635,East Barnet,"L4, L5 and L6: Lower managerial, administrative and professional occupations",3154
E05013635,East Barnet,L7: Intermediate occupations,1712
E05013635,East Barnet,L8 and L9: Small employers and own account workers,1967
E05013635,East Barnet,L10 and L11: Lower supervisory and technical occupations,516
E05013635,East Barnet,L12: Semi-routine occupations,1108
E05013635,East Barnet,L13: Routine occupations,998
E05013635,East Barnet,L14.1 and L14.2: Never worked and long-term unemployed,1227
E05013635,East Barnet,L15: Full-time students,1082
E05013650,Whetstone,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2121
E05013650,Whetstone,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2015
E05013650,Whetstone,L7: Intermediate occupations,901
E05013650,Whetstone,L8 and L9: Small employers and own account workers,1155
E05013650,Whetstone,L10 and L11: Lower supervisory and technical occupations,261
E05013650,Whetstone,L12: Semi-routine occupations,573
E05013650,Whetstone,L13: Routine occupations,473
E05013650,Whetstone,L14.1 and L14.2: Never worked and long-term unemployed,777
E05013650,Whetstone,L15: Full-time students,573
E05013632,Colindale North,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1038
E05013632,Colindale North,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1524
E05013632,Colindale North,L7: Intermediate occupations,893
E05013632,Colindale North,L8 and L9: Small employers and own account workers,1232
E05013632,Colindale North,L10 and L11: Lower supervisory and technical occupations,447
E05013632,Colindale North,L12: Semi-routine occupations,1023
E05013632,Colindale North,L13: Routine occupations,988
E05013632,Colindale North,L14.1 and L14.2: Never worked and long-term unemployed,1453
E05013632,Colindale North,L15: Full-time students,1194
E05013630,Burnt Oak,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1308
E05013630,Burnt Oak,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2525
E05013630,Burnt Oak,L7: Intermediate occupations,1713
E05013630,Burnt Oak,L8 and L9: Small employers and own account workers,2575
E05013630,Burnt Oak,L10 and L11: Lower supervisory and technical occupations,800
E05013630,Burnt Oak,L12: Semi-routine occupations,1845
E05013630,Burnt Oak,L13: Routine occupations,1904
E05013630,Burnt Oak,L14.1 and L14.2: Never worked and long-term unemployed,2275
E05013630,Burnt Oak,L15: Full-time students,1834
E05013634,Cricklewood,"L1, L2 and L3: Higher managerial, administrative and professional occupations",926
E05013634,Cricklewood,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1333
E05013634,Cricklewood,L7: Intermediate occupations,723
E05013634,Cricklewood,L8 and L9: Small employers and own account workers,1158
E05013634,Cricklewood,L10 and L11: Lower supervisory and technical occupations,337
E05013634,Cricklewood,L12: Semi-routine occupations,734
E05013634,Cricklewood,L13: Routine occupations,806
E05013634,Cricklewood,L14.1 and L14.2: Never worked and long-term unemployed,1206
E05013634,Cricklewood,L15: Full-time students,934
E05013631,Childs Hill,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3331
E05013631,Childs Hill,"L4, L5 and L6: Lower managerial, administrative and professional occupations",3243
E05013631,Childs Hill,L7: Intermediate occupations,1314
E05013631,Childs Hill,L8 and L9: Small employers and own account workers,2138
E05013631,Childs Hill,L10 and L11: Lower supervisory and technical occupations,446
E05013631,Childs Hill,L12: Semi-routine occupations,1023
E05013631,Childs Hill,L13: Routine occupations,942
E05013631,Childs Hill,L14.1 and L14.2: Never worked and long-term unemployed,1760
E05013631,Childs Hill,L15: Full-time students,1450
E05013633,Colindale South,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2732
E05013633,Colindale South,"L4, L5 and L6: Lower managerial, administrative and professional occupations",2925
E05013633,Colindale South,L7: Intermediate occupations,1313
E05013633,Colindale South,L8 and L9: Small employers and own account workers,2042
E05013633,Colindale South,L10 and L11: Lower supervisory and technical occupations,542
E05013633,Colindale South,L12: Semi-routine occupations,1167
E05013633,Colindale South,L13: Routine occupations,1100
E05013633,Colindale South,L14.1 and L14.2: Never worked and long-term unemployed,1657
E05013633,Colindale South,L15: Full-time students,1876
E05013640,Friern Barnet,"L1, L2 and L3: Higher managerial, administrative and professional occupations",2463
E05013640,Friern Barnet,"L4, L5 and L6: Lower managerial, administrative and professional occupations",3100
E05013640,Friern Barnet,L7: Intermediate occupations,1496
E05013640,Friern Barnet,L8 and L9: Small employers and own account workers,2263
E05013640,Friern Barnet,L10 and L11: Lower supervisory and technical occupations,518
E05013640,Friern Barnet,L12: Semi-routine occupations,1252
E05013640,Friern Barnet,L13: Routine occupations,1128
E05013640,Friern Barnet,L14.1 and L14.2: Never worked and long-term unemployed,1584
E05013640,Friern Barnet,L15: Full-time students,1300
E05013651,Woodhouse,"L1, L2 and L3: Higher managerial, administrative and professional occupations",1920
