gss_code_ward,ward_name,category,count_21
E09000001,City of London,"1. Managers, directors and senior officials",1108
E09000001,City of London,2. Professional occupations,2345
E09000001,City of London,3. Associate professional and technical occupations,1027
E09000001,City of London,4. Administrative and secretarial occupations,270
E09000001,City of London,5. Skilled trades occupations,98
E09000001,City of London,"6. Caring, leisure and other service occupations",155
E09000001,City of London,7. Sales and customer service occupations,122
E09000001,City of London,"8. Process, plant and machine operatives",52
E09000001,City of London,9. Elementary occupations,178
E05014066,Northbury,"1. Managers, directors and senior officials",408
E05014066,Northbury,2. Professional occupations,888
E05014066,Northbury,3. Associate professional and technical occupations,567
E05014066,Northbury,4. Administrative and secretarial occupations,470
E05014066,Northbury,5. Skilled trades occupations,594
E05014066,Northbury,"6. Caring, leisure and other service occupations",612
E05014066,Northbury,7. Sales and customer service occupations,488
E05014066,Northbury,"8. Process, plant and machine operatives",538
E05014066,Northbury,9. Elementary occupations,1084
E05014053,Abbey,"1. Managers, directors and senior officials",148
E05014053,Abbey,2. Professional occupations,520
E05014053,Abbey,3. Associate professional and technical occupations,184
E05014053,Abbey,4. Administrative and secretarial occupations,116
E05014053,Abbey,5. Skilled trades occupations,181
E05014053,Abbey,"6. Caring, leisure and other service occupations",140
E05014053,Abbey,7. Sales and customer service occupations,154
E05014053,Abbey,"8. Process, plant and machine operatives",123
E05014053,Abbey,9. Elementary occupations,305
E05014054,Alibon,"1. Managers, directors and senior officials",323
E05014054,Alibon,2. Professional occupations,667
E05014054,Alibon,3. Associate professional and technical occupations,362
E05014054,Alibon,4. Administrative and secretarial occupations,411
E05014054,Alibon,5. Skilled trades occupations,627
E05014054,Alibon,"6. Caring, leisure and other service occupations",537
E05014054,Alibon,7. Sales and customer service occupations,353
E05014054,Alibon,"8. Process, plant and machine operatives",439
E05014054,Alibon,9. Elementary occupations,759
E05014067,Parsloes,"1. Managers, directors and senior officials",517
E05014067,Parsloes,2. Professional occupations,876
E05014067,Parsloes,3. Associate professional and technical occupations,605
E05014067,Parsloes,4. Administrative and secretarial occupations,620
E05014067,Parsloes,5. Skilled trades occupations,881
E05014067,Parsloes,"6. Caring, leisure and other service occupations",815
E05014067,Parsloes,7. Sales and customer service occupations,521
E05014067,Parsloes,"8. Process, plant and machine operatives",632
E05014067,Parsloes,9. Elementary occupations,1119
E05014057,Becontree,"1. Managers, directors and senior officials",286
E05014057,Becontree,2. Professional occupations,562
E05014057,Becontree,3. Associate professional and technical occupations,397
E05014057,Becontree,4. Administrative and secretarial occupations,412
E05014057,Becontree,5. Skilled trades occupations,475
E05014057,Becontree,"6. Caring, leisure and other service occupations",456
E05014057,Becontree,7. Sales and customer service occupations,349
E05014057,Becontree,"8. Process, plant and machine operatives",447
E05014057,Becontree,9. Elementary occupations,680
E05014065,Mayesbrook,"1. Managers, directors and senior officials",534
E05014065,Mayesbrook,2. Professional occupations,982
E05014065,Mayesbrook,3. Associate professional and technical occupations,655
E05014065,Mayesbrook,4. Administrative and secretarial occupations,620
E05014065,Mayesbrook,5. Skilled trades occupations,817
E05014065,Mayesbrook,"6. Caring, leisure and other service occupations",762
E05014065,Mayesbrook,7. Sales and customer service occupations,526
E05014065,Mayesbrook,"8. Process, plant and machine operatives",623
E05014065,Mayesbrook,9. Elementary occupations,1113
E05014058,Chadwell Heath,"1. Managers, directors and senior officials",528
E05014058,Chadwell Heath,2. Professional occupations,944
E05014058,Chadwell Heath,3. Associate professional and technical occupations,577
E05014058,Chadwell Heath,4. Administrative and secretarial occupations,584
E05014058,Chadwell Heath,5. Skilled trades occupations,675
E05014058,Chadwell Heath,"6. Caring, leisure and other service occupations",617
E05014058,Chadwell Heath,7. Sales and customer service occupations,471
E05014058,Chadwell Heath,"8. Process, plant and machine operatives",481
E05014058,Chadwell Heath,9. Elementary occupations,774
E05014059,Eastbrook & Rush Green,"1. Managers, directors and senior officials",326
E05014059,Eastbrook & Rush Green,2. Professional occupations,751
E05014059,Eastbrook & Rush Green,3. Associate professional and technical occupations,419
E05014059,Eastbrook & Rush Green,4. Administrative and secretarial occupations,419
E05014059,Eastbrook & Rush Green,5. Skilled trades occupations,484
E05014059,Eastbrook & Rush Green,"6. Caring, leisure and other service occupations",416
E05014059,Eastbrook & Rush Green,7. Sales and customer service occupations,279
E05014059,Eastbrook & Rush Green,"8. Process, plant and machine operatives",349
E05014059,Eastbrook & Rush Green,9. Elementary occupations,520
E05014060,Eastbury,"1. Managers, directors and senior officials",550
E05014060,Eastbury,2. Professional occupations,952
E05014060,Eastbury,3. Associate professional and technical occupations,617
E05014060,Eastbury,4. Administrative and secretarial occupations,570
E05014060,Eastbury,5. Skilled trades occupations,888
E05014060,Eastbury,"6. Caring, leisure and other service occupations",784
E05014060,Eastbury,7. Sales and customer service occupations,548
E05014060,Eastbury,"8. Process, plant and machine operatives",640
E05014060,Eastbury,9. Elementary occupations,1145
E05014061,Gascoigne,"1. Managers, directors and senior officials",350
E05014061,Gascoigne,2. Professional occupations,786
E05014061,Gascoigne,3. Associate professional and technical occupations,551
E05014061,Gascoigne,4. Administrative and secretarial occupations,362
E05014061,Gascoigne,5. Skilled trades occupations,436
E05014061,Gascoigne,"6. Caring, leisure and other service occupations",529
E05014061,Gascoigne,7. Sales and customer service occupations,399
E05014061,Gascoigne,"8. Process, plant and machine operatives",404
E05014061,Gascoigne,9. Elementary occupations,754
E05014062,Goresbrook,"1. Managers, directors and senior officials",458
E05014062,Goresbrook,2. Professional occupations,819
E05014062,Goresbrook,3. Associate professional and technical occupations,490
E05014062,Goresbrook,4. Administrative and secretarial occupations,519
E05014062,Goresbrook,5. Skilled trades occupations,764
E05014062,Goresbrook,"6. Caring, leisure and other service occupations",754
E05014062,Goresbrook,7. Sales and customer service occupations,462
E05014062,Goresbrook,"8. Process, plant and machine operatives",610
E05014062,Goresbrook,9. Elementary occupations,1015
E05014063,Heath,"1. Managers, directors and senior officials",273
E05014063,Heath,2. Professional occupations,627
E05014063,Heath,3. Associate professional and technical occupations,389
E05014063,Heath,4. Administrative and secretarial occupations,341
E05014063,Heath,5. Skilled trades occupations,432
E05014063,Heath,"6. Caring, leisure and other service occupations",512
E05014063,Heath,7. Sales and customer service occupations,336
E05014063,Heath,"8. Process, plant and machine operatives",363
E05014063,Heath,9. Elementary occupations,640
E05014069,Valence,"1. Managers, directors and senior officials",547
E05014069,Valence,2. Professional occupations,843
E05014069,Valence,3. Associate professional and technical occupations,626
E05014069,Valence,4. Administrative and secretarial occupations,554
E05014069,Valence,5. Skilled trades occupations,816
E05014069,Valence,"6. Caring, leisure and other service occupations",783
E05014069,Valence,7. Sales and customer service occupations,581
E05014069,Valence,"8. Process, plant and machine operatives",667
E05014069,Valence,9. Elementary occupations,1033
E05014064,Longbridge,"1. Managers, directors and senior officials",659
E05014064,Longbridge,2. Professional occupations,1175
E05014064,Longbridge,3. Associate professional and technical occupations,652
E05014064,Longbridge,4. Administrative and secretarial occupations,683
E05014064,Longbridge,5. Skilled trades occupations,536
E05014064,Longbridge,"6. Caring, leisure and other service occupations",529
E05014064,Longbridge,7. Sales and customer service occupations,481
E05014064,Longbridge,"8. Process, plant and machine operatives",552
E05014064,Longbridge,9. Elementary occupations,608
E05014056,Beam,"1. Managers, directors and senior officials",255
E05014056,Beam,2. Professional occupations,493
E05014056,Beam,3. Associate professional and technical occupations,303
E05014056,Beam,4. Administrative and secretarial occupations,327
E05014056,Beam,5. Skilled trades occupations,412
E05014056,Beam,"6. Caring, leisure and other service occupations",491
E05014056,Beam,7. Sales and customer service occupations,295
E05014056,Beam,"8. Process, plant and machine operatives",347
E05014056,Beam,9. Elementary occupations,649
E05014070,Village,"1. Managers, directors and senior officials",425
E05014070,Village,2. Professional occupations,783
E05014070,Village,3. Associate professional and technical occupations,534
E05014070,Village,4. Administrative and secretarial occupations,479
E05014070,Village,5. Skilled trades occupations,596
E05014070,Village,"6. Caring, leisure and other service occupations",726
E05014070,Village,7. Sales and customer service occupations,427
E05014070,Village,"8. Process, plant and machine operatives",581
E05014070,Village,9. Elementary occupations,859
E05014055,Barking Riverside,"1. Managers, directors and senior officials",425
E05014055,Barking Riverside,2. Professional occupations,951
E05014055,Barking Riverside,3. Associate professional and technical occupations,465
E05014055,Barking Riverside,4. Administrative and secretarial occupations,455
E05014055,Barking Riverside,5. Skilled trades occupations,391
E05014055,Barking Riverside,"6. Caring, leisure and other service occupations",504
E05014055,Barking Riverside,7. Sales and customer service occupations,333
E05014055,Barking Riverside,"8. Process, plant and machine operatives",367
E05014055,Barking Riverside,9. Elementary occupations,644
E05014068,Thames View,"1. Managers, directors and senior officials",172
E05014068,Thames View,2. Professional occupations,349
E05014068,Thames View,3. Associate professional and technical occupations,219
E05014068,Thames View,4. Administrative and secretarial occupations,232
E05014068,Thames View,5. Skilled trades occupations,223
E05014068,Thames View,"6. Caring, leisure and other service occupations",277
E05014068,Thames View,7. Sales and customer service occupations,179
E05014068,Thames View,"8. Process, plant and machine operatives",255
E05014068,Thames View,9. Elementary occupations,390
E05014071,Whalebone,"1. Managers, directors and senior officials",621
E05014071,Whalebone,2. Professional occupations,1213
E05014071,Whalebone,3. Associate professional and technical occupations,657
E05014071,Whalebone,4. Administrative and secretarial occupations,658
E05014071,Whalebone,5. Skilled trades occupations,723
E05014071,Whalebone,"6. Caring, leisure and other service occupations",672
E05014071,Whalebone,7. Sales and customer service occupations,493
E05014071,Whalebone,"8. Process, plant and machine operatives",534
E05014071,Whalebone,9. Elementary occupations,916
E05013629,Brunswick Park,"1. Managers, directors and senior officials",1288
E05013629,Brunswick Park,2. Professional occupations,1992
E05013629,Brunswick Park,3. Associate professional and technical occupations,1102
E05013629,Brunswick Park,4. Administrative and secretarial occupations,818
E05013629,Brunswick Park,5. Skilled trades occupations,669
E05013629,Brunswick Park,"6. Caring, leisure and other service occupations",592
E05013629,Brunswick Park,7. Sales and customer service occupations,466
E05013629,Brunswick Park,"8. Process, plant and machine operatives",348
E05013629,Brunswick Park,9. Elementary occupations,476
E05013635,East Barnet,"1. Managers, directors and senior officials",1303
E05013635,East Barnet,2. Professional occupations,2210
E05013635,East Barnet,3. Associate professional and technical occupations,1209
E05013635,East Barnet,4. Administrative and secretarial occupations,926
E05013635,East Barnet,5. Skilled trades occupations,754
E05013635,East Barnet,"6. Caring, leisure and other service occupations",703
E05013635,East Barnet,7. Sales and customer service occupations,502
E05013635,East Barnet,"8. Process, plant and machine operatives",396
E05013635,East Barnet,9. Elementary occupations,549
E05013650,Whetstone,"1. Managers, directors and senior officials",1108
E05013650,Whetstone,2. Professional occupations,1664
E05013650,Whetstone,3. Associate professional and technical occupations,777
E05013650,Whetstone,4. Administrative and secretarial occupations,484
E05013650,Whetstone,5. Skilled trades occupations,403
E05013650,Whetstone,"6. Caring, leisure and other service occupations",291
E05013650,Whetstone,7. Sales and customer service occupations,253
E05013650,Whetstone,"8. Process, plant and machine operatives",172
E05013650,Whetstone,9. Elementary occupations,237
E05013632,Colindale North,"1. Managers, directors and senior officials",549
E05013632,Colindale North,2. Professional occupations,1125
E05013632,Colindale North,3. Associate professional and technical occupations,624
E05013632,Colindale North,4. Administrative and secretarial occupations,501
E05013632,Colindale North,5. Skilled trades occupations,578
E05013632,Colindale North,"6. Caring, leisure and other service occupations",671
E05013632,Colindale North,7. Sales and customer service occupations,409
E05013632,Colindale North,"8. Process, plant and machine operatives",445
E05013632,Colindale North,9. Elementary occupations,747
E05013630,Burnt Oak,"1. Managers, directors and senior officials",904
E05013630,Burnt Oak,2. Professional occupations,1542
E05013630,Burnt Oak,3. Associate professional and technical occupations,951
E05013630,Burnt Oak,4. Administrative and secretarial occupations,841
E05013630,Burnt Oak,5. Skilled trades occupations,1263
E05013630,Burnt Oak,"6. Caring, leisure and other service occupations",1150
E05013630,Burnt Oak,7. Sales and customer service occupations,790
E05013630,Burnt Oak,"8. Process, plant and machine operatives",856
E05013630,Burnt Oak,9. Elementary occupations,1406
E05013634,Cricklewood,"1. Managers, directors and senior officials",598
E05013634,Cricklewood,2. Professional occupations,889
E05013634,Cricklewood,3. Associate professional and technical occupations,530
E05013634,Cricklewood,4. Administrative and secretarial occupations,395
E05013634,Cricklewood,5. Skilled trades occupations,417
E05013634,Cricklewood,"6. Caring, leisure and other service occupations",500
E05013634,Cricklewood,7. Sales and customer service occupations,358
E05013634,Cricklewood,"8. Process, plant and machine operatives",323
E05013634,Cricklewood,9. Elementary occupations,543
E05013631,Childs Hill,"1. Managers, directors and senior officials",1830
E05013631,Childs Hill,2. Professional occupations,2682
E05013631,Childs Hill,3. Associate professional and technical occupations,1318
E05013631,Childs Hill,4. Administrative and secretarial occupations,727
E05013631,Childs Hill,5. Skilled trades occupations,573
E05013631,Childs Hill,"6. Caring, leisure and other service occupations",768
E05013631,Childs Hill,7. Sales and customer service occupations,492
E05013631,Childs Hill,"8. Process, plant and machine operatives",308
E05013631,Childs Hill,9. Elementary occupations,681
E05013633,Colindale South,"1. Managers, directors and senior officials",1358
E05013633,Colindale South,2. Professional occupations,2678
E05013633,Colindale South,3. Associate professional and technical occupations,1380
E05013633,Colindale South,4. Administrative and secretarial occupations,744
E05013633,Colindale South,5. Skilled trades occupations,840
E05013633,Colindale South,"6. Caring, leisure and other service occupations",730
E05013633,Colindale South,7. Sales and customer service occupations,676
E05013633,Colindale South,"8. Process, plant and machine operatives",567
E05013633,Colindale South,9. Elementary occupations,880
E05013640,Friern Barnet,"1. Managers, directors and senior officials",1416
E05013640,Friern Barnet,2. Professional occupations,2264
E05013640,Friern Barnet,3. Associate professional and technical occupations,1346
E05013640,Friern Barnet,4. Administrative and secretarial occupations,842
