lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,No central heating,229
E09000030,Tower Hamlets,E05009317,Bethnal Green,Mains gas only,4531
E09000030,Tower Hamlets,E05009317,Bethnal Green,Tank or bottled gas only,40
E09000030,Tower Hamlets,E05009317,Bethnal Green,Electric only,1452
E09000030,Tower Hamlets,E05009317,Bethnal Green,Oil only,7
E09000030,Tower Hamlets,E05009317,Bethnal Green,Wood only,0
E09000030,Tower Hamlets,E05009317,Bethnal Green,Solid fuel only,0
E09000030,Tower Hamlets,E05009317,Bethnal Green,Renewable energy only,15
E09000030,Tower Hamlets,E05009317,Bethnal Green,District or communal heat networks only,332
E09000030,Tower Hamlets,E05009317,Bethnal Green,Other central heating only,149
E09000030,Tower Hamlets,E05009317,Bethnal Green,Two or more types of central heating (not including renewable energy),595
E09000030,Tower Hamlets,E05009317,Bethnal Green,Two or more types of central heating (including renewable energy),8
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,No central heating,329
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Mains gas only,3212
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Tank or bottled gas only,64
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Electric only,3717
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Oil only,31
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Wood only,4
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Solid fuel only,5
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Renewable energy only,53
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,District or communal heat networks only,1189
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Other central heating only,276
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Two or more types of central heating (not including renewable energy),761
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Two or more types of central heating (including renewable energy),52
E09000030,Tower Hamlets,E05009319,Bow East,No central heating,261
E09000030,Tower Hamlets,E05009319,Bow East,Mains gas only,3890
E09000030,Tower Hamlets,E05009319,Bow East,Tank or bottled gas only,66
E09000030,Tower Hamlets,E05009319,Bow East,Electric only,2673
E09000030,Tower Hamlets,E05009319,Bow East,Oil only,4
E09000030,Tower Hamlets,E05009319,Bow East,Wood only,2
E09000030,Tower Hamlets,E05009319,Bow East,Solid fuel only,2
E09000030,Tower Hamlets,E05009319,Bow East,Renewable energy only,32
E09000030,Tower Hamlets,E05009319,Bow East,District or communal heat networks only,650
E09000030,Tower Hamlets,E05009319,Bow East,Other central heating only,168
E09000030,Tower Hamlets,E05009319,Bow East,Two or more types of central heating (not including renewable energy),609
E09000030,Tower Hamlets,E05009319,Bow East,Two or more types of central heating (including renewable energy),53
E09000030,Tower Hamlets,E05009320,Bow West,No central heating,109
E09000030,Tower Hamlets,E05009320,Bow West,Mains gas only,3611
E09000030,Tower Hamlets,E05009320,Bow West,Tank or bottled gas only,42
