lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,1 bedroom,1818
E09000030,Tower Hamlets,E05009317,Bethnal Green,2 bedrooms,3168
E09000030,Tower Hamlets,E05009317,Bethnal Green,3 bedrooms,1689
E09000030,Tower Hamlets,E05009317,Bethnal Green,4 or more bedrooms,697
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,1 bedroom,3699
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,2 bedrooms,4013
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,3 bedrooms,1424
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,4 or more bedrooms,542
E09000030,Tower Hamlets,E05009319,Bow East,1 bedroom,2664
E09000030,Tower Hamlets,E05009319,Bow East,2 bedrooms,3668
E09000030,Tower Hamlets,E05009319,Bow East,3 bedrooms,1526
E09000030,Tower Hamlets,E05009319,Bow East,4 or more bedrooms,551
E09000030,Tower Hamlets,E05009320,Bow West,1 bedroom,1310
E09000030,Tower Hamlets,E05009320,Bow West,2 bedrooms,1625
E09000030,Tower Hamlets,E05009320,Bow West,3 bedrooms,1572
E09000030,Tower Hamlets,E05009320,Bow West,4 or more bedrooms,782
E09000030,Tower Hamlets,E05009321,Bromley North,1 bedroom,1515
E09000030,Tower Hamlets,E05009321,Bromley North,2 bedrooms,1779
E09000030,Tower Hamlets,E05009321,Bromley North,3 bedrooms,784
E09000030,Tower Hamlets,E05009321,Bromley North,4 or more bedrooms,356
E09000030,Tower Hamlets,E05009322,Bromley South,1 bedroom,1554
E09000030,Tower Hamlets,E05009322,Bromley South,2 bedrooms,2000
E09000030,Tower Hamlets,E05009322,Bromley South,3 bedrooms,1219
E09000030,Tower Hamlets,E05009322,Bromley South,4 or more bedrooms,374
E09000030,Tower Hamlets,E05009323,Canary Wharf,1 bedroom,3691
E09000030,Tower Hamlets,E05009323,Canary Wharf,2 bedrooms,3287
E09000030,Tower Hamlets,E05009323,Canary Wharf,3 bedrooms,1194
E09000030,Tower Hamlets,E05009323,Canary Wharf,4 or more bedrooms,349
E09000030,Tower Hamlets,E05009324,Island Gardens,1 bedroom,1533
