lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,No cars or vans in household,4645
E09000030,Tower Hamlets,E05009317,Bethnal Green,1 car or van in household,2338
E09000030,Tower Hamlets,E05009317,Bethnal Green,2 cars or vans in household,314
E09000030,Tower Hamlets,E05009317,Bethnal Green,3 or more cars or vans in household,51
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,No cars or vans in household,6710
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,1 car or van in household,2640
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,2 cars or vans in household,302
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,3 or more cars or vans in household,49
E09000030,Tower Hamlets,E05009319,Bow East,No cars or vans in household,5473
E09000030,Tower Hamlets,E05009319,Bow East,1 car or van in household,2531
E09000030,Tower Hamlets,E05009319,Bow East,2 cars or vans in household,347
E09000030,Tower Hamlets,E05009319,Bow East,3 or more cars or vans in household,62
E09000030,Tower Hamlets,E05009320,Bow West,No cars or vans in household,3052
E09000030,Tower Hamlets,E05009320,Bow West,1 car or van in household,1809
E09000030,Tower Hamlets,E05009320,Bow West,2 cars or vans in household,358
E09000030,Tower Hamlets,E05009320,Bow West,3 or more cars or vans in household,62
E09000030,Tower Hamlets,E05009321,Bromley North,No cars or vans in household,2839
E09000030,Tower Hamlets,E05009321,Bromley North,1 car or van in household,1385
E09000030,Tower Hamlets,E05009321,Bromley North,2 cars or vans in household,195
E09000030,Tower Hamlets,E05009321,Bromley North,3 or more cars or vans in household,14
E09000030,Tower Hamlets,E05009322,Bromley South,No cars or vans in household,3441
E09000030,Tower Hamlets,E05009322,Bromley South,1 car or van in household,1453
E09000030,Tower Hamlets,E05009322,Bromley South,2 cars or vans in household,214
E09000030,Tower Hamlets,E05009322,Bromley South,3 or more cars or vans in household,35
E09000030,Tower Hamlets,E05009323,Canary Wharf,No cars or vans in household,6379
E09000030,Tower Hamlets,E05009323,Canary Wharf,1 car or van in household,1867
E09000030,Tower Hamlets,E05009323,Canary Wharf,2 cars or vans in household,219
E09000030,Tower Hamlets,E05009323,Canary Wharf,3 or more cars or vans in household,48
E09000030,Tower Hamlets,E05009324,Island Gardens,No cars or vans in household,3310
E09000030,Tower Hamlets,E05009324,Island Gardens,1 car or van in household,2232
E09000030,Tower Hamlets,E05009324,Island Gardens,2 cars or vans in household,359
E09000030,Tower Hamlets,E05009324,Island Gardens,3 or more cars or vans in household,73
E09000030,Tower Hamlets,E05009325,Lansbury,No cars or vans in household,4841
E09000030,Tower Hamlets,E05009325,Lansbury,1 car or van in household,2286
E09000030,Tower Hamlets,E05009325,Lansbury,2 cars or vans in household,355
E09000030,Tower Hamlets,E05009325,Lansbury,3 or more cars or vans in household,52
E09000030,Tower Hamlets,E05009326,Limehouse,No cars or vans in household,1815
E09000030,Tower Hamlets,E05009326,Limehouse,1 car or van in household,1043
E09000030,Tower Hamlets,E05009326,Limehouse,2 cars or vans in household,124
E09000030,Tower Hamlets,E05009326,Limehouse,3 or more cars or vans in household,14
E09000030,Tower Hamlets,E05009327,Mile End,No cars or vans in household,5200
E09000030,Tower Hamlets,E05009327,Mile End,1 car or van in household,2246
E09000030,Tower Hamlets,E05009327,Mile End,2 cars or vans in household,349
E09000030,Tower Hamlets,E05009327,Mile End,3 or more cars or vans in household,69
E09000030,Tower Hamlets,E05009328,Poplar,No cars or vans in household,1899
E09000030,Tower Hamlets,E05009328,Poplar,1 car or van in household,788
E09000030,Tower Hamlets,E05009328,Poplar,2 cars or vans in household,125
E09000030,Tower Hamlets,E05009328,Poplar,3 or more cars or vans in household,17
E09000030,Tower Hamlets,E05009329,St Dunstan's,No cars or vans in household,2818
E09000030,Tower Hamlets,E05009329,St Dunstan's,1 car or van in household,1515
E09000030,Tower Hamlets,E05009329,St Dunstan's,2 cars or vans in household,253
E09000030,Tower Hamlets,E05009329,St Dunstan's,3 or more cars or vans in household,48
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,No cars or vans in household,3582
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,1 car or van in household,1934
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,2 cars or vans in household,239
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,3 or more cars or vans in household,63
E09000030,Tower Hamlets,E05009331,St Peter's,No cars or vans in household,5237
E09000030,Tower Hamlets,E05009331,St Peter's,1 car or van in household,1909
E09000030,Tower Hamlets,E05009331,St Peter's,2 cars or vans in household,311
E09000030,Tower Hamlets,E05009331,St Peter's,3 or more cars or vans in household,57
E09000030,Tower Hamlets,E05009332,Shadwell,No cars or vans in household,2866
E09000030,Tower Hamlets,E05009332,Shadwell,1 car or van in household,1290
E09000030,Tower Hamlets,E05009332,Shadwell,2 cars or vans in household,206
E09000030,Tower Hamlets,E05009332,Shadwell,3 or more cars or vans in household,36
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,No cars or vans in household,3731
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,1 car or van in household,1086
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,2 cars or vans in household,177
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,3 or more cars or vans in household,29
E09000030,Tower Hamlets,E05009334,Stepney Green,No cars or vans in household,2748
E09000030,Tower Hamlets,E05009334,Stepney Green,1 car or van in household,1339
E09000030,Tower Hamlets,E05009334,Stepney Green,2 cars or vans in household,243
E09000030,Tower Hamlets,E05009334,Stepney Green,3 or more cars or vans in household,36
E09000030,Tower Hamlets,E05009335,Weavers,No cars or vans in household,3776
E09000030,Tower Hamlets,E05009335,Weavers,1 car or van in household,1430
E09000030,Tower Hamlets,E05009335,Weavers,2 cars or vans in household,184
E09000030,Tower Hamlets,E05009335,Weavers,3 or more cars or vans in household,36
E09000030,Tower Hamlets,E05009336,Whitechapel,No cars or vans in household,5664
E09000030,Tower Hamlets,E05009336,Whitechapel,1 car or van in household,1465
E09000030,Tower Hamlets,E05009336,Whitechapel,2 cars or vans in household,179
E09000030,Tower Hamlets,E05009336,Whitechapel,3 or more cars or vans in household,41
E09000012,Hackney,E05009367,Brownswood,No cars or vans in household,2711
E09000012,Hackney,E05009367,Brownswood,1 car or van in household,1228
E09000012,Hackney,E05009367,Brownswood,2 cars or vans in household,138
E09000012,Hackney,E05009367,Brownswood,3 or more cars or vans in household,19
E09000012,Hackney,E05009368,Cazenove,No cars or vans in household,3205
E09000012,Hackney,E05009368,Cazenove,1 car or van in household,1660
E09000012,Hackney,E05009368,Cazenove,2 cars or vans in household,245
E09000012,Hackney,E05009368,Cazenove,3 or more cars or vans in household,53
E09000012,Hackney,E05009369,Clissold,No cars or vans in household,3220
E09000012,Hackney,E05009369,Clissold,1 car or van in household,1942
E09000012,Hackney,E05009369,Clissold,2 cars or vans in household,215
E09000012,Hackney,E05009369,Clissold,3 or more cars or vans in household,47
E09000012,Hackney,E05009370,Dalston,No cars or vans in household,2973
E09000012,Hackney,E05009370,Dalston,1 car or van in household,973
E09000012,Hackney,E05009370,Dalston,2 cars or vans in household,89
E09000012,Hackney,E05009370,Dalston,3 or more cars or vans in household,19
E09000012,Hackney,E05009371,De Beauvoir,No cars or vans in household,2563
E09000012,Hackney,E05009371,De Beauvoir,1 car or van in household,1228
E09000012,Hackney,E05009371,De Beauvoir,2 cars or vans in household,169
E09000012,Hackney,E05009371,De Beauvoir,3 or more cars or vans in household,28
E09000012,Hackney,E05009372,Hackney Central,No cars or vans in household,3994
E09000012,Hackney,E05009372,Hackney Central,1 car or van in household,1593
E09000012,Hackney,E05009372,Hackney Central,2 cars or vans in household,161
E09000012,Hackney,E05009372,Hackney Central,3 or more cars or vans in household,25
E09000012,Hackney,E05009373,Hackney Downs,No cars or vans in household,3255
E09000012,Hackney,E05009373,Hackney Downs,1 car or van in household,1775
E09000012,Hackney,E05009373,Hackney Downs,2 cars or vans in household,283
E09000012,Hackney,E05009373,Hackney Downs,3 or more cars or vans in household,51
E09000012,Hackney,E05009374,Hackney Wick,No cars or vans in household,2985
E09000012,Hackney,E05009374,Hackney Wick,1 car or van in household,1704
E09000012,Hackney,E05009374,Hackney Wick,2 cars or vans in household,242
E09000012,Hackney,E05009374,Hackney Wick,3 or more cars or vans in household,33
E09000012,Hackney,E05009375,Haggerston,No cars or vans in household,4366
E09000012,Hackney,E05009375,Haggerston,1 car or van in household,1644
E09000012,Hackney,E05009375,Haggerston,2 cars or vans in household,220
E09000012,Hackney,E05009375,Haggerston,3 or more cars or vans in household,38
E09000012,Hackney,E05009376,Homerton,No cars or vans in household,3598
E09000012,Hackney,E05009376,Homerton,1 car or van in household,1438
E09000012,Hackney,E05009376,Homerton,2 cars or vans in household,159
E09000012,Hackney,E05009376,Homerton,3 or more cars or vans in household,14
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,No cars or vans in household,4194
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,1 car or van in household,1214
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,2 cars or vans in household,113
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,3 or more cars or vans in household,20
E09000012,Hackney,E05009378,Hoxton West,No cars or vans in household,4738
E09000012,Hackney,E05009378,Hoxton West,1 car or van in household,1382
E09000012,Hackney,E05009378,Hoxton West,2 cars or vans in household,167
E09000012,Hackney,E05009378,Hoxton West,3 or more cars or vans in household,30
E09000012,Hackney,E05009379,King's Park,No cars or vans in household,2877
E09000012,Hackney,E05009379,King's Park,1 car or van in household,1838
E09000012,Hackney,E05009379,King's Park,2 cars or vans in household,269
E09000012,Hackney,E05009379,King's Park,3 or more cars or vans in household,43
E09000012,Hackney,E05009380,Lea Bridge,No cars or vans in household,3190
E09000012,Hackney,E05009380,Lea Bridge,1 car or van in household,1939
E09000012,Hackney,E05009380,Lea Bridge,2 cars or vans in household,292
E09000012,Hackney,E05009380,Lea Bridge,3 or more cars or vans in household,63
E09000012,Hackney,E05009381,London Fields,No cars or vans in household,3536
E09000012,Hackney,E05009381,London Fields,1 car or van in household,1603
E09000012,Hackney,E05009381,London Fields,2 cars or vans in household,220
E09000012,Hackney,E05009381,London Fields,3 or more cars or vans in household,43
E09000012,Hackney,E05009382,Shacklewell,No cars or vans in household,2459
E09000012,Hackney,E05009382,Shacklewell,1 car or van in household,1047
E09000012,Hackney,E05009382,Shacklewell,2 cars or vans in household,111
E09000012,Hackney,E05009382,Shacklewell,3 or more cars or vans in household,19
E09000012,Hackney,E05009383,Springfield,No cars or vans in household,3053
E09000012,Hackney,E05009383,Springfield,1 car or van in household,1823
E09000012,Hackney,E05009383,Springfield,2 cars or vans in household,292
E09000012,Hackney,E05009383,Springfield,3 or more cars or vans in household,38
E09000012,Hackney,E05009384,Stamford Hill West,No cars or vans in household,1961
E09000012,Hackney,E05009384,Stamford Hill West,1 car or van in household,1156
E09000012,Hackney,E05009384,Stamford Hill West,2 cars or vans in household,115
E09000012,Hackney,E05009384,Stamford Hill West,3 or more cars or vans in household,35
E09000012,Hackney,E05009385,Stoke Newington,No cars or vans in household,3353
E09000012,Hackney,E05009385,Stoke Newington,1 car or van in household,1993
E09000012,Hackney,E05009385,Stoke Newington,2 cars or vans in household,257
E09000012,Hackney,E05009385,Stoke Newington,3 or more cars or vans in household,55
E09000012,Hackney,E05009386,Victoria,No cars or vans in household,3231
E09000012,Hackney,E05009386,Victoria,1 car or van in household,1734
E09000012,Hackney,E05009386,Victoria,2 cars or vans in household,225
E09000012,Hackney,E05009386,Victoria,3 or more cars or vans in household,40
E09000012,Hackney,E05009387,Woodberry Down,No cars or vans in household,3376
E09000012,Hackney,E05009387,Woodberry Down,1 car or van in household,1393
E09000012,Hackney,E05009387,Woodberry Down,2 cars or vans in household,181
E09000012,Hackney,E05009387,Woodberry Down,3 or more cars or vans in household,34
E09000020,Kensington and Chelsea,E05009388,Abingdon,No cars or vans in household,2207
E09000020,Kensington and Chelsea,E05009388,Abingdon,1 car or van in household,1306
E09000020,Kensington and Chelsea,E05009388,Abingdon,2 cars or vans in household,305
E09000020,Kensington and Chelsea,E05009388,Abingdon,3 or more cars or vans in household,63
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,No cars or vans in household,2472
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,1 car or van in household,1272
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,2 cars or vans in household,332
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,3 or more cars or vans in household,87
E09000020,Kensington and Chelsea,E05009390,Campden,No cars or vans in household,1943
E09000020,Kensington and Chelsea,E05009390,Campden,1 car or van in household,1366
E09000020,Kensington and Chelsea,E05009390,Campden,2 cars or vans in household,413
E09000020,Kensington and Chelsea,E05009390,Campden,3 or more cars or vans in household,101
E09000020,Kensington and Chelsea,E05009391,Chelsea Riverside,No cars or vans in household,2167
E09000020,Kensington and Chelsea,E05009391,Chelsea Riverside,1 car or van in household,1217
E09000020,Kensington and Chelsea,E05009391,Chelsea Riverside,2 cars or vans in household,242
E09000020,Kensington and Chelsea,E05009391,Chelsea Riverside,3 or more cars or vans in household,45
E09000020,Kensington and Chelsea,E05009392,Colville,No cars or vans in household,2813
E09000020,Kensington and Chelsea,E05009392,Colville,1 car or van in household,1288
E09000020,Kensington and Chelsea,E05009392,Colville,2 cars or vans in household,205
E09000020,Kensington and Chelsea,E05009392,Colville,3 or more cars or vans in household,28
E09000020,Kensington and Chelsea,E05009393,Courtfield,No cars or vans in household,2530
E09000020,Kensington and Chelsea,E05009393,Courtfield,1 car or van in household,1283
E09000020,Kensington and Chelsea,E05009393,Courtfield,2 cars or vans in household,262
E09000020,Kensington and Chelsea,E05009393,Courtfield,3 or more cars or vans in household,50
E09000020,Kensington and Chelsea,E05009394,Dalgarno,No cars or vans in household,1456
E09000020,Kensington and Chelsea,E05009394,Dalgarno,1 car or van in household,986
E09000020,Kensington and Chelsea,E05009394,Dalgarno,2 cars or vans in household,232
E09000020,Kensington and Chelsea,E05009394,Dalgarno,3 or more cars or vans in household,41
E09000020,Kensington and Chelsea,E05009395,Earl's Court,No cars or vans in household,3310
E09000020,Kensington and Chelsea,E05009395,Earl's Court,1 car or van in household,1174
E09000020,Kensington and Chelsea,E05009395,Earl's Court,2 cars or vans in household,156
E09000020,Kensington and Chelsea,E05009395,Earl's Court,3 or more cars or vans in household,32
E09000020,Kensington and Chelsea,E05009396,Golborne,No cars or vans in household,2556
E09000020,Kensington and Chelsea,E05009396,Golborne,1 car or van in household,1112
E09000020,Kensington and Chelsea,E05009396,Golborne,2 cars or vans in household,143
E09000020,Kensington and Chelsea,E05009396,Golborne,3 or more cars or vans in household,27
E09000020,Kensington and Chelsea,E05009397,Holland,No cars or vans in household,2031
E09000020,Kensington and Chelsea,E05009397,Holland,1 car or van in household,1455
E09000020,Kensington and Chelsea,E05009397,Holland,2 cars or vans in household,342
E09000020,Kensington and Chelsea,E05009397,Holland,3 or more cars or vans in household,93
E09000020,Kensington and Chelsea,E05009398,Norland,No cars or vans in household,1283
E09000020,Kensington and Chelsea,E05009398,Norland,1 car or van in household,914
E09000020,Kensington and Chelsea,E05009398,Norland,2 cars or vans in household,309
E09000020,Kensington and Chelsea,E05009398,Norland,3 or more cars or vans in household,88
E09000020,Kensington and Chelsea,E05009399,Notting Dale,No cars or vans in household,2287
E09000020,Kensington and Chelsea,E05009399,Notting Dale,1 car or van in household,1199
E09000020,Kensington and Chelsea,E05009399,Notting Dale,2 cars or vans in household,192
E09000020,Kensington and Chelsea,E05009399,Notting Dale,3 or more cars or vans in household,71
E09000020,Kensington and Chelsea,E05009400,Pembridge,No cars or vans in household,1712
E09000020,Kensington and Chelsea,E05009400,Pembridge,1 car or van in household,732
E09000020,Kensington and Chelsea,E05009400,Pembridge,2 cars or vans in household,180
