lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,1 room,227
E09000030,Tower Hamlets,E05009317,Bethnal Green,2 rooms,1517
E09000030,Tower Hamlets,E05009317,Bethnal Green,3 rooms,3174
E09000030,Tower Hamlets,E05009317,Bethnal Green,4 rooms,1713
E09000030,Tower Hamlets,E05009317,Bethnal Green,5 rooms,551
E09000030,Tower Hamlets,E05009317,Bethnal Green,6 rooms,97
E09000030,Tower Hamlets,E05009317,Bethnal Green,7 rooms,31
E09000030,Tower Hamlets,E05009317,Bethnal Green,8 rooms,13
E09000030,Tower Hamlets,E05009317,Bethnal Green,9 or more rooms,15
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,1 room,811
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,2 rooms,2817
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,3 rooms,4105
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,4 rooms,1311
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,5 rooms,487
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,6 rooms,113
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,7 rooms,29
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,8 rooms,4
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,9 or more rooms,2
E09000030,Tower Hamlets,E05009319,Bow East,1 room,168
E09000030,Tower Hamlets,E05009319,Bow East,2 rooms,2441
E09000030,Tower Hamlets,E05009319,Bow East,3 rooms,3551
E09000030,Tower Hamlets,E05009319,Bow East,4 rooms,1692
E09000030,Tower Hamlets,E05009319,Bow East,5 rooms,406
E09000030,Tower Hamlets,E05009319,Bow East,6 rooms,118
E09000030,Tower Hamlets,E05009319,Bow East,7 rooms,19
E09000030,Tower Hamlets,E05009319,Bow East,8 rooms,8
E09000030,Tower Hamlets,E05009319,Bow East,9 or more rooms,7
E09000030,Tower Hamlets,E05009320,Bow West,1 room,96
E09000030,Tower Hamlets,E05009320,Bow West,2 rooms,1163
E09000030,Tower Hamlets,E05009320,Bow West,3 rooms,1514
E09000030,Tower Hamlets,E05009320,Bow West,4 rooms,1377
E09000030,Tower Hamlets,E05009320,Bow West,5 rooms,703
E09000030,Tower Hamlets,E05009320,Bow West,6 rooms,264
E09000030,Tower Hamlets,E05009320,Bow West,7 rooms,97
E09000030,Tower Hamlets,E05009320,Bow West,8 rooms,29
E09000030,Tower Hamlets,E05009320,Bow West,9 or more rooms,26
E09000030,Tower Hamlets,E05009321,Bromley North,1 room,91
E09000030,Tower Hamlets,E05009321,Bromley North,2 rooms,1495
E09000030,Tower Hamlets,E05009321,Bromley North,3 rooms,1635
E09000030,Tower Hamlets,E05009321,Bromley North,4 rooms,838
E09000030,Tower Hamlets,E05009321,Bromley North,5 rooms,263
E09000030,Tower Hamlets,E05009321,Bromley North,6 rooms,64
E09000030,Tower Hamlets,E05009321,Bromley North,7 rooms,15
E09000030,Tower Hamlets,E05009321,Bromley North,8 rooms,9
E09000030,Tower Hamlets,E05009321,Bromley North,9 or more rooms,16
E09000030,Tower Hamlets,E05009322,Bromley South,1 room,151
E09000030,Tower Hamlets,E05009322,Bromley South,2 rooms,1372
E09000030,Tower Hamlets,E05009322,Bromley South,3 rooms,2056
E09000030,Tower Hamlets,E05009322,Bromley South,4 rooms,1205
E09000030,Tower Hamlets,E05009322,Bromley South,5 rooms,274
E09000030,Tower Hamlets,E05009322,Bromley South,6 rooms,68
E09000030,Tower Hamlets,E05009322,Bromley South,7 rooms,17
E09000030,Tower Hamlets,E05009322,Bromley South,8 rooms,6
E09000030,Tower Hamlets,E05009322,Bromley South,9 or more rooms,7
E09000030,Tower Hamlets,E05009323,Canary Wharf,1 room,557
E09000030,Tower Hamlets,E05009323,Canary Wharf,2 rooms,3069
E09000030,Tower Hamlets,E05009323,Canary Wharf,3 rooms,3309
E09000030,Tower Hamlets,E05009323,Canary Wharf,4 rooms,1211
E09000030,Tower Hamlets,E05009323,Canary Wharf,5 rooms,279
E09000030,Tower Hamlets,E05009323,Canary Wharf,6 rooms,62
E09000030,Tower Hamlets,E05009323,Canary Wharf,7 rooms,16
E09000030,Tower Hamlets,E05009323,Canary Wharf,8 rooms,8
E09000030,Tower Hamlets,E05009323,Canary Wharf,9 or more rooms,6
E09000030,Tower Hamlets,E05009324,Island Gardens,1 room,72
E09000030,Tower Hamlets,E05009324,Island Gardens,2 rooms,1443
E09000030,Tower Hamlets,E05009324,Island Gardens,3 rooms,2560
E09000030,Tower Hamlets,E05009324,Island Gardens,4 rooms,1205
E09000030,Tower Hamlets,E05009324,Island Gardens,5 rooms,459
E09000030,Tower Hamlets,E05009324,Island Gardens,6 rooms,158
E09000030,Tower Hamlets,E05009324,Island Gardens,7 rooms,48
E09000030,Tower Hamlets,E05009324,Island Gardens,8 rooms,15
E09000030,Tower Hamlets,E05009324,Island Gardens,9 or more rooms,8
E09000030,Tower Hamlets,E05009325,Lansbury,1 room,124
E09000030,Tower Hamlets,E05009325,Lansbury,2 rooms,1806
E09000030,Tower Hamlets,E05009325,Lansbury,3 rooms,3001
E09000030,Tower Hamlets,E05009325,Lansbury,4 rooms,1847
E09000030,Tower Hamlets,E05009325,Lansbury,5 rooms,561
E09000030,Tower Hamlets,E05009325,Lansbury,6 rooms,127
E09000030,Tower Hamlets,E05009325,Lansbury,7 rooms,57
E09000030,Tower Hamlets,E05009325,Lansbury,8 rooms,7
E09000030,Tower Hamlets,E05009325,Lansbury,9 or more rooms,7
E09000030,Tower Hamlets,E05009326,Limehouse,1 room,28
E09000030,Tower Hamlets,E05009326,Limehouse,2 rooms,795
E09000030,Tower Hamlets,E05009326,Limehouse,3 rooms,1396
E09000030,Tower Hamlets,E05009326,Limehouse,4 rooms,545
E09000030,Tower Hamlets,E05009326,Limehouse,5 rooms,197
E09000030,Tower Hamlets,E05009326,Limehouse,6 rooms,27
E09000030,Tower Hamlets,E05009326,Limehouse,7 rooms,13
E09000030,Tower Hamlets,E05009326,Limehouse,8 rooms,2
E09000030,Tower Hamlets,E05009326,Limehouse,9 or more rooms,1
E09000030,Tower Hamlets,E05009327,Mile End,1 room,185
E09000030,Tower Hamlets,E05009327,Mile End,2 rooms,1808
E09000030,Tower Hamlets,E05009327,Mile End,3 rooms,3248
E09000030,Tower Hamlets,E05009327,Mile End,4 rooms,1749
E09000030,Tower Hamlets,E05009327,Mile End,5 rooms,654
E09000030,Tower Hamlets,E05009327,Mile End,6 rooms,150
E09000030,Tower Hamlets,E05009327,Mile End,7 rooms,56
E09000030,Tower Hamlets,E05009327,Mile End,8 rooms,10
E09000030,Tower Hamlets,E05009327,Mile End,9 or more rooms,5
E09000030,Tower Hamlets,E05009328,Poplar,1 room,93
E09000030,Tower Hamlets,E05009328,Poplar,2 rooms,667
E09000030,Tower Hamlets,E05009328,Poplar,3 rooms,1139
E09000030,Tower Hamlets,E05009328,Poplar,4 rooms,715
E09000030,Tower Hamlets,E05009328,Poplar,5 rooms,181
E09000030,Tower Hamlets,E05009328,Poplar,6 rooms,24
E09000030,Tower Hamlets,E05009328,Poplar,7 rooms,8
E09000030,Tower Hamlets,E05009328,Poplar,8 rooms,4
E09000030,Tower Hamlets,E05009328,Poplar,9 or more rooms,5
E09000030,Tower Hamlets,E05009329,St Dunstan's,1 room,44
E09000030,Tower Hamlets,E05009329,St Dunstan's,2 rooms,1146
E09000030,Tower Hamlets,E05009329,St Dunstan's,3 rooms,1696
E09000030,Tower Hamlets,E05009329,St Dunstan's,4 rooms,1013
E09000030,Tower Hamlets,E05009329,St Dunstan's,5 rooms,521
E09000030,Tower Hamlets,E05009329,St Dunstan's,6 rooms,132
E09000030,Tower Hamlets,E05009329,St Dunstan's,7 rooms,47
E09000030,Tower Hamlets,E05009329,St Dunstan's,8 rooms,11
E09000030,Tower Hamlets,E05009329,St Dunstan's,9 or more rooms,12
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,1 room,270
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,2 rooms,1633
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,3 rooms,2572
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,4 rooms,934
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,5 rooms,266
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,6 rooms,114
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,7 rooms,19
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,8 rooms,5
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,9 or more rooms,7
E09000030,Tower Hamlets,E05009331,St Peter's,1 room,290
E09000030,Tower Hamlets,E05009331,St Peter's,2 rooms,2209
E09000030,Tower Hamlets,E05009331,St Peter's,3 rooms,2640
E09000030,Tower Hamlets,E05009331,St Peter's,4 rooms,1689
E09000030,Tower Hamlets,E05009331,St Peter's,5 rooms,504
E09000030,Tower Hamlets,E05009331,St Peter's,6 rooms,108
E09000030,Tower Hamlets,E05009331,St Peter's,7 rooms,54
E09000030,Tower Hamlets,E05009331,St Peter's,8 rooms,14
E09000030,Tower Hamlets,E05009331,St Peter's,9 or more rooms,15
E09000030,Tower Hamlets,E05009332,Shadwell,1 room,85
E09000030,Tower Hamlets,E05009332,Shadwell,2 rooms,1225
E09000030,Tower Hamlets,E05009332,Shadwell,3 rooms,1724
E09000030,Tower Hamlets,E05009332,Shadwell,4 rooms,945
E09000030,Tower Hamlets,E05009332,Shadwell,5 rooms,269
E09000030,Tower Hamlets,E05009332,Shadwell,6 rooms,83
E09000030,Tower Hamlets,E05009332,Shadwell,7 rooms,38
E09000030,Tower Hamlets,E05009332,Shadwell,8 rooms,7
E09000030,Tower Hamlets,E05009332,Shadwell,9 or more rooms,13
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,1 room,175
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,2 rooms,1618
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,3 rooms,1874
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,4 rooms,843
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,5 rooms,301
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,6 rooms,83
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,7 rooms,79
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,8 rooms,10
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,9 or more rooms,22
E09000030,Tower Hamlets,E05009334,Stepney Green,1 room,116
