lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,Occupancy rating of bedrooms: +2 or more,614
E09000030,Tower Hamlets,E05009317,Bethnal Green,Occupancy rating of bedrooms: +1,1751
E09000030,Tower Hamlets,E05009317,Bethnal Green,Occupancy rating of bedrooms: 0,3576
E09000030,Tower Hamlets,E05009317,Bethnal Green,Occupancy rating of bedrooms: -1,1110
E09000030,Tower Hamlets,E05009317,Bethnal Green,Occupancy rating of bedrooms: -2 or less,327
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Occupancy rating of bedrooms: +2 or more,602
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Occupancy rating of bedrooms: +1,2471
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Occupancy rating of bedrooms: 0,5586
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Occupancy rating of bedrooms: -1,831
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Occupancy rating of bedrooms: -2 or less,189
E09000030,Tower Hamlets,E05009319,Bow East,Occupancy rating of bedrooms: +2 or more,505
E09000030,Tower Hamlets,E05009319,Bow East,Occupancy rating of bedrooms: +1,2378
E09000030,Tower Hamlets,E05009319,Bow East,Occupancy rating of bedrooms: 0,4541
E09000030,Tower Hamlets,E05009319,Bow East,Occupancy rating of bedrooms: -1,815
E09000030,Tower Hamlets,E05009319,Bow East,Occupancy rating of bedrooms: -2 or less,166
E09000030,Tower Hamlets,E05009320,Bow West,Occupancy rating of bedrooms: +2 or more,833
E09000030,Tower Hamlets,E05009320,Bow West,Occupancy rating of bedrooms: +1,1372
E09000030,Tower Hamlets,E05009320,Bow West,Occupancy rating of bedrooms: 0,2350
E09000030,Tower Hamlets,E05009320,Bow West,Occupancy rating of bedrooms: -1,530
E09000030,Tower Hamlets,E05009320,Bow West,Occupancy rating of bedrooms: -2 or less,203
E09000030,Tower Hamlets,E05009321,Bromley North,Occupancy rating of bedrooms: +2 or more,273
E09000030,Tower Hamlets,E05009321,Bromley North,Occupancy rating of bedrooms: +1,934
E09000030,Tower Hamlets,E05009321,Bromley North,Occupancy rating of bedrooms: 0,2356
E09000030,Tower Hamlets,E05009321,Bromley North,Occupancy rating of bedrooms: -1,668
E09000030,Tower Hamlets,E05009321,Bromley North,Occupancy rating of bedrooms: -2 or less,197
E09000030,Tower Hamlets,E05009322,Bromley South,Occupancy rating of bedrooms: +2 or more,295
E09000030,Tower Hamlets,E05009322,Bromley South,Occupancy rating of bedrooms: +1,990
E09000030,Tower Hamlets,E05009322,Bromley South,Occupancy rating of bedrooms: 0,2823
E09000030,Tower Hamlets,E05009322,Bromley South,Occupancy rating of bedrooms: -1,802
E09000030,Tower Hamlets,E05009322,Bromley South,Occupancy rating of bedrooms: -2 or less,226
E09000030,Tower Hamlets,E05009323,Canary Wharf,Occupancy rating of bedrooms: +2 or more,380
E09000030,Tower Hamlets,E05009323,Canary Wharf,Occupancy rating of bedrooms: +1,2076
E09000030,Tower Hamlets,E05009323,Canary Wharf,Occupancy rating of bedrooms: 0,5235
E09000030,Tower Hamlets,E05009323,Canary Wharf,Occupancy rating of bedrooms: -1,723
E09000030,Tower Hamlets,E05009323,Canary Wharf,Occupancy rating of bedrooms: -2 or less,111
E09000030,Tower Hamlets,E05009324,Island Gardens,Occupancy rating of bedrooms: +2 or more,625
E09000030,Tower Hamlets,E05009324,Island Gardens,Occupancy rating of bedrooms: +1,1825
E09000030,Tower Hamlets,E05009324,Island Gardens,Occupancy rating of bedrooms: 0,2841
E09000030,Tower Hamlets,E05009324,Island Gardens,Occupancy rating of bedrooms: -1,566
E09000030,Tower Hamlets,E05009324,Island Gardens,Occupancy rating of bedrooms: -2 or less,127
E09000030,Tower Hamlets,E05009325,Lansbury,Occupancy rating of bedrooms: +2 or more,563
E09000030,Tower Hamlets,E05009325,Lansbury,Occupancy rating of bedrooms: +1,1628
E09000030,Tower Hamlets,E05009325,Lansbury,Occupancy rating of bedrooms: 0,3735
E09000030,Tower Hamlets,E05009325,Lansbury,Occupancy rating of bedrooms: -1,1238
E09000030,Tower Hamlets,E05009325,Lansbury,Occupancy rating of bedrooms: -2 or less,369
