lad22cd,lad22nm,ward22cd,ward22nm,category,count_21
E09000030,Tower Hamlets,E05009317,Bethnal Green,Owned: Owns outright,571
E09000030,Tower Hamlets,E05009317,Bethnal Green,Owned: Owns with a mortgage or loan,1136
E09000030,Tower Hamlets,E05009317,Bethnal Green,Shared ownership: Shared ownership,144
E09000030,Tower Hamlets,E05009317,Bethnal Green,Social rented: Rents from council or Local Authority,1955
E09000030,Tower Hamlets,E05009317,Bethnal Green,Social rented: Other social rented,1277
E09000030,Tower Hamlets,E05009317,Bethnal Green,Private rented: Private landlord or letting agency,2051
E09000030,Tower Hamlets,E05009317,Bethnal Green,Private rented: Other private rented,198
E09000030,Tower Hamlets,E05009317,Bethnal Green,Lives rent free,26
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Owned: Owns outright,774
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Owned: Owns with a mortgage or loan,1543
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Shared ownership: Shared ownership,221
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Social rented: Rents from council or Local Authority,360
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Social rented: Other social rented,1778
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Private rented: Private landlord or letting agency,4736
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Private rented: Other private rented,255
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Lives rent free,8
E09000030,Tower Hamlets,E05009319,Bow East,Owned: Owns outright,549
E09000030,Tower Hamlets,E05009319,Bow East,Owned: Owns with a mortgage or loan,1818
E09000030,Tower Hamlets,E05009319,Bow East,Shared ownership: Shared ownership,397
E09000030,Tower Hamlets,E05009319,Bow East,Social rented: Rents from council or Local Authority,759
E09000030,Tower Hamlets,E05009319,Bow East,Social rented: Other social rented,2266
E09000030,Tower Hamlets,E05009319,Bow East,Private rented: Private landlord or letting agency,2435
E09000030,Tower Hamlets,E05009319,Bow East,Private rented: Other private rented,181
E09000030,Tower Hamlets,E05009319,Bow East,Lives rent free,6
E09000030,Tower Hamlets,E05009320,Bow West,Owned: Owns outright,644
E09000030,Tower Hamlets,E05009320,Bow West,Owned: Owns with a mortgage or loan,1021
E09000030,Tower Hamlets,E05009320,Bow West,Shared ownership: Shared ownership,83
E09000030,Tower Hamlets,E05009320,Bow West,Social rented: Rents from council or Local Authority,652
E09000030,Tower Hamlets,E05009320,Bow West,Social rented: Other social rented,1251
E09000030,Tower Hamlets,E05009320,Bow West,Private rented: Private landlord or letting agency,1497
E09000030,Tower Hamlets,E05009320,Bow West,Private rented: Other private rented,109
E09000030,Tower Hamlets,E05009320,Bow West,Lives rent free,22
E09000030,Tower Hamlets,E05009321,Bromley North,Owned: Owns outright,282
E09000030,Tower Hamlets,E05009321,Bromley North,Owned: Owns with a mortgage or loan,673
E09000030,Tower Hamlets,E05009321,Bromley North,Shared ownership: Shared ownership,146
E09000030,Tower Hamlets,E05009321,Bromley North,Social rented: Rents from council or Local Authority,498
E09000030,Tower Hamlets,E05009321,Bromley North,Social rented: Other social rented,1587
E09000030,Tower Hamlets,E05009321,Bromley North,Private rented: Private landlord or letting agency,1129
E09000030,Tower Hamlets,E05009321,Bromley North,Private rented: Other private rented,102
E09000030,Tower Hamlets,E05009321,Bromley North,Lives rent free,11
E09000030,Tower Hamlets,E05009322,Bromley South,Owned: Owns outright,240
E09000030,Tower Hamlets,E05009322,Bromley South,Owned: Owns with a mortgage or loan,773
E09000030,Tower Hamlets,E05009322,Bromley South,Shared ownership: Shared ownership,211
E09000030,Tower Hamlets,E05009322,Bromley South,Social rented: Rents from council or Local Authority,778
E09000030,Tower Hamlets,E05009322,Bromley South,Social rented: Other social rented,1453
E09000030,Tower Hamlets,E05009322,Bromley South,Private rented: Private landlord or letting agency,1560
E09000030,Tower Hamlets,E05009322,Bromley South,Private rented: Other private rented,113
E09000030,Tower Hamlets,E05009322,Bromley South,Lives rent free,7
E09000030,Tower Hamlets,E05009323,Canary Wharf,Owned: Owns outright,662
E09000030,Tower Hamlets,E05009323,Canary Wharf,Owned: Owns with a mortgage or loan,1113
E09000030,Tower Hamlets,E05009323,Canary Wharf,Shared ownership: Shared ownership,205
E09000030,Tower Hamlets,E05009323,Canary Wharf,Social rented: Rents from council or Local Authority,280
E09000030,Tower Hamlets,E05009323,Canary Wharf,Social rented: Other social rented,1703
E09000030,Tower Hamlets,E05009323,Canary Wharf,Private rented: Private landlord or letting agency,4325
E09000030,Tower Hamlets,E05009323,Canary Wharf,Private rented: Other private rented,219
E09000030,Tower Hamlets,E05009323,Canary Wharf,Lives rent free,4
E09000030,Tower Hamlets,E05009324,Island Gardens,Owned: Owns outright,596
E09000030,Tower Hamlets,E05009324,Island Gardens,Owned: Owns with a mortgage or loan,1140
E09000030,Tower Hamlets,E05009324,Island Gardens,Shared ownership: Shared ownership,105
E09000030,Tower Hamlets,E05009324,Island Gardens,Social rented: Rents from council or Local Authority,323
E09000030,Tower Hamlets,E05009324,Island Gardens,Social rented: Other social rented,1211
E09000030,Tower Hamlets,E05009324,Island Gardens,Private rented: Private landlord or letting agency,2442
E09000030,Tower Hamlets,E05009324,Island Gardens,Private rented: Other private rented,137
E09000030,Tower Hamlets,E05009324,Island Gardens,Lives rent free,14
