lad22cd,lad22nm,ward22cd,ward22nm,category,count_21,count_11,change
E09000030,Tower Hamlets,E05009317,Bethnal Green,Multiple-family household: With dependent children,308,359,-51
E09000030,Tower Hamlets,E05009317,Bethnal Green,One person household: Aged 66 years and over,425,527,-102
E09000030,Tower Hamlets,E05009317,Bethnal Green,One person household: Other,1627,1834,-207
E09000030,Tower Hamlets,E05009317,Bethnal Green,Other household types: Other,1228,1385,-157
E09000030,Tower Hamlets,E05009317,Bethnal Green,Single family household: All aged 66 years and over,102,106,-4
E09000030,Tower Hamlets,E05009317,Bethnal Green,Single family household: Cohabiting couple family: All children non-dependent,29,27,2
E09000030,Tower Hamlets,E05009317,Bethnal Green,Single family household: Cohabiting couple family: No children,644,464,180
E09000030,Tower Hamlets,E05009317,Bethnal Green,Single family household: Cohabiting couple family: With dependent children,201,124,77
E09000030,Tower Hamlets,E05009317,Bethnal Green,Single family household: Lone parent family: All children non-dependent,413,255,158
E09000030,Tower Hamlets,E05009317,Bethnal Green,Single family household: Lone parent family: With dependent children,570,555,15
E09000030,Tower Hamlets,E05009317,Bethnal Green,Single family household: Married or civil partnership couple: All children non-dependent,237,181,56
E09000030,Tower Hamlets,E05009317,Bethnal Green,Single family household: Married or civil partnership couple: Dependent children,1196,980,216
E09000030,Tower Hamlets,E05009317,Bethnal Green,Single family household: Married or civil partnership couple: No children,386,325,61
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Multiple-family household: With dependent children,243,180,63
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,One person household: Aged 66 years and over,229,194,35
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,One person household: Other,3300,2092,1208
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Other household types: Other,1428,1093,335
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Single family household: All aged 66 years and over,78,49,29
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Single family household: Cohabiting couple family: All children non-dependent,22,14,8
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Single family household: Cohabiting couple family: No children,1227,598,629
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Single family household: Cohabiting couple family: With dependent children,181,110,71
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Single family household: Lone parent family: All children non-dependent,240,152,88
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Single family household: Lone parent family: With dependent children,504,442,62
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Single family household: Married or civil partnership couple: All children non-dependent,127,101,26
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Single family household: Married or civil partnership couple: Dependent children,1073,681,392
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Single family household: Married or civil partnership couple: No children,1062,712,350
E09000030,Tower Hamlets,E05009319,Bow East,Multiple-family household: With dependent children,203,215,-12
E09000030,Tower Hamlets,E05009319,Bow East,One person household: Aged 66 years and over,487,509,-22
E09000030,Tower Hamlets,E05009319,Bow East,One person household: Other,2228,1809,419
E09000030,Tower Hamlets,E05009319,Bow East,Other household types: Other,1259,1171,88
E09000030,Tower Hamlets,E05009319,Bow East,Single family household: All aged 66 years and over,98,119,-21
E09000030,Tower Hamlets,E05009319,Bow East,Single family household: Cohabiting couple family: All children non-dependent,33,20,13
E09000030,Tower Hamlets,E05009319,Bow East,Single family household: Cohabiting couple family: No children,1231,659,572
E09000030,Tower Hamlets,E05009319,Bow East,Single family household: Cohabiting couple family: With dependent children,256,118,138
E09000030,Tower Hamlets,E05009319,Bow East,Single family household: Lone parent family: All children non-dependent,361,237,124
