lad22cd,lad22nm,ward22cd,ward22nm,category,count_21,count_11,change
E09000030,Tower Hamlets,E05009317,Bethnal Green,1 person in household,2045,2362,-317
E09000030,Tower Hamlets,E05009317,Bethnal Green,2 people in household,2146,1898,248
E09000030,Tower Hamlets,E05009317,Bethnal Green,3 people in household,1113,1043,70
E09000030,Tower Hamlets,E05009317,Bethnal Green,4 people in household,955,822,133
E09000030,Tower Hamlets,E05009317,Bethnal Green,5 people in household,557,453,104
E09000030,Tower Hamlets,E05009317,Bethnal Green,6 people in household,314,323,-9
E09000030,Tower Hamlets,E05009317,Bethnal Green,7 people in household,121,126,-5
E09000030,Tower Hamlets,E05009317,Bethnal Green,8 or more people in household,95,97,-2
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,1 person in household,3525,2286,1239
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,2 people in household,3517,2328,1189
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,3 people in household,1285,881,404
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,4 people in household,708,534,174
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,5 people in household,289,196,93
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,6 people in household,175,134,41
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,7 people in household,76,35,41
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,8 or more people in household,125,24,101
E09000030,Tower Hamlets,E05009319,Bow East,1 person in household,2722,2318,404
E09000030,Tower Hamlets,E05009319,Bow East,2 people in household,2973,2380,593
E09000030,Tower Hamlets,E05009319,Bow East,3 people in household,1265,855,410
E09000030,Tower Hamlets,E05009319,Bow East,4 people in household,714,533,181
E09000030,Tower Hamlets,E05009319,Bow East,5 people in household,427,245,182
E09000030,Tower Hamlets,E05009319,Bow East,6 people in household,166,146,20
E09000030,Tower Hamlets,E05009319,Bow East,7 people in household,86,73,13
E09000030,Tower Hamlets,E05009319,Bow East,8 or more people in household,53,45,8
E09000030,Tower Hamlets,E05009320,Bow West,1 person in household,1525,1527,-2
E09000030,Tower Hamlets,E05009320,Bow West,2 people in household,1604,1500,104
E09000030,Tower Hamlets,E05009320,Bow West,3 people in household,874,716,158
E09000030,Tower Hamlets,E05009320,Bow West,4 people in household,676,650,26
E09000030,Tower Hamlets,E05009320,Bow West,5 people in household,311,325,-14
E09000030,Tower Hamlets,E05009320,Bow West,6 people in household,168,180,-12
E09000030,Tower Hamlets,E05009320,Bow West,7 people in household,38,57,-19
E09000030,Tower Hamlets,E05009320,Bow West,8 or more people in household,79,54,25
E09000030,Tower Hamlets,E05009321,Bromley North,1 person in household,1435,1196,239
E09000030,Tower Hamlets,E05009321,Bromley North,2 people in household,1245,933,312
E09000030,Tower Hamlets,E05009321,Bromley North,3 people in household,639,435,204
E09000030,Tower Hamlets,E05009321,Bromley North,4 people in household,500,369,131
E09000030,Tower Hamlets,E05009321,Bromley North,5 people in household,311,233,78
E09000030,Tower Hamlets,E05009321,Bromley North,6 people in household,158,207,-49
E09000030,Tower Hamlets,E05009321,Bromley North,7 people in household,55,72,-17
