lad22cd,lad22nm,ward22cd,ward22nm,category,count_21,count_11,change
E09000030,Tower Hamlets,E05009317,Bethnal Green,10 years or more,4454,3727,727
E09000030,Tower Hamlets,E05009317,Bethnal Green,"2 years or more, but less than 5 years",1254,1113,141
E09000030,Tower Hamlets,E05009317,Bethnal Green,"5 years or more, but less than 10 years",1422,1289,133
E09000030,Tower Hamlets,E05009317,Bethnal Green,Born in the UK,12397,11987,410
E09000030,Tower Hamlets,E05009317,Bethnal Green,Less than 2 years,1683,1587,96
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,10 years or more,4630,2103,2527
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"2 years or more, but less than 5 years",2486,1616,870
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"5 years or more, but less than 10 years",2604,1780,824
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Born in the UK,9489,6914,2575
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Less than 2 years,2618,1543,1075
E09000030,Tower Hamlets,E05009319,Bow East,10 years or more,3826,2266,1560
E09000030,Tower Hamlets,E05009319,Bow East,"2 years or more, but less than 5 years",1071,746,325
E09000030,Tower Hamlets,E05009319,Bow East,"5 years or more, but less than 10 years",1426,962,464
E09000030,Tower Hamlets,E05009319,Bow East,Born in the UK,12478,10209,2269
E09000030,Tower Hamlets,E05009319,Bow East,Less than 2 years,720,598,122
E09000030,Tower Hamlets,E05009320,Bow West,10 years or more,2707,2076,631
E09000030,Tower Hamlets,E05009320,Bow West,"2 years or more, but less than 5 years",730,650,80
E09000030,Tower Hamlets,E05009320,Bow West,"5 years or more, but less than 10 years",812,798,14
E09000030,Tower Hamlets,E05009320,Bow West,Born in the UK,8889,8800,89
E09000030,Tower Hamlets,E05009320,Bow West,Less than 2 years,578,615,-37
E09000030,Tower Hamlets,E05009321,Bromley North,10 years or more,2857,2267,590
E09000030,Tower Hamlets,E05009321,Bromley North,"2 years or more, but less than 5 years",676,553,123
E09000030,Tower Hamlets,E05009321,Bromley North,"5 years or more, but less than 10 years",926,687,239
E09000030,Tower Hamlets,E05009321,Bromley North,Born in the UK,6400,5320,1080
E09000030,Tower Hamlets,E05009321,Bromley North,Less than 2 years,571,501,70
E09000030,Tower Hamlets,E05009322,Bromley South,10 years or more,3554,2131,1423
E09000030,Tower Hamlets,E05009322,Bromley South,"2 years or more, but less than 5 years",934,502,432
E09000030,Tower Hamlets,E05009322,Bromley South,"5 years or more, but less than 10 years",1179,693,486
E09000030,Tower Hamlets,E05009322,Bromley South,Born in the UK,7847,5002,2845
E09000030,Tower Hamlets,E05009322,Bromley South,Less than 2 years,715,421,294
E09000030,Tower Hamlets,E05009323,Canary Wharf,10 years or more,4026,2063,1963
E09000030,Tower Hamlets,E05009323,Canary Wharf,"2 years or more, but less than 5 years",2306,1535,771
E09000030,Tower Hamlets,E05009323,Canary Wharf,"5 years or more, but less than 10 years",2264,1661,603
E09000030,Tower Hamlets,E05009323,Canary Wharf,Born in the UK,7031,5796,1235
E09000030,Tower Hamlets,E05009323,Canary Wharf,Less than 2 years,2299,1775,524
E09000030,Tower Hamlets,E05009324,Island Gardens,10 years or more,3243,2014,1229
E09000030,Tower Hamlets,E05009324,Island Gardens,"2 years or more, but less than 5 years",1345,1380,-35
E09000030,Tower Hamlets,E05009324,Island Gardens,"5 years or more, but less than 10 years",1679,1399,280
E09000030,Tower Hamlets,E05009324,Island Gardens,Born in the UK,7581,7228,353
E09000030,Tower Hamlets,E05009324,Island Gardens,Less than 2 years,1048,1389,-341
E09000030,Tower Hamlets,E05009325,Lansbury,10 years or more,5031,3271,1760
E09000030,Tower Hamlets,E05009325,Lansbury,"2 years or more, but less than 5 years",1629,723,906
E09000030,Tower Hamlets,E05009325,Lansbury,"5 years or more, but less than 10 years",2031,1225,806
E09000030,Tower Hamlets,E05009325,Lansbury,Born in the UK,11843,9072,2771
E09000030,Tower Hamlets,E05009325,Lansbury,Less than 2 years,1193,703,490
E09000030,Tower Hamlets,E05009326,Limehouse,10 years or more,1485,1144,341
E09000030,Tower Hamlets,E05009326,Limehouse,"2 years or more, but less than 5 years",656,551,105
E09000030,Tower Hamlets,E05009326,Limehouse,"5 years or more, but less than 10 years",752,660,92
E09000030,Tower Hamlets,E05009326,Limehouse,Born in the UK,3338,3363,-25
E09000030,Tower Hamlets,E05009326,Limehouse,Less than 2 years,522,524,-2
E09000030,Tower Hamlets,E05009327,Mile End,10 years or more,5049,3606,1443
E09000030,Tower Hamlets,E05009327,Mile End,"2 years or more, but less than 5 years",1643,1098,545
E09000030,Tower Hamlets,E05009327,Mile End,"5 years or more, but less than 10 years",1936,1409,527
E09000030,Tower Hamlets,E05009327,Mile End,Born in the UK,11970,9116,2854
E09000030,Tower Hamlets,E05009327,Mile End,Less than 2 years,1196,1002,194
E09000030,Tower Hamlets,E05009328,Poplar,10 years or more,1996,1645,351
E09000030,Tower Hamlets,E05009328,Poplar,"2 years or more, but less than 5 years",607,553,54
E09000030,Tower Hamlets,E05009328,Poplar,"5 years or more, but less than 10 years",728,681,47
E09000030,Tower Hamlets,E05009328,Poplar,Born in the UK,4075,3862,213
E09000030,Tower Hamlets,E05009328,Poplar,Less than 2 years,545,470,75
E09000030,Tower Hamlets,E05009329,St Dunstan's,10 years or more,3620,2758,862
E09000030,Tower Hamlets,E05009329,St Dunstan's,"2 years or more, but less than 5 years",816,646,170
E09000030,Tower Hamlets,E05009329,St Dunstan's,"5 years or more, but less than 10 years",883,802,81
E09000030,Tower Hamlets,E05009329,St Dunstan's,Born in the UK,8262,6753,1509
E09000030,Tower Hamlets,E05009329,St Dunstan's,Less than 2 years,794,768,26
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,10 years or more,2460,1660,800
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,"2 years or more, but less than 5 years",1051,982,69
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,"5 years or more, but less than 10 years",1270,931,339
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Born in the UK,6402,6285,117
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Less than 2 years,875,783,92
E09000030,Tower Hamlets,E05009331,St Peter's,10 years or more,4342,3786,556
E09000030,Tower Hamlets,E05009331,St Peter's,"2 years or more, but less than 5 years",1425,1158,267
E09000030,Tower Hamlets,E05009331,St Peter's,"5 years or more, but less than 10 years",1395,1282,113
E09000030,Tower Hamlets,E05009331,St Peter's,Born in the UK,11213,10477,736
E09000030,Tower Hamlets,E05009331,St Peter's,Less than 2 years,1620,1407,213
E09000030,Tower Hamlets,E05009332,Shadwell,10 years or more,3461,3043,418
E09000030,Tower Hamlets,E05009332,Shadwell,"2 years or more, but less than 5 years",891,771,120
E09000030,Tower Hamlets,E05009332,Shadwell,"5 years or more, but less than 10 years",981,1079,-98
E09000030,Tower Hamlets,E05009332,Shadwell,Born in the UK,6863,6782,81
E09000030,Tower Hamlets,E05009332,Shadwell,Less than 2 years,782,655,127
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,10 years or more,3088,3036,52
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,"2 years or more, but less than 5 years",1082,954,128
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,"5 years or more, but less than 10 years",1063,968,95
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Born in the UK,6156,6366,-210
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Less than 2 years,1839,1317,522
E09000030,Tower Hamlets,E05009334,Stepney Green,10 years or more,3165,2778,387
E09000030,Tower Hamlets,E05009334,Stepney Green,"2 years or more, but less than 5 years",876,669,207
E09000030,Tower Hamlets,E05009334,Stepney Green,"5 years or more, but less than 10 years",837,808,29
E09000030,Tower Hamlets,E05009334,Stepney Green,Born in the UK,6811,6780,31
E09000030,Tower Hamlets,E05009334,Stepney Green,Less than 2 years,753,663,90
E09000030,Tower Hamlets,E05009335,Weavers,10 years or more,2967,2673,294
E09000030,Tower Hamlets,E05009335,Weavers,"2 years or more, but less than 5 years",890,792,98
E09000030,Tower Hamlets,E05009335,Weavers,"5 years or more, but less than 10 years",963,918,45
E09000030,Tower Hamlets,E05009335,Weavers,Born in the UK,7497,7438,59
E09000030,Tower Hamlets,E05009335,Weavers,Less than 2 years,949,853,96
E09000030,Tower Hamlets,E05009336,Whitechapel,10 years or more,4102,3047,1055
E09000030,Tower Hamlets,E05009336,Whitechapel,"2 years or more, but less than 5 years",1873,1233,640
E09000030,Tower Hamlets,E05009336,Whitechapel,"5 years or more, but less than 10 years",1676,1288,388
E09000030,Tower Hamlets,E05009336,Whitechapel,Born in the UK,8535,7113,1422
E09000030,Tower Hamlets,E05009336,Whitechapel,Less than 2 years,2796,1224,1572
E09000012,Hackney,E05009367,Brownswood,10 years or more,2161,1656,505
E09000012,Hackney,E05009367,Brownswood,"2 years or more, but less than 5 years",535,551,-16
E09000012,Hackney,E05009367,Brownswood,"5 years or more, but less than 10 years",656,654,2
E09000012,Hackney,E05009367,Brownswood,Born in the UK,5307,4891,416
E09000012,Hackney,E05009367,Brownswood,Less than 2 years,324,416,-92
E09000012,Hackney,E05009368,Cazenove,10 years or more,3446,2939,507
E09000012,Hackney,E05009368,Cazenove,"2 years or more, but less than 5 years",633,740,-107
E09000012,Hackney,E05009368,Cazenove,"5 years or more, but less than 10 years",815,1141,-326
E09000012,Hackney,E05009368,Cazenove,Born in the UK,9862,9085,777
E09000012,Hackney,E05009368,Cazenove,Less than 2 years,453,438,15
E09000012,Hackney,E05009369,Clissold,10 years or more,2709,2549,160
E09000012,Hackney,E05009369,Clissold,"2 years or more, but less than 5 years",491,540,-49
E09000012,Hackney,E05009369,Clissold,"5 years or more, but less than 10 years",732,778,-46
E09000012,Hackney,E05009369,Clissold,Born in the UK,8262,8902,-640
E09000012,Hackney,E05009369,Clissold,Less than 2 years,295,345,-50
E09000012,Hackney,E05009370,Dalston,10 years or more,1938,1491,447
E09000012,Hackney,E05009370,Dalston,"2 years or more, but less than 5 years",645,476,169
E09000012,Hackney,E05009370,Dalston,"5 years or more, but less than 10 years",782,612,170
E09000012,Hackney,E05009370,Dalston,Born in the UK,5179,4748,431
E09000012,Hackney,E05009370,Dalston,Less than 2 years,469,346,123
E09000012,Hackney,E05009371,De Beauvoir,10 years or more,2012,1546,466
E09000012,Hackney,E05009371,De Beauvoir,"2 years or more, but less than 5 years",564,508,56
E09000012,Hackney,E05009371,De Beauvoir,"5 years or more, but less than 10 years",680,670,10
