lad22cd,lad22nm,ward22cd,ward22nm,category,count_21,count_11,change
E09000030,Tower Hamlets,E05009317,Bethnal Green,Lives in a communal establishment,1396,1176,220
E09000030,Tower Hamlets,E05009317,Bethnal Green,Lives in a household,19812,18527,1285
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Lives in a communal establishment,0,0,0
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Lives in a household,21831,13956,7875
E09000030,Tower Hamlets,E05009319,Bow East,Lives in a communal establishment,3,1,2
E09000030,Tower Hamlets,E05009319,Bow East,Lives in a household,19521,14780,4741
E09000030,Tower Hamlets,E05009320,Bow West,Lives in a communal establishment,10,52,-42
E09000030,Tower Hamlets,E05009320,Bow West,Lives in a household,13704,12887,817
E09000030,Tower Hamlets,E05009321,Bromley North,Lives in a communal establishment,17,41,-24
E09000030,Tower Hamlets,E05009321,Bromley North,Lives in a household,11415,9288,2127
E09000030,Tower Hamlets,E05009322,Bromley South,Lives in a communal establishment,4,20,-16
E09000030,Tower Hamlets,E05009322,Bromley South,Lives in a household,14229,8728,5501
E09000030,Tower Hamlets,E05009323,Canary Wharf,Lives in a communal establishment,10,1,9
E09000030,Tower Hamlets,E05009323,Canary Wharf,Lives in a household,17911,12830,5081
E09000030,Tower Hamlets,E05009324,Island Gardens,Lives in a communal establishment,3,0,3
E09000030,Tower Hamlets,E05009324,Island Gardens,Lives in a household,14901,13409,1492
E09000030,Tower Hamlets,E05009325,Lansbury,Lives in a communal establishment,115,97,18
E09000030,Tower Hamlets,E05009325,Lansbury,Lives in a household,21626,14896,6730
E09000030,Tower Hamlets,E05009326,Limehouse,Lives in a communal establishment,49,1,48
E09000030,Tower Hamlets,E05009326,Limehouse,Lives in a household,6707,6241,466
E09000030,Tower Hamlets,E05009327,Mile End,Lives in a communal establishment,93,55,38
E09000030,Tower Hamlets,E05009327,Mile End,Lives in a household,21704,16177,5527
E09000030,Tower Hamlets,E05009328,Poplar,Lives in a communal establishment,39,75,-36
E09000030,Tower Hamlets,E05009328,Poplar,Lives in a household,7912,7135,777
E09000030,Tower Hamlets,E05009329,St Dunstan's,Lives in a communal establishment,630,381,249
E09000030,Tower Hamlets,E05009329,St Dunstan's,Lives in a household,13740,11346,2394
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Lives in a communal establishment,20,46,-26
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Lives in a household,12039,10595,1444
E09000030,Tower Hamlets,E05009331,St Peter's,Lives in a communal establishment,1116,468,648
E09000030,Tower Hamlets,E05009331,St Peter's,Lives in a household,18868,17641,1227
E09000030,Tower Hamlets,E05009332,Shadwell,Lives in a communal establishment,472,26,446
E09000030,Tower Hamlets,E05009332,Shadwell,Lives in a household,12498,12304,194
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Lives in a communal establishment,1029,840,189
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Lives in a household,12194,11801,393
E09000030,Tower Hamlets,E05009334,Stepney Green,Lives in a communal establishment,208,208,0
E09000030,Tower Hamlets,E05009334,Stepney Green,Lives in a household,12235,11490,745
E09000030,Tower Hamlets,E05009335,Weavers,Lives in a communal establishment,180,42,138
E09000030,Tower Hamlets,E05009335,Weavers,Lives in a household,13087,12632,455
E09000030,Tower Hamlets,E05009336,Whitechapel,Lives in a communal establishment,1229,224,1005
E09000030,Tower Hamlets,E05009336,Whitechapel,Lives in a household,17746,13680,4066
E09000012,Hackney,E05009367,Brownswood,Lives in a communal establishment,40,84,-44
