lad22cd,lad22nm,ward22cd,ward22nm,category,count_21,count_11,change
E09000030,Tower Hamlets,E05009317,Bethnal Green,Female,10806,9855,951
E09000030,Tower Hamlets,E05009317,Bethnal Green,Male,10423,9848,575
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Female,10605,6622,3983
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Male,11229,7334,3895
E09000030,Tower Hamlets,E05009319,Bow East,Female,10004,7479,2525
E09000030,Tower Hamlets,E05009319,Bow East,Male,9526,7302,2224
E09000030,Tower Hamlets,E05009320,Bow West,Female,6914,6543,371
E09000030,Tower Hamlets,E05009320,Bow West,Male,6794,6396,398
E09000030,Tower Hamlets,E05009321,Bromley North,Female,5624,4513,1111
E09000030,Tower Hamlets,E05009321,Bromley North,Male,5805,4816,989
E09000030,Tower Hamlets,E05009322,Bromley South,Female,7300,4383,2917
E09000030,Tower Hamlets,E05009322,Bromley South,Male,6932,4365,2567
E09000030,Tower Hamlets,E05009323,Canary Wharf,Female,8925,5950,2975
E09000030,Tower Hamlets,E05009323,Canary Wharf,Male,8995,6880,2115
E09000030,Tower Hamlets,E05009324,Island Gardens,Female,7544,6462,1082
E09000030,Tower Hamlets,E05009324,Island Gardens,Male,7358,6947,411
E09000030,Tower Hamlets,E05009325,Lansbury,Female,10839,7496,3343
E09000030,Tower Hamlets,E05009325,Lansbury,Male,10895,7497,3398
E09000030,Tower Hamlets,E05009326,Limehouse,Female,3067,2817,250
E09000030,Tower Hamlets,E05009326,Limehouse,Male,3684,3425,259
E09000030,Tower Hamlets,E05009327,Mile End,Female,10726,7929,2797
E09000030,Tower Hamlets,E05009327,Mile End,Male,11069,8303,2766
E09000030,Tower Hamlets,E05009328,Poplar,Female,3930,3572,358
E09000030,Tower Hamlets,E05009328,Poplar,Male,4026,3638,388
E09000030,Tower Hamlets,E05009329,St Dunstan's,Female,7338,5860,1478
E09000030,Tower Hamlets,E05009329,St Dunstan's,Male,7026,5867,1159
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Female,5748,4795,953
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Male,6319,5846,473
E09000030,Tower Hamlets,E05009331,St Peter's,Female,10117,8914,1203
E09000030,Tower Hamlets,E05009331,St Peter's,Male,9853,9194,659
E09000030,Tower Hamlets,E05009332,Shadwell,Female,6431,6037,394
E09000030,Tower Hamlets,E05009332,Shadwell,Male,6548,6293,255
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Female,6390,5832,558
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Male,6829,6808,21
E09000030,Tower Hamlets,E05009334,Stepney Green,Female,6184,5747,437
E09000030,Tower Hamlets,E05009334,Stepney Green,Male,6267,5951,316
