lad22cd,lad22nm,ward22cd,ward22nm,category,count_21,count_11,change
E09000030,Tower Hamlets,E05009317,Bethnal Green,Main language is English (English or Welsh in Wales),15413,12851,2562
E09000030,Tower Hamlets,E05009317,Bethnal Green,Main language is not English (English or Welsh in Wales): Can speak English very well,2091,2538,-447
E09000030,Tower Hamlets,E05009317,Bethnal Green,Main language is not English (English or Welsh in Wales): Can speak English well,1625,2096,-471
E09000030,Tower Hamlets,E05009317,Bethnal Green,Main language is not English (English or Welsh in Wales): Cannot speak English,197,261,-64
E09000030,Tower Hamlets,E05009317,Bethnal Green,Main language is not English (English or Welsh in Wales): Cannot speak English well,1111,1165,-54
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Main language is English (English or Welsh in Wales),15081,8931,6150
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Main language is not English (English or Welsh in Wales): Can speak English very well,3728,2578,1150
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Main language is not English (English or Welsh in Wales): Can speak English well,1571,1199,372
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Main language is not English (English or Welsh in Wales): Cannot speak English,96,95,1
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Main language is not English (English or Welsh in Wales): Cannot speak English well,620,450,170
E09000030,Tower Hamlets,E05009319,Bow East,Main language is English (English or Welsh in Wales),15425,11224,4201
E09000030,Tower Hamlets,E05009319,Bow East,Main language is not English (English or Welsh in Wales): Can speak English very well,1741,1446,295
E09000030,Tower Hamlets,E05009319,Bow East,Main language is not English (English or Welsh in Wales): Can speak English well,988,895,93
E09000030,Tower Hamlets,E05009319,Bow East,Main language is not English (English or Welsh in Wales): Cannot speak English,74,79,-5
E09000030,Tower Hamlets,E05009319,Bow East,Main language is not English (English or Welsh in Wales): Cannot speak English well,586,527,59
E09000030,Tower Hamlets,E05009320,Bow West,Main language is English (English or Welsh in Wales),10728,9485,1243
E09000030,Tower Hamlets,E05009320,Bow West,Main language is not English (English or Welsh in Wales): Can speak English very well,1043,1242,-199
E09000030,Tower Hamlets,E05009320,Bow West,Main language is not English (English or Welsh in Wales): Can speak English well,767,973,-206
E09000030,Tower Hamlets,E05009320,Bow West,Main language is not English (English or Welsh in Wales): Cannot speak English,95,131,-36
E09000030,Tower Hamlets,E05009320,Bow West,Main language is not English (English or Welsh in Wales): Cannot speak English well,549,515,34
E09000030,Tower Hamlets,E05009321,Bromley North,Main language is English (English or Welsh in Wales),8164,5523,2641
E09000030,Tower Hamlets,E05009321,Bromley North,Main language is not English (English or Welsh in Wales): Can speak English very well,956,1339,-383
E09000030,Tower Hamlets,E05009321,Bromley North,Main language is not English (English or Welsh in Wales): Can speak English well,1011,1112,-101
E09000030,Tower Hamlets,E05009321,Bromley North,Main language is not English (English or Welsh in Wales): Cannot speak English,166,158,8
E09000030,Tower Hamlets,E05009321,Bromley North,Main language is not English (English or Welsh in Wales): Cannot speak English well,660,697,-37
E09000030,Tower Hamlets,E05009322,Bromley South,Main language is English (English or Welsh in Wales),10075,5036,5039
E09000030,Tower Hamlets,E05009322,Bromley South,Main language is not English (English or Welsh in Wales): Can speak English very well,1438,1277,161
E09000030,Tower Hamlets,E05009322,Bromley South,Main language is not English (English or Welsh in Wales): Can speak English well,1126,1007,119
E09000030,Tower Hamlets,E05009322,Bromley South,Main language is not English (English or Welsh in Wales): Cannot speak English,159,157,2
E09000030,Tower Hamlets,E05009322,Bromley South,Main language is not English (English or Welsh in Wales): Cannot speak English well,886,747,139
E09000030,Tower Hamlets,E05009323,Canary Wharf,Main language is English (English or Welsh in Wales),11721,8034,3687
E09000030,Tower Hamlets,E05009323,Canary Wharf,Main language is not English (English or Welsh in Wales): Can speak English very well,3370,2502,868
E09000030,Tower Hamlets,E05009323,Canary Wharf,Main language is not English (English or Welsh in Wales): Can speak English well,1435,1123,312
E09000030,Tower Hamlets,E05009323,Canary Wharf,Main language is not English (English or Welsh in Wales): Cannot speak English,104,97,7
E09000030,Tower Hamlets,E05009323,Canary Wharf,Main language is not English (English or Welsh in Wales): Cannot speak English well,607,439,168
E09000030,Tower Hamlets,E05009324,Island Gardens,Main language is English (English or Welsh in Wales),10306,8837,1469
E09000030,Tower Hamlets,E05009324,Island Gardens,Main language is not English (English or Welsh in Wales): Can speak English very well,2269,2144,125
E09000030,Tower Hamlets,E05009324,Island Gardens,Main language is not English (English or Welsh in Wales): Can speak English well,1114,1185,-71
E09000030,Tower Hamlets,E05009324,Island Gardens,Main language is not English (English or Welsh in Wales): Cannot speak English,81,107,-26
E09000030,Tower Hamlets,E05009324,Island Gardens,Main language is not English (English or Welsh in Wales): Cannot speak English well,484,481,3
E09000030,Tower Hamlets,E05009325,Lansbury,Main language is English (English or Welsh in Wales),14934,9033,5901
E09000030,Tower Hamlets,E05009325,Lansbury,Main language is not English (English or Welsh in Wales): Can speak English very well,2527,2072,455
E09000030,Tower Hamlets,E05009325,Lansbury,Main language is not English (English or Welsh in Wales): Can speak English well,1955,1737,218
E09000030,Tower Hamlets,E05009325,Lansbury,Main language is not English (English or Welsh in Wales): Cannot speak English,244,242,2
E09000030,Tower Hamlets,E05009325,Lansbury,Main language is not English (English or Welsh in Wales): Cannot speak English well,1170,1122,48
E09000030,Tower Hamlets,E05009326,Limehouse,Main language is English (English or Welsh in Wales),4807,4166,641
E09000030,Tower Hamlets,E05009326,Limehouse,Main language is not English (English or Welsh in Wales): Can speak English very well,990,1000,-10
E09000030,Tower Hamlets,E05009326,Limehouse,Main language is not English (English or Welsh in Wales): Can speak English well,407,461,-54
E09000030,Tower Hamlets,E05009326,Limehouse,Main language is not English (English or Welsh in Wales): Cannot speak English,63,67,-4
E09000030,Tower Hamlets,E05009326,Limehouse,Main language is not English (English or Welsh in Wales): Cannot speak English well,244,256,-12
E09000030,Tower Hamlets,E05009327,Mile End,Main language is English (English or Welsh in Wales),15189,9458,5731
E09000030,Tower Hamlets,E05009327,Mile End,Main language is not English (English or Welsh in Wales): Can speak English very well,2493,2405,88
E09000030,Tower Hamlets,E05009327,Mile End,Main language is not English (English or Welsh in Wales): Can speak English well,1798,2036,-238
E09000030,Tower Hamlets,E05009327,Mile End,Main language is not English (English or Welsh in Wales): Cannot speak English,203,271,-68
E09000030,Tower Hamlets,E05009327,Mile End,Main language is not English (English or Welsh in Wales): Cannot speak English well,1208,1199,9
E09000030,Tower Hamlets,E05009328,Poplar,Main language is English (English or Welsh in Wales),5301,3935,1366
E09000030,Tower Hamlets,E05009328,Poplar,Main language is not English (English or Welsh in Wales): Can speak English very well,893,1188,-295
E09000030,Tower Hamlets,E05009328,Poplar,Main language is not English (English or Welsh in Wales): Can speak English well,826,888,-62
E09000030,Tower Hamlets,E05009328,Poplar,Main language is not English (English or Welsh in Wales): Cannot speak English,106,136,-30
E09000030,Tower Hamlets,E05009328,Poplar,Main language is not English (English or Welsh in Wales): Cannot speak English well,495,593,-98
E09000030,Tower Hamlets,E05009329,St Dunstan's,Main language is English (English or Welsh in Wales),9924,6641,3283
E09000030,Tower Hamlets,E05009329,St Dunstan's,Main language is not English (English or Welsh in Wales): Can speak English very well,1355,1867,-512
E09000030,Tower Hamlets,E05009329,St Dunstan's,Main language is not English (English or Welsh in Wales): Can speak English well,1307,1411,-104
E09000030,Tower Hamlets,E05009329,St Dunstan's,Main language is not English (English or Welsh in Wales): Cannot speak English,245,254,-9
E09000030,Tower Hamlets,E05009329,St Dunstan's,Main language is not English (English or Welsh in Wales): Cannot speak English well,947,981,-34
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Main language is English (English or Welsh in Wales),9097,7784,1313
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Main language is not English (English or Welsh in Wales): Can speak English very well,1660,1491,169
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Main language is not English (English or Welsh in Wales): Can speak English well,582,630,-48
