lad22cd,lad22nm,ward22cd,ward22nm,category,count_21,count_11,change
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Asian, Asian British or Asian Welsh: Bangladeshi",7562,6406,1156
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Asian, Asian British or Asian Welsh: Chinese",482,466,16
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Asian, Asian British or Asian Welsh: Indian",482,364,118
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Asian, Asian British or Asian Welsh: Other Asian",410,436,-26
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Asian, Asian British or Asian Welsh: Pakistani",194,169,25
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Black, Black British, Black Welsh, Caribbean or African: African",1353,705,648
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",281,320,-39
E09000030,Tower Hamlets,E05009317,Bethnal Green,"Black, Black British, Black Welsh, Caribbean or African: Other Black",257,315,-58
E09000030,Tower Hamlets,E05009317,Bethnal Green,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,308,226,82
E09000030,Tower Hamlets,E05009317,Bethnal Green,Mixed or Multiple ethnic groups: White and Asian,282,281,1
E09000030,Tower Hamlets,E05009317,Bethnal Green,Mixed or Multiple ethnic groups: White and Black African,134,124,10
E09000030,Tower Hamlets,E05009317,Bethnal Green,Mixed or Multiple ethnic groups: White and Black Caribbean,218,174,44
E09000030,Tower Hamlets,E05009317,Bethnal Green,Other ethnic group: Any other ethnic group,550,257,293
E09000030,Tower Hamlets,E05009317,Bethnal Green,Other ethnic group: Arab,158,202,-44
E09000030,Tower Hamlets,E05009317,Bethnal Green,"White: English, Welsh, Scottish, Northern Irish or British",5682,6870,-1188
E09000030,Tower Hamlets,E05009317,Bethnal Green,White: Gypsy or Irish Traveller,5,7,-2
E09000030,Tower Hamlets,E05009317,Bethnal Green,White: Irish,231,338,-107
E09000030,Tower Hamlets,E05009317,Bethnal Green,White: Other White,2618,2042,576
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"Asian, Asian British or Asian Welsh: Bangladeshi",4280,1995,2285
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"Asian, Asian British or Asian Welsh: Chinese",1759,1247,512
