lad22cd,lad22nm,ward22cd,ward22nm,category,count_21,count_11,change
E09000030,Tower Hamlets,E05009317,Bethnal Green,"All adults in household have English in England, or English or Welsh in Wales as a main language",4760,4542,218
E09000030,Tower Hamlets,E05009317,Bethnal Green,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",1454,1163,291
E09000030,Tower Hamlets,E05009317,Bethnal Green,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",276,313,-37
E09000030,Tower Hamlets,E05009317,Bethnal Green,"No people in household have English in England, or English or Welsh in Wales as a main language",866,1105,-239
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"All adults in household have English in England, or English or Welsh in Wales as a main language",6076,4029,2047
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",1420,811,609
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",202,172,30
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,"No people in household have English in England, or English or Welsh in Wales as a main language",1983,1406,577
E09000030,Tower Hamlets,E05009319,Bow East,"All adults in household have English in England, or English or Welsh in Wales as a main language",6338,5026,1312
E09000030,Tower Hamlets,E05009319,Bow East,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",1105,692,413
E09000030,Tower Hamlets,E05009319,Bow East,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",183,155,28
E09000030,Tower Hamlets,E05009319,Bow East,"No people in household have English in England, or English or Welsh in Wales as a main language",792,722,70
E09000030,Tower Hamlets,E05009320,Bow West,"All adults in household have English in England, or English or Welsh in Wales as a main language",3889,3705,184
E09000030,Tower Hamlets,E05009320,Bow West,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",811,588,223
E09000030,Tower Hamlets,E05009320,Bow West,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",108,151,-43
E09000030,Tower Hamlets,E05009320,Bow West,"No people in household have English in England, or English or Welsh in Wales as a main language",477,565,-88
E09000030,Tower Hamlets,E05009321,Bromley North,"All adults in household have English in England, or English or Welsh in Wales as a main language",2886,2054,832
E09000030,Tower Hamlets,E05009321,Bromley North,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",762,534,228
E09000030,Tower Hamlets,E05009321,Bromley North,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",210,188,22
E09000030,Tower Hamlets,E05009321,Bromley North,"No people in household have English in England, or English or Welsh in Wales as a main language",579,730,-151
E09000030,Tower Hamlets,E05009322,Bromley South,"All adults in household have English in England, or English or Welsh in Wales as a main language",3098,1693,1405
E09000030,Tower Hamlets,E05009322,Bromley South,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",1112,508,604
E09000030,Tower Hamlets,E05009322,Bromley South,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",218,186,32
E09000030,Tower Hamlets,E05009322,Bromley South,"No people in household have English in England, or English or Welsh in Wales as a main language",725,665,60
E09000030,Tower Hamlets,E05009323,Canary Wharf,"All adults in household have English in England, or English or Welsh in Wales as a main language",5032,3861,1171
E09000030,Tower Hamlets,E05009323,Canary Wharf,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",1167,732,435
E09000030,Tower Hamlets,E05009323,Canary Wharf,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",190,116,74
E09000030,Tower Hamlets,E05009323,Canary Wharf,"No people in household have English in England, or English or Welsh in Wales as a main language",2128,1587,541
E09000030,Tower Hamlets,E05009324,Island Gardens,"All adults in household have English in England, or English or Welsh in Wales as a main language",3764,3834,-70
E09000030,Tower Hamlets,E05009324,Island Gardens,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",960,741,219
E09000030,Tower Hamlets,E05009324,Island Gardens,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",195,135,60
E09000030,Tower Hamlets,E05009324,Island Gardens,"No people in household have English in England, or English or Welsh in Wales as a main language",1043,1169,-126
E09000030,Tower Hamlets,E05009325,Lansbury,"All adults in household have English in England, or English or Welsh in Wales as a main language",4454,3155,1299
E09000030,Tower Hamlets,E05009325,Lansbury,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",1594,839,755
E09000030,Tower Hamlets,E05009325,Lansbury,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",345,319,26
E09000030,Tower Hamlets,E05009325,Lansbury,"No people in household have English in England, or English or Welsh in Wales as a main language",1150,987,163
E09000030,Tower Hamlets,E05009326,Limehouse,"All adults in household have English in England, or English or Welsh in Wales as a main language",1997,2004,-7
E09000030,Tower Hamlets,E05009326,Limehouse,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",507,394,113
E09000030,Tower Hamlets,E05009326,Limehouse,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",59,63,-4
E09000030,Tower Hamlets,E05009326,Limehouse,"No people in household have English in England, or English or Welsh in Wales as a main language",435,521,-86
E09000030,Tower Hamlets,E05009327,Mile End,"All adults in household have English in England, or English or Welsh in Wales as a main language",4726,3237,1489
E09000030,Tower Hamlets,E05009327,Mile End,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",1666,1045,621
E09000030,Tower Hamlets,E05009327,Mile End,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",345,324,21
E09000030,Tower Hamlets,E05009327,Mile End,"No people in household have English in England, or English or Welsh in Wales as a main language",1124,1193,-69
E09000030,Tower Hamlets,E05009328,Poplar,"All adults in household have English in England, or English or Welsh in Wales as a main language",1591,1293,298
E09000030,Tower Hamlets,E05009328,Poplar,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",586,467,119
E09000030,Tower Hamlets,E05009328,Poplar,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",145,160,-15
E09000030,Tower Hamlets,E05009328,Poplar,"No people in household have English in England, or English or Welsh in Wales as a main language",501,630,-129
E09000030,Tower Hamlets,E05009329,St Dunstan's,"All adults in household have English in England, or English or Welsh in Wales as a main language",2637,2069,568
E09000030,Tower Hamlets,E05009329,St Dunstan's,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",1162,771,391
E09000030,Tower Hamlets,E05009329,St Dunstan's,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",148,220,-72
E09000030,Tower Hamlets,E05009329,St Dunstan's,"No people in household have English in England, or English or Welsh in Wales as a main language",682,822,-140
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,"All adults in household have English in England, or English or Welsh in Wales as a main language",4218,3940,278
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",719,611,108
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",90,60,30
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,"No people in household have English in England, or English or Welsh in Wales as a main language",784,756,28
E09000030,Tower Hamlets,E05009331,St Peter's,"All adults in household have English in England, or English or Welsh in Wales as a main language",4915,4474,441
E09000030,Tower Hamlets,E05009331,St Peter's,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",1424,1138,286
E09000030,Tower Hamlets,E05009331,St Peter's,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",224,262,-38
E09000030,Tower Hamlets,E05009331,St Peter's,"No people in household have English in England, or English or Welsh in Wales as a main language",944,1362,-418
E09000030,Tower Hamlets,E05009332,Shadwell,"All adults in household have English in England, or English or Welsh in Wales as a main language",2356,2154,202
E09000030,Tower Hamlets,E05009332,Shadwell,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",1038,838,200
E09000030,Tower Hamlets,E05009332,Shadwell,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",239,258,-19
E09000030,Tower Hamlets,E05009332,Shadwell,"No people in household have English in England, or English or Welsh in Wales as a main language",766,1117,-351
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,"All adults in household have English in England, or English or Welsh in Wales as a main language",2867,2556,311
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",1061,933,128
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",131,137,-6
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,"No people in household have English in England, or English or Welsh in Wales as a main language",954,1149,-195
E09000030,Tower Hamlets,E05009334,Stepney Green,"All adults in household have English in England, or English or Welsh in Wales as a main language",2498,2302,196
E09000030,Tower Hamlets,E05009334,Stepney Green,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",990,762,228
E09000030,Tower Hamlets,E05009334,Stepney Green,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",209,200,9
E09000030,Tower Hamlets,E05009334,Stepney Green,"No people in household have English in England, or English or Welsh in Wales as a main language",657,886,-229
E09000030,Tower Hamlets,E05009335,Weavers,"All adults in household have English in England, or English or Welsh in Wales as a main language",3615,3448,167
E09000030,Tower Hamlets,E05009335,Weavers,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",972,824,148
E09000030,Tower Hamlets,E05009335,Weavers,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",144,184,-40
E09000030,Tower Hamlets,E05009335,Weavers,"No people in household have English in England, or English or Welsh in Wales as a main language",701,897,-196
E09000030,Tower Hamlets,E05009336,Whitechapel,"All adults in household have English in England, or English or Welsh in Wales as a main language",4101,2989,1112
E09000030,Tower Hamlets,E05009336,Whitechapel,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",1367,1047,320
E09000030,Tower Hamlets,E05009336,Whitechapel,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",229,185,44
E09000030,Tower Hamlets,E05009336,Whitechapel,"No people in household have English in England, or English or Welsh in Wales as a main language",1669,1395,274
E09000012,Hackney,E05009367,Brownswood,"All adults in household have English in England, or English or Welsh in Wales as a main language",3000,2559,441
E09000012,Hackney,E05009367,Brownswood,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",460,429,31
E09000012,Hackney,E05009367,Brownswood,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",94,50,44
E09000012,Hackney,E05009367,Brownswood,"No people in household have English in England, or English or Welsh in Wales as a main language",541,610,-69
E09000012,Hackney,E05009368,Cazenove,"All adults in household have English in England, or English or Welsh in Wales as a main language",3480,3281,199
E09000012,Hackney,E05009368,Cazenove,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",867,779,88
E09000012,Hackney,E05009368,Cazenove,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",122,167,-45
E09000012,Hackney,E05009368,Cazenove,"No people in household have English in England, or English or Welsh in Wales as a main language",686,865,-179
E09000012,Hackney,E05009369,Clissold,"All adults in household have English in England, or English or Welsh in Wales as a main language",4250,4243,7
E09000012,Hackney,E05009369,Clissold,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",596,610,-14
E09000012,Hackney,E05009369,Clissold,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",122,109,13
E09000012,Hackney,E05009369,Clissold,"No people in household have English in England, or English or Welsh in Wales as a main language",464,614,-150
E09000012,Hackney,E05009370,Dalston,"All adults in household have English in England, or English or Welsh in Wales as a main language",3011,2529,482
E09000012,Hackney,E05009370,Dalston,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",502,453,49
E09000012,Hackney,E05009370,Dalston,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",52,50,2
E09000012,Hackney,E05009370,Dalston,"No people in household have English in England, or English or Welsh in Wales as a main language",497,422,75
E09000012,Hackney,E05009371,De Beauvoir,"All adults in household have English in England, or English or Welsh in Wales as a main language",3010,2785,225
E09000012,Hackney,E05009371,De Beauvoir,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",482,433,49
E09000012,Hackney,E05009371,De Beauvoir,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",110,84,26
E09000012,Hackney,E05009371,De Beauvoir,"No people in household have English in England, or English or Welsh in Wales as a main language",396,390,6
E09000012,Hackney,E05009372,Hackney Central,"All adults in household have English in England, or English or Welsh in Wales as a main language",4329,3946,383
E09000012,Hackney,E05009372,Hackney Central,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",655,645,10
E09000012,Hackney,E05009372,Hackney Central,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",145,131,14
E09000012,Hackney,E05009372,Hackney Central,"No people in household have English in England, or English or Welsh in Wales as a main language",630,698,-68
E09000012,Hackney,E05009373,Hackney Downs,"All adults in household have English in England, or English or Welsh in Wales as a main language",3939,3807,132
E09000012,Hackney,E05009373,Hackney Downs,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",726,645,81
E09000012,Hackney,E05009373,Hackney Downs,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",118,144,-26
E09000012,Hackney,E05009373,Hackney Downs,"No people in household have English in England, or English or Welsh in Wales as a main language",589,841,-252
E09000012,Hackney,E05009374,Hackney Wick,"All adults in household have English in England, or English or Welsh in Wales as a main language",3869,3670,199
E09000012,Hackney,E05009374,Hackney Wick,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",610,495,115
E09000012,Hackney,E05009374,Hackney Wick,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",127,136,-9
E09000012,Hackney,E05009374,Hackney Wick,"No people in household have English in England, or English or Welsh in Wales as a main language",355,525,-170
E09000012,Hackney,E05009375,Haggerston,"All adults in household have English in England, or English or Welsh in Wales as a main language",4477,3860,617
E09000012,Hackney,E05009375,Haggerston,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",862,729,133
E09000012,Hackney,E05009375,Haggerston,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",151,170,-19
E09000012,Hackney,E05009375,Haggerston,"No people in household have English in England, or English or Welsh in Wales as a main language",758,829,-71
E09000012,Hackney,E05009376,Homerton,"All adults in household have English in England, or English or Welsh in Wales as a main language",3753,3548,205
E09000012,Hackney,E05009376,Homerton,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",641,578,63
E09000012,Hackney,E05009376,Homerton,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",193,206,-13
E09000012,Hackney,E05009376,Homerton,"No people in household have English in England, or English or Welsh in Wales as a main language",643,707,-64
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,"All adults in household have English in England, or English or Welsh in Wales as a main language",3885,3670,215
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",734,619,115
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",123,168,-45
E09000012,Hackney,E05009377,Hoxton East & Shoreditch,"No people in household have English in England, or English or Welsh in Wales as a main language",796,868,-72
E09000012,Hackney,E05009378,Hoxton West,"All adults in household have English in England, or English or Welsh in Wales as a main language",4347,3884,463
E09000012,Hackney,E05009378,Hoxton West,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",848,650,198
E09000012,Hackney,E05009378,Hoxton West,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",156,185,-29
E09000012,Hackney,E05009378,Hoxton West,"No people in household have English in England, or English or Welsh in Wales as a main language",971,962,9
E09000012,Hackney,E05009379,King's Park,"All adults in household have English in England, or English or Welsh in Wales as a main language",3796,3376,420
E09000012,Hackney,E05009379,King's Park,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",631,613,18
E09000012,Hackney,E05009379,King's Park,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",146,185,-39
E09000012,Hackney,E05009379,King's Park,"No people in household have English in England, or English or Welsh in Wales as a main language",475,659,-184
E09000012,Hackney,E05009380,Lea Bridge,"All adults in household have English in England, or English or Welsh in Wales as a main language",3999,3641,358
E09000012,Hackney,E05009380,Lea Bridge,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",773,787,-14
E09000012,Hackney,E05009380,Lea Bridge,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",136,148,-12
E09000012,Hackney,E05009380,Lea Bridge,"No people in household have English in England, or English or Welsh in Wales as a main language",578,966,-388
E09000012,Hackney,E05009381,London Fields,"All adults in household have English in England, or English or Welsh in Wales as a main language",4080,3887,193
E09000012,Hackney,E05009381,London Fields,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",639,626,13
E09000012,Hackney,E05009381,London Fields,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",97,115,-18
E09000012,Hackney,E05009381,London Fields,"No people in household have English in England, or English or Welsh in Wales as a main language",583,639,-56
E09000012,Hackney,E05009382,Shacklewell,"All adults in household have English in England, or English or Welsh in Wales as a main language",2600,2417,183
E09000012,Hackney,E05009382,Shacklewell,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",527,480,47
E09000012,Hackney,E05009382,Shacklewell,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",108,137,-29
E09000012,Hackney,E05009382,Shacklewell,"No people in household have English in England, or English or Welsh in Wales as a main language",407,575,-168
E09000012,Hackney,E05009383,Springfield,"All adults in household have English in England, or English or Welsh in Wales as a main language",3598,3495,103
E09000012,Hackney,E05009383,Springfield,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",756,817,-61
E09000012,Hackney,E05009383,Springfield,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",138,185,-47
E09000012,Hackney,E05009383,Springfield,"No people in household have English in England, or English or Welsh in Wales as a main language",729,990,-261
E09000012,Hackney,E05009384,Stamford Hill West,"All adults in household have English in England, or English or Welsh in Wales as a main language",2318,2309,9
E09000012,Hackney,E05009384,Stamford Hill West,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",479,525,-46
E09000012,Hackney,E05009384,Stamford Hill West,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",92,76,16
E09000012,Hackney,E05009384,Stamford Hill West,"No people in household have English in England, or English or Welsh in Wales as a main language",374,504,-130
E09000012,Hackney,E05009385,Stoke Newington,"All adults in household have English in England, or English or Welsh in Wales as a main language",4314,4388,-74
E09000012,Hackney,E05009385,Stoke Newington,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",694,629,65
E09000012,Hackney,E05009385,Stoke Newington,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",76,94,-18
E09000012,Hackney,E05009385,Stoke Newington,"No people in household have English in England, or English or Welsh in Wales as a main language",574,700,-126
E09000012,Hackney,E05009386,Victoria,"All adults in household have English in England, or English or Welsh in Wales as a main language",4068,4047,21
E09000012,Hackney,E05009386,Victoria,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",610,556,54
E09000012,Hackney,E05009386,Victoria,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",113,124,-11
E09000012,Hackney,E05009386,Victoria,"No people in household have English in England, or English or Welsh in Wales as a main language",434,539,-105
E09000012,Hackney,E05009387,Woodberry Down,"All adults in household have English in England, or English or Welsh in Wales as a main language",3263,2270,993
E09000012,Hackney,E05009387,Woodberry Down,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",652,492,160
E09000012,Hackney,E05009387,Woodberry Down,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",187,132,55
E09000012,Hackney,E05009387,Woodberry Down,"No people in household have English in England, or English or Welsh in Wales as a main language",893,787,106
E09000020,Kensington and Chelsea,E05009388,Abingdon,"All adults in household have English in England, or English or Welsh in Wales as a main language",2588,2774,-186
E09000020,Kensington and Chelsea,E05009388,Abingdon,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",452,606,-154
E09000020,Kensington and Chelsea,E05009388,Abingdon,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",59,85,-26
E09000020,Kensington and Chelsea,E05009388,Abingdon,"No people in household have English in England, or English or Welsh in Wales as a main language",791,1204,-413
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,"All adults in household have English in England, or English or Welsh in Wales as a main language",2883,3509,-626
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",370,570,-200
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",73,75,-2
E09000020,Kensington and Chelsea,E05009389,Brompton & Hans Town,"No people in household have English in England, or English or Welsh in Wales as a main language",834,1619,-785
