lad22cd,lad22nm,ward22cd,ward22nm,category,count_21,count_11,change
E09000030,Tower Hamlets,E05009317,Bethnal Green,All household members have the same ethnic group,3635,3233,402
E09000030,Tower Hamlets,E05009317,Bethnal Green,Any other combination of multiple ethnic identities,769,790,-21
E09000030,Tower Hamlets,E05009317,Bethnal Green,Ethnic groups differ between generations but not within partnerships,221,274,-53
E09000030,Tower Hamlets,E05009317,Bethnal Green,Ethnic groups differ within partnerships,677,465,212
E09000030,Tower Hamlets,E05009317,Bethnal Green,One-person household,2045,2362,-317
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,All household members have the same ethnic group,3990,2590,1400
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Any other combination of multiple ethnic identities,781,599,182
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Ethnic groups differ between generations but not within partnerships,201,240,-39
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Ethnic groups differ within partnerships,1204,703,501
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,One-person household,3525,2286,1239
E09000030,Tower Hamlets,E05009319,Bow East,All household members have the same ethnic group,3668,2809,859
E09000030,Tower Hamlets,E05009319,Bow East,Any other combination of multiple ethnic identities,717,579,138
E09000030,Tower Hamlets,E05009319,Bow East,Ethnic groups differ between generations but not within partnerships,231,297,-66
E09000030,Tower Hamlets,E05009319,Bow East,Ethnic groups differ within partnerships,1062,592,470
E09000030,Tower Hamlets,E05009319,Bow East,One-person household,2722,2318,404
E09000030,Tower Hamlets,E05009320,Bow West,All household members have the same ethnic group,2426,2321,105
E09000030,Tower Hamlets,E05009320,Bow West,Any other combination of multiple ethnic identities,558,512,46
E09000030,Tower Hamlets,E05009320,Bow West,Ethnic groups differ between generations but not within partnerships,123,244,-121
E09000030,Tower Hamlets,E05009320,Bow West,Ethnic groups differ within partnerships,645,405,240
E09000030,Tower Hamlets,E05009320,Bow West,One-person household,1525,1527,-2
E09000030,Tower Hamlets,E05009321,Bromley North,All household members have the same ethnic group,2155,1681,474
E09000030,Tower Hamlets,E05009321,Bromley North,Any other combination of multiple ethnic identities,328,231,97
E09000030,Tower Hamlets,E05009321,Bromley North,Ethnic groups differ between generations but not within partnerships,149,166,-17
E09000030,Tower Hamlets,E05009321,Bromley North,Ethnic groups differ within partnerships,365,233,132
E09000030,Tower Hamlets,E05009321,Bromley North,One-person household,1435,1196,239
E09000030,Tower Hamlets,E05009322,Bromley South,All household members have the same ethnic group,2698,1602,1096
E09000030,Tower Hamlets,E05009322,Bromley South,Any other combination of multiple ethnic identities,428,227,201
E09000030,Tower Hamlets,E05009322,Bromley South,Ethnic groups differ between generations but not within partnerships,156,178,-22
E09000030,Tower Hamlets,E05009322,Bromley South,Ethnic groups differ within partnerships,454,185,269
E09000030,Tower Hamlets,E05009322,Bromley South,One-person household,1396,861,535
E09000030,Tower Hamlets,E05009323,Canary Wharf,All household members have the same ethnic group,3465,2336,1129
E09000030,Tower Hamlets,E05009323,Canary Wharf,Any other combination of multiple ethnic identities,541,425,116
E09000030,Tower Hamlets,E05009323,Canary Wharf,Ethnic groups differ between generations but not within partnerships,184,182,2
E09000030,Tower Hamlets,E05009323,Canary Wharf,Ethnic groups differ within partnerships,905,751,154
E09000030,Tower Hamlets,E05009323,Canary Wharf,One-person household,3425,2603,822
E09000030,Tower Hamlets,E05009324,Island Gardens,All household members have the same ethnic group,2761,2558,203
E09000030,Tower Hamlets,E05009324,Island Gardens,Any other combination of multiple ethnic identities,563,477,86
E09000030,Tower Hamlets,E05009324,Island Gardens,Ethnic groups differ between generations but not within partnerships,198,206,-8
E09000030,Tower Hamlets,E05009324,Island Gardens,Ethnic groups differ within partnerships,753,615,138
E09000030,Tower Hamlets,E05009324,Island Gardens,One-person household,1698,2023,-325
E09000030,Tower Hamlets,E05009325,Lansbury,All household members have the same ethnic group,4018,2663,1355
E09000030,Tower Hamlets,E05009325,Lansbury,Any other combination of multiple ethnic identities,700,313,387
E09000030,Tower Hamlets,E05009325,Lansbury,Ethnic groups differ between generations but not within partnerships,244,359,-115
E09000030,Tower Hamlets,E05009325,Lansbury,Ethnic groups differ within partnerships,594,310,284
E09000030,Tower Hamlets,E05009325,Lansbury,One-person household,1981,1656,325
E09000030,Tower Hamlets,E05009326,Limehouse,All household members have the same ethnic group,1243,1181,62
E09000030,Tower Hamlets,E05009326,Limehouse,Any other combination of multiple ethnic identities,289,229,60
E09000030,Tower Hamlets,E05009326,Limehouse,Ethnic groups differ between generations but not within partnerships,39,73,-34
E09000030,Tower Hamlets,E05009326,Limehouse,Ethnic groups differ within partnerships,384,358,26
E09000030,Tower Hamlets,E05009326,Limehouse,One-person household,1042,1139,-97
E09000030,Tower Hamlets,E05009327,Mile End,All household members have the same ethnic group,3930,2843,1087
E09000030,Tower Hamlets,E05009327,Mile End,Any other combination of multiple ethnic identities,851,595,256
E09000030,Tower Hamlets,E05009327,Mile End,Ethnic groups differ between generations but not within partnerships,204,281,-77
E09000030,Tower Hamlets,E05009327,Mile End,Ethnic groups differ within partnerships,720,352,368
E09000030,Tower Hamlets,E05009327,Mile End,One-person household,2141,1728,413
E09000030,Tower Hamlets,E05009328,Poplar,All household members have the same ethnic group,1513,1312,201
E09000030,Tower Hamlets,E05009328,Poplar,Any other combination of multiple ethnic identities,226,199,27
E09000030,Tower Hamlets,E05009328,Poplar,Ethnic groups differ between generations but not within partnerships,84,146,-62
E09000030,Tower Hamlets,E05009328,Poplar,Ethnic groups differ within partnerships,184,180,4
E09000030,Tower Hamlets,E05009328,Poplar,One-person household,830,712,118
E09000030,Tower Hamlets,E05009329,St Dunstan's,All household members have the same ethnic group,2465,1962,503
E09000030,Tower Hamlets,E05009329,St Dunstan's,Any other combination of multiple ethnic identities,393,332,61
E09000030,Tower Hamlets,E05009329,St Dunstan's,Ethnic groups differ between generations but not within partnerships,135,130,5
E09000030,Tower Hamlets,E05009329,St Dunstan's,Ethnic groups differ within partnerships,369,259,110
E09000030,Tower Hamlets,E05009329,St Dunstan's,One-person household,1275,1199,76
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,All household members have the same ethnic group,2154,1873,281
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Any other combination of multiple ethnic identities,426,418,8
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Ethnic groups differ between generations but not within partnerships,98,104,-6
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,Ethnic groups differ within partnerships,937,671,266
E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,One-person household,2194,2301,-107
E09000030,Tower Hamlets,E05009331,St Peter's,All household members have the same ethnic group,3327,2980,347
E09000030,Tower Hamlets,E05009331,St Peter's,Any other combination of multiple ethnic identities,779,802,-23
E09000030,Tower Hamlets,E05009331,St Peter's,Ethnic groups differ between generations but not within partnerships,161,258,-97
E09000030,Tower Hamlets,E05009331,St Peter's,Ethnic groups differ within partnerships,732,560,172
E09000030,Tower Hamlets,E05009331,St Peter's,One-person household,2522,2635,-113
E09000030,Tower Hamlets,E05009332,Shadwell,All household members have the same ethnic group,2286,2225,61
E09000030,Tower Hamlets,E05009332,Shadwell,Any other combination of multiple ethnic identities,372,302,70
E09000030,Tower Hamlets,E05009332,Shadwell,Ethnic groups differ between generations but not within partnerships,98,151,-53
E09000030,Tower Hamlets,E05009332,Shadwell,Ethnic groups differ within partnerships,304,263,41
E09000030,Tower Hamlets,E05009332,Shadwell,One-person household,1322,1426,-104
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,All household members have the same ethnic group,2135,1989,146
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Any other combination of multiple ethnic identities,572,543,29
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Ethnic groups differ between generations but not within partnerships,60,96,-36
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,Ethnic groups differ within partnerships,468,388,80
E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,One-person household,1764,1759,5
E09000030,Tower Hamlets,E05009334,Stepney Green,All household members have the same ethnic group,2224,1998,226
E09000030,Tower Hamlets,E05009334,Stepney Green,Any other combination of multiple ethnic identities,402,336,66
E09000030,Tower Hamlets,E05009334,Stepney Green,Ethnic groups differ between generations but not within partnerships,107,131,-24
E09000030,Tower Hamlets,E05009334,Stepney Green,Ethnic groups differ within partnerships,297,283,14
E09000030,Tower Hamlets,E05009334,Stepney Green,One-person household,1326,1402,-76
E09000030,Tower Hamlets,E05009335,Weavers,All household members have the same ethnic group,2254,2204,50
E09000030,Tower Hamlets,E05009335,Weavers,Any other combination of multiple ethnic identities,605,637,-32
E09000030,Tower Hamlets,E05009335,Weavers,Ethnic groups differ between generations but not within partnerships,152,184,-32
E09000030,Tower Hamlets,E05009335,Weavers,Ethnic groups differ within partnerships,554,414,140
E09000030,Tower Hamlets,E05009335,Weavers,One-person household,1856,1913,-57
E09000030,Tower Hamlets,E05009336,Whitechapel,All household members have the same ethnic group,3249,2308,941
E09000030,Tower Hamlets,E05009336,Whitechapel,Any other combination of multiple ethnic identities,800,741,59
E09000030,Tower Hamlets,E05009336,Whitechapel,Ethnic groups differ between generations but not within partnerships,117,125,-8
E09000030,Tower Hamlets,E05009336,Whitechapel,Ethnic groups differ within partnerships,674,443,231
E09000030,Tower Hamlets,E05009336,Whitechapel,One-person household,2514,2000,514
E09000012,Hackney,E05009367,Brownswood,All household members have the same ethnic group,1506,1387,119
E09000012,Hackney,E05009367,Brownswood,Any other combination of multiple ethnic identities,450,405,45
E09000012,Hackney,E05009367,Brownswood,Ethnic groups differ between generations but not within partnerships,180,177,3
E09000012,Hackney,E05009367,Brownswood,Ethnic groups differ within partnerships,539,381,158
E09000012,Hackney,E05009367,Brownswood,One-person household,1413,1298,115
E09000012,Hackney,E05009368,Cazenove,All household members have the same ethnic group,2308,2183,125
E09000012,Hackney,E05009368,Cazenove,Any other combination of multiple ethnic identities,512,389,123
E09000012,Hackney,E05009368,Cazenove,Ethnic groups differ between generations but not within partnerships,216,407,-191
E09000012,Hackney,E05009368,Cazenove,Ethnic groups differ within partnerships,639,562,77
E09000012,Hackney,E05009368,Cazenove,One-person household,1487,1551,-64
E09000012,Hackney,E05009369,Clissold,All household members have the same ethnic group,2099,2216,-117
E09000012,Hackney,E05009369,Clissold,Any other combination of multiple ethnic identities,488,508,-20
E09000012,Hackney,E05009369,Clissold,Ethnic groups differ between generations but not within partnerships,237,400,-163
E09000012,Hackney,E05009369,Clissold,Ethnic groups differ within partnerships,853,611,242
E09000012,Hackney,E05009369,Clissold,One-person household,1752,1840,-88
E09000012,Hackney,E05009370,Dalston,All household members have the same ethnic group,1445,1231,214
E09000012,Hackney,E05009370,Dalston,Any other combination of multiple ethnic identities,563,394,169
E09000012,Hackney,E05009370,Dalston,Ethnic groups differ between generations but not within partnerships,144,187,-43
E09000012,Hackney,E05009370,Dalston,Ethnic groups differ within partnerships,540,381,159
E09000012,Hackney,E05009370,Dalston,One-person household,1371,1260,111
E09000012,Hackney,E05009371,De Beauvoir,All household members have the same ethnic group,1508,1496,12
E09000012,Hackney,E05009371,De Beauvoir,Any other combination of multiple ethnic identities,421,419,2
E09000012,Hackney,E05009371,De Beauvoir,Ethnic groups differ between generations but not within partnerships,182,214,-32
E09000012,Hackney,E05009371,De Beauvoir,Ethnic groups differ within partnerships,586,363,223
E09000012,Hackney,E05009371,De Beauvoir,One-person household,1299,1200,99
E09000012,Hackney,E05009372,Hackney Central,All household members have the same ethnic group,2190,2079,111
E09000012,Hackney,E05009372,Hackney Central,Any other combination of multiple ethnic identities,588,484,104
E09000012,Hackney,E05009372,Hackney Central,Ethnic groups differ between generations but not within partnerships,288,488,-200
E09000012,Hackney,E05009372,Hackney Central,Ethnic groups differ within partnerships,573,404,169
E09000012,Hackney,E05009372,Hackney Central,One-person household,2140,1965,175
E09000012,Hackney,E05009373,Hackney Downs,All household members have the same ethnic group,2076,2049,27
E09000012,Hackney,E05009373,Hackney Downs,Any other combination of multiple ethnic identities,582,456,126
