lad22cd,lad22nm,ward22cd,ward22nm,category,count_21,count_11,change
E09000030,Tower Hamlets,E05009317,Bethnal Green,Buddhist,242,252,-10
E09000030,Tower Hamlets,E05009317,Bethnal Green,Christian,4360,5510,-1150
E09000030,Tower Hamlets,E05009317,Bethnal Green,Hindu,293,206,87
E09000030,Tower Hamlets,E05009317,Bethnal Green,Jewish,85,90,-5
E09000030,Tower Hamlets,E05009317,Bethnal Green,Muslim,8659,7527,1132
E09000030,Tower Hamlets,E05009317,Bethnal Green,No religion,5979,4679,1300
E09000030,Tower Hamlets,E05009317,Bethnal Green,Not stated,1409,1334,75
E09000030,Tower Hamlets,E05009317,Bethnal Green,Other religion,106,75,31
E09000030,Tower Hamlets,E05009317,Bethnal Green,Sikh,77,72,5
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Buddhist,323,276,47
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Christian,5695,5087,608
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Hindu,1223,794,429
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Jewish,96,54,42
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Muslim,5715,2771,2944
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,No religion,6643,3398,3245
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Not stated,1856,1162,694
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Other religion,158,57,101
E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,Sikh,105,69,36
E09000030,Tower Hamlets,E05009319,Bow East,Buddhist,124,121,3
E09000030,Tower Hamlets,E05009319,Bow East,Christian,5060,5965,-905
E09000030,Tower Hamlets,E05009319,Bow East,Hindu,137,159,-22
E09000030,Tower Hamlets,E05009319,Bow East,Jewish,111,106,5
E09000030,Tower Hamlets,E05009319,Bow East,Muslim,5345,3351,1994
E09000030,Tower Hamlets,E05009319,Bow East,No religion,7375,4089,3286
E09000030,Tower Hamlets,E05009319,Bow East,Not stated,1173,957,216
E09000030,Tower Hamlets,E05009319,Bow East,Other religion,130,63,67
E09000030,Tower Hamlets,E05009319,Bow East,Sikh,64,63,1
E09000030,Tower Hamlets,E05009320,Bow West,Buddhist,104,120,-16
E09000030,Tower Hamlets,E05009320,Bow West,Christian,3441,4638,-1197
E09000030,Tower Hamlets,E05009320,Bow West,Hindu,106,135,-29
E09000030,Tower Hamlets,E05009320,Bow West,Jewish,78,88,-10
E09000030,Tower Hamlets,E05009320,Bow West,Muslim,4173,3333,840
E09000030,Tower Hamlets,E05009320,Bow West,No religion,4845,3634,1211
E09000030,Tower Hamlets,E05009320,Bow West,Not stated,819,884,-65
E09000030,Tower Hamlets,E05009320,Bow West,Other religion,82,51,31
E09000030,Tower Hamlets,E05009320,Bow West,Sikh,68,69,-1
E09000030,Tower Hamlets,E05009321,Bromley North,Buddhist,109,104,5
E09000030,Tower Hamlets,E05009321,Bromley North,Christian,2392,2373,19
E09000030,Tower Hamlets,E05009321,Bromley North,Hindu,154,124,30
E09000030,Tower Hamlets,E05009321,Bromley North,Jewish,26,27,-1
E09000030,Tower Hamlets,E05009321,Bromley North,Muslim,5475,4708,767
E09000030,Tower Hamlets,E05009321,Bromley North,No religion,2494,1455,1039
E09000030,Tower Hamlets,E05009321,Bromley North,Not stated,722,574,148
E09000030,Tower Hamlets,E05009321,Bromley North,Other religion,23,31,-8
E09000030,Tower Hamlets,E05009321,Bromley North,Sikh,47,38,9
E09000030,Tower Hamlets,E05009322,Bromley South,Buddhist,133,160,-27
E09000030,Tower Hamlets,E05009322,Bromley South,Christian,2863,2242,621
E09000030,Tower Hamlets,E05009322,Bromley South,Hindu,164,75,89
E09000030,Tower Hamlets,E05009322,Bromley South,Jewish,39,29,10
E09000030,Tower Hamlets,E05009322,Bromley South,Muslim,7056,4587,2469
E09000030,Tower Hamlets,E05009322,Bromley South,No religion,2906,1073,1833
E09000030,Tower Hamlets,E05009322,Bromley South,Not stated,983,570,413
E09000030,Tower Hamlets,E05009322,Bromley South,Other religion,52,22,30
E09000030,Tower Hamlets,E05009322,Bromley South,Sikh,28,44,-16
E09000030,Tower Hamlets,E05009323,Canary Wharf,Buddhist,268,245,23
E09000030,Tower Hamlets,E05009323,Canary Wharf,Christian,4856,4154,702
E09000030,Tower Hamlets,E05009323,Canary Wharf,Hindu,1025,660,365
E09000030,Tower Hamlets,E05009323,Canary Wharf,Jewish,79,65,14
E09000030,Tower Hamlets,E05009323,Canary Wharf,Muslim,4744,2812,1932
E09000030,Tower Hamlets,E05009323,Canary Wharf,No religion,5360,2896,2464
E09000030,Tower Hamlets,E05009323,Canary Wharf,Not stated,1401,1298,103
E09000030,Tower Hamlets,E05009323,Canary Wharf,Other religion,120,41,79
E09000030,Tower Hamlets,E05009323,Canary Wharf,Sikh,85,64,21
E09000030,Tower Hamlets,E05009324,Island Gardens,Buddhist,220,272,-52
E09000030,Tower Hamlets,E05009324,Island Gardens,Christian,4731,5465,-734
E09000030,Tower Hamlets,E05009324,Island Gardens,Hindu,668,669,-1
E09000030,Tower Hamlets,E05009324,Island Gardens,Jewish,54,46,8
E09000030,Tower Hamlets,E05009324,Island Gardens,Muslim,3792,2416,1376
E09000030,Tower Hamlets,E05009324,Island Gardens,No religion,4179,3521,658
E09000030,Tower Hamlets,E05009324,Island Gardens,Not stated,1109,919,190
E09000030,Tower Hamlets,E05009324,Island Gardens,Other religion,110,53,57
E09000030,Tower Hamlets,E05009324,Island Gardens,Sikh,40,57,-17
E09000030,Tower Hamlets,E05009325,Lansbury,Buddhist,205,184,21
E09000030,Tower Hamlets,E05009325,Lansbury,Christian,5182,4889,293
E09000030,Tower Hamlets,E05009325,Lansbury,Hindu,366,111,255
E09000030,Tower Hamlets,E05009325,Lansbury,Jewish,46,26,20
E09000030,Tower Hamlets,E05009325,Lansbury,Muslim,10335,7059,3276
E09000030,Tower Hamlets,E05009325,Lansbury,No religion,4161,1845,2316
E09000030,Tower Hamlets,E05009325,Lansbury,Not stated,1313,934,379
E09000030,Tower Hamlets,E05009325,Lansbury,Other religion,83,44,39
E09000030,Tower Hamlets,E05009325,Lansbury,Sikh,47,51,-4
E09000030,Tower Hamlets,E05009326,Limehouse,Buddhist,72,98,-26
E09000030,Tower Hamlets,E05009326,Limehouse,Christian,2074,2443,-369
E09000030,Tower Hamlets,E05009326,Limehouse,Hindu,170,208,-38
E09000030,Tower Hamlets,E05009326,Limehouse,Jewish,43,44,-1
E09000030,Tower Hamlets,E05009326,Limehouse,Muslim,1557,1325,232
E09000030,Tower Hamlets,E05009326,Limehouse,No religion,2171,1687,484
E09000030,Tower Hamlets,E05009326,Limehouse,Not stated,568,412,156
E09000030,Tower Hamlets,E05009326,Limehouse,Other religion,60,28,32
E09000030,Tower Hamlets,E05009326,Limehouse,Sikh,38,25,13
E09000030,Tower Hamlets,E05009327,Mile End,Buddhist,150,150,0
E09000030,Tower Hamlets,E05009327,Mile End,Christian,4304,4409,-105
E09000030,Tower Hamlets,E05009327,Mile End,Hindu,242,235,7
E09000030,Tower Hamlets,E05009327,Mile End,Jewish,52,60,-8
E09000030,Tower Hamlets,E05009327,Mile End,Muslim,10255,7933,2322
E09000030,Tower Hamlets,E05009327,Mile End,No religion,5177,2526,2651
E09000030,Tower Hamlets,E05009327,Mile End,Not stated,1492,993,499
E09000030,Tower Hamlets,E05009327,Mile End,Other religion,80,60,20
E09000030,Tower Hamlets,E05009327,Mile End,Sikh,48,55,-7
E09000030,Tower Hamlets,E05009328,Poplar,Buddhist,52,81,-29
