gss_code_ward,ward_name,la_gss_code,la_name,category,count_21,count_11,change
E05009317,Bethnal Green,E09000030,Tower Hamlets,10km to less than 20km,390,685,-295
E05009317,Bethnal Green,E09000030,Tower Hamlets,20km to less than 30km,82,126,-44
E05009317,Bethnal Green,E09000030,Tower Hamlets,2km to less than 5km,1385,2525,-1140
E05009317,Bethnal Green,E09000030,Tower Hamlets,30km to less than 40km,36,61,-25
E05009317,Bethnal Green,E09000030,Tower Hamlets,40km to less than 60km,54,69,-15
E05009317,Bethnal Green,E09000030,Tower Hamlets,5km to less than 10km,1159,2212,-1053
E05009317,Bethnal Green,E09000030,Tower Hamlets,60km and over,79,140,-61
E05009317,Bethnal Green,E09000030,Tower Hamlets,Less than 2km,1087,1297,-210
E05009317,Bethnal Green,E09000030,Tower Hamlets,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1104,730,374
E05009317,Bethnal Green,E09000030,Tower Hamlets,Works mainly from home,4273,670,3603
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,10km to less than 20km,643,752,-109
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,20km to less than 30km,89,109,-20
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,2km to less than 5km,754,717,37
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,30km to less than 40km,47,78,-31
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,40km to less than 60km,53,45,8
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,5km to less than 10km,1553,3012,-1459
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,60km and over,61,106,-45
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Less than 2km,885,2084,-1199
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,"Works mainly at an offshore installation, in no fixed place, or outside the UK",905,653,252
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Works mainly from home,7803,589,7214
E05009319,Bow East,E09000030,Tower Hamlets,10km to less than 20km,462,751,-289
E05009319,Bow East,E09000030,Tower Hamlets,20km to less than 30km,48,126,-78
E05009319,Bow East,E09000030,Tower Hamlets,2km to less than 5km,1305,2082,-777
E05009319,Bow East,E09000030,Tower Hamlets,30km to less than 40km,31,49,-18
E05009319,Bow East,E09000030,Tower Hamlets,40km to less than 60km,35,56,-21
E05009319,Bow East,E09000030,Tower Hamlets,5km to less than 10km,1376,2777,-1401
E05009319,Bow East,E09000030,Tower Hamlets,60km and over,52,105,-53
E05009319,Bow East,E09000030,Tower Hamlets,Less than 2km,630,684,-54
E05009319,Bow East,E09000030,Tower Hamlets,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1024,622,402
E05009319,Bow East,E09000030,Tower Hamlets,Works mainly from home,5917,472,5445
E05009320,Bow West,E09000030,Tower Hamlets,10km to less than 20km,292,596,-304
E05009320,Bow West,E09000030,Tower Hamlets,20km to less than 30km,55,82,-27
E05009320,Bow West,E09000030,Tower Hamlets,2km to less than 5km,1096,1806,-710
E05009320,Bow West,E09000030,Tower Hamlets,30km to less than 40km,24,32,-8
E05009320,Bow West,E09000030,Tower Hamlets,40km to less than 60km,21,44,-23
E05009320,Bow West,E09000030,Tower Hamlets,5km to less than 10km,880,1922,-1042
E05009320,Bow West,E09000030,Tower Hamlets,60km and over,48,87,-39
E05009320,Bow West,E09000030,Tower Hamlets,Less than 2km,515,701,-186
E05009320,Bow West,E09000030,Tower Hamlets,"Works mainly at an offshore installation, in no fixed place, or outside the UK",732,606,126
E05009320,Bow West,E09000030,Tower Hamlets,Works mainly from home,3598,488,3110
E05009321,Bromley North,E09000030,Tower Hamlets,10km to less than 20km,317,413,-96
E05009321,Bromley North,E09000030,Tower Hamlets,20km to less than 30km,51,62,-11
E05009321,Bromley North,E09000030,Tower Hamlets,2km to less than 5km,824,954,-130
E05009321,Bromley North,E09000030,Tower Hamlets,30km to less than 40km,30,40,-10
E05009321,Bromley North,E09000030,Tower Hamlets,40km to less than 60km,28,38,-10
E05009321,Bromley North,E09000030,Tower Hamlets,5km to less than 10km,842,1144,-302
E05009321,Bromley North,E09000030,Tower Hamlets,60km and over,34,58,-24
E05009321,Bromley North,E09000030,Tower Hamlets,Less than 2km,433,419,14
E05009321,Bromley North,E09000030,Tower Hamlets,"Works mainly at an offshore installation, in no fixed place, or outside the UK",626,378,248
E05009321,Bromley North,E09000030,Tower Hamlets,Works mainly from home,2078,242,1836
E05009322,Bromley South,E09000030,Tower Hamlets,10km to less than 20km,358,339,19
E05009322,Bromley South,E09000030,Tower Hamlets,20km to less than 30km,57,49,8
E05009322,Bromley South,E09000030,Tower Hamlets,2km to less than 5km,966,744,222
E05009322,Bromley South,E09000030,Tower Hamlets,30km to less than 40km,35,34,1
E05009322,Bromley South,E09000030,Tower Hamlets,40km to less than 60km,19,31,-12
E05009322,Bromley South,E09000030,Tower Hamlets,5km to less than 10km,907,963,-56
E05009322,Bromley South,E09000030,Tower Hamlets,60km and over,37,49,-12
E05009322,Bromley South,E09000030,Tower Hamlets,Less than 2km,544,515,29
E05009322,Bromley South,E09000030,Tower Hamlets,"Works mainly at an offshore installation, in no fixed place, or outside the UK",768,300,468
E05009322,Bromley South,E09000030,Tower Hamlets,Works mainly from home,2896,245,2651
E05009323,Canary Wharf,E09000030,Tower Hamlets,10km to less than 20km,370,440,-70
E05009323,Canary Wharf,E09000030,Tower Hamlets,20km to less than 30km,52,84,-32
E05009323,Canary Wharf,E09000030,Tower Hamlets,2km to less than 5km,797,1402,-605
