gss_code_ward,ward_name,la_gss_code,la_name,category,count_21,count_11,change
E05009317,Bethnal Green,E09000030,Tower Hamlets,Economically active: Employee: Full-time,5712,5082,630
E05009317,Bethnal Green,E09000030,Tower Hamlets,Economically active: Employee: Part-time,1879,1557,322
E05009317,Bethnal Green,E09000030,Tower Hamlets,Economically active: Full-time student,913,1101,-188
E05009317,Bethnal Green,E09000030,Tower Hamlets,Economically active: Self-employed with employees: Full-time,133,143,-10
E05009317,Bethnal Green,E09000030,Tower Hamlets,Economically active: Self-employed with employees: Part-time,78,62,16
E05009317,Bethnal Green,E09000030,Tower Hamlets,Economically active: Self-employed without employees: Full-time,643,613,30
E05009317,Bethnal Green,E09000030,Tower Hamlets,Economically active: Self-employed without employees: Part-time,662,310,352
E05009317,Bethnal Green,E09000030,Tower Hamlets,Economically active: Unemployed,768,986,-218
E05009317,Bethnal Green,E09000030,Tower Hamlets,Economically inactive: Long-term sick or disabled,710,701,9
E05009317,Bethnal Green,E09000030,Tower Hamlets,Economically inactive: Looking after home or family,1443,1001,442
E05009317,Bethnal Green,E09000030,Tower Hamlets,Economically inactive: Other,797,586,211
E05009317,Bethnal Green,E09000030,Tower Hamlets,Economically inactive: Retired,1052,682,370
E05009317,Bethnal Green,E09000030,Tower Hamlets,Economically inactive: Student: including full-time students,2347,2377,-30
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Economically active: Employee: Full-time,9296,6060,3236
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Economically active: Employee: Part-time,1302,803,499
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Economically active: Full-time student,842,413,429
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Economically active: Self-employed with employees: Full-time,170,172,-2
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Economically active: Self-employed with employees: Part-time,63,27,36
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,Economically active: Self-employed without employees: Full-time,798,589,209
